abide,"vi.坚持,遵守;vt.忍受,容忍"
degree,"n.度数,度,程度,[律](罪行的)轻重,学位,地位,身份,[数]次数"
delay,"v.耽搁,延迟,延期,迟滞n.耽搁,延迟,迟滞"
delegate,n.代表vt.委派...为代表
delete,vt.删除
deliberate,"adj.深思熟虑的,故意的,预有准备的v.商讨"
delicate,"adj.精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,灵敏的,精密的"
delicious,adj.美味的
delight,"n.快乐,高兴,喜悦v.(使)高兴,(使)欣喜"
democracy,"n.民主政治,民主主义"
demonstrate,"vt.示范,证明,论证vi.示威"
deny,"v.否认,拒绝"
denote,"vt.指示,表示"
denounce,"vt.公开指责,公然抨击,谴责"
depart,"vi.离开,起程,不按照,逝世adj.过去的,逝世的"
deprive,"vt.剥夺,使丧失"
rival,"n.竞争者,对手v.竞争,对抗,相匹敌"
derive,vt.得自vi.起源
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
description,"n.描写,记述,形容,种类,描述"
ascribe,"vt.归因于,归咎于"
prescribe,"v.指示,规定,处(方),开(药)"
manuscript,"n.手稿,原稿"
subscribe,"v.捐款,订阅,签署(文件),赞成,预订"
desert,"n.沙漠,应得的赏罚,功过adj.沙漠的,不毛的,荒凉的vt.放弃,遗弃,逃跑vi.逃掉,逃亡,开小差"
designate,"vt.指明,指出,任命,指派v.指定,指派"
desire,"vt.想望,期望,希望,请求(官方丈礼)n.愿望,心愿,要求v.要求"
desolate,"adj.荒凉的,无人烟的"
despair,"n.绝望,失望,令人失望的人(事物)vi.绝望"
destination,"n.目的地,[计] 目的文件,目的单元格"
destiny,"n.命运,定数"
destruction,"n.破坏,毁灭"
detach,"vt.分开,分离,分遣,派遣(军队)"
detail,"n.细节,详情vt.详述,细说"
tailor,
retail,"n.零售adj.零售的vt.零售,转述vi.零售adv.以零售方式"
detect,"vt.察觉,发觉,侦查,探测v.发现"
determine,"v.决定,确定,测定,使下定决心,[律]使终止"
devise,"vt.设计,发明,图谋,作出(计划),想出(办法),遗赠给n.遗赠"
device,"n.装置,设计,图案,策略,发明物,设备 [计]安装设备驱动程序"
visit,"n.拜访,访问,游览,参观,(作客)逗留,视察,调查vt.拜访,访问,参观,视察,降临vi.访问,参观,闲谈"
vision,"n.视力,视觉,先见之明,眼力,想象力,幻想,幻影,景象vt.梦见,想象,显示"
envision,"vt.想象,预想"
visual,"adj.看的,视觉的,形象的,栩栩如生的"
division,"n.分开,分割,区分,除法,公司,(军事)师,分配,分界线"
provision,"n.供应,(一批)供应品,预备,防备,规定"
invisible,"adj.看不见的,无形的"
revise,"vt.修订,校订,修正,修改"
advisable,"adj.可取的,明智的"
supervise,"v.监督,管理,指导"
develop,"vt.发展,发达,发扬,进步,逐步展开(情节,音乐主题,方程式等)洗印,显影vi.发展,生长,发育,逐步显示出来"
devote,"vt.投入于,献身"
dew,"n.露,露水般的东西,清新"
diagnose,v.诊断
diagram,n.图表
graph,"n.图表,曲线图"
graphite,n.石墨
geography,"n.地理学,地理"
telegraph,"n.电报机,电报v.打电报,发电报,打电报说"
program,"n.节目,程序,纲要,计划vt.规划,拟...计划,安排...入节目vi.安排节目,编程序 (电脑)程序,(电视)节目"
gram,"n.克,[植]鹰嘴豆(用作饲料)"
devour,"vt.(尤指动物)吞吃,狼吞虎咽,挥霍,(火灾等)毁灭,破坏,吞没,贪看,贪听"
dialect,"n.方言,语调"
dialog,"n.(=dialogue)会话,对话"
dialogue,n.对话
log,"n.航行日志,原木,园形木材,园木v.把...记入航行日志,伐木,把...锯成段"
analog,"n.类似物,相似体"
slogan,"n.口号,标语"
diameter,n.直径
diesel,n.柴油机
diet,"n.通常所吃的食物,会议"
differ,"vi.不一致,不同"
difficult,"adj.困难的,艰难的,(人)难相处的"
dig,"v.掘,挖,钻研,搜集"
digest,"n.分类,摘要vi.消化vt.消化,融会贯通"
digital,"adj.数字的,数位的,手指的n.数字,数字式"
dignity,"n.尊严,高贵"
diligent,"adj.勤勉的,用功的,细心而继续不断的"
dim,"adj.暗淡的,模糊的,无光泽的,悲观的,怀疑的vt.使暗淡,使失去光泽n.<美俚>笨蛋、傻子"
dimension,"n.尺寸,尺度,维(数),度(数),元"
diminish,"v.(使)减少,(使)变小"
dine,"vi.吃饭,进餐"
dip,
diploma,"n.文凭,毕业证书,证明权力、特权、荣誉等的证书,奖状"
diplomatic,"adj.外交的,老练的"
direct,"adj.径直的,直接的,直系的,直率的,[天]由西向东运行的,顺行的adv.直接地vt.指引,指示,指挥,命令,导演vi.指导,指挥"
directory,"n.姓名地址录,目录"
disable,"v.使残废,使失去能力,丧失能力"
disappoint,vt.使失望
disaster,"n.灾难,天灾,灾祸"
discard,"vt.丢弃,抛弃v.放弃"
discipline,"n.纪律,学科v.训练"
disclose,"vt.揭露,透露"
discontinue,"v.停止,废止,放弃"
discourage,"vt.使气馁,阻碍"
discourse,"n.演讲,论述,论文,讲道,谈话,谈论vi.谈论,演说"
discriminate,"v.歧视,区别,区别待遇"
disgrace,"n.耻辱,失宠,丢脸的人(或事)v.玷污"
disguise,"v.假装,伪装,掩饰n.伪装"
disgust,"n.厌恶,嫌恶vi.令人厌恶,令人反感vt.使作呕"
dislike,"vt.讨厌,不喜欢n.嫌恶"
dismay,"n.沮丧,惊慌v.使沮丧,使惊慌"
dismiss,"vt.解散,下课,开除,解职,使(或让)离开vi.解散"
disorder,"n.杂乱,混乱,无秩序状态vt.扰乱,使失调,使紊乱"
dispatch,"vt.分派,派遣n.派遣,急件"
disperse,"v.(使)分散,(使)散开,疏散"
displace,"vt.移置,转移,取代,置换v.转移"
dissipate,"v.驱散,(使)(云、雾、疑虑等)消散,浪费(金钱或时间)"
dissolve,"v.溶解,解散"
distant,"adj.远的,关系远的(亲戚),疏远的,间隔的,冷漠的"
distinguish,"v.区别,辨别"
sting,"n.刺,刺痛,针刺v.刺,刺痛,刺激"
extinguish,"vt.熄灭,消灭,压制,使黯然失色,偿清"
instinct,n.本能
distort,"vt.弄歪(嘴脸等),扭曲,歪曲(真理、事实等),误报"
retort,"v.反驳,反击,回报n.曲颈甑,曲颈瓶,蒸器"
torture,"n.折磨,痛苦,拷问,拷打vt.拷问,曲解,折磨,使弯曲"
torment,n.痛苦v.折磨
distress,"n.悲痛,穷困,不幸,危难,忧伤v.使悲痛,使穷困,使忧伤"
district,"n.区域,地方,管区,行政区,(美国各州的)众议院选区"
disturb,"vt.弄乱,打乱,打扰,扰乱v.扰乱"
ditch,"n.沟,沟渠,壕沟"
diverse,"adj.不同的,变化多的"
reverse,"n.相反,背面,反面,倒退adj.相反的,倒转的,颠倒的vt.颠倒,倒转"
versatile,"adj.通用的,万能的,多才多艺的,多面手的"
traverse,"n.横贯,横断,横木,障碍,否认,反驳,(建筑)通廊vt.横过,穿过,经过,在...来回移动,反对,详细研究vi.横越,横断,旋转,来回移动adj.横断的,横的"
version,"n.译文,译本,翻译"
diversion,"n.转移,转换,牵制,解闷,娱乐"
divert,"v.转移,转向,使高兴"
convert,"n.皈依者vt.使转变,转换...,使...改变信仰"
divine,"adj.神的,神圣的,非凡的,超人的,非常可爱的n.牧师"
divorce,"n.离婚,脱离vt.使离婚,与...脱离"
dizzy,"adj.(指人)晕眩的,昏乱的,(指地点,情况)使人晕眩的"
dock,"n.<美> 码头,船坞,被告席,尾巴的骨肉部分vt.靠码头,引入坞,剪短vi.入船坞"
reckon,"vt.计算,总计,估计,猜想vi.数,计算,估计,依赖,料想"
reckless,adj.不计后果的
slack,"n.松弛,静止,淡季,闲散,家常裤adj.松弛的,不流畅的,疏忽的,软弱的,漏水的,呆滞的,懒散的adv.马虎地,缓慢地vt.使松弛,使缓慢,马虎从事vi.松懈,减弱,松驰"
mock,"v.嘲笑,骗,挫败,嘲弄adj.假的n.嘲弄,模仿,仿制品"
lick,"n.舔,少许,打vt.舔,卷过,鞭打,克服,征服vi.轻轻拍打"
suck,"v.吸,吮,吸取"
tick,"n.滴答声,记号,勾号,扁虱v.滴答地响,标以记号,作滴答声"
sack,"n.大袋,大袋之量,麻布袋,短而松的袍装,布袋装,洗劫vt.解雇,装入袋,洗劫,就寝"
pack,"n.包裹,<贬>一群,一副,背包,包装vt.包装,捆扎,塞满,压紧,挑选vi.包装货物,挤,群集,被包装 背包"
rack,"n.架,行李架,拷问台,小步跑,烧酒,破坏vt.放在架上,在架上制作,折磨,加以拷问,使痛苦,榨取vi.在饲草架装满干草,变形,(云)随风飘,(马)小步跑"
tuck,"n.缝摺,活力,鼓声,船尾突出部下方,食物(尤指点心、蛋糕)vt.打摺,卷起,挤进,塞,使隐藏vi.折成摺子,缩拢"
wicked,"adj.坏的,邪恶的,缺德的,不道德的,恶劣的,刻毒的,淘气的"
track,"n.轨迹,车辙,跟踪,航迹,足迹,路,磁轨,途径;vt.循路而行,追踪,通过,用纤拉;vi.追踪,留下足迹,走"
tack,"n.大头钉,粗缝,行动方针,食物vt.以大头针钉住,附加vi.抢风航行,作文字形移动"
doctor,"n.医生,博士,[古]学者,<俚>修理师vt.授以博士学位,诊断,修改,<美>治疗,搀混(食物、饮料),修改vi.行医"
doctrine,"n.教条,学说"
document,"n.公文,文件,文档,档案,文献v.证明"
dome,n.圆屋顶
domestic,"adj.家庭的,国内的,与人共处的,驯服的"
dominant,"adj.有统治权的,占优势的,支配的adj.[生物] 显性的"
dominate,"v.支配,占优势"
predominate,"vt.掌握,控制,支配vi.统治,成为主流,支配,占优势"
donkey,"n.驴子,笨蛋,顽固者,(=donkey engine)轻便发动机,(=donkey pump)辅助泵"
doom,"n.厄运,毁灭,死亡,世末日v.注定,判决 著名的3D动作游戏"
dose,"n.剂量,(一)剂,(一)服v.(给...)服药"
doubt,"n.怀疑,疑惑,疑问v.怀疑,不信,拿不准,<古>恐怕"
dove,n.鸽子 vbl.dive 的过去式
dozen,"n.一打,十二个"
draft,"n.草稿,草案,草图vt.起草,为...打样,设计v.草拟"
drag,"v.拖,拖曳,缓慢而费力地行动n.拖拉"
drain,"n.排水沟,消耗,排水vt.排出沟外,喝干,耗尽vi.排水,流干"
drama,"n.(在舞台上演的)戏剧,戏剧艺术"
drastic,"adj.激烈的,(药性等)猛烈的"
draw,"v.拉,曳,牵,画,绘制,拖曳vt.汲取,领取,提取,引起,吸引vi.向...移动,挨近n.平局,和局,拖曳"
withdraw,"vt.收回,撤消vi.缩回,退出v.撤退"
drawback,"n.缺点,障碍,退还的关税,退税(指进口货物再出口时退还其进口时的关税)"
dry,"adj.干的,干燥的,口渴的vt.(使)干燥,(使)变干v.干燥"
dread,"n.恐惧,恐怖,可怕的人(或物),畏惧v.惧怕,担心"
drift,"n.冲洗,漂流物,观望,漂流v.(使)漂流"
drill,"n.钻孔机,钻子,播种机,军事训练,操练,(反复)练习,条播机v.训练,钻孔,条播"
drive,"n.驾车,驱动器,快车道,推进力,驱使,动力,干劲,击球vt.开车,驱赶,推动、发动(机器等),驾驶(马车,汽车等)vi.开车,猛击,飞跑n.[计]驱动器"
drop,"v.滴下,落下,(使声音等)变弱,(使价格等)下降,使跌倒,使结束,不再讨论,停止与(某人)交往n.落下,下降,滴,滴剂,点滴,微量,下跌"
drought,"n.干旱,缺乏"
duke,"n.公爵(pl.)<俚> 手,拳头"
duplicate,"adj.复制的,副的,两重的,两倍的,完全相同n.复制品,副本vt.复写,复制,使加倍,使成双"
dull,"adj.感觉或理解迟钝的,无趣的,呆滞的,阴暗的vt.使迟钝,使阴暗,缓和vi.变迟钝,减少"
durable,"adj.持久的,耐用的"
dusk,"n.薄暮,黄昏"
dwarf,"n.矮子,侏儒v.(使)变矮小"
dwell,"vi.居住,踌躇"
dye,"n.染料,染色vt.染v.染"
dynamic,"adj.动力的,动力学的,动态的"
earnest,"adj.认真的,热心的,重要的n.真挚,定金,认真,热心"
ease,"n.安逸,安心,不费力,悠闲vt.使悠闲,使安心,减轻,放松vi.减弱,减轻,放松,灵活地移动"
tease,"n.揶揄,戏弄,逗惹vt.取笑,逗恼,奚落,欺负,嘲弄,取笑,强求,梳理"
grease,"n.油脂,贿赂vt.涂脂于,<俗>贿赂"
lease,"n.租借,租约,租赁物,租期,延续的一段时间vt.出租,租出,租得"
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
earthenware,"n.土器,陶器"
eastward,"adv.向东adj.向东的,朝东的"
echo,"n.回声,回音,回波vi.发回声,随声附和vt.摹仿,重复,反射 [计] 禁止(或允许)在屏幕上显示批处理命令行"
eclipse,"n.食,日蚀,月蚀,蒙蔽,衰落vt.引起日蚀,引起月蚀,超越,使黯然失色"
ellipse,"n.[数]椭圆,椭圆形"
ecology,"n.生态学,[社会]环境适应学,均衡系统"
economy,"n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况"
edit,"vt.编辑,校订,剪辑n.编辑工作"
edge,"n.刀口,利刃,锋,优势,边缘,优势,尖锐vt.使锋利,挤进,镶边,开刃vi.缓缓移动,侧着移动"
pledge,"n.保证,誓言,抵押,抵押品vt.保证,使发誓,抵押,典当,举杯祝...健康"
hedge,"n.树篱,障碍物v.用树篱围住,避免作正面答复"
wedge,"n.楔vt.楔入,楔进"
Egyptian,
ego,"n.自我,利已主义,自负"
eject,"vt.逐出,撵出,驱逐,喷射n.推断的事物"
inject,"vt.注射,注入"
project,"n.计划,方案,事业,企业,工程v.设计,计划,投射,放映,射出,发射(导弹等),凸出"
object,"n.物体,目标,宾语,对象vi.反对,拒绝,抗议vt.提出...来反对"
subject,"n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属"
jet,"n.喷射,黑玉v.喷射adj.黑玉色的,墨黑的 喷气机"
reject,"n.被拒之人,被弃之物,不合格品,落选者,不及格者vt.拒绝,抵制,否决,呕出,驳回,丢弃"
elaborate,"adj.精心制作的,详细阐述的,精细vt.精心制作,详细阐述v.详细描述"
elapse,"vi.(时间)过去,消逝v.流逝"
elastic,adj.弹性的
electricity,"n.电流,电,电学"
electrode,n.电极
electron,n.电子
electrician,"n.电工,电学家"
elegant,"adj.文雅的,端庄的,雅致的,<口>上品的,第一流的"
elementary,"adj.初步的,基本的,[化]元素的,自然力的"
elevate,"vt.举起,提拔,振奋,提升...的职位"
eligible,"adj.符合条件的,合格的"
eliminate,"vt.排除,消除v.除去"
eloquent,"adj.雄辩的,有口才的,动人的,意味深长的"
else,"adj.别的,其他的adv.另外,其他"
embarrass,"vt.使困窘,使局促不安,阻碍,麻烦"
embed,"vt.使插入,使嵌入,深留,嵌入,[医]包埋"
embody,"vt.具体表达,使具体化,包含,收录"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
embroidery,"n.刺绣品,粉饰,刺绣,装饰"
emerge,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
emperor,"n.皇帝,君主"
emphasize,"vt.强调,着重v.强调"
empire,"n.帝国,帝权"
empirical,"adj.完全根据经验的,经验主义的,[化]实验式"
enchant,"vt.施魔法,使迷惑"
enclose,"vt.放入封套,装入,围绕"
end,"n.末端,尽头,结束,目标,限度,梢,末端,死亡v.结束,终结,终止"
endeavor,"n.努力,尽力vi.尽力,努力"
endanger,vt.危及
endow,"v.捐赠,赋予"
endure,"v.耐久,忍耐"
enforce,"vt.强迫,执行,坚持,加强"
engage,"vt.使忙碌,雇佣,预定,使从事于,使参加vi.答应,从事,交战,[机]接合,啮合"
engine,"n.发动机,机车,火车头"
engineer,"n.工程师,技师,火车司机,轮机员,工兵"
enhance,"vt.提高,增强v.提高"
enlarge,"v.扩大,放大"
enlighten,"vt.启发,启蒙,教导,授予...知识,开导,<古>照耀"
enrich,"vt.使富足,使肥沃,装饰,加料于,浓缩"
enroll,"v.[亦作enrol] 登记,招收,使入伍(或入会、入学等),参加,成为成员"
enter,"vt.进入,加入,参加,登录,开始vi.进去,[戏]登场,参加n.输入,[计]回车"
enterprise,"n.企业,事业,计划,事业心,进取心,干事业"
enthusiasm,"n.狂热,热心,积极性,激发热情的事物"
entitle,"vt.给...权利(或资格),给...题名,给...称号v.授权,授权"
entreat,"v.恳求,乞求,<古>对待,对付"
envy,"n.vt.羡慕,嫉妒"
episode,"n.一段情节,[音]插曲,插话,有趣的事件"
epoch,"n.新纪元,时代,时期,时间上的一点,[地质]世"
equation,"n.相等,平衡,综合体,因素,方程式,等式,"
equilibrium,"n.平衡,平静,均衡,保持平衡的能力,沉着,安静"
equip,"vt.装备,配备,训练,准备行装"
equivalent,"adj.相等的,相当的,同意义的n.等价物,相等物"
erect,"adj.直立的,竖立的,笔直的vt.盖,使竖立,使直立,树立,建立vi.[生理]勃起"
erode,"vt.侵蚀,腐蚀,使变化vi.受腐蚀,逐渐消蚀掉"
errand,"n.差事,差使,使命"
error,"n.错误,过失,误差"
escort,"n.护卫(队),护送,陪同(人员),护卫队v.护卫,护送,陪同"
essay,"vt.企图,尝试n.企图,散文,小品文,随笔,短文,评论"
essence,"n.基本,[哲]本质,香精"
establish,"vt.建立,设立,安置,使定居,使人民接受,确定v.建立"
estate,"n.状态,不动产,时期,阶层,财产"
estimate,"v.估计,估价,评估n.估计,估价,评估"
eternal,"adj.永恒的,永远的,不灭的,没完没了的"
ethic,"n.道德规范,伦理"
evade,"v.规避,逃避,躲避"
pervasive,adj.普遍深入的
invade,"vt.侵略,侵袭,拥挤"
vacant,"adj.空的,空白的,空灵的,头脑空虚的,神情茫然的,空闲的,空缺的"
vacation,"n.假期,休假,(房屋等的)腾出v.<美>度假,休假"
vocation,"n.召唤,号召,天命,天职,特殊的适应性,才能,行业,职业"
vacuum,"n.真空,空间,真空吸尘器adj.真空的,产生真空的,利用真空的vt.用真空吸尘器打扫"
vain,"adj.徒然的,无益的,虚荣的,空虚的,自负的,愚蠢的"
vein,"n.血管,静脉,叶脉,翅脉,矿脉,纹理,性情,心绪vt.使成脉络,象脉络般分布于"
evaluate,"vt.评价,估计,求...的值v.评价"
even,"adj.平的,平滑的,偶数的,一致的,平静的,恰好的,平均的,连贯的adv.[加强语气]甚至(...也),连...都,即使,恰好,正当vt.使平坦,使相等vi.变平,相等n.偶数,偶校验"
event,"n.事件,事变,结果,活动,精力,竞赛"
eventually,"adv.最后,终于"
everlasting,"adj.永恒的,持久的,无止境的,耐用的"
every,"adj.每一的,每个的,全部的,每隔...的"
evident,"adj.明显的,显然的"
dental,adj.牙齿的
prudent,adj.谨慎的
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
identity,"n.同一性,身份,一致,特性,恒等式"
evil,"adj.邪恶的,带来麻烦的,不幸的,有害的,诽谤的n.邪恶,不幸,罪恶"
evolve,"v.(使)发展,(使)进展,(使)进化"
exaggerate,"v.夸大,夸张"
exceedingly,"adv.非常地,极度地"
excellent,"adj.卓越的,极好的"
exceptional,"adj.例外的,异常的"
excite,"vt.刺激,使兴奋,使激动vi.<口>兴奋,激动"
excursion,"n.远足,游览,短程旅行,远足队,离题,[物]偏移,漂移"
excuse,"vt.原谅,申辩,做为...的托辞,为...免去n.饶恕,致歉,理由,口实,借口,清借条,免去"
execute,"vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效"
exemplify,"vt.例证,例示,作为...例子"
exercise,"n.练习,习题,训练,锻炼,演习v.训练,锻炼vt.行使,使担扰"
exert,"vt.尽(力),施加(压力等),努力v.发挥,竭尽全力,尽"
exhaust,"vt.用尽,耗尽,抽完,使精疲力尽vi.排气n.排气,排气装置adj.用不完的,不会枯竭的"
exhibit,"vt.展出,陈列n.展览品,陈列品,展品v.展示"
expand,"vt.使膨胀,详述,扩张vi.张开,发展"
expend,"vt.花费,消耗,支出,[海]把(暂时不用的绳)绕在杆上"
expense,"n.费用,代价,损失,开支,费钱之物"
exile,"n.放逐,充军,流放,流犯,被放逐者vt.放逐,流放,使背井离乡"
expedition,"n.远征,探险队,迅速,派遣"
pedal,n.踏板v.踩...的踏板
peddle,"vi.挑卖,沿街叫卖vt.叫卖,散播"
pedestrian,"n.步行者adj.徒步的,呆板的,通俗的"
experimental,"adj.实验的,根据实验的"
explain,"v.解释,说明"
explode,"vt.使爆炸vi.爆炸,爆发,破除,推翻,激发"
exploit,"vt.开拓,开发,开采,剥削,用以自肥v.使用"
explore,"v.探险,探测,探究"
export,"vt.输出n.出口货,输出,出口,出口商品v.出口"
extend,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价"
tend,"vi.趋向,往往是vt.照管,护理"
attend,"vt.出席,参加,照顾,护理,注意vi.专心,留意"
pretend,"vt.假装,装扮,(作为藉口或理由)伪称"
attention,"n.注意,关心,关注,注意力,(口令)立正!"
tender,"adj.嫩的,温柔的,软弱的"
tent,n.帐篷
tendency,"n.趋向,倾向"
tenant,"n.承租人,房客,租客v.出租"
attendant,n.服务员
extent,"n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令"
intention,"n.意图,目的"
latent,"adj.潜在的,潜伏的,隐藏的n.隐约的指印"
potential,"adj.潜在的,可能的,势的,位的n.潜能,潜力,电压"
exterior,"adj.外部的,外在的,表面的,外交的,[建](适合)外用的n.外部,表面,外型"
external,"adj.外部的,客观的,[医]外用的,外国的,表面的n.外部,外面"
extraordinary,"adj.非常的,特别的,非凡的,特派的"
extravagant,"adj.奢侈的,浪费的,过分的,放纵的"
extreme,"adj.尽头的,极端的,极度的,偏激的,最后的n.极端,极端的事物"
eyesight,"n.视力,目力"
fabric,"n.织品,织物,布,结构,建筑物,构造"
faculty,"n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力"
faction,"n.派别,小集团,派系斗争,小派系,内讧"
fade,"vi.(声音等)减弱下去,褪色,消失,枯萎,凋谢vt.使褪色n.淡入,淡出adj.乏味的,平淡的"
Fahrenheit,
faint,"n.昏晕,昏倒adj.虚落地,衰弱的,软弱的,无力的,微弱的,暗淡的,模糊的vi.昏晕,昏倒,变得微弱,变得没气力"
faith,"n.信任,信念,宗教信仰,忠实,保证,诺言,约定"
fair,"adj.美丽的,女性的,(肤色)白皙的,(头发)金黄的,干净的,公平的,(天气)晴朗的adv.公平地,公正地,直接地,清楚地n.美好的事物,美人,展览会,市集vi.转晴"
fake,"n.假货,欺骗adj.假的vt.伪造,赝造,捏造,假造,仿造vi.伪装"
false,"adj.错误的,虚伪的,假的,无信义的,伪造的,人工的,不老实的adv.欺诈地"
fall,"n.秋天,落下,瀑布,降低,落差,采伐量,堕落,下降vi.倒下,落下,来临,失守,变成,垮台,下跌,阵亡vt.<美><英方>击倒,砍倒(树木)adj.秋天的"
fame,"n.名声,名望,传说,<古>传闻vt.(常用被动语态)使闻名,使有名望,盛传"
famine,"n.饥荒,<古>饥饿,严重的缺乏"
fancy,"adj.奇特的,异样的vt.想象,设想,认为,爱好,自负n.爱好,迷恋,想象力"
fantastic,"adj.幻想的,奇异的,稀奇古怪的,荒谬的,空想的"
fare,"n.费用,旅客,食物vi.遭遇,进展,进步,经营,过活"
welfare,"n.福利,安宁,幸福,福利事业,社会安全adj.福利的"
fascinate,"vt.使着迷,使神魂颠倒vi.入迷,极度迷人的"
fashion,"n.样子,方式,流行,风尚,时样vt.形成,造,作,把...塑造成,使适应,使适合,改革,改变"
fasten,"vt.扎牢,扣住,闩住,拴紧,使固定,系,集中于,强加于vi.扣紧,抓住"
fate,"n.天数,命运,运气vt.注定,送命"
fatigue,"n.疲乏,疲劳,累活,[军]杂役vt.使疲劳,使心智衰弱vi.疲劳"
favor,"n.好感,宠爱,关切,欢心,好意,喜爱vt.支持,赞成,照顾,促成,象,喜欢,证实,赐予"
feasible,"adj.可行的,切实可行的"
feast,"n.节日,盛宴,筵席,宴会,酒席vt.盛宴,款待,享乐,请客vi.参加宴会,享受"
feather,"n.翎毛,轻的东西,羽毛vi.长羽毛vt.用羽毛装饰,射掉(飞禽)的羽毛"
leather,"n.皮革,皮革制品"
feature,"n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写vt.是...的特色,特写,放映vi.起重要作用"
bore,"n.令人讨厌的人,怒潮,枪膛,孔v.使烦扰,钻孔 钻孔"
nightmare,"n.梦魇,恶梦,可怕的事物"
reluctant,"adj.不顾的,勉强的,难得到的,难处理的"
federal,"adj.联邦的,联合的,联邦制的,同盟的n.(南北战争时期)北部联邦同盟盟员 北京连邦软件产业发展公司,国内主要的正版软件经销商"
feeble,"adj.虚弱的,衰弱的,无力的,微弱的,薄弱的"
fell," vbl.fall 的过去式vt.击倒,打倒(疾病等),致于...死地,砍伐n.一季所伐的木材,兽皮,羊毛adj.凶猛的,可怕的"
feminine,"adj.妇女(似)的,娇柔的,阴性的,女性的"
fence,"n.栅栏,围墙,剑术vt.用篱笆围住,练习剑术,防护vi.击剑,围以栅栏,跳过栅栏,搪塞"
ferrous,"adj.铁的,含铁的,[化]亚铁的"
fertile,"adj.肥沃的,富饶的,能繁殖的"
preferable,"adj.更可取的,更好的,更优越的"
offer,"n.出价,提议,意图vt.提供,出价,贡献,使出现,企图,演出vi.(机会、时机等)出现,献祭,提议"
refer,"vt.提交,谈及,归诸于,指点把...提交,使求助于vi.提到,涉及,查阅,咨询"
referee,"n.仲裁人,调解人,[体]裁判员v.仲裁,裁判"
suffer,"vt.遭受,经历,忍受vi.受痛苦,受损害"
infer,v.推断
inferior,"adj.下等的,下级的,差的,次的,自卑的,劣等的"
transfer,"n.迁移,移动,传递,转移,调任,转帐,过户,转让vt.转移,调转,调任,传递,转让,改变vi.转移,转学,换车"
fetch,"vt.接来,取来,带来,售得,引出,吸引,到达,演绎出vi.取物,绕道而行n.取得,拿,诡计,魂"
fiber,n.=fibre 光纤
fiction,"n.虚构,编造,小说"
fierce,"adj.凶猛的,猛烈的,热烈的,暴躁的<美>极讨厌的,难受的,<英方>精力旺盛的"
figure,
filament,"n.细丝,灯丝"
file,"n.文件,档案,文件夹,卷宗,锉刀vt.把...归档,提出(申请等),锉,琢磨vi.列队行进,用锉刀锉"
fill,"vt.装满,注满,充满,填充,弥漫,供应,供给,满足vi.充满n.满足,饱,充分,填方v.填充"
filter,"n.滤波器,过滤器,滤光器,筛选vt.过滤,渗透,用过滤法除去vi.滤过,渗入,(消息等)走漏,慢慢传开"
filth,"n.污秽,污物,不洁,猥亵"
finance,"n.财政,金融,财政学vt.供给...经费,负担经费vi.筹措资金"
fireplace,n.壁炉
firework,
firm,"n.公司,(合伙)商号adj.结实的,坚硬的,坚定的,坚固的,牢固的,稳固的,严格的vt.使牢固,使坚定vi.变稳固,变坚实adv.稳固地,坚定地"
fission,"n.裂开,分裂,分体,[原]裂变v.[原](使)裂变"
fist,"n.拳头,手,抓住,抓牢vt.拳打,握成拳,紧握"
fit,"n.突然发作,适合,痉挛,一阵adj.合适的,恰当的,健康的,,准备好的vt.适合,安装,使合身,使适应,使合格vi.适合,符合"
fix,"vt.使固定,装置,修理,准备,安装,凝视,整理,牢记vi.固定,注视,决定,选定,确定n.困境,方位,贿赂"
flake,"n.薄片v.使成薄片,剥落,雪片般落下"
flank,"n.腰窝,侧面,军队侧翼,侧腹,胁,腰窝肉vt.在...的侧面,侧翼包围,守侧面vi.侧面与...相接"
flag,"n.旗,标记v.标记"
flourish,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期vt.挥动,夸耀n.茂盛,兴旺,华饰,繁荣"
flare,"n.闪光,闪耀vi.闪光,突然烧起来,闪耀vt.使闪耀,使张开"
nourish,"vt.滋养,使健壮,怀有(希望,仇恨等)"
flavor,"n.情味,风味,滋味,香料vt.加味于"
fling,"n.投,掷,猛冲,暴躁的行动,急冲,嘲弄,讥笑vt.猛投,抛,掷,使陷入,挥动,嘲笑,扫视vi.猛冲,直冲,急行"
