Abacavir,"n. 【药】阿巴卡韦
[网络] 阿巴卡伟；阿巴卡韦及片；阿卡维尔"
autophagosome,自噬体
autophagy,n. [生](细胞的)自我吞噬(作用)
autopsy,"n. 验尸
[医] 尸体解剖, 尸体剖检"
autoradiography,"n. 自体放射照相术
[化] 放射自显影法"
autoreactive,自体反应的
autoreactivity,[医]自身反应性
autosomal,"[医] 正染色体的, 常染色体的"
autosome,"n. 常染色体
[化] 常染色体"
autosuggestion, [医]自我暗示
autotransplant,n. (=autograft)自体移植物
autotransplantation,自身移植
autotroph,"n. [生]自养生物,靠无机物质生存的生物"
autoxidation,"n. 自动氧化
[化] 自氧化; 自动氧化作用"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
availability,定修期；可用率
available,adj. 有效的，可得的；可利用的；空闲的
avenue,"n. 大街, 途径, 林荫路"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
avert,vt. 避免，防止；转移
avidity,"n. 热望, 急切, 利欲心
[医] 贪婪癖"
avirulent,"a. 无毒力的
[医] 无毒力的"
avitaminosis,"n. 维他命缺乏
[医] 维生素缺乏[病]"
avoid,"vt. 避免, 防止, 撤消
[法] 避免, 回避, 躲开"
avulsion,"n. 扯开, 撕脱, 扯离的部分
[医] 撕脱[法], 抽出术"
await,"vt. 等候
vi. 等待着"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
aware,"a. 知道的, 有觉悟的"
awareness,"n. 意识, 认识
[计] 识别, 议定, 明白"
awkward,"a. 笨拙的, 棘手的"
axial,"a. 轴的, 成轴的, 轴向的
[医] 轴的, 中轴的"
axilla,"n. 腋, 腋窝
[医] 腋, 腋窝"
axillary,"a. 腋窝的, 腋生的
n. 腋羽"
axis,n. 轴；轴线；轴心国
axon,"n. 轴突
[计] 轴索, 轴突"
axonopathy,[网络] 轴突病变；轴突病理变化；神经轴病变
axonotmesis,[医] 轴索断伤
azathioprine,n. [药](硝基)咪唑硫嘌呤(一种免疫抑制剂)
azide,叠氮
azidothymidine,"n. 叠氮胸苷（抗病毒药, 用于治疗艾滋病）"
azo,a. [植]含氮的
azole,n. [化] 一氮二烯伍圜
azone,[网络] 酮；A片区；月桂氮卓酮
azoospermia,"n. [医]精子缺乏, 精子缺乏活力"
azotemia,n. 氮血(症)
bacillary,"a. 杆状的, 杆状细菌的, 芽胞杆菌, 杆菌
[医] 杆菌性的"
bacillin,"n. 杆菌素
[医] 杆菌素"
bacillus,"n. 杆菌, 细菌
[医] 芽胞杆菌属, 杆菌属"
bacitracin,"n. 杆菌肽
[化] 杆菌肽"
backache,背痛
backbone,[医] 脊柱
backflow,[化] 回流; 倒流; 开模缩裂
background,[经] 背景
baclofen,[化] 巴氯芬; 氯苯氨丁酸
Becquerel,"贝克勒尔(Antoine Henri, 1852-1908, 法国物理学家, 曾获1903年诺贝尔物理学奖)"
bacteremia,"n. 菌血症
[医] 菌血症"
bacteria,"pl. 细菌
[医] 细菌, [无芽胞]杆菌"
bacterial,"a. 细菌的
[医] 细菌的, [无芽胞]杆菌的"
bactericidal,"a. 杀菌的
[医] 杀菌的"
bactericide,"n. 杀菌剂
[化] 杀菌剂"
bactericidin,"杀细菌素, 杀菌抗体"
bacterin,"n. 疫苗, 菌苗"
bacteriocin,杀[细]菌素
bacteriological,"a. 细菌学的, 细菌学上的
[医] 细菌学家, 细菌学者"
bacteriologist,"n. 细菌学家
[医] 细菌学"
bacteriology,n. 细菌学
bacteriolysin,n. 溶菌素
bacteriophage,"n. 噬菌体
[医] 噬菌体"
bacteriosis,"n. 细菌病害
[医] 细菌病"
bacteriostasis,"n. 细菌抑制, 阻止细菌繁殖法"
bacteriostatic,"a. 抑制细菌的
[医] 制菌的, 制菌剂"
bacteriotherapy,n. 细菌疗法
bacteriotropic,"亲菌性, 亲菌的"
bacterium,"n. 细菌
[医] [无芽胞]杆菌属"
bacteriuria,"n. [医]细菌尿,菌尿症"
bacteroides,类桿菌属; 拟桿菌属
baicalin,"[化] 黄芩苷
[医] 贝加灵, 黄岑甙"
balance,[网络] 平衡；达到平衡
balanitis,[医] 龟头炎
balanoposthitis,阴茎头包皮炎
ballooning,[医] 气胀术
ban,全颅底平面
bandage,"n. 绷带
[化] 帘布筒; 实心轮胎; 紧带; 绷带"
bandwidth,[化] 带宽
bank,"n. 银行, 堤, 岸
[医] 库"
barbiturate,"n. 巴比土酸盐
[化] 巴比妥类药物"
bariatrics,n. 肥胖病学
barium,"n. 钡
[化] 钡Ba"
bariumism,[医] 钡中毒
baroreceptor,"n. 压力感受器
[化] 压力感受器"
barotrauma,[医]气压性创伤(耳鼓及咽鼓管)
barrier,"n. 障碍, 栅栏
[化] 势垒; 阻片; 阻挡层"
bartholin,n. (Bartholin)人名；(法)巴托兰
bartholinitis,(pl. -nites )前庭大腺炎
Bartonella,[微]巴尔通氏体属
bartonellosis,(=bartonelliasis)巴尔通氏体病
barylalia,[医] 言语不清
basal,"a. 基础的, 基本的
[医] 基底的, 基础的"
basaloid,基底细胞样的
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
[计] 基准"
baseline,"基线
[电] 基线"
basement,n. 地下室；地窖
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
basidiomycota,担子菌门
basidiospore,n. [植]担子孢子
basophilia,"[医] 嗜硷性, 嗜硷细胞增多[症]"
bathe,"vt. 沐浴, 用水洗
vi. 洗澡"
battery,"n. 电池, 殴打
[化] 蓄电池"
Bdellovibrio,蛭弧菌属
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
[计] 束"
bear,[网络] 蚕豆
beargall,无
bearing,"n. [机] 轴承；关系；方位；举止
v. 忍受（bear的ing形式）"
beclomethasone,"n. [药]氯地米松,倍氯米松( 一种用于治疗气喘的吸入剂)"
becquerel,"贝克勒尔(Antoine Henri, 1852-1908, 法国物理学家, 曾获1903年诺贝尔物理学奖)"
bedpan,"[医] 便盆, 便盘"
bedsore,[医] 褥疮
beeswax,[网络] 蜜腊；蜂蜡；蜂腊
beforehand,[网络] 预先；事先；提前
behavior,"n. 行为, 举止
[医] 行为"
behavioral,a. 行为的
belch,"vi. 打嗝, 喷吐
vt. 打嗝, 吼叫着发出(命令), 喷吐
n. 打嗝, 喷吐"
belching,[医] 嗳气
belladonna,"n. 颠茄
[化] 颠茄(Atropa belladonna)"
belly,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
benadryl,n. 伤风抗素剂的一种
benchmark,[机] 水准点
beneficence,"n. 慈善, 善行, 赠物
[经] 捐款"
beneficial,"a. 有益的, 受益的
[经] 有使用权的, 可享利益的"
benign,"a. 善良的, 良性的
[医] 良性的"
bentonite,n. <美>[地质]斑脱土(火山灰分解成的一种粘土)
benzene,"n. 苯
[化] 苯"
benzidine,n. [化]对二氨基联苯
benzoate,"n. 苯(甲)酸盐
[化] 苯甲酸盐(或酯)"
benzodiazepine,n. [化]苯(并)二氮■( 用于制造各种镇静药)
benzofuran,"n. [化]苯并呋喃,氧茚,香豆酮"
benzoic,"a. 安息香的
[医] 苯甲酸的, 安息香的"
benzoin,"n. 安息香(树)
[化] 苯偶姻; 安息香"
benzopyrene,苯并芘
berberine,n. [化]黄连素
bereave,"vt. 使孤寂, 使丧失, 使失去"
bereavement,"n. 丧亲, 丧友"
beriberi, 脚气
beryllium,"n. 铍
[化] 铍Be"
beta,"n. 希腊字母表的第二个字母
[医] β(希腊文的第二个字母), 乙种"
beverage,"n. 饮料
[化] 饮料(如牛奶、茶、咖啡、啤酒等)"
beware,"v. 小心, 谨防"
bezoar,"n. 粪石, 牛黄
[医] 粪石"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
[计] 偏流; 偏压; 偏磁; 偏离"
biatrial,[网络] 双房
biaxial,"a. 二轴的
[计] 双轴的"
bicarbonate,"n. 重碳酸盐
[化] 碳酸氢盐; 酸式碳酸盐"
bicuspid,"n. 双尖齿
a. 双尖的"
bidirectional,adj. 双向的；双指向性
bidirectionally,双向地
bifendate,联苯双酯
bifunctional,a. 具有两种(截然)不同功能的
bilateral,adj. 双边的；有两边的
bilaterally," [医]adv.两侧, 双向地"
bilayer,[机] 双分子层
bile,"n. 胆汁, 坏脾气, 暴躁
[医] 胆汁"
biliary,"a. 胆汁的, 输送胆汁的, 由于肝功能障碍引起的
[医] 胆汁的, 胆的"
bilioenteric,无
bilious,"a. 患胆(或肝)病的, 胆汁质的, 坏脾气的
[医] 胆汁的, 胆汁质的"
bilirubin,"n. 胆汁红素, 胆红素
[化] 胆红素"
bilirubinuria,胆红素尿
billion,"num. 十亿, 十亿个"
bimolecular,双分子
binder,"n. 捆缚者, 用以绑缚之物, 活页夹
[化] 粘结剂"
binding,"n. （书籍的）封皮；镶边；绲边；（滑雪板的）滑雪鞋固定装置
adj. 必须遵守的；有法律约束力的
v. “bind”的现在分词
[网络] 绑定；装订；系结"
binomial,"a. 包含两个名词(或名称的), 二项式的, 双名的
n. 二项式, 双名"
binucleate,([复] bios) n.=biography
bioaccumulation,n. (有毒化学物质的) 生物体内积累
bioactivation,生物激活作用
bioaerosol, 生物气溶胶
bioaminergic,生物胺能的
bioamplification,"生物放大,生物富集"
bioassay,[医] 生物鉴定
bioavailability,[化] 生物可利用率
biochemical,生化
biochemistry,[网络] 生物化学；生化；生化学
biocompatibility,"生物适应性, 生物配伍"
bioconcentration,生物浓缩
biodefense,[网络] 生物防卫；生物防护
biodegradable,adj. 生物所能分解的，能进行生物降解的
biodegradation,生物降解
biodiversity,生物多样性
biodynamics,"n. 生物动力学
[医] 生物动态学, 生物力学"
bioelectricity,[电] 生物电学
bioencapsulation,[网络] 生物包埋
bioenergetics,[医] 生物能量学
bioengineer, [医]生物工程师
bioengineering,"生物工程
生物工程学"
bioenrichment,无
bioequivalence, 生物等效性
bioethics,n. 生物伦理学
biofeedback,生物回馈
biofilm, 生物膜
biogas,[机] 生物沼气
bioinformatics,[网络] 生物资讯；生物信息学；生物资讯学
biological,生物学的
biologist,"n. 生物学家
[医] 生物学家"
biology,"n. 生物学
[化] 生物; 生物学"
biomacromolecule,生物巨分子
biomagnification,n. [生]生物放大(作用)(指有毒化学物质在食物链各环节中的毒性渐进)
biomarker, 生物标记
biomedical,adj. 生物医学的
biomethylation,[网络] 生物甲基化；甲基化
biomimetic,n. 仿生的; [医]拟生态的
biomimetics, 生体模仿学
biomonitoring, 生物监测
bionic,"a. 超越人力的(速度/力量)
[计] 仿生学"
biopharmaceutical,生物制药
biopsy,"n. 活组织检查
[医] 活组织检查"
biopsychology,"生物心理学, 精神生物学"
biopsychosocial,[网络] 社会；生物心理社会学的；社会层面
biosphere,[网络] 生活的生物圈
biostatistics,生物统计学；生物统计
biosynthetic,a. 生物合成
biotechnology,[网络] 生物科技；生物技术；生物技术简介
bioterrorism,n. 生物恐怖主义
biotic,a. 生物的；有关生命的
biotin,"n. 生物素
[化] 生物素; 维生素H"
biotransformation,n. 生物转化
biotype,[医] 生物属型
biparietal,a. [解]二顶(骨)的
bipartite,adj. 双边的；由两部分构成的；一式两份的；双方的
biphasic,[医] 二相性的
biphenyl,"n. 联苯
[化] 联苯; 联二苯; (误用,=biphenylyl)联苯基"
bipolar,双极的
birth,"n. 出生, 起源
[医] 生产, 分娩"
bisphosphonate, [医]二碳磷酸盐化合物
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
bivalent,"a. 二价的
[化] 二价的"
bladder,"n. 膀胱, 囊
[医] 囊, 膀胱"
blade,"n. 叶片, 刀锋, 刀口, 剑
[医] 页[片], 叶片, 刀片, 刀刃, 刀口"
blame,"n. 过失, 责备
vt. 责备, 归咎于"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
[计] 空白"
blast," 表示胚(芽),胚胎,胚层,细胞,原基：idioblast, splanchnoblast(内脏原基)"
blastoconidium,芽分生孢子
blastocyst,[医] 胚泡
blastomere,[医] [分]裂球
blastomycosis,n. [医]芽生菌病
blastulation,囊胚形成
bleed,"vi. 流血, 悲痛, 渗出
vt. 使出血, 榨取"
bleeding,"n. 出血, 流血
[化] 渗色"
blemish,"n. 污点, 缺点
vt. 弄脏, 玷污, 损害"
bleomycin,[化] 博莱霉素; 争光霉素
bletilla,"白芨
白芨属"
blindness,"n. 盲目, 失明, 愚昧
[医] 盲, 视觉缺失"
blister,[网络] B咖
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
[计] 块, 数据块"
blockade,"n. 封锁；障碍物；屏障
v. 包围
[网络] 封锁线；阻滞；阻断"
blockage,"n. 封锁, 妨碍
[化] 堵塞"
blocker,"n. 【体】体育比赛中；阻断器；〈俚〉圆顶硬礼帽
[网络] 阻断剂；乙型阻断剂；预锻模膛"
bloodstained, [医]沾染着血的; 血迹斑斑
bloodstream,"血流
[医] 血流"
bloody,"adj. 血腥的；非常的；嗜杀的，残忍的；血色的
vt. 使流血
adv. 很"
blot,"n. 污点, 墨水渍
vt. 乱涂, 使模糊, 吸干
vi. 弄上墨渍, 吸墨水"
blotting,[化] 印迹
blueprint,"蓝图
[法] 蓝图"
bluish,a. 带蓝色的
blunt,"a. 钝的, 坦率的, 麻痹的"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
blurred,a. 模糊不清的；被弄污的
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
bolus,"n. 小而圆的物块, 大丸药"
bombard,"vt. 炮击, 攻击, 轰击
n. 射石炮"
bombardment,"n. 炮击
[化] 轰击"
bony,"a. 如骨的, 多骨的, 瘦骨嶙峋的"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
booster,"n. 向前推的人, 支持者, 后援者, 升压器
[化] 爆管; 扩爆药; 传爆药; 升压机; 增压装置; 升压器; 助促进剂"
bootstrap,自举作用
borax,"n. 硼砂
[化] 硼砂"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
[计] 边框"
borderline,[法] 边界线
boredom,"n. 厌烦, 厌倦, 令人厌烦的事物"
boric,"a. 硼的, 含硼的"
borneol,"n. 龙脑, 冰片
[化] 冰片; 龙脑; 内-2-莰烷醇; 内向-2-莰烷醇"
borrelia,[微]包柔氏螺旋体菌
botanical,"a. 植物学的
n. 植物性药材"
botulin,[微]肉毒杆菌毒素
botulinum,n. 肉毒（杆）菌
botulism,"n. 肉毒中毒
[医] 肉毒中毒"
boundary,"n. 边界, 分界线
[计] 边界"
bout,"n. 一次；一阵；一场；（疾病的）发作
[网络] 回合；一回；较量"
boutonniere,[医] 钮孔状切开术(尿道)
bovine,a. 牛的；似牛的；迟钝的
bowel,"n. 肠, 内脏, 内部
vt. 挖...的内脏"
bow-legs, 弓形腿；罗圈腿
brace,"n. 支柱, 曲柄, 支撑, 一对
vt. 紧缚, 支撑, 激励
vi. 打起精神
[计] 花括号"
brachial,"a. 臂的, 臂状的
[医] 臂的, 肱的"
brachytherapy,近接治疗
bradycardia,"n. 心动过缓, 心搏徐缓
[医] 心搏徐缓"
bradykinesia,[医]运动徐缓
bradykinin,"n. [生化]缓激肽,血管舒缓激肽"
bradyphrenia,[医]思想迟钝
brain,"n. 脑
vt. 打碎脑部"
brainstem,"[医] 脑干, 节段装置"
branch,comb.form 【脊椎动物学】表示“具有…鳃的”：lamellibranch
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
breakdown,"v. 分解；抛锚；分析；划分
[网络] 损坏；出故障；瓦解"
breakthrough,"突围, 突破
[计] 断缺"
breast-fed,"un. 人乳哺育的
[网络] 吃母奶的；喂食母乳；吃人奶长大的"
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
breathing,"n. 呼吸, 瞬间, 微风
a. 呼吸的, 逼真的"
breech,"n. 后膛, 臀部
vt. 给...装上炮尾, 给...穿上裤子"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
bremsstrahlung,n. 轫致辐射
brevibacterium,短桿菌
brevity,"n. 短暂, 简短"
bridging,"n. 造桥
[电] 桥接"
brittle,"a. 易碎的, 脆弱的, 易坏的
[机] 脆的, 脆性的, 易碎的"
broad-spectrum,[医] 广谱
bromate,"vt. 使溴化
n. 溴酸盐"
bromocriptine,"n. [药]溴麦角环肽,溴麦角隐亭"
bronchial,"a. 支气管, 细支气管
[医] 支气管的"
bronchiectasis,"n. 支气管扩张, 细支气管扩张
[医] 支气管扩张"
bronchiolar, [医]细支气管的
bronchiole,"n. 细支气管
[医] 细支气管"
bronchiolitis,[医]细支气管炎
bronchitis,"n. 支气管炎
[医] 支气管炎"
bronchoconstriction,"n. [医]支气管缩小,支气管狭窄"
bronchodilatation,支气管扩张
bronchodilator,"[医] 支气管扩张药, 支气管扩张器"
bronchogenic,"a. 支气管原的,产生于支气管的, 影响支气管的"
bronchography,n. [医]支气管造影( 术)
bronchopneumonia,支气管肺炎
bronchopulmonary,a. [解]支气管肺的
bronchoscope,"n. 支气管镜
[医] 支气管镜"
bronchoscopy,n. [医]支气管镜检(查)
bronchospasm,[医]支气管痉挛
bronchus,"n. 支气管
[医] 支气管"
broth,"n. 原汁清汤, 肉汤
[医] 肉汤(培养基)"
browser,"n. 吃嫩叶的动物, 浏览书本的人
[计] 浏览程序"
brucella,"n. 布鲁氏(杆)菌属
[医] 布鲁氏[杆]菌属"
brucellosis,"n. 布鲁氏菌病
[医] 波状热, 布鲁氏[杆]菌病"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
bruit,"vt. 散播
[医] [杂]音"
bubo,n. [医]腹股沟腺炎
bubonic,[医] 腹股沟淋巴结炎的
buccal,"a. 颊的, 口的, 口腔的
[医] 颊的"
buccally,[医] 向颊
bucking,"[机] 浸渍, 浸润"
bud,[计] Quicken的备份磁盘
budding,"a. 萌芽的, 发育期的, 初露头角的
n. 发芽"
budesonide,[化] 布地奈德; 丁地去炎松
buffer,"n. 缓冲器, 缓冲区
vt. 缓冲
[计] 缓冲区, 缓冲器"
building,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）"
bulbogastrone,[化] 球抑胃素
bulge,"n. 胀, 膨胀
vi. 凸出
vt. 使膨胀"
bulimia,"n. 食欲过盛
[医] 善饥, 食欲过盛"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
bulla,"n. 大疱, 大水疱
[医] 大疱, 大泡"
bullet,"n. 子弹
[医] 弹, 子弹, 距节(马)"
bullous,"a. [医]大疱的,大泡的"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
bunion,"n. 拇趾囊肿
[医] ы囊肿"
bupleurum,n. 柴胡属
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
burdock,"n. 牛蒡
[医] 牛蒡[根]"
burn,"vt. 烧, 烧毁, 烧伤
vi. 燃烧, 发热, 烧毁
n. 烧伤, 烙印"
burning,"a. 燃烧的, 象燃烧一样的
n. 烧, 燃烧"
bursa,"n. 囊, 黏液囊
[医] 囊, 粘液囊, 伞(昆虫)"
bursitis,"n. 黏液囊炎
[医] 粘液囊炎, 滑囊炎"
butazone,泰宗
buttock,"n. 半边臀部, 屁股, 船尾突出部
vt. 过背摔"
bypass, 旁路，绕道
by-product, 副产品，副产物
byssinosis,n. 绵纤维吸入性肺炎
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
[计] 电缆"
cache,"n. 隐藏所, 隐藏的粮食或物资, 贮藏物, 高速缓冲存储器
vt. 隐藏, 窖藏
[计] 高速缓冲存储器, 高速缓冲"
cachectin,[网络] 恶液质素；恶病质素；恶液素
cachexia,"n. 恶病质, 极瘦弱
[医] 恶病质"
cadaver,"n. 死尸, 尸体
[医] 尸体"
cadence,"n. 韵律, 抑扬, 调子, 节奏
[电] 步调"
cadherin, 钙黏着蛋白
cadmium,"n. 镉
[化] 镉Cd"
caffeine,咖啡因；咖啡硷
calamine,异极矿
calamus,"n. 菖蒲, 白藤, 羽根
[化] 菖蒲(Acorus calamus)"
calcaneocuboid,[医] 跟骰的
calcaneum,[医] 跟骨
calcicosilicosis,[医] 钙硅沉着病
calcific,"a. 钙化的
[医] 钙化的, 石灰化的"
calcification,"n. 钙化
[化] 钙化作用; 骨化作用"
calcify,"vi. 变成石灰质, 钙化
vt. 使钙化"
calcineurin,钙依赖磷酸酶
calcinosis,n. [医](普遍性) 钙质沉着
calcite,"n. 方解石
[化] 方解石"
calcitonin,[化] 降钙素
calcitriol,[化] 骨化三醇
calcium,"n. 钙
[化] 钙Ca"
calculate,"v. 计算, 预测, 计划, 打算"
calculous,"a. 结石的
[医] 结石的"
calculus,n. 结石；微积分学
calf,"n. 小牛, 小牛皮, 腓肠
[医] 腓肠"
caliber,"n. 口径, 才干, 水准
[医] 管径, 口径"
calibrate,"vt. 测定口径, 校准, 使标准化, 调整
[化] 校准"
calibration,"n. 口径测定, 刻度, 校准
[化] 校准"
calibrator,"n. 校准器
[计] 校准器"
Caliciviridae,n. 杯状病毒科
callosity,"n. 硬皮, 老茧皮, 无情
[医] 胼胝"
callostasis,无
callous,"a. 麻木的, 无情的, 坚硬的, 硬皮的, 起老茧的
vt. 使生茧, 使变硬"
callus,"n. 皮肤的硬皮, 胼胝, (植物伤口的)愈合组织, 老茧
[医] 胼胝; 骨痂"
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
calmodulin,n. [生化] 钙调蛋白；携钙素
calnexin,[网络] 钙联蛋白；钙联结蛋白；钙连接蛋白
calomel,"n. 甘汞
[化] 甘汞; 氯化亚汞"
calorie,"comb. 表示""卡路里的""；adj"
calorimetry,"n. 量热学
[化] 量热学; 量热法"
calreticulin,[网络] 钙网蛋白；钙网织蛋白；钙网素
calsequestrin,[化] 肌集钙蛋白
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
[计] 摄影"
camphor,"樟脑,莰酮-2"
camphorwood,n. 樟木
camptodactyly,[医] 屈曲指
camptomelic,肢弯曲的
campylobacter,n. 弯曲菌
campylobacteriosis,弯曲菌病
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
canalicular,"a. [动][植]小管的,微管的, 似小管的,似微管的"
canaliculus,"n. 小管, 微管
[医] 小管"
cancer,康斯河
cancerous,"a. 癌的, 似癌的, 生癌的
[医] 癌性的"
cancrum,[拉](坏疽性)溃疡
Candida,[医] 念珠菌属
candidate,n. 候选人，候补者；应试者
candidiasis,[医] 念珠菌病
candidosis, 念珠菌病
candiduria,念珠菌尿
canid,n. [动]犬科动物(包括家犬、狼、狐等)
cannabinoid,"n. 大麻的化学成分（可指任何一种, 如四氢大麻醇、大麻醇等）"
cannabis,"n. 大麻
[化] 大麻"
cannula,插管
cantharides,n. [药]干斑蝥(粉)
capability,"n. 能力, 性能, 约束力
[化] 能力"
capable,"a. 有能力的, 能的, 能干的"
capacity,"n. 容量, 能力, 才能, 资格
[计] 容量"
capillarisin,茵陈色原酮
capillarization,"n. 毛细血管化
[网络] 毛细化；窦毛细血管化；窦壁毛细血管化"
capillary,"n. 毛细管
a. 毛状的, 毛细管的"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
capitellum,(骨的)小头
capping,"[医] 髓盖, 盖髓术, 盖髓物"
capsid,n. 衣壳
capsule,密封舱
capture,[网络] 利益集团捕获
Caralluma,[网络] 水牛角属；水牛掌属；紫龙角
caramel,"n. 焦糖, 卡拉梅尔糖
[化] 焦糖; (俗称)酱色; (俗称)糖色"
carbachol,"n. [药]卡巴可,氯化氨甲酰胆碱,碳酰胆碱"
carbamazepine,[化] 卡马西平; 酰胺咪嗪
carbenicillin,n. [微]羧苄青霉素
carbide,"n. 碳化物
[化] 碳化物; 碳化钙; 电石"
carbodiimide,[化] 碳(化)二亚胺(HN:C:NH)
carbohydrase,n. [生化]糖酶
carbohydrate,"n. 碳水化合物, 糖类
[化] 糖类; 碳水化合物"
carbomer,[网络] 卡波姆；卡波莫；卡波姆胶
carbon,"n. 碳, 副本, 复写纸
[化] 碳"
carbon dioxide,"二氧化碳
[化] 二氧化碳"
carbonic,"a. 碳的, 由碳得到的
[医] 碳的"
carboplatin,n. 卡波铂
carbopol,聚羧乙烯; 聚羧乙烯
carboxyhaemoglobin,碳氧血红蛋白
carboxylase,n. [化]碳酸酵素
carboxylation,"[化] 羧基化; 羧化; 羧化作用
[医] 羧化[作用]"
carboxypolymethylene,[化] 羧聚乙烯
carbuncle,"n. 痈, 红玉, 红榴石
[医] 痈"
carcinoembryonic, [医]癌胚的
carcinofetal,无
carcinogen,"n. 致癌物质
[化] 致癌物"
carcinogenesis,"n. 致癌作用, 癌发生
[医] 致癌作用, 癌发生"
carcinogenic,"a. 致癌作用, 癌发生
[医] 致癌的"
carcinogenicity,[医] 类癌瘤
carcinoid,"a. 良性肿瘤的
n. 良性肿瘤"
carcinoma,"n. 癌
[医] 癌"
carcinomatosis,n. [医]癌扩散
carcinomectomy,[医] 癌切除术
carcinosarcoma,n. 癌肉瘤
cardia,"comb.form 表示“心脏位置”,“心脏跳动”：dextrocardia"
cardiac,"n. 心脏病患者, 强心剂, 健胃药
a. 心脏的, (胃的)贲门的"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
cardioaccelerator,[医] 心动加速剂
cardiogenic,"a. 心原性的, 心脏发生的
[医] 心原性的, 心脏发生的"
cardioinhibitory,[医] 心动抑制的
cardiology,"n. 心脏病学
[医] 心[脏]病学"
cardiomegaly,"n. 心脏肥大
[医] 心肥大"
cardiomyopathy,n. 心肌病
cardioneurosis,"[医] 心神经机能病, 心神经衰弱"
cardioplegia,"[医] 心麻痹, 心瘫痪"
cardiopulmonary,"a. 心肺的
[医] 心肺的"
cardioregulatory,心脏调节的
cardiorespiratory,[网络] 心肺的
cardiotonic,"a. 强心的, 强心剂
n. 强心的, 强心剂"
cardiotoxicity,[网络] 心脏毒性；心肌毒性；心脏中毒
cardiovascular,adj. 心血管的
cardioversion,"n. [医]心律转变法,复律法"
carditis,"n. 心脏炎
[医] 心炎"
caries,"n. 龋, 骨疡
[医] 龋, 骨疡, 骨疽"
carina,"n. 隆线
[医] 隆凸"
carminative,"a. 排出胃肠气体的
n. 驱风止痛剂"
carnitine,"[化] 卡尼汀; 肉碱; 肉毒碱
[医] 肉毒硷, 三甲基羟基丁酰甜菜硷"
carotene,n. 胡萝卜素（等于carotin）
carotid,"n. 颈动脉
a. 颈动脉的"
carotin,n. (=carotene)[生化]胡罗卜素
carpus,"n. 腕, 腕骨
[医] 腕"
carrier,"n. 运送者, 邮递员, 带菌者
[计] 载波"
cartilage,"n. 软骨
[医] 软骨"
carvedilol, [医]卡维地洛第三代β受体阻滞剂，具有非选择性扩张血管作用，用于心力衰竭治疗。
cascade,"n. 小瀑布, 瀑布状物
vi. 成瀑布落下
[计] 层叠, 级联"
casein,"un. 下套管
[网络] 酪蛋白"
caseous,"a. 干酪的
[医] 干酪样的"
caspase, [医]半胱天冬酶
