accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
scan,"v.细看,审视,浏览,扫描n.扫描"
scarce,"adj.缺乏的,不足的,稀有的,不充足的"
scenario,"n.想定 游戏的关,或是某一特定情节"
scenery,"n.风景,景色"
scent,"n.气味,香味,香水,线索,嗅觉,臭迹vt.闻出,嗅,发觉,循着遗臭追踪,使充满气味vi.嗅猎,发出气味"
scout,"n.侦察,搜索,侦察员,侦察机vi.守候,侦察,巡视,嘲笑vt.侦察,跟踪,觅得,监视,轻蔑地拒绝(建议,意见等)"
scramble,"n.爬行,攀缘,抢夺,混乱vi.攀缘,杂乱蔓延,争夺,拼凑,匆忙vt.攀登,搅乱,使混杂"
scrap,"n.小片,废料,剪下来的图片,文章,残余物,废料,打架vt.扔弃,敲碎,拆毁vi.互相殴打adj.零碎的,废弃的"
scrape,"n.刮,擦,擦痕,刮擦声,困境vi.刮掉,擦掉,刮出刺耳声vt.刮,擦,擦伤,挖成"
scratch,"n.乱写,刮擦声,抓痕,擦伤vt.乱涂,勾抹掉,擦,刮,搔,抓,挖出vi.发刮擦声,搔,抓adj.打草稿用的,凑合的"
script,"n.手稿,手迹,剧本,考生的笔试卷,原本"
seam,"n.接缝,线缝,缝合线,衔接口,伤疤,层vt.缝合,接合,焊合,使留下伤痕vi.裂开,发生裂痕"
seaside,"n.海滨(胜地),滨海城镇,海边adj.海边的,海滨的"
secondary,"adj.次要的,二级的,中级的,第二的"
segregate,v.隔离
semester,n.学期
semiconductor,n.[物] 半导体
senator,"n.参议员,(大学的)评议员,(古罗马的)元老院议员"
serial,adj.连续的
sew,"v.缝制,缝纫,缝合"
shabby,"adj.破旧的,褴褛的,低劣的,卑鄙的,不公平的"
shaft,"n.轴,杆状物"
sham,v.佯装n.伪品adj.虚假的
shampoo,"n.洗发精,洗发香波,洗发vt.洗头,洗发"
shatter,"n.粉碎,碎片,落花(叶,粒等)vt.打碎,使散开,粉碎,破坏vi.粉碎,损坏,落叶"
shear,"v.剪,修剪,剪切"
shed,"vt.流出,发散,散发,脱落,脱皮,摆脱n.分水岭,棚,小屋,工棚,货棚v.把...放入棚内,流下"
shepherd,"n.牧羊人,牧羊狗v.牧羊,看管,带领"
shiver,"v.颤抖,打碎,碎裂n.(无法控制的)颤抖,碎片"
shrewd,adj.精明
shrug,n.耸肩v.耸肩
shutter,"n.关闭者,百叶窗,快门,<美俚>安眠药;vt.关上,装以遮门,以百叶窗遮闭"
shuttle,"n.往返汽车(列车、飞机),航天飞机,梭子,穿梭v.穿梭往返"
sideways,"adv.向一旁,向侧面地,斜地里adj.一旁的,向侧面的"
siege,"n.包围,围城,长期努力,不断袭击,围攻v.包围,围攻"
sightseeing,n.观光
signature,"n.签名,署名,信号"
simultaneous,"adj.同时的,同时发生的"
sincere,"adj.诚挚的,真实的,真诚的"
singular,"n.单数adj.单一的,非凡的,异常的,持异议的"
sip,
siren,"n.汽笛,警报器,空袭警报,妖妇v.(救火车等)响着警报器行驶"
situated,"adj.位于,被置于境遇,处于...的立场"
skeleton,"n.(动物之)骨架,骨骼,基干,纲要,万能钥匙"
ski,n.滑雪橇vi.滑雪
skillful,"adj.灵巧的,熟练的,制作精巧的"
skull,"n.头脑,头骨"
slam,"v.砰地关上,砰地放下,猛力抨击,冲击n.砰,猛击,撞击,冲击"
slap,"vt.拍,掌击,拍击n.拍,掌击,拍击"
slaughter,"n.屠宰,残杀,屠杀v.屠宰,残杀,屠杀"
sleeve,n.袖子
slender,"adj.苗条的,微薄的,微弱的"
slide,"v.(使)滑动,(使)滑行n.滑,滑动,幻灯片"
slipper,"n.拖鞋,制轮器vt.用拖鞋打(孩子等)"
slippery,"adj.滑的,光滑的"
slit,"vt.切开,撕裂n.裂缝,狭长切口"
smash,"v.打碎,粉碎n.打碎,粉碎adj.出色的"
smuggle,"n.走私,偷带v.走私"
snap,"v.猛地吸住,突然折断,使劈啪地晌,猛咬n.猛咬,突然折断,劈啪声adj.突然的"
snatch,v.攫取n.攫取
sneeze,n.喷嚏vi.打喷嚏
sniff,"v.用力吸,嗅,闻到,发觉,轻视,用力吸气n.吸,闻,吸气声,嗤之以鼻"
snobbish,adj.势利的
sob,"v.哭诉,(风等)发呜咽声,哭泣n.呜咽,哭泣"
soda,"n.苏打,碳酸水"
solar,"adj.太阳的,日光的"
solemn,"adj.庄严的,隆重的,严肃的"
solitary,adj.孤独的
solo,n.独奏曲adj.单独的
soluble,"adj.可溶的,可溶解的"
sophisticated,"adj.诡辩的,久经世故的"
sophomore,"n.大学二年级生,有二年经验的人"
spaceship,n.太空船
spade,"n.铲,铁锹v.铲"
sparkle,"v.发火花,(使)闪耀,(香槟酒等)发泡,用眼神表达,发光闪烁n.火花,闪光,光彩,活力,发泡"
spear,"n.矛,枪"
specification,"n.详述,[常 pl.] 规格,说明书,规范"
specimen,"n.范例,标本,样品,样本,待试验物"
spectacular,"adj.引人入胜的,壮观的"
spectator,n.观众(指比赛或表演)
spicy,"adj.加香料的,出产香料的,辛辣的,有风味的"
spider,"n.蜘蛛,设圈套者,三脚架"
spin,"v.旋转,纺,纺纱n.旋转"
spine,"n.脊骨,书脊,地面隆起地带,中心,剌"
spiral,adj.螺旋形的n.螺旋v.盘旋
spit,"n.唾液v.吐(唾沫),吐出,发射,发出,喷吐"
splendid,"adj.壮丽的,辉煌的,极好的"
sponge,"n.海绵,海绵体,海绵状物,(外科用的)棉球,纱布v.用海绵等冼涤、揩拭、擦拭或清除,用海绵吸收(液体),(俗)依赖某人生活,诈取某人钱财,海绵般吸收"
spontaneous,"adj.自发的,自然产生的"
spot,"n.班点,污点,地点,场所,现场v.沾污,弄脏,侦察vt.认出,发现"
spray,"n.喷雾,飞沫vt.喷射,喷溅"
sprinkle,"v.撒(某物)于(某物之表面),洒,喷撒"
sprout,v.萌芽n.苗芽
stab,"n.刺,刺伤的伤口,一阵突然而强烈的感觉,中伤,伤痛v.剌,刺伤,伤害(感情等)"
stack,"n.堆,一堆,堆栈v.堆叠"
stadium,n.露天大型运动场
stagger,"v.摇晃,蹒跚,交错,摇摇摆摆adj.交错的"
stagnant,"adj.停滞的,迟钝的"
stain,"n.污点,瑕疵v.染污,沾污"
stale,"n.(牲畜等的)尿adj.不新鲜的,陈腐的,疲倦的,陈旧的vt.使变旧,走味vi.变陈旧,变无味,失时效,撒尿"
stalk,"n.茎,柄,梗,秆"
stalk,"n.茎,柄,梗,秆"
stall,"n.货摊,畜栏,厩,出售摊v.(使)停转,(使)停止,迟延"
staple,"n.钉书钉,钉,主要产品(或商品),原材料,主要成分,来源adj.主要的,常用的,大宗生产的v.把...分类,把...分级"
staple,"n.钉书钉,钉,主要产品(或商品),原材料,主要成分,来源adj.主要的,常用的,大宗生产的v.把...分类,把...分级"
stare,"v.(～ at) 凝视,盯着看"
static,"adj.静态的,静力的 静电噪声"
stationery,"n.文具,信纸"
statue,vt.以雕像装饰n.雕像
statute,"n.法令,条例"
steam,"n.蒸汽,水汽vi.蒸发vt.蒸"
stereo,"n.立体声系统,立体声,[印]铅版,立体照片adj.立体的,立体感觉的"
stereotype,"n.[印]铅版,陈腔滥调,老套vt.使用铅版,套用老套,使一成不变"
stiff,"adj.硬的,僵直的,拘谨的,呆板的,艰难的,费劲的,僵硬的"
stimulate,"vt.刺激,激励v.刺激,激励"
sting,"n.刺,刺痛,针刺v.刺,刺痛,刺激"
stitch,"v.缝,缝合n.一针,针脚,缝针"
stool,"n.凳子,大便,厕所vi.长新枝vt.诱捕"
stoop,"n.弯腰,屈背,屈服vi.弯下,弯下上身,屈服,弯腰,堕落vt.俯曲,辱没"
storey,n.[建] 层
stove,n.炉
strap,"n.带,皮带vt.用带缚住,用带捆扎"
streamline,adj.流线型的
strenuous,"adj.奋发的,使劲的,紧张的,热烈的,艰辛发奋的"
strife,"n.斗争,冲突,竞争"
stroke,"n.击,敲,报时的钟声,(网球等)一击,(划船等)一划,(绘画等)一笔,一次努力,打击vt.抚摸"
stubborn,"adj.顽固的,固执的,坚定的,坚决的,难应付的,难处理的"
stun,"vt.使晕倒,使惊吓,打晕n.晕眩,打昏,惊倒"
sturdy,"adj.强健的,坚定的,毫不含糊的n.[兽医]家畜晕倒病"
submarine,"n.潜水艇,潜艇adj.水下的,海底的"
submerge,"v.浸没,淹没,掩没vi.潜水"
subordinate,"adj.次要的,从属的,下级的n.下属v.服从"
subtract,"v.(～ from)减去,减"
suburb,"n.市郊,郊区"
successor,"n.继承者,接任者,后续的事物"
suffice,"vi.足够,有能力vt.使满足"
sulphur,n.硫磺
sulfur,"n.[化] 硫磺,硫黄vt.用硫磺处理"
summary,"n.摘要,概要"
summit,"n.顶点,最高阶层adj.政府首脑的vi.参加最高级会议的"
sunrise,n.日出
sunset,"n.日落,晚年"
sunshine,n.阳光
super,"n.不重要的角色,冗员vt.用冷纱布贴(书背)vi.充当跑龙套的角色adj.上等的,特大的,特级的,十分的,过分的,极好的adv.非常 /n.上标/下标"
supersonic,"adj.超音波的n.超声波,超声频"
surge,"n.巨涌,汹涌,澎湃vi.汹涌,澎湃,振荡,滑脱,放松vt.使汹涌奔腾,急放"
surgeon,n.外科医生
surroundings,n.环境
swamp,"n.沼泽,湿地,煤层聚水v.陷入沼泽,淹没,覆没"
swan,"n.天鹅,杰出的诗人、歌手,天鹅座"
sway,"v.摇摆,摇动"
swear,"vi.诅咒v.宣誓,发誓"
symmetry,"n.对称,匀称"
syndrome,n.综合病症
synthesis,"n.综合,合成"
tablet,"n.写字板,书写板,碑,牌匾,拍纸簿,便笺簿,药片,小块"
taboo,"n.(宗教)禁忌、避讳,禁止接近,禁止使用adj.禁忌的,忌讳的vt.禁忌,避讳,禁制,禁止"
tame,"adj.(指动物)驯服的、柔顺的,(指人)没精打彩的、顺从的,被开垦的,沉闷的,乏味的,平淡的vt.驯养,驯服,制服,使变得平淡vi.变得驯服"
tan,"n.日晒后的颜色,棕褐色,茶色adj.棕褐色的,茶色v.晒黑,晒成褐色"
tangle,n.混乱状态v.处于混乱状态
tar,"n.焦油,柏油;[计]一种压缩文件的扩展名"
tariff,"n.关税,关税表,税则,(旅馆,饭店等的)价目表、价格表vt.课以关税"
tedious,"adj.单调乏味的,沉闷的,冗长乏味的"
tempo,"n.(音乐)速度、拍子,发展速度"
temptation,"n.诱惑,诱惑物"
tenant,"n.承租人,房客,租客v.出租"
tender,"adj.嫩的,温柔的,软弱的"
testimony,"n.证词(尤指在法庭所作的),宣言,陈述"
texture,"n.(织品的)质地,(木材,岩石等的)纹理,(皮肤)肌理,(文艺作品)结构"
thanksgiving,"n.感谢,[宗]感恩祈祷"
theoretical, 理论的
thereafter,"adv.其后,从那时以后"
thermal,"adj.热的,热量的"
thermometer,"n.温度计,体温计"
thigh,"n.大腿,股"
thirst,"n.渴,口渴,(～ for)渴望,热望"
thorn,"n.[植]刺,棘,荆棘"
thrill,v.发抖
throat,"n.咽喉,喉咙,嗓音,窄路,口子vt.用喉音说,开沟于"
thrust,"n.插,戳,刺,推力,猛推,口头攻击vt.力推,冲,插入,挤进,刺,戳,强加,延伸vi.插入,刺,戳,延伸,强行推进"
thunder,"n.雷,雷声,轰隆声vi.打雷,雷鸣"
tick,"n.滴答声,记号,勾号,扁虱v.滴答地响,标以记号,作滴答声"
tide,"n.潮,潮汐,潮流,趋势"
tile,"n.瓦片,瓷砖"
tilt,"v.(使)倾斜,(使)翘起,以言词或文字抨击"
timid,"adj.胆小的,羞怯的"
tin,"n.[化]锡,马口铁,罐vt.涂锡于adj.锡制的"
tiresome,"adj.无聊的,烦人的"
tissue,"n.薄的纱织品,薄纸,棉纸,[生]组织,连篇"
toe,"n.趾,脚趾,足尖vt.以趾踏触,用脚尖走vi.动脚尖 [军] Tables of Organization and Equipment,编制及装备表"
torment,n.痛苦v.折磨
torrent,"n.急流,洪流,连发,迸发"
tow,"n.拖,拖曳所用之绳,麻的粗纤维vt.拖,曳,牵引vi.拖行,被拖带"
trademark,n.商标
trail,"n.踪迹,痕迹,形迹vt.跟踪,追踪,拉,拖,拖拉,(指植物)蔓生,蔓延,(指人)没精打采地走"
traitor,"n.叛逆者,叛国者"
tram,"n.有轨电车,电车轨道,煤车,吊车v.乘电车"
tramp,"v.重步行走,踏,践,践踏"
transcend,"vt.超越,胜过"
transit,"n.经过,通行,搬运,运输,运输线,转变vt.横越,通过,经过vi.通过n.[天] 中天,经纬仪"
translation,"n.翻译,译文,转化,调任,转换[物][数]平移"
transparent,"adj.透明的,显然的,明晰的"
treason,"n.叛逆,通敌,背信,叛国罪"
treaty,"n.条约,谈判"
trench,"n.沟渠,堑壕,管沟,电缆沟,战壕v.掘沟,挖战壕"
triangle,"n.[数]三角形,三人一组,三角关系"
trim,"adj.整齐的,整洁的vt.整理,修整,装饰"
triple,"n.三倍数,三个一组adj.三倍的vt.三倍与vi.增至三倍"
trolley,"n.电车,(电车)滚轮,手推车,手摇车,台车vt.用手推车运vi.乘电车"
tropic,"n.[天](天球的)回归线,热带adj.热带的"
tropical,"adj.热带的,热情的"
troublesome,"adj.麻烦的,讨厌的,棘手的"
trumpet,n.喇叭
tub,
tube,"n.管,管子,[英] 地铁,<美> 电子管,显象管"
tuck,"n.缝摺,活力,鼓声,船尾突出部下方,食物(尤指点心、蛋糕)vt.打摺,卷起,挤进,塞,使隐藏vi.折成摺子,缩拢"
tug,"v.用力拖,吃力地搬运,苦干,用拖轮拖,拖拉n.拖,苦干,拖船,(牵引用的)绳索"
tumble,"n.跌倒,摔跤,翻斤斗vi.翻倒,摔倒,倒塌,滚动,翻筋斗,仓惶地行动vt.使摔倒,使滚翻,弄乱"
tumour,"n.[医]瘤,肿瘤,肿块"
tunnel,"n.隧道,地道"
turbine,n.涡轮
turmoil,"n.骚动,混乱"
twinkle,"v.闪烁,闪耀,(使)闪光n.闪烁,发光,牛眼"
typhoon,n.[气] 台风
ultraviolet,"adj.紫外线的,紫外的n.紫外线辐射"
underneath,adv.在下面 prep.在...的下面
unify,"vt.统一,使成一体"
unload,"vi.卸货,退子弹vt.摆脱...之负担,倾销,卸"
upper,"adj.上面的,上部的"
uproar,"n.喧嚣,骚动"
utmost,"n.极限,最大可能,极力adj.极度的,最远的"
utter,"adj.全然的,绝对的vt.发出,做声,发表,发射,流通"
utter,"adj.全然的,绝对的vt.发出,做声,发表,发射,流通"
vaccine,"adj.疫苗的,牛痘的n.疫苗"
valve,"n.阀,[英] 电子管,真空管"
van,
vegetarian,"n.素食者,食草动物adj.素食的"
vein,"n.血管,静脉,叶脉,翅脉,矿脉,纹理,性情,心绪vt.使成脉络,象脉络般分布于"
velvet,"n.天鹅绒,柔软,光滑adj.天鹅绒的,柔软的,光滑的"
ventilate,"vt.使通风,给...装通风设备"
versatile,"adj.通用的,万能的,多才多艺的,多面手的"
verse,"n.韵文,诗,诗节,诗句,诗篇"
versus," prep.对(指诉讼,比赛等中),与...相对"
vertical,"adj.垂直的,直立的,顶点的,[解]头顶的n.垂直线,垂直面,竖向"
vibrate,"v.(使)振动,(使)摇摆"
vice,"n.恶习,恶行,坏脾气,罪恶,堕落,老虎钳,缺点,缺陷vt.钳住 prep.代替"
vice,"n.恶习,恶行,坏脾气,罪恶,堕落,老虎钳,缺点,缺陷vt.钳住 prep.代替"
vicinity,"n.邻近,附近,接近"
vigorous,"adj.精力旺盛的,有力的,健壮的"
visa,n.签证vt.签准 维萨信用卡
vitamin,"n.维他命,维生素"
void,"n.空间,空旷,空虚,怅惘adj.空的,无人的,空闲的,无效的,无用的,没有的"
volt,"n.(马术中的)环骑,[击剑]闪避,[电工]伏特"
voltage,"n.[电工]电压,伏特数"
vowel,n.元音adj.元音的
wagon,"n.四轮马车,货车v.用运货马车运输货物"
waggon,(=wagon)
waist,"n.腰部,腰,衣服的上身部分,背心"
waken,vi.醒来vt.唤醒
warfare,"n.战争,作战,冲突,竞争"
waterfall,"n.瀑布,瀑布似的东西"
waterproof,"adj.防水的,不透水的"
wax,"n.蜡,蜡状物,增加,月亮由亏转盈vi.变大,增大,月亮渐满vt.上蜡于"
weed,"n.野草,杂草v.除草,铲除"
weep,"n.哭,哭泣,滴下vi.哭泣,流泪,哀悼,滴落vt.哭着使...,悲叹,滴下"
weld,"vt.焊接n.焊接,焊缝"
whatsoever, pron.无论什么
whichever," pron.无论那一个,任何一个"
whip,"n.鞭子,车夫v.鞭打,抽打,突然移动"
whistle,"n.口哨,汽笛,口哨声,汽笛声v.吹口哨,鸣汽笛"
whoever," pron.任何人,无论谁"
wicked,"adj.坏的,邪恶的,缺德的,不道德的,恶劣的,刻毒的,淘气的"
widow,n.寡妇v.使成寡妇(或鳏夫)
wink,"n.眨眼,使眼色,瞬间,(星光等的)闪烁vi.眨眼,使眼色,闪烁,打信号,假装不见,终止,熄灭vt.眨(眼)"
witch,"n.巫婆,女巫,迷人的女子vt.施巫术,迷惑"
withstand,"vt.抵挡,经受住"
notwithstanding," prep.虽然,尽管adv.尽管,还是 conj.虽然,尽管"
wreath,"n.花圈,花冠,圈状物"
wreck,"n.失事船(或飞机),残骸,(船,飞机的)失事vt.破坏,拆毁"
wrench,"n.扳钳,扳手,猛扭,痛苦,扭伤,歪曲vt.猛扭,使扭伤,曲解,抢,折磨vi.猛扭,绞痛"
wrinkle,n.皱纹v.使皱
X-ray,
yawn,"v.打呵欠,张开,裂开n.呵欠"
yell,"vi.大叫,忍不住笑,呼喊vt.叫着说n.叫声,喊声"
zigzag,"n.Z字形,锯齿形,蜿蜒曲折adj.曲折的,锯齿形的,Z字形的adv.作Z字形地,弯弯曲曲地v.成Z字形,作Z字形行进,曲折前进"
zoom,"n.急速上升,陡直上升,图象电子放大,缩放,嗡嗡声vi.突然扩大,急速上升,摄象机移动vt.使摄象机移动"
ability,"n.能力,才干"
able,"adj.能...的,有才能的,能干的,能够的"
aboard,"adv.在船(飞机、车)上,上船(飞机、车) prep.在(船、飞机、车)上,上(船、飞机、车)"
above,"adj.上面的,上述的,上文的;adv.在上面;prep.在...上方,过于,超出"
abroad,"adv.往国外,到处,海外,广泛,差得远,心里没有谱"
absence,"n.不在,缺席,缺乏,没有"
absent,"adj.不在的,缺席的,缺少的;vt.缺席"
academic,"adj.学院的,理论的"
accent,"n.重音,口音,重音符"
accept,"vt.接受,认可,承担,承兑vi.同意,承认"
acceptance,"n.接受,承诺,容忍,赞同,相信"
accident,"n.意外事件,事故"
ache,"n.疼痛vi.觉得疼痛,渴望"
achieve,"vt.完成,达到"
acid,"n.酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的;""atomicity,consistency,isolation,and durability"" 原子性,一致性,不相关性和持久性"
acre,"n.英亩,(pl.)地产,大片田地"
across,"adv.横过,交叉地,在对面 prep.越过,交叉,在...的那边,在...对面那边"
act,"n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作"
action,"n.动作,作用,战斗,行动,举动,行为,(戏剧或书中)的情节,(某一地区、领域或团体中)最能产生效果、最有趣、最有刺激性的活动vt.对...起诉"
active,"adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的,活性的;n.[语法] 主动语态,积极分子"
activity,"n.活跃,活动性,行动,行为,[核]放射性"
actor,"n.男演员,行动者,参与者"
actress,n.女演员
actual,"adj.实际的,真实的,现行的,目前的"
add,"vt.增加,添加,计算...总和,补充说,又说;vi.加,加起来,增添,做加法"
additional,"adj.另外的,附加的,额外的"
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
admire,"v.赞美,钦佩,羡慕"
adult,"n.成人,成年人adj.成人的,成熟的"
advance,"n.前进,提升,预付款v.前进,提前,预付adj.前面的,预先的 预付(款项)"
advantage,"n.优势,有利条件,利益"
adverb,n.副词
advertise,"v.做广告,登广告"
advice,"n.忠告,建议,[商]通知"
advise,"vt.劝告,忠告,警告,建议"
aeroplane,n.飞机
affair,"n.事务,事件,私事,恋爱事件,(尤指关系不长久的)风流韵事"
afford,"vt.提供,给予,供应得起,"
afraid,"adj.害怕,担心"
afterward,"adv.然后,后来"
afterwards,"adv.然后,后来地"
again,"adv.又,再次,此外,再一次"
against," prep.相反,反对,逆着,靠着,倚着"
age,"n.年龄,成年,使用年限,同时期的人,时代v.变老,上年纪,成熟"
agree,"vi.同意,赞成...的意见,与...一致,承认,适合vt.同意"
agriculture,"n.农业,农艺,农学"
ahead,"adj.adv.在前,向前,提前,在前面"
aid,"n.帮助,援助,帮助者,有帮助的事物;vt.资助,援助,帮助;Association Identifier,相关标识"
aim,"n.目标,目的,瞄准v.对...瞄准,打算"
airline,n.定期航线
airport,"n.<主美>小型民用机场,私人飞机降落场"
alarm,"n.警报,惊慌,警告器vt.恐吓,警告"
alcohol,"n.酒精,酒"
alive,"adj.活着的,活泼的"
allow,"vt.允许,承认"
alone,"adj.单独的,独一无二的,孤独的,独自的adv.独自地"
along,"adv.往前,向前 prep.顺着,沿着"
alongside,adv.在旁 prep.横靠
aloud,adv.大声地
although," conj.虽然,尽管"
altogether,"adv.完全地,总而言之"
among," prep.在...之中,...之一"
amongst," prep.在...中间,在...之中"
analytic,"adj.分析的,解析的"
analytical,"adj.分析的,解析的"
analyze,"vt.分析,分解"
analyse,"vt.分析,分解n.分析"
anchor,"n.锚v.抛锚,锚定"
angel,"n.天使,完善可爱的人"
anger,"n.怒,愤怒v.恼火"
angle,"n.[数]角,角落vi.钓鱼,追逐"
angry,"adj.生气的,愤怒的,狂暴的(风雨等)"
animal,n.动物
ankle,n.[解]踝
annual,"n.一年生植物,年刊,年鉴adj.一年一次的,每年的,一年生的"
answer,"n.答案,回答,答辩,抗辩v.回答说,答复说,符合,反响,响应"
ant,
anxious,"adj.观念的,担忧的,渴望的,盼望的"
anyway,"adv.无论如何,总之"
apology,"n.(为某种思想,宗教,哲学等)辩解,道歉"
appear,"vi.出现,看来,似乎,公开露面,出版,发表"
appearance,"n.出现,露面,外貌,外观"
appetite,"n.食欲,胃口,欲望,爱好"
apply,"vt.申请,应用vi.申请,适用"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
arch,"n.拱门,弓形结构,拱形v.(使)弯成弓形adj.主要"
area,"n.范围,区域,面积,地区,空地"
argue,"vi.争论,辩论vt.说服"
argument,"n.争论,辩论,论据,论点,～ (for,against),意见"
arm,"n.臂,臂状物,衣袖,海湾,武器vt.供给,提供,武装,装备vi.武装起来"
army,"n.陆军,军队,大群,大军"
arrest,"vt.逮捕,拘留,吸引n.逮捕,拘留"
arrival,"n.到来,到达,到达者"
arrive,"vi.到达,抵达"
arrow,"n.箭,箭头记号"
art,"n.艺术,艺术品,技术,巧妙,美术"
article,"n.文章,论文,物品,商品,项目,条款v.清楚说出adj.表达清晰的"
artist,"n.艺术家,画家"
artistic,"adj.艺术的,有美感的,风雅的"
ash,"n.灰,灰烬,[植]岑树"
aside,"adv.在旁边,到旁边"
asleep,"adj.睡着的,睡熟的"
assist,"v.援助,帮助"
assistance,"n.协助,援助,补助,<英>国家补助"
assistant,"n.助手,助教adj.辅助的,助理的"
assure,"vt.断然地说,确告,保证,担保"
athlete,"n.运动员,运动选手"
atmosphere,"n.大气,空气,气氛"
attack,"n.进攻,攻击,(用语言)抨击,批评,疾病发作,侵袭vt.攻击,抨击,动手处理(某事)vi.攻击"
attention,"n.注意,关心,关注,注意力,(口令)立正!"
attitude,"n.姿势,态度,看法,意见"
attract,"vt.吸引vi.有吸引力,引起注意"
audience,"n.听众,观众,接见,拜见"
author,"n.作家,创造者"
average,"n.平均,平均水平,平均数,海损adj.一般的,通常的,平均的vt.平均为,均分,使平衡,达到平均水平vi.买进,卖出"
awake,"vi.醒,觉醒,领会,觉悟vt.唤醒adj.警觉的,醒的"
aware,"adj.知道的,明白的,意识到的"
away,"adv.在远处,到远处,离去"
awful,"adj.可怕的,威严的,<口>极度的,糟糕的"
axe,"n.斧,(经费的)大削减"
back,"adj.后面的,在后面,早过去的,前(欠)的钱adv.向后地n.背部,后面v.后退,支持"
background,"n.背景,后台,不重要或不引人注目的地方或位置"
bacterium,n.细菌
bake,"v.烘焙,烤,烧硬"
ball,"n.球,球状物,子弹,舞会,尽情地玩"
ballet,"n.芭蕾舞,芭蕾舞剧,芭蕾舞乐曲"
balloon,n.气球
ban,"n.禁令vt.禁止,取缔(书刊等)"
band,"n.带子,镶边,波段,队,乐队v.联合,结合"
bank,"n.银行,堤,岸,沙洲,浅滩,一堆(土),(云)层,储藏所(库)vt.存(款)于银行,储蓄,(车或飞机)倾斜转弯"
bar,"n.条,棒(常用作栅栏,扣栓物),横木,酒吧间,栅,障碍物vt.禁止,阻挡,妨碍,把门关住,除...之外,(Bar)律师业 /n.条形/柱形图"
barber,"n.理发员,理发师vt.为...理发,刮脸等"
barn,"n.[农]谷仓,畜棚,畜舍,机器房"
barrel,n.桶vt.装入桶内
base,"n.底部,基础,根据地,基地,本部,基数,(运动)出发点vt.以...作基础,基于... adj.卑鄙的,低级的"
baseball,"n.棒球,棒球运动"
basic,
basis,"n.基础,基本,根据,主要成分(或要素),(认识论中的)基本原则或原理"
basket,"n.篮,一篮"
bath,"n.沐浴,浴室"
bathe,"v.沐浴,洗,(光线)充满n.洗澡"
bathroom,"n.浴室,盥洗室"
battle,"n.战役(指大规模会战),战争vi.作战,战斗,搏斗,斗争"
bay,"n.海湾,狗吠声,绝路vt.吠,使走投无路vi.吠"
bean,"n.豆,豆形果实"
beard,n.胡须
beast,"n.兽,畜牲,人面兽心的人"
beat,"n.敲打,拍子,巡逻区域v.打,打败"
beauty,"n.美,美景,美好的东西"
beef,n.牛肉
beg,"v.请求,乞求"
begin,"v.开始,首先"
beginning,n.开始
behavior,"n.举止,行为"
behaviour,"n.行为,举止,习性"
behind,adv.在后地 prep.在...之后
being,"n.存在,生命,人,本质 art.在,有,是"
belief,"n.信任,信心,信仰"
believe,"v.有坚定的宗教信仰的,相信,信任,认为,想"
belong,"vi.属于,住"
belt,"n.带子,地带"
bench,n.长椅子
bend,"v.弯曲,专心于,屈服n.弯曲"
beside," prep.在旁边,和...比较"
besides,adv.此外 prep.除...之外
best,"adj.最好的adv.最好地,最,极n.最佳状态或作品,最好的东西"
better,"adj.较好的adv.更好的,更多的,更佳的"
between," prep.在...之间,连接...,由...协力合作"
beyond," prep.在(到)...较远的一边,超过,那一边adv.在远处n.远处"
Bible,
bill,"n.帐单,钞票,票据,清单,议案,法案,广告vt.用海报宣传,把...列成表,给...开帐单"
billion,n.adj.十亿(的)
bin,n.箱柜 [计] 二进制文件的扩展名
biography,n.传记
biology,"n.生物学,生物(总称)"
birth,"n.出生,产生,出身"
biscuit,"n.饼干,小点心"
bit,"n.小块,少量,片刻,马嚼子,辅币vt.上马嚼子,控制 vbl.咬n.[计]位,比特"
bite,
blackboard,n.黑板
blame,"n.过失,责备vt.责备,谴责"
blank,"adj.空白的,空着的,失色的,没有表情的n.空白,<美> 表格"
blanket,n.毯子vt.覆盖
bless,"vt.祝福,保佑,<口>哎呀!我的天哪!"
blind,"adj.瞎的,盲目的vt.使失明,缺乏眼光或判断力"
block,"n.木块,石块,块,街区,印版,滑轮,阻滞,(一)批vt.防碍,阻塞"
blood,"n.血,血液,血统v.使(某人)先取得经验"
bloody,"adj.血腥的,嗜杀的,有血的,<英鄙>该死的,非常的"
blossom,"n.花(尤指结果实者),花开的状态,兴旺期vi.开花,兴旺,发展"
blouse,"n.宽松的上衣,似衬衫的上衣"
blow,"n.殴打,突然的打击v.风吹,吹气于,叫,喘气"
blue,"n.蓝色adj.蓝色的,忧郁的,沮丧的"
blueprint,"n.蓝图,设计图,计划vt.制成蓝图,计划"
