relationship,n. 关系；关联
technology,"n. 技术, 工业技术, 术语
[医] 技术学, 工艺学"
eager,"a. 热心的, 渴望的, 热望的"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
[计] 临时"
depict,"vt. 描述, 描写"
remind,"vt. 提醒, 使想起"
violence,n. 暴力；侵犯；激烈；歪曲
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
[计] 传递, 路由设定程序"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
[计] 例程"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
[经] 控制, 管理"
regulation,"n. 规则, 管理, 调整
[计] 调整; 规章; 规则; 调节"
spouse,n. 配偶
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
[计] 寄存器"
aspect,"n. 外观, 方面, 面貌, 方向
[医] 方面, 局面; 外观"
legal,"a. 法律的, 法定的, 合法的
[经] 法定权利; 法律(上)的, 合法的"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
massive,"a. 大而重的, 宽大的, 宏伟的
[医] 大块的, 整块的, 大量的"
subject,[网络] 主体；对象；主题
principle,"n. 原则, 原理, 主义
[化] 原理"
solar,"a. 太阳的, 日光的, 源自太阳的
[医] 太阳的; 腹腔丛的"
overall,遍及
nonsense,"n. 胡说；废话
a. 荒谬的
int. 胡说！"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
[计] 选择对象"
distinguish,"v. 区别, 辨别"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
observation,[网络] 观察
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
[经] 促动, 激发, 激励"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
[计] 扩展名, 扩充名"
fashion,na. comb. F. 加在名词之后
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
analysis,"n. 分析
[计] 分析机; 分析员; 分析; 分析程序"
inner,"a. 内部的, 内心的
n. 内部"
seize,"vt. 抓住, 逮捕, 俘获, 没收, 扣押, 掌握
vi. 突然抓住, 利用"
mysterious,"a. 神秘的, 难解的, 不可思议的"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
possibly,"adv. 可能, 也许"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
intelligence,[网络] 智力；理解力；智能
psychological,"a. 心理学的, 精神上的, 心灵的
[法] 心理上的, 心理学的"
sustainable,"a. 足可支撑的, 养得起的, 可以忍受的"
classical,"古典的,标准的,典型的"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
interrupt,"vt. 中止，中断，阻碍；遮断；打断(别人讲话等)；打扰；打破…的平衡(或连续性等)
vi. 打断；打扰
n. 中断；暂停；隔阂；距离；分隔；裂痕；【计算机】中断信号"
spill,"n. 溢出, 溅出, 摔下, 溢出量, 木片, 小塞子
vt. 使溢出, 使散落, 洒, 使流出, 倒出, 使摔下
vi. 溢出, 涌流, 摔下"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
bureau,"n. 局, 办公处
[经] 局, 司, 处"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
origin,"n. 起源, 起因, 出身, 开端
[计] 原点; 起始地址; 信件来源的相关数据"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
define,"vt. 定义, 规定, 使明确
[计] 定义"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
[化] 仲(指CH-3...CH(CH-3)-型支链烃基或指二元胺及R-2CHOH型的醇); 第二"
immigrant,"n. 移民
a. 移入的, 移民的"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
[计] 卷"
racial,"a. 人种的, 种族的
[医] 种族的"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
[计] 串行线接口协议"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
emphasis,"n. 强调, 加强, 重点, 强语气"
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
[计] 信号"
particle,"n. 颗粒, 粒子, 质点, 极小量
[化] 粒子; 质点"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
output, [林]出材率
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
[经] 罚金(款), 违约金"
conservation,"n. 保护, 保存
[医] 保存"
foundation,n. 基础；地基；基金会；根据；创立
setting,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具
[计] 设置"
confuse,"vt. 使混乱, 使狼狈, 使困惑
[法] 混淆"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
[医] 压迹, 印模, 印象, 影响"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
decent,"a. 有分寸的, 得体的, 大方的"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
[计] 组件"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
[医] 能屈的"
mood,"n. 心情, 气氛, 生气, 基调
[医] 心境"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
enhance,"vt. 提高, 加强, 增加"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
[医] 能力, [大学]院系"
ceremony,"n. 典礼, 仪式, 礼节
[法] 典礼, 仪式"
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
[计] 媒体, 中"
media,"n. 媒体
[计] 媒质"
sensitive,adj. 敏感的；[仪] 灵敏的；感光的；易受伤害的
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
electric,"a. 电的, 导电的, 电动的
[医] 电的"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
nevertheless,"仍然
尽管如此"
inquire,未装订
aggressive,"a. 侵略的, 挑畔的, 进取的
[法] 侵略的, 爱挑衅的, 行为过火的"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
infer,"vt. 推断；推论
vi. 推断；作出推论"
intense,[网络] 紧张
atmosphere,"n. 大气, 空气, 气氛
[医] 大气; 大气压"
emphasize,"vt. 强调, 加强语气, 着重"
structure,"n. 结构；构造；体系；结构体
v. 使形成体系；系统安排；精心组织
[网络] 建筑物；组织结构；市场结构"
bet,abbr. Black Entertainment Television(美国对黑人播放的)闭路电视网络
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
[计] 特性"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
transform,[化] 反式; 反式异构体
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
salary,"n. 薪水
vt. 给...加薪"
humanity,"n. 人性, 人类, 博爱"
efficiency,"n. 效率, 效能, 功效
[医] 效率, 效力"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
[计] 安装"
core,comb.form 表示“…类别的摇滚乐”：queercore
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
corporation,"n. 公司, 合作, 法人团体
[法] 法人团体, 社团, 法人"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
[计] 回显; DOS批处理命令:控制MS-DOS命令是否在屏幕上显示"
stock,"n. 股份，股票；库存；血统；树干
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽
n. (Stock)人名；(德、匈、捷)施托克；(英、法、葡、瑞典)斯托克"
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
widespread,"adj. 广布的；蔓延的；普遍的
[网络] 普及的；广泛流传的"
thus,"adv. 如此, 因此, 到如此程度
[医] 乳香"
assumption,"n. 假定, 自负, 担任, 假装
[经] 假定, 承担"
resume,[网络] 恢复
doubtful,"a. 可疑的, 疑心的, 不明确的
[法] 怀疑的, 有疑问的, 未确的"
craft,na. 术；行业
limited,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
bachelor,"n. 单身汉, 学士
[法] 学士, 单身汉"
induce,"vt. 引诱, 招致, 归纳出, 感应
[医] 诱导, 感应"
incline,"n. 倾斜, 斜坡, 斜面
vt. 使倾向于, 使倾斜
vi. 倾向, 倾斜, 爱好, 易于"
impatient,"a. 不耐烦的, 着急的, 急切的"
stability,"n. 安定, 稳定性, 坚实, 巩固
[化] 稳定性"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
empire,"n. 帝国, 帝权"
restrict,"vt. 限制, 限定, 约束
[医] 限制"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
[医] 交感[作用], 同感[作用], 感应, 同情"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
forth,"adv. 往前, 以后, 向外"
vehicle,"n. 交通工具, 车辆, 传播媒介
[化] 载体; 运载体; 漆料"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
[计] 拆分"
silicon,"n. 硅
[化] 硅Si"
extraordinary,[网络] 寻常領域；超凡；非常规
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
[经] 概念, 打算, 想法"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
super,"n. 跑龙套角色, 冗员, 特级品, 特大号, 管理人
a. 上等的, 特大的, 超级的, 极好的, 十分的, 过分的
adv. 非常"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
[计] 计数器; 计数字"
encounter,"vt. 遭遇, 邂逅；遇到
n. 遭遇, 偶然碰见
vi. 遭遇；偶然相遇"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
[计] 系统实用程序和维护"
convey,"vt. 传达, 运输, 转让
[经] 转让(财产等), 搬运"
inevitable,"a. 不可避免的, 必然的
[法] 不可避免的, 无法规避的, 必然的"
accustom,vt. 使习惯于
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
[法] 无知的, 愚昧的, 不知情的"
ignorance,"n. 无知, 愚味
[法] 无知, 不知情, 愚昧"
tremendous,"a. 巨大的, 非常的, 可怕的"
junior,"n. 年少者, 地位较低者, 大学三年级学生
a. 年少的, 下级的, 后进的"
skilled,"a. 熟练的
[经] 熟练的, 有技能的"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
utter,"a. 全然的, 绝对的, 完全的
vt. 发出声音, 做声, 发表, 发射, 流通"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
[计] 换行"
column,n. 纵队，列；专栏；圆柱，柱形物
percentage,"n. 百分比, 比率, 部分, 可能性
[计] 百分比"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
[计] 区, 区域"
legislation,"n. 立法, 法律
[医] 立法, 法规"
proposal,"n. 提议, 计划, 求婚
[经] 提案, 申请, 投标"
rid,[网络] 康威世界；示差折光检测器；琼脂扩散
error,"n. 错误, 过失, 失误, 误差
[计] 错误"
engagement,"n. 诺言, 约会, 婚约, 交战
[医] 衔接"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
[经] 房地产, 遗产, 财产"
image,"n. 图像；形象；影像；意象
v. 反映；想像；象征；使…成像
[网络] 图片；图象；映像"
worthy,"suf. [构成形容词]表示：“值得…的”,“该…的”：praiseworthy,“适于…的”,“易于…的”：roadworthy"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
disturb,"vt. 扰乱, 妨碍, 使不安
[法] 滋扰, 扰乱"
experimental,"a. 实验的, 根据实验的
[医] 实验的"
seemingly,"adv. 看来似乎, 表面上看来"
rust,"n. 锈, 生锈, 衰退
vi. 生锈, 衰退
vt. 使生锈, 腐蚀"
whereas,"conj. 然而, 鉴于
[法] 考虑到, 鉴于, 就...而论"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
spite,"n. 恶意, 怨恨, 使人烦恼的事物
vt. 故意刁难, 欺侮"
confirm,"vt. 证实, 确定, 批准, 使巩固
[计] 确认"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
offend,"v. 犯罪, 冒犯, 违反, 进攻"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
[经] 违犯, 违反"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
[计] 传送"
sufficient,"a. 充分的, 足够的
[法] 充分的, 足够的"
coastal,"a. 海岸的, 沿海的, 沿岸的
[法] 海岸的, 沿海的"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
sheer,"a. 绝对的, 全然的, 纯粹的, 透明的, 峻峭的
vi. 偏转, 偏航
vt. 使急转向, 使偏航
adv. 完全, 全然, 峻峭
n. 偏航"
annoy,"vt. 使恼怒, 骚扰"
devote,"vt. 投入于, 献身"
hinder,"a. 后面的
v. 阻碍, 打扰"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
insight,被看到
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
[法] 打翻, 倾覆, 覆盖"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
suitable,"a. 适当的, 相配的
[法] 合适的, 适宜的, 适当的"
pad,"n. 填补, 衬垫, 印色盒, 路
vt. 填补, 走, 夸大
vi. 步行
[计] 焊接点; 包装配/拆卸"
leadership,[网络] 领导力；领导才能；领导力专辑
slogan,"n. 呐喊声, 标语, 口号"
eliminate,"vt. 除去, 排除, 剔除, 消除"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
[计] 框架, 图文框, 帧"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
[计] 电缆"
fiction,"n. 小说, 虚构故事
[法] 虚构的事实, 捏造, 拟制"
miserable,a. 悲惨的；痛苦的；卑鄙的
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
uneasy,"a. 心神不安的, 不自在的, 不稳定的, 不舒服的"
colleague,"n. 同事, 同僚"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
[计] 图库"
suburb,"n. 市郊住宅区, 郊区, 边缘"
amuse,"vt. 消遣, 娱乐, 使发笑"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
[医] 干扰, 干涉, 阻碍, 碰腿(马)"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
[计] 折叠"
normally,"adv. 正规地, 合规则, 正常地"
immense,"a. 极广大的, 无边的, 非常好的"
complaint,"n. 诉苦, 抱怨, 控诉
[医] 陈诉; 病"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
[计] 反差; 对比度"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
[医] 致命的, 致死的"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
toll,"n. 通行费, 代价, 钟声
vt. 征收, 敲钟, 鸣钟, 勾引, 引诱
vi. 征税, 鸣钟"
settle,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
diplomat,"n. 外交官, 有外交手腕的人
[法] 外交家, 外交官, 有权谋的人"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
handful,"n. 少数, 一把, 棘手事"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
[计] 扇面; 扇区; 段; 区段"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
[计] 请求"
statistic,"n. 统计量
a. 统计的, 统计学的"
thumb,"n. 拇指
vt. 以拇指拨弄, 笨拙地摆弄, 用拇指翻旧, 迅速翻阅, 作搭车手势"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
[医] 暴露, 露置"
gender,"n. 性
vt. 产生"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
[计] 代码"
cue,"n. 暗示；提示；信号；（戏剧的）提示
v. 给（某人）暗示（或提示）
[网络] 球杆；线索；凯迪拉克用户体验(Cadillac User Experience)"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
tragedy,"n. 悲剧, 惨案, 悲剧作品
[法] 惨事, 灾难, 不辛"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
era,"ERA
abbr.
earned run average
Economic Regulatory Administration (美国)经济管理局
Electrical Research Association (英国)电气研究协会
electron ring accelerator 【核子学】电子环加速器
Emergency Relief Administration (美国)紧急救济署
Equal Rights Amend-ment
era
['iərə; 'εərə]
n.
纪元
(标志新的重要历史阶段开端的) 重大事件(或重要日子)
(某一重大历史事件后的)年代；阶段
时代；历史时期
【地质学】代[亦见epoch, period, age]
近义词:
period
短语:
carpet-bag era
【美国历史】北方人到南方投机谋利时期(1861～1865年美国南北战争后重建时期，北方投机家只拎一只毯制旅行手提包到南方各州去投机，故称)
era of good feeling
ᰀ(1817～1825年门罗当美国总统的)善意的时代"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
[医] 被动的"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
breakthrough,"突围, 突破
[计] 断缺"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
illegal,"a. 违法的, 不合规定的
[经] 非法的, 犯规的"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
horizon,"n. 地平线, 眼界, (天)视地平"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
[计] (打)标记, 标识"
former,[网络] -前任的
steam,"n. 蒸汽, 精力
a. 蒸汽的
vi. 蒸发, 行驶, 发怒
vt. 蒸, 煮, 散发"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
[计] 提示符; DOS内部命令:设定DOS命令行的提示符"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
[法] 对证, 使对质, 比较"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
ongoing,"adj. 不间断的，进行的；前进的
n. 前进；行为，举止"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
transport,[网络] 运输
asset,"n. 资产, 有益的东西"
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
[计] 转出; 转储; 倾卸; 切断电源"
copyright,版权；复制权
intelligent,"a. 聪明的, 智能的, 了解的"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
saving,comb.form 表示“节约的”：energy-saving
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
[法] 讨论会, 专题讨论, 公共论坛"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
blend,"vt. 混合
n. 混合"
nasty,表示u201c感性u201d：hyponasty
feasible,"a. 能实行的, 可行的, 适宜的
[法] 可行的, 可执行的, 可完成的"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
literary,"a. 文学的, 文艺的, 精通文学的
[法] 文学的, 从事文学的, 从事写作的"
elect,"adj. 选出的；当选的；卓越的
n. 被选的人；特殊阶层；上帝的选民
vt. 选举；选择；推选
vi. 作出选择；进行选举"
disagree,"vi. 不一致, 不适宜
[法] 抵触, 不同意, 争执"
organ,"n. 风琴, 器官, 元件, 机构, 机关
[电] 风琴"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
[法] 有罪的, 犯罪的, 自觉有罪的"
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
sort,"n. 种类, 方式, 品质, 态度, 举止
vt. 分类, 排序, 挑选
vi. 交往, 协调
[计] 排序; DOS外部命令:从标准输入设备接收数据, 整个数据输入完后
对它以行为单位进行排序, 然后在标准输出设备上输出"
controversy,"n. 论争, 辩论, 论战, 争论
[法] 论战, 争论, 争吵"
shortage,"n. 不足, 缺乏
[化] 缺额"
distinct,"a. 清楚的, 显著的, 不同的"
enormous,"a. 巨大的, 庞大的"
enrol,"vt. 登记, 使加入
vi. 参军, 注册"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
evaluate,"vt. 评估, 评价, 赋值"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
appealing,"a. 有感染力的, 动人的, 恳求的"
evolution,[网络] 演化；网络发展
diplomatic,"a. 外交的, 老练的
[法] 外交的, 外交上的, 文献上的"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
curriculum,"n. 课程
[医] 课程, 学程"
excessive,"a. 过度的, 过多的, 极端的
[法] 过度的, 过分的, 额外的"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
[计] 系列"
