coda,"n.乐章结尾部,完结部,终结句"
prologue,n.序言
venue,"n.犯罪地点,审判地,集合地点,会议地点,比赛地点,管辖地"
opaque,"n.不透明物adj.不透明的,不传热的,迟钝的"
oblique,"adj.倾斜的,间接的,不坦率的,无诚意的"
pique,"n.不满,生气,愤怒vt.伤害...自尊心,使...生气"
baroque,"n.巴洛克时期艺术和建筑风格的,巴洛克式adj.巴洛克式的,结构复杂的,形式怪样的"
burlesque,"n.作戏,滑稽表演adj.滑稽的,可笑的"
grotesque,"adj.奇形怪状的,奇异n.奇形怪状的人(或物、图案等),奇异风格"
rue,"n.<古>懊悔,后悔,[植]芸香v.后悔,悲伤,懊悔"
misconstrue,"vt.误解,曲解"
ensue,"vi.跟着发生,继起vt.(基督教<<圣经>>用语)追求"
issue,"n.出版,发行,(报刊等)期、号,论点,问题,结果,(水,血等的)流出vi.发行,流出,造成...结果,进行辩护,传下vt.使流出,放出,发行(钞票等),发布(命令),出版(书等)发给 [律]子女,后嗣"
cleave,"v.劈,劈开,裂开vi.粘着,忠于,坚持"
rave,v.咆哮
crave,"v.恳求,渴望"
peeve,"v.(使)气恼,(使)焦躁,(使)忿怒n.麻烦的事物,怨恨,触怒"
grieve,"v.(使)悲痛,(使)伤心,忧伤"
aggrieve,"vt.令委屈,令苦恼,侵害"
reprieve,"n.缓刑(尤指缓期执行死刑),缓刑令,(痛苦,烦恼等的)暂缓vt.暂减,缓期执行"
retrieve,v.重新得到n.找回
naive,adj.天真的
conducive,n.有益于
hive,"n.蜂房,蜂箱,闹市v.(使)入蜂箱,群居"
connive,"vi.默许,纵容,暗中合作,密谋策划"
rive,"vt.撕开,劈开,使沮丧vi.裂开,破裂"
cohesive,adj.粘着的
compulsive,"adj.强制的,强迫的,由强迫产生的,禁不住的"
expansive,"adj.易膨胀的,易扩张的,广阔的,豪爽的,豪华的"
apprehensive,adj.有理解力的
pensive,adj.沉思的
responsive,"adj.响应的,作出响应的"
corrosive,"adj.腐蚀的,蚀坏的,腐蚀性的n.腐蚀物,腐蚀剂"
discursive,"adj.散漫的,不得要领的"
excursive,"adj.离题的,散漫的"
impassive,adj.冷漠的
recessive,"adj.退行的,逆行的,[遗]隐性的n.隐性性状"
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
submissive,adj.顺从的
effusive,"adj.感情横溢的,流出的"
inconclusive,adj.非决定的
obtrusive,"adj.强迫人的,突出的,鲁莽的,令人厌恶的,过分炫耀的"
prerogative,n.特权
lucrative,adj.有利的
imperative,"n.命令,诫命,需要,规则,祈使语气adj.命令的,强制的,紧急的,必要的,势在必行的,[语法]祈使的"
pejorative,"adj.变坏的,轻蔑的n.轻蔑语"
restorative,adj.有助于复元的n.滋补剂
figurative,"adj.比喻的,修饰丰富的,形容多的"
tentative,"n.试验,假设adj.试验性的,试探的,尝试的,暂定的"
hortative,"adj.劝告的,鼓励的,忠告的,奖励的"
putative,"adj.推定的,假定的,被公认的"
derivative,"adj.引出的,系出的n.派生的事物,派生词"
innovative,"adj.创新的,革新(主义)的"
conservative,"adj.保守的,守旧的n.保守派"
retroactive,"adj.反动的,追溯的,有追溯力的,从以往某天开始生效"
retrospective,adj.回顾的
invective,"n.恶言漫骂adj.漫骂的,非难的,恶言的"
vindictive,adj.报复性的
distinctive,"adj.与众不同的,有特色的"
disjunctive,adj.分离性的
counterproductive,"adj.反生产的,使达不到预期目标的"
prohibitive,"adj.禁止的,抑制的"
primitive,"adj.原始的,远古的,粗糙的,简单的"
acquisitive,"adj.想获得的,有获得可能性的,可学到的"
inquisitive,adj.好奇的
intuitive,adj.直觉的
substantive,"adj.独立存在的,真实的,有实质的,大量的,巨额的n.[语]实词,名词,独立存在的实体"
incentive,n.动机adj.激励的
retentive,adj.保持的
plaintive,"adj.悲哀的,哀伤的"
perceptive,adj.有理解的
assertive,"adj.断定的,过分自信的"
furtive,"adj.偷偷摸摸的,鬼鬼祟祟的,秘密的,私下的,隐密的"
restive,adj.难控制的
diminutive,"adj.小的,指小的,小型的n.小的人,指小辞,指小词,爱称"
revive,"v.(使)苏醒,(使)复兴,(使)复活,(使)再生效,回想"
salve,n.药膏v.涂油膏
delve,v.钻研
absolve,v.宣布免除
dissolve,"v.溶解,解散"
behoove,n.适宜
groove,"n.(唱片等的) 凹槽,惯例,最佳状态vt.开槽于"
reprove,v.责备
disprove,"v.反驳,驳斥,证明...为误"
nerve,"n.神经,胆量,勇气,叶脉vt.鼓起勇气"
verve,"n.气魄,神韵,活力,热情"
swerve,v.突然转向n.转向
awe,n.敬畏vt.敬畏
faze,"vt.打扰,折磨,使狼狈,使担忧n.混乱,狼狈,忧虑"
glaze,"v.装玻璃,上釉,使表面光滑n.釉料,釉面,光滑面,上釉,上光"
raze,v.夷为平地
ostracize,"vt.(古希腊)贝壳放逐法,放逐,排斥"
aggrandize,"vt.增加,夸大"
eulogize,"vt.称赞,颂扬"
demoralize,v.士气受挫
neutralize,v.压制
tantalize,"vt.逗弄,使干着急"
fertilize,"vt.施肥,使丰饶,使受精,使肥沃,使多产"
monopolize,"vt.独占,垄断"
minimize,vt.将...减到最少v.最小化
victimize,v.牺牲
epitomize,"vt.摘要,概括,成为...缩影"
galvanize,"v.通电流于,电镀"
homogenize,vi.均质化vt.使均匀
scrutinize, 细察
agonize,"vt.使极度痛苦,折磨vi.感到极度痛苦"
antagonize,"vt.敌对,对抗"
lionize,"vt.把...奉为名人,游览...名胜vi.游览名胜"
canonize,"vt.封...死者为圣徒,使加入圣徒之列,褒扬,推崇"
patronize,v.资助
plagiarize,"v.剽窃,抄袭"
polarize,"v.(使)偏振,(使)极化,(使)两极分化"
particularize,"v.详细说明,列举,大书特书"
pulverize,v.研磨成粉
satirize,v.讽刺性描写
valorize,"vt.规定价格,稳定物价"
vaporize,v.(使)蒸发
temporize,v.见风驶舵
extemporize,"v.即席演说,即兴演奏,当场作成"
idolatrize,"v.奉为偶像,盲目崇拜"
stigmatize,"vt.打烙印,诬蔑"
proselytize,vt.使改宗vi.劝诱改宗
doze,"vi.瞌睡,假寐vt.打瞌睡度过n.瞌睡"
catalyze,"vt.催化,刺激,促进"
oaf,"n.[罕]呆子,畸形儿"
chaff,"n.谷壳,糠,愚弄v.戏弄,开玩笑"
quaff,"v.一口气喝干,大口地喝n.一饮而尽,痛饮"
miff,"n.发脾气,微怒,无谓的争吵vt.使恼怒vi.恼羞成怒"
tiff,"n.一口淡酒,小争吵,小口角,酒vi.小争吵,生气vt.饮"
stiff,"adj.硬的,僵直的,拘谨的,呆板的,艰难的,费劲的,僵硬的"
scoff,"n.嘲笑,嘲弄的话,嘲弄的对象,愚弄,笑柄,食品v.轻蔑地说,嘲笑,嘲弄,贪吃,狼吞虎咽"
doff,"vt.脱,废除,丢弃"
rebuff,n.回绝v.回绝
scuff,"vi.拖足而行,磨损vt.以足擦地,践踏,使磨损n.拖着脚走,磨损之处"
bluff,"n.断崖,绝壁,诈骗adj.绝壁的,直率的vt.vi诈骗,"
aloof,"adv.避开,远离adj.孤零的,冷淡的"
spoof,v.哄骗
reproof,"n.谴责,非难"
foolproof,"adj.十分简单的,十分安全的,极坚固的"
windbag,"n.风囊,饶舌之人"
gag,"n.塞口物,随口科白,打诨,箝口物,箝制言论,讨论终结vt.塞物于...的口中,禁止,使窒息,使呕吐,压制言论自由,插科打诨,欺骗vi.窒息,作呕,欺骗,插科打诨"
lag,"n.落后,囚犯,迟延,桶板,防护套adj.最后的vi.缓缓而行,滞后vt.落后于,押往监狱,加上外套"
flag,"n.旗,标记v.标记"
snag,n.障碍v.阻碍
wag,"vt.摇摆,摇动,饶舌vi.爱说笑打趣的人,摆动,喋喋不休n.摇摆,小丑"
bracing,"n.支撑,支柱,裤吊带adj.令人鼓舞的"
padding,n.填料
plodding,"adj.沉重缓慢的,单调乏味的"
abiding,v.容忍;adj.持久的
demanding,"adj.过分要求的,苛求的"
condescending,"adj.谦逊的,故意屈尊的,叫人欠情似的"
impending,n.迫近
heartrending,"adj.令人心碎的,伤心的,悲惨的"
astounding,adj.令人惊骇的
unflagging,
obliging,"adj.亲切的,有礼貌的,愿意帮人忙的"
bewitching,"adj.迷人的,使人着迷的"
dashing,"adj.活跃的,浮华的"
refreshing,"adj.提神的,凉爽的,使人喜欢的"
scathing,adj.严厉的
painstaking,"n.苦干,辛苦adj.辛苦的,辛勤的,艰苦的"
appealing,"adj.吸引人的,哀诉似的,恳求似的"
cling,"vi.粘紧,附着,紧贴,坚持(意见),墨守(习惯)"
piddling,"adj.不重要的,微不足道的"
grueling,"n.重罚,严惩"
trifling,adj.不重要的
fledgling,"n.羽毛初长的雏鸟,刚会飞的幼鸟,无经验的人,初出茅庐的人"
smuggling,v.走私
unavailing,adj.无效的
inkling,"n.暗示,略微的提示,略知,模糊概念"
compelling,"adj.强制的,强迫的,引人注目的"
telling,"adj.有效的,明显的,生动的"
sterling,"n.英国货币,标准纯银adj.英币的,纯银制的,纯正的"
sling,"n.投石器,弹弓,投掷,钩悬带,吊索v.投掷,用悬带吊卦"
dazzling,"adj.眼花缭乱的,耀眼的"
teeming,adj.丰富的
overweening,"adj.骄傲的,自负的,夸大了的"
cunning,"adj.狡猾的,巧妙的,<美>漂亮的,可爱的n.狡猾,诡诈"
overbearing,"adj.傲慢的,专横的"
sparing,"adj.节俭的,保守的"
sweltering,"adj.闷热的,中暑的,酷热的"
smattering,"n.略知,少数"
jarring,"adj.刺耳的,不和谐的,辗轧的n.震动,冲突,辗轧声"
hamstring,"n.腿筋,腿窝vt.切断腿筋使成跛腿,使残废"
imposing,"adj.使人难忘的,壮丽的"
prepossessing,adj.引人注意的v.灌输
self-defeating,
ingratiating,"adj.逢迎的,迷人的"
self-perpetuating,
exacting,"adj.苛求的,严格的,吃力的,需付出极大耐心"
fleeting,
riveting,
wanting,"adj.欠缺的,没有的,不够格的 prep.缺,无"
everlasting,"adj.永恒的,持久的,无止境的,耐用的"
arresting,"adj.引人注意的,可观的"
earsplitting,adj.震耳欲聋的
unremitting,adj.不懈的
unwitting,adj.不知情的
misbehaving,
misgiving," 疑惧,疑虑"
taxing,"adj.繁重的,费力的"
cloying,"adj.因过量而厌烦的,倒胃口的"
headlong,"adv.头向前地,轻率地"
prolong,"vt.延长,拖延"
throng,v.群集
unsung,"adj.未唱的,未在诗歌中歌颂过的,未赞颂的"
hangdog,"adj.鬼鬼祟祟的,卑躬屈膝的,低贱的n.(原义:像狗一样被吊死的人) 卑鄙(或卑贱)的人"
agog,"adj.兴奋的,热切的adv.热切地,渴望"
jog,"n.轻推,轻撞,漫步v.轻推,(使)蹒跚行进,(使)慢跑"
clog,"n.木底鞋,障碍v.障碍,阻塞"
humbug,n.欺骗v.欺骗
lug,v.拖拉n.接线片
smug,adj.自鸣得意的
shrug,n.耸肩v.耸肩
pariah,n.贱民(印度的最下阶级)
breach,"n.违背,破坏,破裂,裂口vt.打破,突破"
preach,v.鼓吹
stomach,"n.胃,胃口,胃部v.容忍"
poach,"vt.水煮(荷包蛋),把...踏成泥浆,侵入偷猎,窃取vi.偷猎"
broach,"vt.给...开口,钻孔,开始讨论,提出"
reproach,v.责备
detach,"vt.分开,分离,分遣,派遣(军队)"
beseech,"v.恳求,哀求"
squelch,v.压制
drench,v.湿透
retrench,"vt.紧缩,节约,减少,删除,给...筑围墙vi.紧缩,节省"
stench,"n.恶臭,臭气v.(使)发恶臭"
quench,"vt.结束,熄灭,淬火vi.熄灭,平息"
inch,n.英寸(=1/12英尺)
flinch,"vi.畏缩,退缩,畏首畏尾n.退缩,畏缩"
staunch,adj.坚定的
monarch,n.君主
parch,"vt.烤(干),烘(干)vi.烤干,焦干"
besmirch,vt.弄污
scorch,"v.烧焦,枯萎n.烧焦,焦痕,枯黄"
lurch,"n.突然倾斜,挫折,举步蹒跚,徘徊,困境vi.惨败,倾斜,徘徊vt.击败"
dispatch,"vt.分派,派遣n.派遣,急件"
etch,v.蚀刻
glitch,"<俚>[电]短时脉冲波形干扰,失灵,小故障"
stitch,"v.缝,缝合n.一针,针脚,缝针"
scotch,"n.苏格兰人,苏格兰语adj.苏格兰人的,苏格兰语的n.刻痕vt.镇压,粉碎,刻痕,使受伤"
notch,"n.槽口,凹口vt.刻凹痕,用刻痕计算,开槽,切口,得分n.<美语>山间小路,刻痕,峡谷"
crutch,"n.(跛子用的)拐杖,支撑,帮助vt.支撑"
slouch,v.懒散
retouch,v.润饰
vouch,"vt.担保,推荐,证明,断定,传出庭作证vi.保证,担保,证明,确定"
inveigh,"vi.猛烈抨击,痛骂,漫骂"
bash,"v.怒殴,打坏,<美俚>盛会,狂欢n.怒殴,猛击"
abash,"vt.使局促不安,使困窘"
slapdash,adj.匆促的
balderdash,"n.胡言乱语,梦呓"
rehash,vt.改头换面地重复n.旧调重弹的作品
lash,"n.鞭子,鞭打,睫毛,责骂,讽刺vt.鞭打,摆动,扎捆,冲击,煽动,讽刺vi.猛击,急速甩动"
mash,v.捣碎
rash,"adj.轻率的,匆忙的,卤莽的n.[医]皮疹"
brash,"adj.仓促的,无礼的,性急的,傲慢的n.胃灼热,骤雨,碎片"
quash,v.取消
awash,"adj.与水面齐平的,被浪冲打的"
mesh,"n.网孔,网丝,网眼,圈套,陷阱,[机]啮合vt.以网捕捉,啮合,编织vi.落网,相啮合"
snobbish,adj.势利的
outlandish,"adj.外国气派的,偏僻的,古怪的,奇异的"
brandish,vt.挥舞n.挥舞
prudish,"adj.装正经的,过分规矩的,"
raffish,"adj.名誉不好的,卑鄙的,艳俗的"
offish,adj.冷漠的
sluggish,adj.行动迟缓的
rakish,"adj.轻快的,俏皮的,潇洒的,放荡的"
puckish,"adj.淘气的,恶作剧的"
mawkish,adj.令人厌恶的
relish,n.意味
ticklish,"adj.易痒的,不稳定的,难对付的,忌讳的"
churlish,"adj.粗野的,脾气坏的,无礼的"
mulish,"adj.骡子似的,执拗的,顽固的"
squeamish,"adj.过于拘谨的,洁癖的,易呕吐的,神经质的"
blemish,"n.污点,缺点,瑕疵vt.弄脏,玷污,损害"
banish,"vt.流放,驱逐,消除"
replenish,v.补充
diminish,"v.(使)减少,(使)变小"
admonish,"vt.劝告,训诫,警告"
tarnish,v.失去光泽
varnish,"n.清漆,凡立水,光泽面,掩饰v.修饰"
burnish,"vt.磨光,擦亮(金属)"
clownish,adj.滑稽的
garish,"adj.炫耀的,过分装饰的,(色彩、装饰、打扮等)俗气的"
perish,"vi.毁灭,死亡,腐烂,枯萎vt.毁坏,使麻木"
boorish,"adj.农民的,乡土气的,粗野的,粗鄙的"
flourish,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期vt.挥动,夸耀n.茂盛,兴旺,华饰,繁荣"
nourish,"vt.滋养,使健壮,怀有(希望,仇恨等)"
coltish,"adj.轻佻的,不受拘束的,小马似的"
skittish,"adj.易激动的,轻佻的"
loutish,"adj.粗野的,无礼的"
languish,"vi.憔悴,凋萎,衰退,苦思"
extinguish,"vt.熄灭,消灭,压制,使黯然失色,偿清"
cliquish,adj.小集团的
vanquish,"vt.征服,击败,克服"
relinquish,v.放弃
lavish,"adj.非常大方的,过分丰富的,浪费的vt.浪费,滥用,慷慨给予"
ravish,v.强夺
dovish,"adj.鸽派的,稳健的"
harsh,"adj.粗糙的,荒芜的,苛刻的,刺耳的,刺目的"
gush,v.涌出
lush,"adj.青葱的,味美的,豪华的,繁荣的"
flush,"n.奔流,晕红,激动,萌芽,活力旺盛,发烧,一手同花的五张牌,惊鸟;adj.挥霍的,直接的,泛滥的;adv.齐平地,直接地;vi.(脸)发红,奔涌,充沛,惊飞;vt.淹没,冲洗,使脸红,使齐平,使惊飞,使激动"
plush,"n.长毛绒adj.长毛绒做的,豪华的,舒服的"
polymath,n.博学者
loath,"adj.不情愿的,勉强的"
zenith,"n.顶点,顶峰,天顶,最高点"
stealth,n.秘密行动
labyrinthine,"adj.迷宫(似)的,曲折的"
sloth,"n.怠惰,懒惰"
dearth,n.缺乏
mirth,"n.欢笑,高兴"
uncouth,"adj.笨拙的,粗俗的,不舒适的"
outgrowth,"n.长出,派出,结果,副产物"
alibi,"n.[律]犯罪现场,辩解,托辞"
illuminati,"n.(自称)有睿智的人,先觉者,光照派"
ennui,"n.倦怠,厌倦"
cloak,"n.斗蓬,宽大外衣,掩护vt.用外衣遮蔽,披斗篷"
soak,"v.浸,泡,浸透n.浸透"
hack,v.砍n.出租
slack,"n.松弛,静止,淡季,闲散,家常裤adj.松弛的,不流畅的,疏忽的,软弱的,漏水的,呆滞的,懒散的adv.马虎地,缓慢地vt.使松弛,使缓慢,马虎从事vi.松懈,减弱,松驰"
knack,n.诀窍
quack,"v.(指鸭)呷呷地叫,大声闲聊,吹嘘n.(鸭子)呷呷叫声,庸医,骗子adj.骗人"
bedeck,"vt.装饰,修饰,使美丽"
check,"n.阻止,制止,控制,阻止物,支票,检讫的记号,饭馆的帐单vt.检查,制止,核对,寄存,托运vi.证明无误,核对无误,逐项相符,[象棋]将军"
peck,"n.啄痕,许多,配克(容量单位,等于2加仑)vt.啄食,扔vi.啄,吹毛求疵,啄食,扔石头v.<口>吃一点点"
speck,n.斑点
nitpick,
goldbrick,"vi.称病,欺诈,偷懒n.假金砖,懒汉,赝品"
maverick,n.没打烙印的动物vi.闹独立的人
deadlock,"n.死锁,僵局"
flock,"n.羊群,(禽、畜等的)群,大量,众多v.聚结"
interlock,v.互锁
stock,"n.树干,库存,股票,股份,托盘,祖先,血统,原料adj.股票的,普通的,常备的,存货的,繁殖用的vt.装把手于,进货,备有,放牧vi.出新芽,采购"
buck,"n.<美口> 元,雄鹿,公羊,公兔v.(马等)突然一跃(将骑手摔下)"
pluck,"n.勇气v.拔去(鸡、鸭等)毛,采集"
sleek,adj.圆滑的
meek,"adj.温顺的,谦恭的,(河流等)和缓的,驯服的"
balk,"n.障碍,梁木v.妨碍,(马)不肯前进"
milk,"n.乳,牛奶v.挤(奶)"
sulk,"n.生气,愠怒,愠怒的人v.生气,愠怒"
dank,"adj.透水的,潮湿的,阴湿寒冷的"
lank,"adj.瘦的,(树等)细长的,(草等)稀疏的,(头发)平直的"
shrink,"v.收缩,(使)皱缩,缩短"
hoodwink,"vt.遮眼,欺骗,蒙蔽"
debunk,"vt.揭穿,拆穿假面具,暴露"
brook,n.小溪vt.容忍
crook,"n.钩状物,(河、道的)弯处,<美口>骗子vt.使弯曲,诈骗vi.弯曲"
debark,"vt.使登陆,卸载,使下船vi.登陆"
embark,"v.上船,上飞机,着手,从事,装于船上,登上"
hallmark,n.特点
irk,"vt.使厌倦,使苦恼"
shirk,"vi.逃避,推卸vt.逃避"
smirk,v.傻笑n.假笑
patchwork,"n.拼缝物,拼缀物,拼凑物"
lurk,"n.潜伏,埋伏vi.潜藏,潜伏,埋伏"
brisk,"adj.敏锐的,凛冽的,轻快的,活泼的vt.使活泼vi.活跃起来"
husk,"n.(果类或谷物的)外壳(通常用复数),皮,无价值之物vt.剥...的壳,削皮"
methodical,"adj.有方法的,有系统的"
periodical,"adj.周期的,定期的n.期刊,杂志"
pedagogical,"adj.教育学的,教学法的"
pathological,"adj.病理的,病态的"
hierarchical,
inimical,adj.敌意的
ecumenical,"adj.一般的,普通的"
empirical,"adj.完全根据经验的,经验主义的,[化]实验式"
categorical,"adj.无条件的,绝对的,直接了当的(陈述、理论等)"
rhetorical,adj.带修辞色彩的
theatrical,adj.戏剧性的
asymmetrical,"adj.不均匀的,不对称的"
whimsical,"adj.反复无常的,古怪的"
commonsensical,
metaphysical,"adj.形而上学的,纯粹哲学的,超自然的"
antithetical,"adj.正相反的,对立的"
heretical,"adj.异教的,异端的"
hypocritical,"adj.伪善的,伪善者的"
elliptical,"adj.椭圆的,省略的"
nautical,"adj.船员的,船舶的,海上的,航海的,海军的"
univocal,"adj.单一意思的,意义明确的"
soft-pedal,
conceal,"vt.隐藏,隐蔽,隐瞒v.隐蔽"
ordeal,"n.严酷的考验,痛苦的经验,折磨"
congeal,"v.(使)冻结,(使)凝结"
repeal,"v.废止,撤销,否定,放弃,废除n.废除,撤销"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
ethereal,"adj.轻的,天上的,象空气的"
corporeal,"adj.肉体的,物质的,有形的"
zeal,"n.热心,热情,热诚"
prodigal,adj.浪费的n.浪子
frugal,"adj.节俭的,朴素的"
apocryphal,"adj.伪经的,假冒的"
lethal,adj.致命的n.致死因子
glacial,"adj.冰的,冰状的,冰河的,冰河时代的,冰冷的"
superficial,"adj.表面的,肤浅的,浅薄的"
provincial,adj.省的
crucial,adj.至关紧要的
cordial,"n.兴奋剂,兴奋性饮料adj.热忱的,诚恳的,兴奋的"
primordial,adj.原始的
parochial,"adj.教区的,地方范围的,狭小的"
genial,adj.亲切的
congenial,"adj.性格相似的,适意的"
menial,adj.仆人的n.仆人
venial,adj.可宽恕的
imperial,adj.皇帝的
immaterial,adj.非实质的
immemorial,"adj.古老的,远古的,无法追忆的"
sartorial,"adj.裁缝的,缝纫的,[解]缝匠肌的"
mercurial,"adj.墨丘利神的,水星的,雄辩机智的,活泼善变的,水银的n.水银剂,汞剂"
ambrosial,"adj.芬香的,特别美味的"
palatial,adj.富丽堂皇的
substantial,"adj.坚固的,实质的,真实的,充实的"
providential,adj.幸运的
torrential,adj.奔流的
inconsequential,
partial,"adj.部分的,局部的,偏袒的,偏爱的n.泛音"
trivial,"adj.琐细的,价值不高的,微不足道的"
jovial,"adj.快活的,高兴的,愉快的,[宗](主神)朱庇特的"
abysmal,"adj.深不可测的,无底的"
cataclysmal,"adj.洪水的,大变动的"
banal,"adj.平凡的,陈腐的,老一套的"
phenomenal,"adj.显著的,现象的,能知觉的"
venal,adj.贪污的
signal,"n.信号adj.信号的v.发信号,用信号通知"
cardinal,"n.枢机主教,红衣主教adj.主要的,最重要的"
original,"adj.最初的,原始的,独创的,新颖的n.原物,原作"
marginal,"adj.记在页边的,边缘的,边际的"
seminal,"adj.种子的,精液的,生殖的"
subliminal,"adj.下意识的,潜在意识的"
nominal,"adj.名义上的,有名无实的,名字的,[语]名词性的n.名词性词"
provisional,adj.临时的
rational,"adj.理性的,合理的,推理的n.[数]有理数"
conditional,"adj.有条件的,引起条件反应的"
exceptional,"adj.例外的,异常的"
carnal,"adj.肉体的,肉欲的,性欲的,色欲的,淫荡的"
eternal,"adj.永恒的,永远的,不灭的,没完没了的"
diurnal,"adj.每日的,一日间的,白天的n.日报,日刊"
nocturnal,"adj.夜的,夜曲的"
shoal,"n.浅滩,沙洲,鱼群,大量adj.水浅的v.(使)变浅,驶入(浅水等),(鱼等)群集"
liberal,"n.自由主义者,(尤指英国、加拿大等国的)adj.慷慨的,不拘泥的,宽大的,自由主义的"
principal,"n.负责人,首长,校长,主犯,本金adj.主要的,首要的"
feral,"adj.野生的,未驯服的,凶猛的,野兽的"
peripheral,adj.外围的n.外围设备
ephemeral,"adj.朝生暮死的,短暂的,短命的"
integral,"adj.完整的,整体的,[数学] 积分的,构成整体所需要的n.[数学] 积分,完整,部分"
sepulchral,"adj.坟墓的,埋葬的"
temporal,"adj.时间的,当时的,暂时的,现世的,世俗的,[解]颞的n.世间万物,教会财产"
preternatural,adj.超自然的
rehearsal,"n.排演,演习,预演,试演"
colossal,"adj.巨大的,庞大的"
accidental,"adj.意外的,非主要的,附属的n.非本质属性,次要方面"
pivotal,"adj.枢轴的,关键的"
distal,adj.末梢的
residual,"adj.剩余的,残留的"
perpetual,adj.永久的
coeval,adj.同时代的n.同时代的人
avowal,n.声明
peel,"v.剥,削,剥落"
reel,"n.(棉纱,电线等的)卷轴,(磁带等的)一盘,旋转,蹒跚vt.卷...于轴上,使旋转vi.蹒跚地走,旋转,眩晕,骚乱,退缩,摇晃"
genteel,adj.上流社会的
yokel,"n.庄稼汉,乡下人"
enamel,"n.珐琅,瓷釉,指甲油vt.涂以瓷釉,彩饰"
channel,"n.海峡,水道,沟,路线vt.引导,开导,形成河道 信道,频道"
repel,"vt.击退,抵制,使厌恶,使不愉快"
mongrel,"n.<贬>杂种(指人),杂种狗,混血儿adj.杂种的,混血儿的"
wastrel,n.废物
sequel,n.结局
ravel,"vt.使纠缠,使混乱,解开,弄清vi.散开,解决n.错综复杂的一团"
revel,v.狂欢n.狂欢
drivel,"vi.淌口水,说傻话vt.胡说n.流口水,胡言乱语,糊涂话"
novel,"n.小说,长篇故事adj.新奇的,新颖的,异常的"
grovel,"vi.趴,匍匐,卑躬屈膝,五体投地的"
marvel,"n.奇迹v.大为惊异,觉得惊奇"
blackmail,"n.勒索,勒索所得之款vt.勒索"
rail,"n.横杆,围栏,扶手,铁轨vt.以横木围栏,铺铁轨vi.责骂,抱怨"
frail,"adj.虚弱的,脆弱的,(意志)薄弱的n.<美俚>少女,少妇,灯心草篓"
assail,"vt.攻击,质问"
entail,"vt.使必需,使蒙受,使承担,遗传给n.[建]限定继承权"
curtail,"vt.缩减,减少(经费等),剥夺(某人的)特权(或官衔等),简略"
quail,v.感到恐惧
travail,n.辛苦
countervail,"vt.补偿,抵销vi.抵销"
nil,
recoil,"n.畏缩,后退,弹回,反作用,后座力vi.退却,畏缩,弹回,撤退,反冲"
foil,"n.箔,金属薄片,[建]叶形片,烘托,衬托vt.衬托,阻止,挡开,挫败,贴箔于"
turmoil,"n.骚动,混乱"
roil,"vt.煽动,激怒"
cavil,"vi.挑剔,找错"
daredevil,"n.铤而走险的人,蛮勇的人adj.蛮勇的,不怕死的"
windfall,"n.被风吹落的果子(尤指苹果),横财"
pitfall,n.缺陷
gall,"n.胆汁,恶毒,怨恨,五倍子,苦味,磨伤(尤指马的),肿痛,恼怒vt.磨伤,烦恼,屈辱vi.被磨伤"
pall,"n.棺罩,幕,遮盖物vi.走味vt.覆盖,使平淡无味,使生厌,感到腻烦"
appall,"vt.使胆寒,使惊骇"
enthrall,"vt.迷惑,迷住,奴役"
forestall,"vt.之前,先...(用先发制人的方法)预防,阻止,囤积居奇,行动,用先发制人的方法预防,,垄断,阻碍"
squall,"n.暴风,暴风雪,嚎啕vi.狂风吹袭,嚎啕,哇哇地叫嚷vt.尖声叫着"
stonewall,"vi.慎重的打球,妨碍,阻碍"
quell,v.镇压
thrill,v.发抖
distill,"vt.蒸馏,提取vi.滴下"
instill,vt.慢慢地灌输
loll,v.懒洋洋地倚靠
gull,"n.[动] 鸥,易受骗之人,笨人vt.欺诈,骗,使上当"
lull,"n.暂停,麻痹vt.使平静,哄骗,使安静vi.变平静"
idyll,"n.田园诗,牧歌"
gambol,"n.欢跳,雀跃,嬉戏vi.欢跳,雀跃,耍闹"
protocol,"n.草案,协议"
extol,v.赞美
snarl,"vi.缠结,混乱,吠,咆哮,怒骂vt.使缠结,搞乱,咆哮着说n.咆哮,吼叫,怒骂,缠结,混乱"
caterwaul,"n.猫叫春声,刺耳的尖叫声vi.叫春,发尖叫声,(象猫一样地)吵架"
resourceful,"adj.资源丰富的,足智多谋的"
baleful,"adj.有害的,恶意的"
fateful,"adj.宿命的,重大的,决定性的,致命性的,预言性的"
fanciful,"adj.爱空想的,奇怪的,稀奇的,想像的"
willful,"adj.任性的,故意的"
mournful,adj.悲哀的
fretful,"adj.烦燥的,起波纹的,焦躁的"
fitful,"adj.断断续续的,一阵阵的,间歇的,不定的,不规则的"
wistful,"adj.渴望的,想望的"
playful,"adj.好玩的,嬉戏的,十分有趣的,顽皮的"
annul,"v.废除,取消,废止"
scrawl,"vt.乱涂,潦草地写vi.乱写n.潦草的笔迹"
drawl,"v.懒洋洋地说,做作而慢慢地说n.懒洋洋的说话态度"
sprawl,"n.四肢伸开的躺卧姿势,蔓生v.四肢伸开地坐(或卧),爬行,蔓生,蔓延"
