a case in point,恰当的例子
in kind,a. 以货贷款；以实物（援助）；非现金的
in line with,符合
in no case,决不
in no time,立刻
in no way,决不
in one's honor,无
in one's presence,无
in other words,换句话说
in particular,特别
in place of,"代替
[法] 代替"
in private,n. 隐私模式（IE8的一种模式）
in proportion to,与...成比例
in reality,"实际上, 事实上"
in relation to,"关于, 涉及"
in return,作为报答
in ruins,成为一片废墟
in search of,寻找
in secret,秘密地
in short,"简而言之
[法] 简言之"
in so far as,"在...的限度内, 在...的范围内, 到如此程度"
in spite of,不管
in store,"贮藏着, 保存着, 准备着, 将要发生
[经] 存仓"
in summary,总之
in terms of,"用...的话, 根据, 按照, 在...方面
[法] 用...话, 以...措词, 按照"
in the event of,"如果...发生
[法] 如果...发生"
in the event that,如果;在…情况下
in the face of,面对
in the first instance,"首先, 起初
[法] 起初, 首先, 在初审时"
in the habit of,"有…的习惯,习惯于…"
in the hands of,"在某人手中,被某人控制,由某人负责"
in the interest of sb.,"na. 为了…的利益
[网络] 对……有利；为了……利益；符合……的利益"
in the interest of sth.,"na. 为了…的利益
[网络] 对……有利；为了……利益；符合……的利益"
in the interests of sb.,为了，为了…的利益；符合…的利益
in the interests of sth.,为了，为了…的利益；符合…的利益
in light of,"按照, 根据"
in the light of,"由于, 当作
[法] 根据, 按照"
in the long run,"长远, 最后"
in the neighbourhood of,[口语]在…附近；[俗语]大概，大约
in the red,"[经] 赤字, 亏损"
in the same boat,处境相同
in the wake of,"尾随, 紧跟, 仿效"
in tune,"na. 合调；和谐；“in/out of tune”的变体
[网络] 协调；合调子；一致"
in tune with,和…合调
in turn,"na. 挨次
[网络] 依次；轮流；反过来"
in vain,"na. 无益地；轻忽地
[网络] 徒然；徒劳；白白地"
in view of,"考虑到, 由于
[法] 鉴于"
inform sb. of sth.,"v. 通知关于
[网络] 告诉；将…告知；报告"
inform sb. about sth.,将…告知(某人)
inquire about,"询问,了解,打听"
inquire into,调查...
insist on,"坚持, 坚决要求"
insist upon,"坚持(做)..., 坚决要求(做)..."
instead of,"na. 对某人很有用
[网络] 代替；替代；而不是"
integrate into,与…成为一体
integrate with,使与...结合
interfere with sb.,"干涉,干扰,妨碍"
invest in,"投资于, 买进"
isolate from,使与…隔离；使与…分离；使孤立
jump the queue,"插队, 获得优惠待遇"
jump a queue,无
just about,"几乎, 正是"
keep an eye on,"照看, 密切注视"
keep down,"na. 压住；压服；【印】用小活字排印；缩减
[网络] 控制；镇压；控制，压制，镇压"
keep from,"na. 避开；禁止；抑制；隐瞒
[网络] 阻止；使免于；使…不"
keep in touch with,与...保持联络
keep one's fingers crossed,希望走好运〔成功〕
keep pace," 并列：与其他人并驾齐驱, 如在比赛中"
keep pace with,"并驾齐驱, 齐头并进"
keep pace with,"并驾齐驱, 齐头并进"
keep up,"na. 维持；保持；持续；停歇
[网络] 继续；坚持；继续下去"
kick about, <口>谈论; <口>存在; 漫不经心地踢; 漫不经心地游荡
kick around,"na. 仗势欺人；到处流浪；经常改变行业；从各个角度考虑[调查,讨论等]
[网络] 多考虑一下；虐待；粗暴对待"
kick off,"n. 开球, 开始, 肇始"
kick out,"na. 踢出；解雇；踢足球出界
[网络] 逐出；把球踢出界；开除"
kick up,"na. 踢起(灰尘)；引起(骚动)
[网络] 踢角；翻罐笼"
kind of,"na. 有点儿；有几分
[网络] 单位属性；用法小释"
knock about,"n. 武打戏的表演[演员]；结实的东西；狠斗；流浪汉
adj. 吵闹的；〈口〉流浪的；(衣服)结实的
[网络] 碰撞；漫游；闲逛"
knock around,"漫游; 四处走动; 殴打; 在肉体〔精神〕上虐待; 接连打击, 毁坏; 活着; 放着无人理睬"
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
[网络] 撞倒；击倒；击落"
knock off,"na. 敲落；中止(工作)；即席作(诗文等)；减低(价格)
[网络] 下班；停工；打落"
knock out,"n. (拳击)击倒对方, 被击倒, 击倒, (非正式)令人倾慕的人/物, 轰动的事物
a. 击倒的, 引人注目的, 轰动的, 使昏迷的"
know backward,"对…了如指掌, 熟知…"
know backwards,熟知; 精通
know better,"很懂得,很明白"
know better than,不至于蠢到…
later on,稍后
launch into,"开始,着手,投入;大谈特谈,侈谈,大发"
launch in,无
lay aside,"na. 保存；放在一边；丢弃；留着
[网络] 储蓄；搁置；把…放在一边"
lay down,"v. 躺下；不反抗；屈服；顺从
[网络] 放下；制定；规定"
lay great emphasis on,无
lay off,"n. 解雇, (临时)解雇期, 关闭, 停歇
[经] 临时解雇, 停止工作, 休息"
lay over,"n. 中途的短暂停留
[网络] 旅行中的短停留；转机停留；中途停留"
learn about,"学习,听说,得悉,了解"
least of all,最不
leave alone,"让独自呆着, 不打扰"
leave to one's own devices,[网络] 听任…自便；让…自行发展；让某人自已去想办法
leave off,"停止, 不再穿"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
[网络] 省去；省略；不考虑"
let alone,"na. 任随；更不用说；放任；莫说…(连)
[网络] 更别提；更不必说；不管"
let go of," 释放, 放开"
let slide,"na. 不关心
[网络] 对…漫不经心；放过；放任自流"
level off,"平整, 变平, 稳定"
lie in,"在于..., 分娩, 睡懒觉"
log in,"[计] 请求联机, 联通, 注册, 进入系统, 登记, 记入"
log out,"[计] 退网, 注销, 退网程序"
long for,渴望
look back,"na. 回顾；回头看；追想 (to；upon)；(对事业等)不起劲
[网络] 回环；同本义；追忆"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look over,"na. 浏览；检查；察看
[网络] 查看；翻阅；调查"
lose contact with,与...失去联系
lose heart,丧失勇气
lose one's temper,发脾气
major in,"主修, 专攻"
make a difference,"有区别,有很大关系"
make a fool of,"使…成为笑柄,愚弄,欺骗"
make a thing of,"认为…不得了,对…小题大作"
make a thing out of,对 ... 小题大做
make a top priority,无
make an example of,"惩罚,罚一儆百"
make for,"走向, 有利于, 倾向于"
make history,做出永垂史册的事情
make no bones about,"对...毫不犹豫
[法] 不加挑剔, 毫无顾忌"
make off,离开
make one's hair stand on end,[网络] 令人毛骨悚然；恐惧；使人害怕
make out,"书写, 填写, 拼凑, 说明, 理解, 辨认出, 设法应付, 进展
[法] 开出, 写出, 看出"
make sense,有意义
make sure,确定
make the best of,充分利用
make the grade,"成功, 爬上陡坡"
make up,"弥补, 赔偿, 配制, 包装, 编辑, 虚构, 缝制, 组成, 和解, 结算, 整理, 化装
[经] 弥补, 赔偿, 内部运装"
make up for,"补偿,弥补"
make use of,使用
many a,n. (Manya)人名；(法)马尼亚
map out,"na. 规划
[网络] 制定出；筹划；安排"
mess up,"na. 搞砸；弄糟；弄脏；弄乱
[网络] 搞糟；陷入困境；把…弄糟"
mess with,"胡乱摆弄,糟蹋,与…厮混;和…一道用膳"
might as well,"还是...的好, 不妨"
mind your own business,st. 自管自吧.
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
[网络] 混合；搞糊涂；混合在一起"
mix with,和...混合
more often than not,"多半, 通常"
move around, 走来走去
move off,"离开, 死, 畅销"
move on,"na. 继续前进；不停地向前走；〔交通警察命令〕向前!
[网络] 慕风；继续前进协会；木木"
move out,"na. 搬走；【军事】开始行动
[网络] 迁出；撤展期；退场撤离时间"
much as,[网络] 虽然；多达；非常像
neither ... nor,[网络] 既不……也不；两者都不；均不
no doubt,"na. 无疑地；〈口〉很可能
[网络] 毫无疑问；必定；不要怀疑合唱团"
no matter,"无论, 没关系"
none other than,"不是别人而正是..., 不是他物而正是..."
not in the least,"绝对不, 一点也不"
not to mention,不必提及
not until,直到...才...
now that,"既然..., 由于..."
nowhere near,离...很近
object to sb.,"反对,不赞成"
object to sth.,"反对,不赞成"
occur to,…发生在; 被想起〔到〕
odds and ends,na. 零星杂品
of a kind,"同一类的, 蹩脚的"
of late,最近
of necessity,必然地
of no account,不重要的
off balance,"un. 偿清债务；趔趄
[网络] 失去平衡的；失去平衡；不平衡"
on account of,由于
on a dime,在很小的范围内;立刻
on approval,"商品供试用的, 包退包换的
[经] (商品)供试用, 包退包换"
on average, 平均起来
on the average, 平均而言; 一般来说;  通常; 平均来讲
on behalf of,"代表...
[经] 代表"
in behalf of,"代表,为了…"
on board,"在船/车/飞机上, 在公共交通车辆上
[经] 已装船"
on business,因公
on campus,"na. 在校内
[网络] 住在校内；对校园；校内居住"
on condition,[电子] 接通条件
on condition that,"若是…, 以…为条件"
on demand,comb.form 表示“一经用户要求即刻提供的电信服务”[参较 fax-on-demand]
on end,竖着(通常与动词stand连用)
on grounds of,"以...为理由, 以...为借口, 根据..."
on the grounds of, 以…为理由，根据
on loan,"na. 出借
[网络] 借调；租借"
on occasion,有时
on occasions,"间或, 有时"
on one's behalf,"为…的利益,代表"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
[网络] 单独；靠自己；靠自己的力量"
on schedule,adv. 按时；按照预定时间
on the contrary,"正相反
[法] 正相反, 相反地"
on the fence,"抱观望态度, 保持中立"
on the hour,准点地
on the quiet,"秘密地
[法] 秘密地, 私下地"
on the shelf,"被搁置的, 束之高阁, 被废弃的, 推迟执行, 被辞退的, 无结婚希望, 死了的"
on the spot,"当场, 立即, 在危险中, 处境尴尬
[经] 在现场, 当场, 立即"
on the spur of the moment, 凭一时冲动; 日不移晷
on thin ice,如履薄冰
only if,只要...就
open up,"展开, 给...开刀, 打开, 开发, 开办, 展示, 开始
[法] 吐露真情"
or else,否则
or so,"un. 与其说…不如说…；大约
[网络] 职业退休计划(Occupational Retirement Scheme Ordinance)；职业退休计划保障；公积金"
or something,或是什么的
originate from,发源于
other than,(人、物等)不同于…
out of joint,"脱节的, 脱臼的, 混乱的, 不协调的, 心情不好的"
out of step,adj. 失步的(不同步的；不合拍的)
out of style,na. 没有样子；“in/out of style”的变体
out of the blue,"un. 难得到的；突然；突如其来；出人意料
[网络] 突然的"
out of the way,"不挡道, 不恰当, 异常, 偏僻
[法] 把...移开, 把...除掉"
out of tune,"na. 不合调；失调；“in/out of tune”的变体
[网络] 走音"
owe to,"v. 由于；把…归功于
[网络] 应该把…归功于；欠；因为"
owing to,"由于..., 因为..."
pack in,"na. 停止
[网络] 包装单位；包的最大数量"
pack off,"na. “pack away”的变体
[网络] 把…打发走；解雇；送走"
pack up,"na. 把…打成包；打包；收拾行李；解雇
[网络] 把…打包；打理行装；停止工作"
pair off,"na. 使分成[摆成]一对一对；两个成一组
[网络] 成对而去；分成一对一对；成双配对"
parcel out,"na. 分派
[网络] 分配；把……分成若干部分；分送"
participate in,"参加, 参与, 分享"
pass off,"na. 拿(假货)卖给 (on somebody)；混过去；结束；顺利完成
[网络] 停止；终止；消失"
patch up,adj. 暂时的；将就的；凑合的; 复原的，恢复的；医治的；补救的
pay off,"n. 发工资, 分赃, 贿赂, 盈利, 报酬, 报应, 结果, 高潮, 决定因素
a. 决定性的, 产生结果的, 支付的"
persist in,"坚持, 固执于"
persist in sth.,"坚持, 固执于"
persist in doing sth.,无
pick out,"na. 挑选；掘出；闻出；领会
[网络] 挑出；选出；选出，挑出，拣出"
pick up,"n. 拾起, 加速, 刺激, 猎物的收集, 好转, 恢复健康, 搭车者, 兴奋剂, 电视摄像
[电] 拾音器"
pitch in,"na. 热情参加
[网络] 直接切击入洞；间接切击进洞；大吃会"
plug in,"a. 插入式的, 带插头接点的, 组合式的
[计] 插入, 可拆卸的"
point out,"na. 指出
[网络] 指明；说明；指示"
polish off,"na. “polish away”的变体
[网络] 草草做完；狼 吞 虎 咽；完成"
portion out,"un. 分配:
[网络] 分成若干份"
pour out,"v. 倾吐；诉说
[网络] 涌出；倾诉；倾倒"
prevail on,"说服, 诱使"
prevail upon,"说服,劝说好"
prevail over,胜过
prevent from,"vt. 阻止, 制止"
previous to,"在...前, 在...先, 在...以前"
prior to,"在前, 居先
[经] 在...之前"
profit by,从…中得到好处.得益于…
profit from,得益于
provide for,"v. 为…作准备
[网络] 为…提供；供养；赡养"
pull apart,"na. 扯断(索子等)；劝开(吵闹)
[网络] 拉开；撕开；分开"
pull out,"n. 拔，拉；(尤指)撤离，离去，撤退；书刊中折着的供参阅用的大张插页，折页；书刊中可取出的附录(或附样)
adj. 可拉出的"
pull over,"n. 套衫
a. 套穿的"
pull through,"(使)渡过难关, (使)恢复健康"
pull together,齐心协力
pull up,"v. 拔起；使…停下
[网络] 停车；上拉；阻止"
push into,"推进,推动(做某事)"
put ... aside,"na. “set aside”的变体
[网络] 储蓄；撇开；放在一边"
put away,"v. 把…收起来；储存
[网络] 放好；把……收起来；收好"
put into effect,"使生效, 执行...
[经] 执行, 使生效"
put off,"推迟, 拖延, 搪塞, 阻止, 脱掉, 扔掉, 使分心, 使厌恶, 出航
[经] 推迟"
put out,"放出, 伸出, 生产, 出版, 发布, 熄灭, 消除, 使困扰, 使脱臼, 把...杀出局, 出航
[化] 关; 停止"
put through,"na. 经受；测试；试验；使…通过
[网络] 接通；完成；把……接通"
put to death,"置...于死地, 杀死..., 处死..."
put up,"举起, 抬起, 进行, 推举, 参加竞选, 提供, 建造, 接待, 包装, 公布, 上演
[化] 搭架"
put up with,"忍受, 容忍
[法] 容忍"
puzzle out,"na. 解决(难题等)
[网络] 想出；设法想出；苦苦思索"
quite a number of,相当多的
rail at,"责骂,挑剔,抱怨"
rail against,"责骂,挑剔,抱怨"
range over,"包括,涉及;在…徘徊"
rather than,"na. 而不
[网络] 而不是；而非；宁愿"
react against,反抗
react on,[医] 反应单位
react upon,无
reaction against,无
reckon on,"指望, 依赖"
reckon with,"和...算帐, 认真对付"
refer to,"v. 查阅；提到
[网络] 参考；涉及；谈到"
regardless of,"不注意, 不关心"
rely on,"v. 依靠；信赖
[网络] 依赖；同本义；凭借"
rely upon, 信赖，依赖
remark on,"评论, 议论"
remark upon,"v. 评论；批评
[网络] 评论某事"
remind sb. of ...,"v. 提醒
[网络] 使记起；想起；使想起"
resistant to, [医]adj.有抵抗力的，耐药的
resolve into,[网络] 使分解为；归结为；还原成
resort to,"诉诸于, 采取
[法] 诉诸"
respond to ...,"答复,响应,对…作出反应"
result from,"由...产生
[法] 由于, 由...引起"
result in,"导致
[法] 产生, 导致"
rid sb. of sth.,"除去, 摆脱"
rise above,升到…之上; 超越…; 克服; 沾沾自喜
rob of,"v. 抢走
[网络] 抢劫；盗取；抢夺"
rope in, <非正>说服（某人）（参与某项活动）; 拉拢; 笼络
round the clock,"a. 全天的, 全天候的
[经] 连续不停的, 日夜24小时"
rule out,"na. 排除
[网络] 排除…的可能性；划去；拒绝考虑"
run down,"跑下, 用完, 停止, 逐渐恶化, 撞倒, 搜索到, 追溯, 贬低
[法] 停止, 诽谤, 搜捕"
run into,"跑进, 撞上, 遭遇, 陷入, 达到"
run out,"跑出, 离开, 流逝, 期满, 被用完, 被放出去, 伸向, 逐出
[法] 背弃, 遗弃, 逃避"
run over,"跑过去, 溢出, 超过限度, 扼要复述, 匆匆看, 辗过
[化] 沸腾翻出"
run through,"跑着穿过, 刺, 戳, 排练, 挥霍, 贯穿"
scale down,"na. (按比例)缩减；【无线】分频；“scale back”的变体
[网络] 按比例缩小；缩小比例；按比例减少"
scrape by, 靠…勉强度日
scrape through,勉强通过
scrape together,"积蓄,凑集,勉强凑足"
scrape up,"积攒, 拼凑到"
screw up,"na. 拧紧；钉上；卷成螺丝状；扭歪(嘴,脸等)
[网络] 弄糟；搞砸；搞砸了"
see about,"查询, 留意于, 料理"
see out,"na. “see through”的变体
[网络] 完成；熬过；送到大门口"
see red,火冒三丈
see that,"注意,必须做到,保证"
see to it that,务必做到; 保证
see to,"负责, 注意"
seize on,"抓住, 占有"
seize upon,"抓住,利用"
sell off,"na. (打折扣)销完；卖清(存货)
[网络] 廉价出清；廉价出售；廉价卖清"
sell out,"n. 客满的演出, 售完, 客满, 售缺, (非正式)出卖, 背叛"
sell up,"卖完, 为还债而变卖"
send away,"发送, 打发走, 解雇"
send for,"na. 派人去叫[请]；遣人去拿；乞求
[网络] 派人去请；派人去请，召唤；派人去拿"
send in,"na. 拿出；提出；递(名片)；送
[网络] 送来；呈报；提交"
set a good example,"做模范,树立榜样"
set about,"开始, 散布
[法] 着手, 开始"
set apart,留出…；使分离；区别
set aside,"留出, 不顾, 取消, 驳回
[法] 撤销, 废止, 宣告无效"
set back,"na. 阻碍；延迟；〈非正式〉花费
[网络] 推迟；推迟，延缓；使退步"
set down,"放下, 使下车, 使着陆, 记下, 登记, 把...归于, 把...看作, 制定
[法] 放下, 卸下, 写下"
set free,"释放
[法] 释放, 使获自由"
set foot in,进入
set in,"adj. 套入的；嵌装在里面的；附建在墙壁上的
n. (潮等的)上涨；开始；(冰霜雨雪的)来临
[网络] 进入一种特定状态；刘尚魁"
set one's heart on,"决心要…, 决心做…"
set out,"出发, 开始, 陈列, 宣布, 陈述, 栽种, 设计...的布局, 测定
[法] 发表, 宣布, 打算"
set the pace,"领先, 起领头作用"
settle down,adj. (开始时期热闹一阵之后)趋向稳定的
settle for,满足于
settle in,"na. 定居；殖民；搬入(新住所)；使某人搬进(新住所)
[网络] 安顿下来；迁入；适应新环境"
settle into, 有头绪，上正轨
settle on,"na. 决定；选定；授与；赠与(财产,遗产等)
[网络] 看中；定居；停在"
settle upon,"na. 决定；选定；授与；赠与(财产,遗产等)"
settle up,"付清, 了结"
sew up,"na. 缝拢；缝合；把…缝入；缝进
[网络] 独占；解决；垄断"
shade in,[网络] 渐渐调和；渐变
shade into,v. 渐渐变为
shake down,"na. (将果实从树上)摇下来；摇下去；摇平(米谷等)
[网络] 勒索现场；摇落；彻底搜查"
shake off,"na. 抛弃(坏习惯)；摆脱(坏朋友)；推开；拆开
[网络] 抖落；撵走；试图摆脱"
shed light on sth.,"为...提供线索, 对...透露情况, 使...清楚地显出, 阐明..."
show off,"n. 卖弄, 炫耀, 爱炫耀的人"
shut in,"adj. .闭居家中的；孤僻的
n. 病弱不外出的人
[网络] 关住；禁闭；病人"
shut off,"na. 阻断；使隔开
[网络] 关掉；切断；关闭"
shut out,"na. 不让进来；遮得看不见；【棒球】不让得分
[网络] 退关；排除；把…排斥在外"
shut up,"na. 关上；监禁；密封；停止
[网络] 闭嘴；禁止谁在多少时间内说话；来电感应"
side by side,[网络] 追述电影未来；并排；免费赠送
sign in,"v. 签到；当你到达某个地点时；当你归还某项借出的物品时；签入
[网络] 登录；单一登录行为；签到时间"
sign on,"[计] 开始指令
[经] 开始(指令)"
sign up,"签约参加工作, 签约雇用"
single out, 挑选; 抉
sink in,"un. 晕倒；西斜；渗入；打进心坎
[网络] 从天而降"
sit around,"坐着不干, 袖手旁观"
sit back,"不采取行动, 向后靠着坐"
sit out,"na. “sit through”的变体
[网络] 袖手旁观；坐在户外；对……袖手旁观"
sit through,"坐着捱到结束, 耐着性子看完"
sit up,"坐起, 端坐, 熬夜, 诧异"
size up,n. 估量；对火情的估计；放大画面；测定尺寸
sketch out,"v. 拟订出
[网络] 草拟；概述；概略地叙述"
sleep through,睡过头
slip up,"疏忽
[法] 犯错误, 失误, 疏忽"
slow down,"n. 降低速度, 减速"
slow up,"n. 降低速度, 减速"
smooth over,"na. “smooth away”的变体
[网络] 消除；缓和；克服"
snap at,"抓, 咬, 厉声说"
snap out of,"un. 怒气冲冲；震飞
[网络] 迅速从…中恢复过来；从……当中摆脱出来；使迅速从…中恢复过来"
snap up,"na. 咬住；突然插嘴
[网络] 抢购；争购；抢购，争夺"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
[网络] 向阳之诗；家人远离"
soak up,"v. 吸取
[网络] 吸收；摄取；吸收摄取"
something of,"在某种意义上, 在某种程度上"
sooner or later,迟早
sound ... out,"v. 试探；打听
[网络] 用语言试探；试探是；试探口风"
spark off," 导致, 为…的直接原因"
speak for,"代表...讲话, 要求得到, 订购"
speak highly of,赞扬
speak out,"na. 大声讲；老老实实讲
[网络] 表白；大声说；言语"
speak up,"更大声地说, 大胆说出, 无保留地说出"
specialize in,专门研究...
speed up,"加速
[经] 加速"
spell out,"na. 详细说明；【印】正式拼写
[网络] 讲清楚；清楚地说明；拼出"
spin out,"na. 拖延；使(钱等)勉强再维持一段时间；磨度过；使汽车作回形滑行
[网络] 拉长；延长；拖长"
spit out,"na. 同“spit”
[网络] 喷孔；共深度点资料选排"
split up, <非正>瓜分; 劈成; （使）分成若干小部分; <非正>（使）断绝关系
spread out," 伸展, 延长; 分散; 铺设; 衍"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
[法] 代替, 代表, 拥护"
stand in for,"替代,暂代,代理"
stand out,"na. 突出；显眼；不参加战争；抵抗到底
[网络] 突出量；才华出众的人；杰出人才"
stand up for,"支持
[法] 坚持, 维护, 辩护"
stand up to,"经得起..., 勇敢地面对, 抵抗"
start off,"na. 动身
[网络] 出发；开始；上路"
start on,开始
start out,"出发, 动身"
stay put,"na. 原位不动
[网络] 维持现状；交替型；停在原位不动"
steam up,"促进, 使发怒, 使有蒸汽"
steer clear of,"避开, 绕开"
stem from,"起源于,出自,出身于…"
stick to,"na. 粘住
[网络] 坚持；忠于；遵守"
stick with, 继续做; 跟着…; 插满
straight away,"n. 直道
a. 直线行进的, 通俗易懂的, 立刻的"
straight off," 立即, 马上; 痛痛快快"
straighten out,"na. 弄(得到)澄清；(得到)解决；同“straighten”
[网络] 扯平；结清；清理"
stream into,无
submit to,"un. 使某人忍受某事:
[网络] 顺从；服从；屈服于"
substitute for,"代替…,替换…,取代…"
stuff with,把…塞满
swear by,"对...发誓, 信赖"
swear in,"na. 使宣誓就职
[网络] 做就任宣誓；宣誓就任；使宣誓就职例句"
switch off,"na. 不收听(某一广播)
[网络] 关掉；收起并隐没；定时关机"
switch on,"v. 打开；接通；参见
[网络] 开启；合闸；打开开关"
take a chance,冒险
take a fancy to,喜欢
take a stand,採取某种立场
take account of,考虑
take advantage of,"v. 利用
 欺骗, 占…的便宜"
take after,"像, 学样
[法] 象, 相似, 追赶"
take cover,"隐蔽, 躲藏"
take effect,"见效, 生效
[法] 生效"
take exception to,"反对
[法] 对...表示反对"
take an interest in ...,对...感兴趣
have an interest in ...,对…有兴趣
feel an interest in ...,无
take an interest in ...,对...感兴趣
take no interest in ...,对…不[不太]感兴趣
have no interest in ...,对…不[不太]感兴趣
feel no interest in ...,对…不[不太]感兴趣
take no interest in ...,对…不[不太]感兴趣
take into account,"na. 考虑
[网络] 把…考虑进去；考虑到；顾及"
take ... into account,"na. 考虑
[网络] 把…考虑进去；考虑到；顾及"
take into consideration,"v. 顾及
[网络] 考虑到；把……考虑进去；予以考虑"
take sth. into one's confidence,向…吐露心事; 以…为心腹
take it easy,"na. “take things easy”的变体
[网络] 放松点；进入；条评论"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
[网络] 承担；雇用；雇佣"
take one's breath away,[网络] 令人咋舌；大为惊讶；目瞪口呆
take over,"na. 接管；继承
[网络] 接收；接任；接替"
take the blame,承担过错
take ... to heart," 对…想不开, 为…伤心[烦恼等]; 在乎; 在意; 介"
take up,"拿起, 开始从事, 继续, 接纳, 吸收, 占据, 拘捕, 承兑, 认购, 绷紧
[经] 付清, 承兑(汇票), 认购(债券等)"
tear down,"na. 扯下；拆毁；猛冲
[网络] 拆除；拆卸；罐头卷封切割"
tear up,"na. 撕碎；连根拔起；扰乱；跑上
[网络] 撕毁；撕掉；拔出"
tell sth. apart,辨别；将……区分开
tell sb. apart,辨别；将……区分开
tender for,[网络] 出某种面值的钱买；投票做某事
thanks to,由于
think back to,回想，回忆；重新思考(往事)
think better of,"重新考虑后决定不做, 经考虑...改变主意
[法] 改变...的念头"
think through,"na. 仔细考虑；全面考虑
[网络] 思考…直到得出结论；想通；彻底地全面考虑"
throw away,"n. 免费散发的传单, 脱口而出的话, 一次性使用的物品
[经] 废品, 废件"
throw light on,"照亮,阐明,使理解,启迪"
throw light upon,阐明;使人理解某事;使某事更为清楚 [亦作 shed (或 throw a flood of) light on (或 upon)]
throw a light on,无
throw a light upon,vt. 阐明(有助于说明)
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
[网络] 扔掉；摆脱掉；扔开"
throw up,"na. 呕吐；抬起；急造；丢弃
[网络] 泡泡字创作；最后三分钟的泡泡字创作"
thumb through,翻查
tire out,"na. 使疲倦到极度
[网络] 筋疲力尽；使筋疲力尽；使……十分疲劳"
to a certain extent,在某种程度上
to begin with,首先
to date,"na. 到今天
[网络] 到今天为止"
to death,极度
to excess,过度
to start with,"作为开始, 首先"
to the best of one's ability,尽自己最大努力
to the contrary,相反地
tone up, 增益
touch on,"与...有关, 涉及..., 提到..., 提及, 谈及"
touch upon,"与...有关, 涉及..., 提到..., 提及, 谈及"
trace back to,可追溯到；追溯到…的起源(或来由)；找出根源；追查到，追究到
trail away, 散去; （声音）逐渐变弱
trail off,"减弱, 缩小"
turn a deaf ear,"对…根本不听,对…置若罔闻"
turn away,"离开,转变…的方向;不看;解雇,不许进入,不愿接受,走开,出发"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
[网络] 做晚床；量程比；量程比可调"
turn one's back on,"背弃, 抛弃"
turn out,"打扫, 驱逐, 使外歪, 生产, 制造, 培养出, 翻出, 关掉, 装饰, 出动, 起床, 结果是
[法] 逐出, 驱逐, 结果"
turn over,"打翻, 营业额达到, 周转, 移交给, 翻阅, 反复考虑, 翻身
[法] 移交, 交付, 让渡"
turn the corner,"拐弯, 转危为安"
turn to,"转向, 变成, 求助于, 起劲地开始行动"
under any circumstances,"在任何情况下,无论如何"
under no circumstances,"在任何情况下都不,决不"
up to,"na. 到；干(着)；适于；…的责任
[网络] 高达；一直到；轮到"
vary from, 不同
wait on,"服侍, 招待, 拜访, 焦急地等待"
wear out,"na. 精疲力尽；用坏；穿破；磨破
[网络] 磨损；穿坏；穿旧"
weigh down,"na. 使负重担；压迫
[网络] 压倒；使…负重担；沉重地压在心头"
what if,"如果...将会怎样?, 倘使...将会怎样?, 即使...又有什么要紧!"
wind up,"卷起, 卷拢, 上紧...发条, 使紧张, 使振奋, 结束
[经] 停止营业"
with regard to,关于
in regard to,"关于
[法] 关于"
with respect to,"关于..., 至于...
[法] 顾及到, 关于"
without prejudice,"[法] 无偏见, 无损, 无偏袒的裁决"
without prejudice to,"不使...受损害
[经] 不损害(...权利)"
word for word,"a. 逐字的, 逐字翻译的"
work off,"v. 渐渐消除
[网络] 除去；售出；清理"
wrap up,"na. 包起来；包好；穿暖和些；〈非正式〉完成
[网络] 结束；包裹；总结"
a range of, 一系列; 一些; 一套
access to,有权使用
accuse sb. of doing sth.,无
adapt oneself to,使(自己)适应于(某种环境)；使(自己)习惯于(某事)；使(自己)对…通融
all night long,整夜
all over,"a. 布满全面的, 布满全面之花样的
n. 印花布"
amuse sb. by doing sth.,无
apply to,抹；涂；把...应用于
argue with,和…辩论
arrange for,"为…作安排,安排某人做…"
attach to," （使）贴[系, 粘]在…上; （使）相关; （使）牵连; （使）依附"
attitude toward,vt. 对。。。的态度，意见
attitude towards,态度，看法
attract attention,"na. 惹眼
[网络] 引起注意；吸引注意；吸引注意力"
attract one's attention,无
balance between A and B,无
be absorbed in,"全神贯注于, 专心于"
be accused of, [法]被起诉
be advisable to,无
be annoyed with sb.,被(某人)烦扰
be applicable to,(适)用于
be away from, 远离；从…离开; 距离
be aware of,知道
be beneficial to,有益于
be bound to,"肯定,必然,注定;保证做某事,有义务做某事"
be certain of,确信
be characterized by,"具有...的特性, 其特性为..."
be conscious of,意识到...
be content with,以...为满足
be designed to,[网络] 被设计用于做；目的是；被设计作
be doubtful about,无
be enthusiastic about,对…热心
be envious of,"忌妒, 羡慕"
be essential to,对…必要的
be essential for,[网络] 对……至关重要；对……很必要；对…很重要
be inferior to,"劣于..., 比...差"
be in the mood,心情舒畅，来劲儿
be not in the mood,无
be in the mood for sth.,无
