defensive,"adj.防御用的,自卫的n.防御"
combat,"n.战斗,格斗v.战斗,搏斗,抗击"
dedicate,"vt.献(身),致力,题献(一部著作给某人)"
determine,"v.决定,确定,测定,使下定决心,[律]使终止"
devote,"vt.投入于,献身"
distract,v.转移
divide,"v.分,划分,分开,隔开,"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
idle,"adj.空闲的,懒惰的,停顿的,无用的,无价值的vi.不做事,游手好闲,(机器)空转,虚度,闲散,不作事,游手好闲,浪费vt.虚度,使空闲,使空转"
important,"adj.重要的,重大的,有权力的,有地位的"
indulge,v.纵容
interrupt,"vt.打断(正在说话或动作的人),中断,妨碍,插嘴vi.打断(别人的讲话或行动)n.(发给电脑的)中断信号"
master,"n.主人,雇主,(男)教师,熟练技工,师傅,大师,硕士,<称呼>少爷adj.主人的,熟练的,高明的,主要的vt.征服,控制,精通"
operate,"v.操作,运转,开动,起作用,动手术,开刀n.[军]作军事行动"
paradox,"n.似非而是的论点,自相矛盾的话"
premium,"n.额外费用,奖金,奖赏,保险费,(货币兑现的)贴水"
priority,"n.先,前,优先,优先权"
protect,vt.保护 /n.保护/解除
recommend,"vt.推荐,介绍,劝告,使受欢迎,托付,使...受欢迎,使...可取"
retreat,"vi.撤退,退却n.撤退,退却"
schedule,"n.时间表,进度表v.确定时间"
vacation,"n.假期,休假,(房屋等的)腾出v.<美>度假,休假"
vitamin,"n.维他命,维生素"
fossil,"n.化石,僵化的事物adj.化石的,陈腐的,守旧的"
fuel,"n.燃料vt.加燃料,供以燃料vi.得到燃料"
generate,"vt.产生,发生"
roughly,"adv.概略地,粗糙地"
supply,"n.补给,供给,供应品vt.补给,供给,提供,补充,代理vi.替代他人职务"
solar,"adj.太阳的,日光的"
come up with,
extend,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价"
furnish,"vt.供应,提供,装备,布置v.供给"
offer,"n.出价,提议,意图vt.提供,出价,贡献,使出现,企图,演出vi.(机会、时机等)出现,献祭,提议"
provide,"v.供应,供给,准备,预防,规定"
render,"vt.呈递,归还,着色,汇报,致使,放弃,表演,实施vi.给予补偿n.交纳,粉刷,打底"
tender,"adj.嫩的,温柔的,软弱的"
yield,"v.出产,生长,生产vi.(～ to)屈服,屈从n.产量,收益"
about,"adv.附近,大约,转向,左右,周围;prep.在附近,关于,在...周围,忙于"
a matter of,
approximate,"adj.近似的,大约的v.近似,接近,接近,约计"
around,"adv.周围,四周,到处,大约,左右 prep.在...周围,四处"
be liable to,
in the vicinity of,
likely,"adj.很可能的,合适的,可靠的,有希望的adv.或许,很可能"
maybe,"adv.大概,或许n.疑虑"
or so,
presumably,"adv.推测起来,大概"
probable,"adj.很可能的,大概的"
some,"adj.一些,少许,若干,有些,大约,相当的 pron.一些,若干,有些,某些"
would,"v.aux.will的过去式,将,愿意"
although," conj.虽然,尽管"
even if,
even though,
nevertheless," conj.然而,不过adv.仍然,不过"
spite,"n.(in ～ of)不顾,不管,敌意v.困扰"
despite," prep.不管,尽管,不论"
while,"n.一会儿,时间 conj.当...的时候,虽然vt.消磨 prep.<古><方>直到"
arise,"vi.出现,发生,起因于"
call forth,
cause,"n.原因,导致某事发生的人或事,动机,理由,根据,目标,理想,事业vt.引起,惹起,使(发生),促成"
come about,
come into existence,
happen,"vi.发生,碰巧,偶然v.发生,恰巧,偶然发现"
occur,"vi.发生,出现"
occurrence,"n.发生,出现,事件,发生的事情"
originate,"vt.引起,发明,发起,创办vi.起源,发生"
proceed,"vi.进行,继续下去,发生"
produce,"n.产物,农产品vt.提出,出示,生产,制造,结(果实),引起,招致,创作"
bring about,
give rise to,
spark,"n.火花,火星,闪光,情郎,花花公子,活力,电信技师,瞬间放电vi.闪烁,发火花,求婚vt.发动,鼓舞,使有朝气,求婚"
turn up,
jobless,"n.失业者adj.失业的,无业的"
search,"n.搜寻,查究v.搜索,搜寻,探求,调查"
look for,
eligible,"adj.符合条件的,合格的"
benefit,"n.利益,好处vt.有益于,有助于vi.受益"
fortnightly,"adj.每两周的,每两星期一次的,隔周发行的n.隔周出版物adv.隔周,每两星期一次地"
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
allocate,"vt.分派,分配"
allowance,"n.津贴,补助,宽容,允许vt.定量供应"
citizenry,n.公民成市民(集合称)
crucial,adj.至关紧要的
dependency,"n.依靠,信赖,从属,从属物,属国,属地"
deprive,"vt.剥夺,使丧失"
despair,"n.绝望,失望,令人失望的人(事物)vi.绝望"
entitlement,
exclude,"vt.拒绝接纳,把...排除在外,排斥"
falsehood,"n.谬误,不真实,谎言,虚假"
feed,"n.饲养,饲料,(动物或婴儿的)一餐vt.喂养,饲养,放牧,靠...为生vi.吃东西,流入"
finance,"n.财政,金融,财政学vt.供给...经费,负担经费vi.筹措资金"
generous,"adj.慷慨的,大方的,有雅量的"
income,"n.收入,收益,进款,所得"
indulgent,adj.纵容的
insure,vt.给...保险v.确保
job seeker,
laziness,"n.怠惰,无精打采"
livelihood,"n.生计,谋生"
minimal,"adj.最小的,最小限度的"
motivate,v.激发
phase,"n.阶段,状态,相,相位v.定相"
purpose,"n.目的,意图,用途,效果,决心,意志vt.打算,企图,决心"
reasonable,"adj.合理的,有道理的,通情达理的,讲道理的"
resign,"n.辞去(职务)v.辞去,辞职"
risk,"vt.冒...的危险n.冒险,风险"
spending,"n.开销,花费"
subsidise,"v.消退,下沉,平息"
support,"vt.支撑,扶持,支持,支援,拥护,维持,赡养,忍受n.支撑,支持,支援,维持,赡养,支持者,支柱"
surroundings,n.环境
taxpayer,"n.纳税人,所收租金只够支付地产税的建筑物"
terrify,"vt.使恐怖,恐吓"
unconditional,"adj.无条件的,绝对的,无限制的"
unemployment,"n.失业,失业人数"
upfront,
welfare,"n.福利,安宁,幸福,福利事业,社会安全adj.福利的"
well-being,
work out,
zeal,"n.热心,热情,热诚"
intrinsically,
rainbow,"n.彩虹,五彩缤纷的排列,幻想,幻觉,虚无缥缈的东西adj.五彩缤纷的"
celebrate,"v.庆祝,祝贺,表扬,赞美,举行"
repeatedly,"adv.重复地,再三地"
fuse,"n.保险丝,熔丝v.熔合"
appearance,"n.出现,露面,外貌,外观"
boil,"n.沸点,沸腾,疖子v.煮沸,激动"
dictate,"v.口述,口授,使听写,指令,指示,命令,规定n.指示(指理智,变心)"
dominant,"adj.有统治权的,占优势的,支配的adj.[生物] 显性的"
innocent,"adj.(～ of) 清白的,无罪的,天真的,无知的"
masculine,"adj.男性的,男子气概的,[语法] 阳性的n.男子,男孩"
nursery,n.托儿所
obsess,"vt.迷住,使困扰"
pervasive,adj.普遍深入的
pretty,"adj.漂亮的,可爱的,优美的,机灵的,恰当的"
remember,"vt.回忆起,铭记,纪念vi.记得"
sale,"n.出售,卖出,贱卖,廉价出售,销路,销售额"
singular,"n.单数adj.单一的,非凡的,异常的,持异议的"
split,"v.劈开,(使)裂开,分裂,分离n.裂开,裂口,裂痕"
stone,"n.石,石头,宝石"
trade,"n.贸易,商业,交易,生意,职业,行业,[气]信风,顾客vi.交易,买卖,经商,对换,购物vt.用...进行交换"
altitude,"n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等"
ashore,"adv.向岸地,在岸上地"
belt,"n.带子,地带"
brook,n.小溪vt.容忍
cliff,"n.悬崖,绝壁"
crust,"n.外壳,硬壳,面包皮vt.盖以硬皮vi.结硬皮"
crystal,"adj.结晶状的n.水晶,水晶饰品,结晶,晶体"
deposit,"n.堆积物,沉淀物,存款,押金,保证金,存放物vt.存放,堆积vi.沉淀"
desert,"n.沙漠,应得的赏罚,功过adj.沙漠的,不毛的,荒凉的vt.放弃,遗弃,逃跑vi.逃掉,逃亡,开小差"
desolate,"adj.荒凉的,无人烟的"
dew,"n.露,露水般的东西,清新"
drought,"n.干旱,缺乏"
dusk,"n.薄暮,黄昏"
ebb,"n.退,弱,退潮,衰落vi.潮退,衰退"
erosion,"n.腐蚀,侵蚀"
erupt,vt.喷出vi.爆发
fountain,"n.泉水,喷泉,源泉"
fracture,"n.破裂,骨折v.(使)破碎,(使)破裂"
friction,"n.摩擦,摩擦力"
frost,"n.霜,霜冻,严寒v.结霜"
gulf,"n.海湾,深渊,漩涡,隔阂vt.吞没,使深深卷入"
harbor,n.海港
harbour,n.(=harbor) 海港
hemisphere,n.半球
inlet,"n.进口,入口,水湾,小港,插入物"
island,"n.岛,岛屿,岛状物(孤立状态的物),安全岛vt.使成岛状,孤立"
isle,"n.小岛,岛vt.使成为岛屿vi.住在岛屿上"
latitude,"n.纬度,范围,(用复数)地区,行动或言论的自由(范围)"
log,"n.航行日志,原木,园形木材,园木v.把...记入航行日志,伐木,把...锯成段"
longitude,"n.经度,经线"
marble,"n.大理石,(玩具)弹球.石弹子,雕刻品;adj.大理石的,冷酷无情的,坚硬的"
marine,"n.舰队,水兵,海运业adj.海的,海产的,航海的,船舶的,海运的"
mercury,"n.水银,汞,[罗神]墨丘利神(众神的信使)"
moist,adj.潮湿的n.潮湿
nitrogen,n.[化]氮
nucleus," [nuclear的复数,见nuclear];n.核子"
oxide,n.[化]氧化物
ozone,"n.新鲜的空气,[化]臭氧"
particle,"n.粒子,点,极小量,微粒,质点,小品词,语气"
pasture,"n.牧地,草原,牧场v.放牧,牧(牛、羊)等,吃草"
paw,
peninsula,n.半岛
plateau,"n.高地,高原(上升后的)稳定水平(或时期、状态)"
polar,"adj.[天]两极的,极地的,南辕北辙的,南极的,(北极星似的)指引的,极性的,北极的n.极线,极面"
pond,n.池塘v.筑成池塘
port,"n.港口,舱门,左舷,避风港,枪眼vt.左转舵,持(枪)vi.转舵左n.端口"
ridge,"n.背脊,山脊,屋脊,山脉,犁垄v.起皱,成脊状延伸,翻土作垄"
scenery,"n.风景,景色"
smog,n.烟雾
thermal,"adj.热的,热量的"
tide,"n.潮,潮汐,潮流,趋势"
torrent,"n.急流,洪流,连发,迸发"
tropic,"n.[天](天球的)回归线,热带adj.热带的"
tropical,"adj.热带的,热情的"
tunnel,"n.隧道,地道"
typhoon,n.[气] 台风
ultraviolet,"adj.紫外线的,紫外的n.紫外线辐射"
volcano,n.火山
justification,"n.认为有理,认为正当,理由,辩护,释罪"
origin,"n.起源,由来,起因,出身,血统,[数]原点"
suppose,"vt.推想,假设,猜想vi.料想 conj.假使...结果会怎样"
cultural,adj.文化的
diversity,"n.差异,多样性"
constrain,"vt.强迫,抑制,拘束"
beginning,n.开始
attempt,"n.努力,尝试,企图vt.尝试,企图"
bewildering,"adj.令人困惑的,使人混乱的"
characterize,"vt.表现...的特色,刻画的...性格"
commonality,"n.公共,平民"
courtship,"n.求爱,求爱时期"
dimension,"n.尺寸,尺度,维(数),度(数),元"
enterprise,"n.企业,事业,计划,事业心,进取心,干事业"
equation,"n.相等,平衡,综合体,因素,方程式,等式,"
evolutionary, 进化的
explicatory,"adj.解说的,说明的"
filter,"n.滤波器,过滤器,滤光器,筛选vt.过滤,渗透,用过滤法除去vi.滤过,渗入,(消息等)走漏,慢慢传开"
generative,adj.生成的
impulse,"n.推动,刺激,冲动,推动力vt.推动"
in the light of,
independent,"n.中立派,无党派者adj.独立自主的,不受约束的"
pattern,"n.模范,式样,模式,样品,格调,图案vt.模仿,仿造,以图案装饰vi.形成图案"
previous,"adj.在前的,早先的adv.在...以前 返回上一级菜单"
quest,n.寻求
simplification,n.简化
tendency,"n.趋向,倾向"
trait,"n.显著的特点,特性"
unfold,"vt.打开,显露,开展,阐明vi.伸展,开花,呈现vt.放(羊)出栏"
unification,"n.统一,合一,一致"
universal,"adj.普遍的,全体的,通用的,宇宙的,世界的"
invalid,"n.病人,残废者adj.有病的,残废的"
lame,"adj.跛足的,僵痛的,不完全的,金属薄片,不知内情的人,(辩解、论据等)无说服力的vi.变跛,瘸行vt.使成残废"
subjective,"adj.主观的,个人的"
homogeneous,"adj.同类的,相似的,均一的,均匀的"
identical,"adj.同一的,同样的"
reconcile,"vt.使和解,使和谐,使顺从"
resemblance,n.类同之处
processor,n.处理机 处理器
addition,"n.加,加起来,增加物,增加,加法"
deletion,"n.删除,删除部分,被删除的字句、章节"
paragraph,"n.(文章)段,节,段落"
keyboard,n.[计] 键盘
command,"n.命令,掌握,司令部v.命令,指挥,克制,支配,博得,俯临"
adequately,adv.充分地
assemble,"vt.集合,聚集,装配vi.集合"
certain,"adj.确定的,某一个,无疑的,必然的,可靠的 pron.某几个,某些"
clarify,"v.澄清,阐明"
clip,"n.夹子,回形针,子弹夹vt.夹住,剪短,修剪"
conduct,"n.行为,操行v.引导,管理,为人,传导"
copy,"n.副本,拷贝,摹仿,一册v.复印,复制,拷贝,抄袭"
correction,"n.改正,修正"
delete,vt.删除
draft,"n.草稿,草案,草图vt.起草,为...打样,设计v.草拟"
element,"n.要素,元素,成分,元件,自然环境"
flesh out,
flexible,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
grammatical,"adj.文法的,合乎文法的"
introductory,adj.介绍性的
margin,"n.页边的空白,(湖、池等的)边缘,极限,利润,差数,(时间、金额等的)富余vt.加边于,加旁注于"
printout,n.[计]打印输出
punctuation,"n.标点,标点符号"
railroad,n.铁路vt.<美> 由铁道运输
relevant,"adj.有关的,相应的"
revision,"n.修订,修改,修正,修订本"
setting,"n.安置,安装,(太阳)落山,(固定东西的)框架,底座"
smoothly,adv.平稳地
software,n.软件
spelling,"n.拼法,拼写法"
substantiate,"vt.使实体化,证实"
haul,"n.用力拖拉,拖,拉,捕获物,努力得到的结果,(尤指)一网捕获的鱼量,拖运距离vi.拖,拉,改变方向,改变主意vt.拖拉,拖运"
tow,"n.拖,拖曳所用之绳,麻的粗纤维vt.拖,曳,牵引vi.拖行,被拖带"
tug,"v.用力拖,吃力地搬运,苦干,用拖轮拖,拖拉n.拖,苦干,拖船,(牵引用的)绳索"
quiver,"n.震动,颤抖,箭袋,箭袋中的箭vi.颤抖,振动,射中vt.使颤动adj.敏捷的"
shiver,"v.颤抖,打碎,碎裂n.(无法控制的)颤抖,碎片"
sway,"v.摇摆,摇动"
swing,"v.摇摆,摆动,回转,旋转n.秋千,摇摆,摆动"
toss,"v.投,掷"
tremble,"n.战栗,颤抖vi.战栗,发抖,震动,(树叶等)摇晃.摇动,焦虑vt.挥动,用颤抖的声音说出"
vibrate,"v.(使)振动,(使)摇摆"
pierce,"vt.刺穿,刺破,穿透,突破,深深感动"
pinch,"n.捏,撮,收缩,紧急关头,匮乏,压力vt.掐,夹痛,修剪,勒索,使感缺乏,使萎缩,偷vi.收缩,节省"
poke,"n.刺,戳,懒汉,袋子vt.戳,捅,拨开,刺vi.戳,刺,捅,伸出,刺探,闲荡"
prick,"vt.刺,戳,刺痛,竖起vi.刺,竖起n.扎,一刺,刺痛,锥,阴茎adj.竖起的"
scrape,"n.刮,擦,擦痕,刮擦声,困境vi.刮掉,擦掉,刮出刺耳声vt.刮,擦,擦伤,挖成"
scratch,"n.乱写,刮擦声,抓痕,擦伤vt.乱涂,勾抹掉,擦,刮,搔,抓,挖出vi.发刮擦声,搔,抓adj.打草稿用的,凑合的"
stab,"n.刺,刺伤的伤口,一阵突然而强烈的感觉,中伤,伤痛v.剌,刺伤,伤害(感情等)"
sting,"n.刺,刺痛,针刺v.刺,刺痛,刺激"
thrust,"n.插,戳,刺,推力,猛推,口头攻击vt.力推,冲,插入,挤进,刺,戳,强加,延伸vi.插入,刺,戳,延伸,强行推进"
genetically,
lead,"vt.领导,引导,致使vi.领导,(道路等)通向,导致,用水砣测深n.领导,领先,导线,铅,(自船上测海水深度的)铅陲,石墨,铅笔芯"
conclude,"v.结束,终止,决定,作出结论vt.推断,断定,缔结,议定"
memorize,"v.[亦作memorise] 记住,记忆"
cognitive,"adj.认知的,认识的,有感知的"
exercise,"n.练习,习题,训练,锻炼,演习v.训练,锻炼vt.行使,使担扰"
intuitive,adj.直觉的
achiever,
astrological,"adj.占星的,占星术的"
ballet,"n.芭蕾舞,芭蕾舞剧,芭蕾舞乐曲"
biographical,adj.传记的
certificate,"n.证书,证明书vt.发给证明书,以证书形式授权给..."
commonly,"adv.普通地,一般地"
concentrate,"v.集中,浓缩"
confer,"vt.授予(称号、学位等),赠与,把...赠与,协议v.协商,交换意见"
digit,"n.阿拉伯数字,手指或足趾,一指宽(约四分之三英寸)"
encode,vt.把(电文.情报等)译成电码(或密码) 编码
exhibit,"vt.展出,陈列n.展览品,陈列品,展品v.展示"
mania,"n.[医]颠狂,狂躁,癖好,狂热"
meaningfully,
noteworthy,"adj.值得注目的,显著的"
obtain,"vt.获得,得到"
overrate,vt.对估价过高
oxygen,n.[化]氧
player,"n.做游戏的人,比赛者,演员,演奏者,表演者"
practice,"n.实行,实践,实际,惯例,习惯,练习,实习,开业"
programming,"n.规划,设计"
quirk,"n.急转,遁词,怪癖"
repeat,"n.重复,反复vt.重做,复述,向他人转述,复制,使再现vi.重复,留有味道"
span,"n.跨度,跨距,范围v.横越"
springtime,"n.春天,春季"
startling,adj.令人吃惊的
strongly,"adv.强有力的,坚固地,坚强地,激烈地"
swamp,"n.沼泽,湿地,煤层聚水v.陷入沼泽,淹没,覆没"
switch,"n.开关,电闸,转换vt.转换,转变"
task,"n.任务,作业v.分派任务"
winter-born,
youth,"n.青春,青年时期,初期,少年,青年们"
Congress,
always,"adv.总是,永远,始终"
envision,"vt.想象,预想"
joint,"n.接缝,接合处,接合点,关节,(牛、羊等的腿)大块肉adj.共同的,联合的,连接的,合办的vt.连接,接合,使有接头vi.贴合,生节"
federal,"adj.联邦的,联合的,联邦制的,同盟的n.(南北战争时期)北部联邦同盟盟员 北京连邦软件产业发展公司,国内主要的正版软件经销商"
immigration,"n.外来的移民,移居入境"
enforcement,"n.执行,强制"
explicitly,"adv.明白地,明确地"
officer,"n.政府官员,军官,警官,船长vt.指挥"
cooperate,"vi.合作,协作"
colleague,"n.同事,同僚"
assert,"v.断言,声称"
avenue,"n.林荫道,大街,方法,途径,路"
balance,"n.秤,天平,平衡,[商] 收支差额,结余,余额v.平衡,称,权衡,对比,结算n.资产平稳表"
border,"n.边界,国界,边,边沿,边境vt.与...接壤,接近v.接壤"
census,n.人口普查
citizenship,"n.公民的身份,公民的职责和权力"
civilian,"n.平民,公务员,文官adj.民间的,民用的"
contest,"n.论争,竞赛v.,争论,争辩,竞赛,争夺"
controversial,"adj.争论的,争议的"
decision,"n.决定,决心,决议,结果,果断,坚定"
defense,
deliberately,adv.故意地
disagree,"vi.不一致,不适宜"
exclusively,"adv.排外地,专有地"
existing, [计] 现有的
federal government,
immigration law,
in essence,
intrude,"vi.闯入,侵入vt.强挤入,把(自己的思想)强加于人"
invalidate,vt.使无效
knock out,
majority,"n.多数,大半n.[律] 成年"
matter,"n.事件,问题,物质,内容,实质,原因,(印刷或书写的)文件,(文章或讲话等的)素材vi.有关系,要紧"
non-controversial,
overturn,"n.倾覆,破灭,革命vt.推翻,颠倒vi.翻倒n.翻转,毁灭"
parallel,"adj.平行的,相同的,类似的,并联的n.平行线,平行面,类似,相似物v.相应,平行"
police,"n.警察队,警察机关,公安部门vt.管辖,维持治安adj.警察的,有关警察的"
precede,"v.领先(于),在...之前,先于"
reject,"n.被拒之人,被弃之物,不合格品,落选者,不及格者vt.拒绝,抵制,否决,呕出,驳回,丢弃"
robust,adj.精力充沛的
sedition,"n.煽动暴乱,骚乱,煽动性的言论(或行为)"
Supreme Court,
the Trump Administration,
the White House,
vote,"n.投票,选举,选票,选举权,表决,得票数vi.投票,选举vt.投票选举,投票决定,公认,<口>建议,使投票"
warrant,"n.授权,正当理由,根据,证明,凭证,委任状,批准,许可证vt.保证,辩解,担保,批准,使有正当理由"
minister,"n.部长,大臣"
certainty,"n.确定,确实的事情"
register,"n.记录,登记簿,登记,注册,寄存器vt.记录,登记,注册,提示,把...挂号vi.登记,注册,挂号"
revenue,"n.收入,国家的收入,税收"
amount,"n.数量vi.(to) 总计,等于"
borrow,"v.借,借入,借用"
cap,"n.帽子,军帽,(瓶)帽,(笔)帽;vt.戴帽子,盖在...顶上;carrierless amplitude and phase,相幅载波"
chancellor,"n.长官,大臣"
charge,"n.负荷,电荷,费用,主管,掌管,充电,充气,装料v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费"
climate,"n.气候,风土,思潮"
government,"n.政府,<英>内阁,政治,政体"
indication,"n.指出,指示,迹象,暗示"
introduce,"vt.介绍,传入,引进,提出"
mention,"vt.提及,说起n.提及,说起v.论及,提及"
prejudice,"n.偏见,成见,损害,侵害v.损害"
railway,"n.[英] 铁道,铁路"
rectify,"vt.矫正,调整,[化]精馏"
return,"n.回来,返回,来回票,利润,回答adj.返回的,回程的,报答的,反向的,重现的vi.回返,归还vt.归还,回报,报告,获得,回答,返回"
shove,"n.<口>推,挤vt.<口>推挤,猛推,强使vi.推"
term,"n.学期,期限,期间,条款,条件,术语"
urgent,"adj.急迫的,紧急的"
welcome,n.欢迎vt.欢迎int.欢迎adj.受欢迎的
cabinet,"n.(有抽屉或格子的)橱柜,<美>内阁adj.<美>内阁的,小巧的"
cellar,"n.地窖,地下室,酒窖,藏酒量"
cozy,"adj.舒适的,安逸的,惬意的"
cushion,"n.垫子,软垫,衬垫v.加衬垫"
downtown,"adv.在市区,往市区adj.市区的"
dwell,"vi.居住,踌躇"
entry,"n.登录,条目,进入,入口,[商]报关手续,[律]对土地的侵占,对房屋的侵入"
hinge,"n.(门、盖等的)铰链,枢纽,关键vt.装铰链v.装以绞链,依...而转移"
hose,"n.软管,水龙带,长筒袜v.用软管浇水"
inhabit,"vt.居住于,存在于,占据,栖息"
knob,"n.(门,抽屉等的)球形捏手,节,瘤,旋钮,球形突出物,(煤,砂糖等的)小块vt.使有球形突出物vi.鼓起"
laundry,"n.洗衣店,要洗的衣服,洗熨"
lavatory,"n.厕所,<主英>抽水马桶,<美>洗脸盆,浴室"
lawn,"n.草地,草坪,(均匀生长于固体培养基的)菌苔"
lease,"n.租借,租约,租赁物,租期,延续的一段时间vt.出租,租出,租得"
lodge,"n.门房,(猎人住的)山林小屋,(游览区的)旅馆,(地方社团的)集会处vi.临时住宿,寄宿(某人家)vt.容纳,寄存,把...射入,存放,(向有关当局)提出(声明)"
lounge,"n.闲逛,休闲室,长沙发vi.闲荡,懒洋洋地躺卧vt.虚度光阴"
magistrate,"n.文职官员,地方官员"
outfit,"n.用具,配备,机构,全套装配,vt.配备,装备vi.得到装备"
outlet,"n.出口,出路"
plug,"vt.堵,塞,插上,插栓n.塞子,插头,插销"
plumber,n.水管工人
porch,"n.门廊,走廊"
rail,"n.横杆,围栏,扶手,铁轨vt.以横木围栏,铺铁轨vi.责骂,抱怨"
residence,"n.居住,住处"
rug,"n.(小)地毯,垫子"
shutter,"n.关闭者,百叶窗,快门,<美俚>安眠药;vt.关上,装以遮门,以百叶窗遮闭"
siren,"n.汽笛,警报器,空袭警报,妖妇v.(救火车等)响着警报器行驶"
tar,"n.焦油,柏油;[计]一种压缩文件的扩展名"
tenant,"n.承租人,房客,租客v.出租"
texture,"n.(织品的)质地,(木材,岩石等的)纹理,(皮肤)肌理,(文艺作品)结构"
threshold,"n.开始,开端,极限"
tub,
ventilate,"vt.使通风,给...装通风设备"
voltage,"n.[电工]电压,伏特数"
yard,"n.院子,码"
hijack,"vt.抢劫,劫持,劫机,揩油"
opposite,"adj.相对的,对面的,对立的,相反的,对等的,对应的n.相反的事物"
earned,adj.挣得的
hostage,"n.人质,抵押品"
consumer,n.消费者
stakeholder,n.赌金保管者
activist,"n.激进主义分子,行动主义分子"
allegation,"n.主张,断言,辩解"
brand,"n.商标,牌子,烙印vt.打火印,污辱"
airline,n.定期航线
alert,"adj.提防的,警惕的n.警惕,警报"
alleviate,"vt.使(痛苦等)易于忍受,减轻"
boycott,"n.vt.联合抵制,联合排斥某国货物或与某国绝交"
communication,"n.传达,信息,交通,通讯"
complementary,"adj.补充的,补足的"
content,"n.内容,容量,目录,满足adj.满足的,满意的,愿意vt.使满足"
curve,"n.曲线,弯曲,[棒球]曲线球,[统]曲线图表vt.弯,使弯曲vi.成曲形"
e-commerce,
exploit,"vt.开拓,开发,开采,剥削,用以自肥v.使用"
for instance,
guide,"n.领路人,导游者,向导,引导者,指南vt.指导,支配,管理,带领,操纵vi.任向导"
in some cases,
infancy,n.幼年
initiator,"n.创始人,发起人,传授者,教导者"
marketer,n.市场商人
marketing,"n.行销,买卖"
network,"n.网络,网状物,广播网"
networking,
originally,"adv.最初,原先"
owned media,
paid media,
passionate,adj.充满热情的
persuade,"v.说服,劝说,(使)相信,劝某人做(不做)某事"
play a major role,
promote,"vt.促进,发扬,提升,提拔,晋升为 /n.升级/降级"
property,"n.财产,所有物,所有权,性质,特性,(小)道具"
provider,"n.供给者,供应者,养家者"
recall,"vt.回忆,回想,记起,取消n.召回"
retailer,"n.零售商人,传播的人"
stand-alone,
steep,"adj.陡峭的,险峻的,急剧升降的,不合理的n.悬崖,峭壁,浸渍,浸渍液v.浸,泡,沉浸"
success,"n.成功,成就,胜利,发迹,兴旺"
sufficiently,"adv.十分地,充分地"
television,"n.电视,电视机,电机学,电视广播事业"
thoughtful,"adj.深思的,有思想性的,体贴的,关切的"
voice,"n.声音,嗓音,发音能力,意见,发言权,[语法]语态vt.表达,吐露"
well-orchestrated,
follow,"vt.跟随,追随,沿...而行,理解,遵循,从事,追求,注视vi.跟随,接着n.跟随,追随"
similar,"adj.相似的,类似的"
journal,"n.定期刊物,杂志,航海日记,分类账"
concern,"vt.涉及,关系到n.(利害)关系,关心,关注,关注,所关心的是"
basic,
mistake,
contribute,"v.捐助,捐献,贡献,投稿"
irreproducibility,
published,
research,"n.研究,调查vi.研究,调查"
finding,"n.发现,发现物,决定,[律]裁决"
a statistics board,
advisory,"adj.顾问的,咨询的,劝告的"
biostatistician,
broadly,"adv.宽广地,露骨地,广泛"
conclusion,"n.结束,缔结,结论"
data bit,
database,"n.[计] 数据库,资料库"
external,"adj.外部的,客观的,[医]外用的,外国的,表面的n.外部,外面"
foresight,"n.远见,深谋远虑"
hopefully,"adv.有希望地,有前途地"
impel,"vt.推动,推进,激励,驱使,逼迫"
internal,"adj.内在的,国内的"
model,"n.样式,型,模范,典型,模型,原型,模特儿vt.模仿v.模拟"
panel,"n.面板,嵌板,仪表板,座谈小组,全体陪审员vt.嵌镶板"
particular,"n.细节,详细adj.特殊的,特别的,独特的,详细的,精确的,挑剔"
peer reviewer,
reviewing editor,
statistical,"adj.统计的,统计学的"
statistician,"n.统计员,统计学家"
statistics,"n.统计学,统计表"
business magazine,
column,"n.圆柱,柱壮物,专栏,纵队"
contributor,"n.贡献者,捐助者,投稿者"
editor-in-chief,
fact,"n.事实,实际,实情,真相,(犯罪)行为,论据"
faithfully,"adv.忠诚地,如实地,切实遵守地"
imagination,"n.想象,空想,想象的事物,想象力,听觉"
invent,"vt.发明,创造v.发明"
magazine cover,
monthly,adj.每月的adv.每月一次n.月刊
neutral,"n.中立者,中立国,非彩色,齿轮的空档adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的"
news magazine,
newspaper,n.报纸
notify,v.通报
periodical,"adj.周期的,定期的n.期刊,杂志"
quarterly,"n.季刊adj.一年四次的,每季的adv.每季地"
report,"n.报告,传说,谣言,声誉,名声,爆炸声v.报导,汇报,报到,告发"
revelation,"n.显示,揭露,被揭露的事,新发现,启示,揭示"
sensation,"n.感觉,感情,感动,耸人听闻的"
the front page,
up-to-date,
weekly,"adj.每星期的,一周的adv.每周一次n.周刊,周报"
strong,"adj.强,强壮的,坚固的,浓的,强烈的,强大的,强的,强硬的"
whatever," pron.凡是...,无论什么adj.无论怎样的,无论哪一种的,什么也"
