catastrophic,"a. 悲惨的, 灾难的"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
decoy,"n. 圈套, 诱骗
vt. 诱骗"
depict,"vt. 描述, 描写"
enviable,"a. 令人羡慕的, 可羡慕的"
henpecked,n. 妻管严
hymn,"n. 赞美诗, 圣歌
v. 唱赞美歌"
imaginary,"a. 想像的, 虚构的, 假想的"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
leech-like,寄生的
motive,"suf. 表示“动的”,“运动的”：locomotive"
nigger-minstrel,无
ostrich,n. 鸵鸟
poker,"n. 戳的人, 拨火棍, 纸牌戏
vt. 烙制"
prenuptial,[网络] 婚前协议；婚前协定；緍前协议书
prolong,"vt. 延长, 拖延, 拖长
[化] 冷凝管"
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
repent,"vi. 后悔, 懊悔, 忏悔
vt. 后悔
a. 匍匐生根的"
reputed,"a. 名誉好的, 被称为...的, 有...名气的
[法] 好名誉的, 驰名的, 号称的"
reverent,"a. 尊敬的, 虔诚的"
rib,"n. 肋骨, 肋状物, 笑话
vt. 装肋状物于, 戏弄"
rose-coloured,n. 淡红色；玫瑰红
rosy,"a. 蔷薇色的, 玫瑰红色的"
tipsy,"a. 喝醉的, 倾斜的"
virago,"n. 泼妇, 悍妇"
accustomed,"a. 惯常的, 习惯了的"
amazing,a. 令人惊异的
Americaphile,无
Americaphobe,[网络] 美洲虎
antagonism,"n. 对立, 敌对, 敌意
[化] 拮抗作用; 消效作用"
bid,abbr. bis in diē[拉丁语、处方用语]每日两次(= twice a day )
bilingualism,n. 使用两种语言
celebrity,"n. 名声, 名人"
cellar,"n. 地窖, 地下室, 藏酒"
confer,"vt. 授予, 带来
vi. 协商"
conundrum,"n. 谜语, 难题"
cosmopolitan,"a. 世界主义的, 世界性的, 全世界的, 遍生的, 不偏狭的, 卓有见识的
n. 世界主义者, 世界性"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
detectably,可发觉地; 可检测地
distribute,"vt. 分配, 散布, 分发
[经] 分配, 分发"
ethnologist,"n. 民族学者, 人种学者"
exempt,"vt. 免除；豁免
a. 被免除的；被豁免的
n. 免税者；被免除义务者"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
[计] 特性"
icon,"n. 画像, 肖像, 偶像, 图标, 像标
[计] 像标, 图标"
indigenous,"a. 本土的, 国产的, 固有的
[医] 原产的, 本土的"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
monocular,"a. 单眼的, 单眼用的"
nemesis,"n. 复仇女神, 给与惩罚的人, 天罚, 报应"
notoriety,"n. 恶名, 臭名, 声名狼藉"
omnipresent,"a. 无所不在的, 普通存在的"
portal,"n. 入口, 大门
a. 肝门的"
resentment,"n. 怨恨, 愤恨"
resort,vt. 使再分类
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
[计] 例程"
semiculture,无
swoosh,"vi. 哗哗响, 作嗖嗖声
vt. 使发哗哗声, 嗖地发射
n. 嗖的一声, 哗哗声"
titan,地坛
torrent,"n. 奔流, 倾盆大雨, 倾注, 迸发"
Tungusian,n. 通古斯满语族(阿尔泰语系的语族之一)
