favour,"n.亲切,宠爱"
mimic,"adj.模仿的,假装的,[生]拟态的n.效颦者,模仿者,小丑,仿制品vt.模仿,摹拟"
amplify,"vt.放大,增强v.扩大"
fluid,"n.流动性,流度adj.流动的,不固定的,可改变的,可另派用场的,流畅的"
overshadow,"v.遮蔽,使...失色"
rehabilitate,"v.使(身体)康复,使复职,使恢复名誉,使复原"
adjust,"vt.调整,调节,校准,使适合"
deficient,"adj.缺乏的,不足的,不完善的"
controversy,"n.论争,辩论,论战"
native,"n.本地人,土产,土人adj.本国的,出生地的,本地的,与生俱来的,天赋的,土产的,土著的"
adhere,"vi.粘附,胶着,坚持v.坚持"
suppress,"vt.镇压,抑制,查禁,使止住"
inheritance,"n.遗传,遗产"
invisible,"adj.看不见的,无形的"
engross,"vt.用大字体书写,吸引,占用,使全神贯注,独占"
predispose,"vt.预先安排,使偏向于"
civilisation,n.<主英>=civilization
expenditure,"n.支出,花费"
vanish,"vi.消失,突然不见,[数]成为零n.[语]弱化音"
dissolve,"v.溶解,解散"
clip,"n.夹子,回形针,子弹夹vt.夹住,剪短,修剪"
illusion,n.幻想
extravagance,"n.奢侈,铺张,过度,放纵的言行"
extinction,"n.消失,消灭,废止,[物]消光"
dwindle,v.缩小
underpin,"v.加强...的基础,巩固,支撑"
guardian,"n.护卫者,保护人,监护人adj.守护的"
static,"adj.静态的,静力的 静电噪声"
database,"n.[计] 数据库,资料库"
stimulate,"vt.刺激,激励v.刺激,激励"
deficiency,"n.缺乏,不足"
equity,"n.公平,公正,公平的事物,资产净值,[律]平衡法"
embezzlement,"n.盗用,侵占,挪用"
indulge,v.纵容
reinforcement,"n.增援,加强,加固,援军"
collateral,adj.间接的
proofreading,
odour,"n.<主英>气味,香味,臭味,意味,名声"
venture,"n.冒险,投机,风险v.冒险,冒昧,斗胆,胆敢(谦语)"
amid, prep.在...中
ceremony,"n.典礼,仪式,礼节,报幕员"
synthetic,"adj.合成的,人造的,综合的"
resent,"v.愤恨,怨恨"
determinant,adj.决定性的
complexity,"n.复杂(性),复杂的事物,复杂性"
post-mortem,
abundant,"adj.丰富的,充裕的,丰富,盛产,富于"
erupt,vt.喷出vi.爆发
nutrient,adj.有营养的
geographical,"adj.地理学的,地理的"
conventional,"adj.惯例的,常规的,习俗的,传统的"
enduring,"adj.持久的,不朽的"
materialistic,"adj.唯物论的,唯物主义的"
variable,"n.[数]变数,可变物,变量adj.可变的,不定的,易变的,[数]变量的"
empirical,"adj.完全根据经验的,经验主义的,[化]实验式"
slothful,adj.偷懒的
committee,n.委员会
short-sighted,
participate,"vi.参与,参加,分享,分担"
intimidate,v.胁迫
donation,"n.捐赠品,捐款,贡献"
mould,"n.[亦作mold] 肥土,壤土,[亦作mold] 霉,模具v.用土覆盖,发霉,铸造"
censure,v.责难n.责难
stride,"v.大步走(过),跨过,大步行走n.步幅"
postpone,"vt.推迟,使延期,延迟"
subsidiary,"adj.辅助的,补充的"
immigrant,"adj.(从外国)移来的,移民的,移居的n.移民,侨民"
isolated,"adj.隔离的,孤立的,单独"
strategist,n.战略家
prominence,"n.突出,显著,突出物"
aquarium,"n.养鱼池,玻璃缸,水族馆"
trait,"n.显著的特点,特性"
transcribe,v.转录
means,"n.手段,方法v.意味,想要"
redundant,adj.多余的
lateral,"n.侧部,支线,边音adj.横(向)的,侧面的"
pregnant,"adj.怀孕的,重要的,富有意义的,孕育的"
allusion,"n.提及,暗示"
periodical,"adj.周期的,定期的n.期刊,杂志"
spill,"n.溢出,溅出,摔下,木片,小塞子,暴跌,溢出量vt.使溢出,使散落,洒,使流出,使摔下,倒出vi.溢出,涌流,充满"
simplicity,"n.简单,简易,朴素,直率"
verbal,adj.口头的
instinct,n.本能
auditory,"adj.耳的,听觉的"
emulate,n.仿效
edify,v.启发
portrait,"n.肖像,人像"
accuse,"vt.控告,谴责,非难"
unsatisfactory,"adj.令人不满意的,不能解决问题的,不得人心的"
expedition,"n.远征,探险队,迅速,派遣"
relevance,"n.中肯,适当"
muggy,adj.闷热的
spasmodic,"adj.痉挛的,间歇性的"
earnest,"adj.认真的,热心的,重要的n.真挚,定金,认真,热心"
embankment,"n.堤防,筑堤"
incinerate,"vi.把...烧成灰,烧弃"
domain,"n.领土,领地,(活动、学问等的)范围,领域"
symptom,"n.[医][植]症状,征兆"
thrill,v.发抖
occasional,"adj.偶然的,非经常的,特殊场合的,临时的"
sublime,"adj.庄严的,崇高的,壮观的,卓越的,极端的,异常的v.提高,(使)变高尚,(使)纯化,(使)升华n.庄严,崇高,顶点"
gloomy,"adj.黑暗的,阴沉的,令人沮丧的,阴郁的"
barren,"adj.不生育的,不孕的,贫瘠的,没有结果的,无益的,单调的,无聊的,空洞的n.荒地"
notoriety,"n.恶名,丑名,声名狼藉,远扬的名声"
periodic,"adj.周期的,定期的"
condone,"vt.宽恕,赦免"
supernatural,"adj.超自然的,神奇的n.超自然物,神奇人物,不可思议的事"
insulting,"adj.侮辱的,污蔑的,无礼的,损害人体的"
recipe,n.处方
cemetery,"n.墓地,公墓"
large-scale,
outstanding,"adj.突出的,显著的"
unorthodox,"adj.非正统的,异教的,异端的"
incongruity,"n.不调和的,不适宜的"
suckle,"vt.哺乳,养育,吮吸vi.吸奶"
crescent,"n.新月,月牙adj.新月形的,逐渐增加的"
avenue,"n.林荫道,大街,方法,途径,路"
moderate,"adj.中等的,适度的,适中的v.缓和"
fragment,"n.碎片,断片,片段"
hesitate,"v.犹豫,踌躇,不愿"
startling,adj.令人吃惊的
sprawl,"n.四肢伸开的躺卧姿势,蔓生v.四肢伸开地坐(或卧),爬行,蔓生,蔓延"
glamour,"n.[亦作glamor] 魔力,魅力v.迷惑"
counterpart,"n.副本,极相似的人或物,配对物"
confer,"vt.授予(称号、学位等),赠与,把...赠与,协议v.协商,交换意见"
tenable,adj.可维持的
so-called,
arouse,"vt.唤醒,唤起,鼓励,引起vi.睡醒"
pesticide,n.杀虫剂
chilling,
fantastic,"adj.幻想的,奇异的,稀奇古怪的,荒谬的,空想的"
diversity,"n.差异,多样性"
formidable,"adj.强大的,令人敬畏的,可怕的,艰难的"
bind,"v.绑,镶边,装订,凝固,约束"
endorse,"v.在(票据)背面签名,签注(文件),认可,签署"
analogy,"n.类似,类推"
well-balanced,
bestow,"vt.给予,安放"
indispensable,"n.不可缺少之物adj.不可缺少的,绝对必要的"
default,"n.默认(值),缺省(值),食言,不履行责任,[律]缺席v.疏怠职责,缺席,拖欠,默认"
casual,"adj.偶然的,不经意的,临时的"
complement,"n.补足物,[文法]补语,[数]余角vt.补助,补足"
patriotic,"adj.爱国的,有爱国心的"
riot,"n.暴乱,骚动,(植物,疾病等)蔓延,放荡,暴动v.骚乱,放纵,挥霍,参加骚动"
conservative,"adj.保守的,守旧的n.保守派"
burrow,n.洞穴v.挖地洞
spiritual,adj.精神上的
meek,"adj.温顺的,谦恭的,(河流等)和缓的,驯服的"
recipient,"adj.容易接受的,感受性强的n.容纳者,容器"
mayor,n.市长
prerequisite,n.先决条件adj.首要必备的
barbed,"adj.有刺的,具侧刺毛的,(话语)尖刻的,尖锐的,讽刺的"
induce,"vt.劝诱,促使,导致,引起,感应"
pointer,n.指示器
animate,v.鼓舞adj.生气勃勃的
benevolent,adj.慈善的
coastline,n.海岸线
horrific,"adj.令人毛骨悚然的,可怕的,恐怖的"
decent,"adj.正派的,端庄的,有分寸的,(服装)得体的,大方的adj.<口>相当好的、象样的"
compound,"n.混合物,[化]化合物adj.复合的v.混合,配合"
nutritious,"adj.有营养成分的,营养的"
revive,"v.(使)苏醒,(使)复兴,(使)复活,(使)再生效,回想"
vital,"adj.生死攸关的,重大的,生命的,生机的,至关重要的,所必需的"
explosive,"adj.爆炸(性)的,爆发(性)的,暴露n.爆炸物,炸药"
bibliography,"n.(有关一个题目或一个人的)书目,参考书目"
insidious,adj.阴险的
realistic,adj.现实(主义)的
maze,"n.曲径,迷宫,迷津,迷惘,迷惑,糊涂vt.使迷惘,使混乱,迷失"
fantasy,"n.幻想,白日梦"
wield,v.挥
wastage,"n.消耗量,损耗,废物"
disintegrate,"vt.(使)分解,(使)碎裂"
apprentice,n.学徒v.当学徒
exclusively,"adv.排外地,专有地"
torment,n.痛苦v.折磨
subliminal,"adj.下意识的,潜在意识的"
restriction,"n.限制,约束"
metabolism,"n.新陈代谢,变形"
tumble,"n.跌倒,摔跤,翻斤斗vi.翻倒,摔倒,倒塌,滚动,翻筋斗,仓惶地行动vt.使摔倒,使滚翻,弄乱"
manipulative,"adj.操作的,操纵的,控制的"
evasive,"adj.逃避的,推托的"
ingenious,"adj.机灵的,有独创性的,精制的,具有创造才能"
optimum,n.最适宜adj.最适宜的
refinement,"n.精致,(言谈,举止等的)文雅,精巧"
confine,"vt.限制,禁闭n.界限,边界"
afflicting,痛苦的
masterpiece,"n.杰作,名著"
midst,n.中间 prep.在...中间
recognition,"n.赞誉,承认,重视,公认,赏识 识别"
erect,"adj.直立的,竖立的,笔直的vt.盖,使竖立,使直立,树立,建立vi.[生理]勃起"
miserable,"adj.痛苦的,悲惨的,可怜"
crackdown,"n.压迫,镇压,打击"
introvert,n.格性内向的人
transmission,"n.播送,发射,传动,传送,传输,转播"
probe,"n.探针,探测器vt.(以探针等)探查,查明"
encapsulate,"vt.装入胶囊,压缩vi.形成胶囊"
geometric,"adj.几何的,几何学的"
collaborative,"adj.合作的,协作的,协力完成的"
finite,"adj.有限的,[数]有穷的,限定的"
disprove,"v.反驳,驳斥,证明...为误"
vacant,"adj.空的,空白的,空灵的,头脑空虚的,神情茫然的,空闲的,空缺的"
distressing,"adj.悲伤的,使痛苦的,使烦恼的"
breed,"v.(使)繁殖,教养,抚养n.品种,种类"
sequential,"adj.连续的,相续的,有继的,有顺序的,结果的"
entrepreneur,"n.<法>企业家,主办人"
grope,v.n.摸索
waterproof,"adj.防水的,不透水的"
propel,"vt.推进,驱使"
discriminate,"v.歧视,区别,区别待遇"
empower,"v.授权与,使能够"
gleam,"n.微弱的闪光,一丝光线,瞬息的一现vi.闪烁,隐约地闪现vt.使发微光,使闪烁"
interlink,vt.连结n.连环
tender,"adj.嫩的,温柔的,软弱的"
shortcoming,"n.缺点,短处"
remedy,"n.药物,治疗法,补救,赔偿vt.治疗,补救,矫正,修缮,修补"
recalcitrant,"adj.反抗的,反对的,顽抗的n.反抗的人,顽抗者"
dramatically,"adv.戏剧地,引人注目地"
firsthand,"adj.(来源,资料等)直接的,直接得来的,直接采购的adv.第一手地,直接地"
blaze,"n.火焰,光辉,情感爆发vi.燃烧,照耀,激发vt.在树皮上刻路标,公开宣布"
weak-willed,
statistically,"adv.统计上地,统计地"
egalitarian,adj.平等主义的n.平等主义
toxin,n.[生化][生]毒素
tangle,n.混乱状态v.处于混乱状态
monotonous,"adj.单调的,无变化的"
imperil,"vt.使处于危险,危害"
reunion,"n.团圆,重聚"
striking,"adj.打击的,显著的,惊人的,罢工的"
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
swallow,"n.[鸟]燕子,吞咽,喉vt.咽,淹没,吞没,取消,忍受,轻信,压制,耗尽vi.吞下,咽下"
fascinate,"vt.使着迷,使神魂颠倒vi.入迷,极度迷人的"
contractor,"n.订约人,承包人"
deteriorate,v.(使)恶化
insatiable,"adj.不知足的,贪求无厌的"
metaphor,"n.[修辞]隐喻,暗喻,比喻说话"
inculcate,v.谆谆劝导
secondary,"adj.次要的,二级的,中级的,第二的"
cohesion,"n.结合,凝聚,[物理]内聚力"
participation,"n.分享,参与"
conceivable,"adj.可能的,想得到的,可想像的"
catalogue,n.目录
refrain,"n.重复,叠句,[乐]副歌vi.节制,避免,制止"
immortalise,"v.使不灭,使不朽"
bulge,"n.凸出部分v.凸出,膨胀"
loyalty,"n.忠诚,忠心"
catastrophe,"n.大灾难,大祸"
distribution,"n.分配,分发,配给物,销售,法院对无遗嘱死亡者财产的分配,分布状态,区分,分类 发送,发行"
subtle,"adj.狡猾的,敏感的,微妙的,精细的,稀薄的"
statue,vt.以雕像装饰n.雕像
peer,"n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族"
preferably,adv.更适宜
drowsiness,n.睡意
cameral,adj.有关立法或司法机构之一院的
intervene,"vi.干涉,干预,插入,介入,(指时间)介于其间v.干涉"
appraisal,"n.评价,估价(尤指估价财产,以便征税),鉴定"
reiterate,"vt.反复地说,重申,重做"
volatile,"adj.飞行的,挥发性的,可变的,不稳定的,轻快的,爆炸性的n.[现罕]有翅的动物,挥发物"
reluctance,"n.不愿,勉强"
disrespectful,"adj.失礼的,无礼的"
prestige,"n.声望,威望,威信"
status,"n.身份,地位,情形,状况"
consent,"vi.同意,赞成,答应n.同意,赞成,允诺"
hypothetical,"adj.假设的,假定的,爱猜想的"
insomnia,"n.失眠,失眠症"
betray,"vt.出卖,背叛,泄露(秘密),露出...迹象"
calibre,n.口径
emerging,
encyclopaedia,n.百科全书
mammal,n.哺乳动物
roaring,"n.咆哮,呼喊,怒吼adj.咆哮的,轰鸣的,喧闹的"
predominant,"adj.卓越的,支配的,主要的,突出的,有影响的"
mentor,"n.[希神]门特(良师益友),贤明的顾问,导师,指导者"
simulate,"vt.模拟,模仿,假装,冒充"
focal,"adj.焦点的,有焦点的,在焦点上的"
curative,adj.医疗的n.药品
water-borne,
identity,"n.同一性,身份,一致,特性,恒等式"
suspend,"vt.吊,悬挂v.延缓"
category,"n.种类,别,[逻]范畴"
frighten,vt.使惊吓vi.惊恐
appetite,"n.食欲,胃口,欲望,爱好"
solicit,v.恳求
captivity,"n.囚禁,被关"
transition,"n.转变,转换,跃迁,过渡,变调"
designate,"vt.指明,指出,任命,指派v.指定,指派"
shrewd,adj.精明
profitable,adj.有利可图的
nonetheless,"adv.虽然如此,但是"
segment,"n.段,节,片断v.分割"
bidding,"n.命令,出价,邀请"
laundry,"n.洗衣店,要洗的衣服,洗熨"
roam,"v.漫游,闲逛,徜徉n.漫步,漫游,徘徊"
sophisticate,"n.久经世故的人,老油条,精于...之道的人vt.篡改,曲解,使变得世故,掺合,弄复杂vi.诡辩"
offence,"n.犯罪,冒犯,违反,罪过,过错n.[军] 攻击"
abhorrent,"adj.可恶的,格格不入的"
truant,n.逃避者adj.逃避
migration,"n.移民,移植,移往,移动"
command,"n.命令,掌握,司令部v.命令,指挥,克制,支配,博得,俯临"
degrade,"v.(使)降级,(使)堕落,(使)退化"
fanatical,"adj.狂热的,盲信的"
fascinating,"adj.迷人的,醉人的,着魔的"
revere,"v.尊敬,敬畏,崇敬"
sediment,"n.沉淀物,沉积"
sparsely,"adv.稀疏地,稀少地"
herbivore,n.草食动物
pathology,n.病理学
mechanical,"adj.机械的,机械制的,机械似的,呆板的"
distinguish,"v.区别,辨别"
irrationally,"adv.不合理地,无理性地"
eliminate,"vt.排除,消除v.除去"
billion,n.adj.十亿(的)
rationale,n.基本原理
exemplify,"vt.例证,例示,作为...例子"
cleave,"v.劈,劈开,裂开vi.粘着,忠于,坚持"
navigation,"n.航海,航空,导航,领航,航行"
ambiguous,"adj.暧昧的,不明确的"
emerge,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
admittedly,"adv.公认地,诚然,无可否认的"
cater,"vi.备办食物,满足(需要),投合"
chronic,"adj.慢性的,延续很长的"
lawsuit,n.诉讼(尤指非刑事案件)
residue,"n.残余,渣滓,滤渣,残数,剩余物"
grind,"v.磨(碎),碾(碎),折磨"
nuisance,"n.讨厌的人或东西,麻烦事,损害"
antibiotic,n.抗生素adj.抗生的
alumni,"n.pl.男毕业生,男校友"
illegal,"adj.违法的,不合规定的"
demanding,"adj.过分要求的,苛求的"
persistence,"n.坚持,持续"
inability,"n.无能,无力"
perception,"n.理解 感知,感觉 DPS公司出的数字影像压缩卡"
irritation,n.愤怒
entrepreneurial,
synthesise,v.<主英>=synthesize
aesthetic,"adj.美学的,审美的,有审美感的"
slander,n.诽谤v.诽谤
accurately,"adv.正确地,精确地"
customary,"adj.习惯的,惯例的"
eligible,"adj.符合条件的,合格的"
disperse,"v.(使)分散,(使)散开,疏散"
withdraw,"vt.收回,撤消vi.缩回,退出v.撤退"
innumerable,"adj.无数的,数不清的"
transparent,"adj.透明的,显然的,明晰的"
yield,"v.出产,生长,生产vi.(～ to)屈服,屈从n.产量,收益"
reinforce,"vt.加强,增援,补充,增加...的数量,修补,加固vi.求援,得到增援n.加固物"
tangible,adj.切实的
accountant,"n.会计(员),会计师"
blossom,"n.花(尤指结果实者),花开的状态,兴旺期vi.开花,兴旺,发展"
amass,"vt.收集,积聚(尤指财富)"
fatality,"n.命运决定的事物,不幸,灾祸,天命"
exhaustive,"adj.无遗漏的,彻底的,详尽的,无遗的"
tolerance,"n.公差,宽容,忍受,容忍,(食物中残存杀虫剂的)(法定)容许量vt.给(机器部件等)规定公差"
apace,"adv.快速地,急速地"
boundless,"adj.无限的,无边无际的"
incompatible,"adj.性质相反的,矛盾的,不调和的"
hawk,"n.鹰,掠夺他人的人,鹰派成员vi.放鹰,像鹰一般地袭击,清嗓,咳嗽vt.捕捉,咳出,兜售,(沿街)叫卖,散播"
dispirited,adj.沮丧的
immobile,n.稳定
impatient,"adj.不耐烦的,急躁的,不耐心的"
layout,"n.规划,设计,(书刊等)编排,版面,配线,企划,设计图案,(工厂等的)布局图 版面设计"
uncertainty,"n.无常,不确定,不可靠,半信半疑"
superficial,"adj.表面的,肤浅的,浅薄的"
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
exploitation,"n.开发,开采,剥削,自私的利用,宣传,广告"
orientate,"v.向东,朝向"
impetus,"n.推动力,促进"
correlation,"n.相互关系,相关(性)"
straightforward, dly//adv.正直地
hesitation,"n.犹豫,踌躇"
accordance,"n.一致,和谐"
maturity,"n.成热,完备,(票据)到期,成熟"
forgo,"vt.作罢,放弃"
lush,"adj.青葱的,味美的,豪华的,繁荣的"
bulk,"n.大小,体积,大批,大多数,散装vt.显得大,显得重要,"
despondency,"n.失去勇气,失望"
supersede,"vt.代替,取代,接替,紧接着...而到来,[律]延期vi.推迟行动"
participant,"n.参与者,共享者adj.参与的"
sympathetic,"adj.有同情心的,合意的,赞成的n.[解]交感神经,容易感受的人"
predictable,adj.可预言的
refine,"vt.精炼,精制,使文雅高尚"
administrator,"n.管理人,行政官 (Administrator)[计]网络管理员"
crumble,"v.弄碎,粉碎,崩溃n.面包屑"
apportion,v.分配
restoration,"n.恢复,归还,复位,复职,赔偿,修补,重建,修复物"
bypass,"n.旁路vt.设旁路,迂回"
recourse,"n.求援,求助,[商][律]追索权"
enforce,"vt.强迫,执行,坚持,加强"
organic,"adj.器官的,有机的,组织的,建制的"
emphasis,"n.强调,重点"
intriguing,"adj.迷人的,有迷惑力的,引起兴趣(或好奇心)的"
query,"n.质问,询问,怀疑,疑问v.询问,表示怀疑"
revert,v.回复
mantle,"n.斗蓬,覆盖物,壁炉架v.披风,覆盖"
paediatric,"adj.[医]儿科的,儿科医学的"
alignment,"n.队列,结盟"
astray,"adv.迷途地,入歧途地"
insecure,"adj.不可靠的,不安全的"
ferry,"n.摆渡,渡船,渡口vt.渡运,(乘渡船)渡过,运送vi.摆渡,(船)来往行驶"
fatigue,"n.疲乏,疲劳,累活,[军]杂役vt.使疲劳,使心智衰弱vi.疲劳"
extinct,"adj.熄灭的,灭绝的,耗尽的vt.<古>使熄灭"
hinder,"adj.后面的v.阻碍,打扰"
ramification,"n.分枝,分叉,衍生物,支流"
decouple,v.减弱(核爆炸)震波
delusion,n.错觉
preliminary,"adj.预备的,初步的"
truce,"n.休战,休战协定,休止"
globalisation,
utterly,"adv.完全地,绝对地,彻底地"
attain,"vt.达到,获得v.达到"
build-up,
council,"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子"
succulent,"adj.多汁的,多水分的,多汁性的n.肉质植物,多汁植物"
abate,"vt.使(数量、程度等)减少,减轻,除去,缓和,打折扣vi.(数量、程度等)减少,减轻,失效,缓和,(法令等)被废除"
prune,v.剪除
exposure,"n.暴露,揭露,暴光,揭发,揭露,位向,方向,陈列"
grimy,"adj.污秽的,肮脏的"
canteen,"n.小卖部,食具箱,饭盒,(军用)水壶"
minimal,"adj.最小的,最小限度的"
sensible,"adj.有感觉的,明智的,有判断力的"
proficiency,"n.熟练,精通,熟练程度"
circumstance,"n.环境,详情,境况"
amorphous,"adj.无定形的,无组织的"
transit,"n.经过,通行,搬运,运输,运输线,转变vt.横越,通过,经过vi.通过n.[天] 中天,经纬仪"
disparity,"n.(职位、数量、质量等)不一致,不同,不等"
pretentious,adj.自命不凡的
swap,v.交换n.交换
spot,"n.班点,污点,地点,场所,现场v.沾污,弄脏,侦察vt.认出,发现"
combination,"n.结合,联合,合并,化合,化合物"
monolingual,"adj.仅用一种语言的,仅懂一种语言的"
privilege,"n.特权,特别待遇,基本公民权力,特免vt.给与...特权,特免"
acquisition,"n.获得,获得物"
traverse,"n.横贯,横断,横木,障碍,否认,反驳,(建筑)通廊vt.横过,穿过,经过,在...来回移动,反对,详细研究vi.横越,横断,旋转,来回移动adj.横断的,横的"
identifiable,adj.可以确认的
intoxicated," 喝醉的,极其兴奋的"
proximity,"n.接近,亲近"
lax,"adj.松的,松懈的,不严格的,腹泻的,松驰的n.泻肚,[语]松元音"
adapt,"vt.使适应,改编"
publicity,n.公开
complicated,"adj.复杂的,难解的"
abrupt,"adj.突然的,陡峭的,生硬的"
regardless,"adj.不管,不顾,不注意"
resurgence,n.苏醒
sanitary,"adj.(有关)卫生的,(保持)清洁的,清洁卫生的n.(有关生设备的)公共厕所"
ravage,"n.破坏,蹂躏,劫掠后的痕迹,创伤v.毁坏,掠夺"
detrimental,adj.有害的
envisage,v.正视
recover,"vt.重新获得,恢复,使改过vi.痊愈,复原,胜诉"
sustainable,"adj.可以忍受的,足可支撑的,养得起的,"
chorus,"n.合唱,合唱队,齐声"
conclusive,"adj.确实的,最后的,决定性的"
ape,
veer,"vi.转向,(风向)顺(时针)转vt.使转向,放出(锚)n.转向,方向的转变"
magnet,"n.磁体,磁铁"
convoy,"n.护送,护卫vt.护航,护送"
afield,"adv.离开(家乡),在战场上,在田野"
megacity,n.(人口超过100万的)大城市
remarkable,"adj.不平常的,非凡的,值得注意的,显著的"
stunning,"adj.足以使人晕倒的,极好的"
cautious,"adj.谨慎的,小心的"
criterion,"n.(批评判断的)标准,准据,规范"
personnel,"n.人员,职员"
artery,"n.动脉,要道"
afflict,"vt.使痛苦,折磨"
bleak,"adj.寒冷的,阴冷的,荒凉的,凄凉的,黯淡的,"
racket,"n.球拍,喧闹纷乱v.过着花天酒地的生活"
recoil,"n.畏缩,后退,弹回,反作用,后座力vi.退却,畏缩,弹回,撤退,反冲"
outline,"n.大纲,轮廓,略图,外形,要点,概要vt.描画轮廓,略述"
sensory,"adj.感觉的,感官的"
routine,"n.例行公事,常规,日常事务,程序"
module,"n.模数,模块,登月舱,指令舱"
strategy,"n.策略,军略"
aviation,"n.飞行,航空,航空学,航空术"
formulate,"vt.用公式表示,明确地表达,作简洁陈述v.阐明"
oblique,"adj.倾斜的,间接的,不坦率的,无诚意的"
militant,"adj.好战的,积极从事或支持使用武力的"
wryly,"adv.挖苦地,表情冷漠地"
notable,"adj.值得注意的,显著的,著名的"
occupancy,n.占有
leap,"v.跳,跳越,跳跃n.跳跃,飞跃"
congested,adj.拥挤的
anchor,"n.锚v.抛锚,锚定"
vigilant,"adj.警惕着的,警醒的"
watertight,"adj.不漏水的,水密的"
deter,v.阻止
laconic,"adj.(用词)简洁的,简明的"
fuse,"n.保险丝,熔丝v.熔合"
proportion,"n.比例,均衡,面积,部分vt.使成比例,使均衡,分摊"
misfortune,"n.不幸,灾祸"
boost,v.推进
install,"vt.安装,安置,使就职"
regularity,"n.规律性,规则性,整齐,匀称"
inflammable,"adj.易燃的,易怒的"
haunt,v.神鬼出没
deterioration,"n.变坏,退化,堕落"
underlying,"adj.在下面的,根本的,潜在的,[商]优先的"
unobtrusive,"adj.不唐突的,不多嘴的,客气的,谦虚的"
maximise,vt.<主英> =maximize
diagram,n.图表
toxic,"adj.有毒的,中毒的"
dip,
eventually,"adv.最后,终于"
detour,"n.便道,绕路vi.绕路而行vt.使绕道"
squander,v.浪费
diameter,n.直径
effluent,"adj.发出的,流出的n.流出物,排水道,污水,排水渠"
dubious,"adj.可疑的,不确定的"
prevention,"n.预防,防止"
complementary,"adj.补充的,补足的"
sociable,"adj.好交际的,友善的,增进友谊的,喜欢群居的"
sequence,"n.次序,顺序,序列"
perplex,v.困惑
spew,v.喷涌
demolition,"n.破坏,毁坏,(pl.)毁坏之遗迹"
creep,"vi.爬,蹑手蹑脚,蔓延"
fidelity,"n.忠实,诚实,忠诚,保真度,(收音机,录音设备等的)逼真度,保真度,重现精度"
sporadically,"adv.偶发地,零星地"
carpentry,n.木工工作
noteworthy,"adj.值得注目的,显著的"
approximately,"adv.近似地,大约"
spontaneous,"adj.自发的,自然产生的"
overtake,"vt.赶上,追上,(暴风雨、麻烦等)突然来袭,压倒"
integrity,"n.正直,诚实,完整,完全,完整性"
chancellor,"n.长官,大臣"
ponderous,"adj.沉重的,笨重的,冗长的,沉闷的,(指问题等)呆板的"
discursive,"adj.散漫的,不得要领的"
guzzle,"v.狂饮,暴食,喝酒化掉(钱)"
witness,"n.[律]证人,目击者,证据,证明,证词vt.目击,为...作证,证明,表明vi.作证,成为证据"
internal,"adj.内在的,国内的"
captive,"n.俘虏,被美色或爱情迷住的人adj.被俘的,被迷住的"
respectively,"adv.分别地,各个地"
saving,"n.存款,挽救,救助,节约adj.搭救的,挽救的,节约的,节俭的,保留的,补偿的 prep.除...之外,考虑到"
vulnerable,"adj.易受攻击的,易受...的攻击"
persevere,v.坚持
maltreat,"vt.虐待,滥用"
coarse,"adj.粗糙的,粗鄙的"
fickle,"adj.(在感情等方面)变幻无常的,浮躁的,薄情的"
cruel,"adj.残酷的,悲惨的,使痛苦的"
soar,"v.高飞,高丛,滑翔,剧增,昂扬n.高飞范围,高涨程度"
intact,"adj.完整无缺的,尚未被人碰过的,(女子)保持童贞的,(家畜)未经阉割的"
sneeze,n.喷嚏vi.打喷嚏
revitalise,
submerge,"v.浸没,淹没,掩没vi.潜水"
legitimise,vt.<主英> =legitimize
deadly,"adj.致命的,势不两立的,死一般的,极度的,必定的"
reclaim,"vt.要求归还,收回,开垦"
opaque,"n.不透明物adj.不透明的,不传热的,迟钝的"
enable,"vt.使能够,授予权利或方法"
timid,"adj.胆小的,羞怯的"
session,"n.会议,开庭"
trap,"n.圈套,陷阱,诡计,活板门,存水弯,汽水闸,(双轮)轻便马车vi.设圈套,设陷阱vt.诱捕,诱骗,计捉,设陷,坑害,使受限制"
shorthand,n.速记
elite,"n.<法>[集合名词]精华,精锐,中坚分子"
inscribe,v.记下
refectory,"n.(修道院,学院等处的)食堂,餐厅"
obesity,"n.肥胖,肥大"
concussion,"n.激动,冲击,[医]震荡"
adaptable,"adj.能适应的,可修改的"
thoroughly,"adv.十分地,彻底地"
array,"n.排列,编队,军队,衣服,大批;vt.部署,穿着,排列"
illuminate,"vt.照明,照亮,阐明,说明,使灿烂,以灯火装饰(街道等)vi.照亮"
perspective,"n.透视画法,透视图,远景,前途,观点,看法,观点,观察"
longitude,"n.经度,经线"
bilateral,"adj.有两面的,双边的"
convict,"vt.证明...有罪,宣告...有罪n.罪犯"
discrete,"adj.不连续的,离散的"
premium,"n.额外费用,奖金,奖赏,保险费,(货币兑现的)贴水"
extent,"n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令"
dissent,v.不同意
fancy,"adj.奇特的,异样的vt.想象,设想,认为,爱好,自负n.爱好,迷恋,想象力"
industrious,"adj.勤勉的,刻苦的"
