abatement,n.消除
fireproof,"adj.耐火的,防火的vt.使防水,使耐火"
flabby,"adj.优柔寡断的性格(或人),软弱的,没气力的,不稳的,(肌肉等)不结实的,松弛的"
flag,"n.旗,标记v.标记"
flagging,"n.铺砌石板,铺石材料,石板路adj.下垂的,衰弱的,委顿的,逐渐衰退(或减退,低落)的"
flaggy,"adj.多扁石的,多菖蒲的"
flagrant,"adj.非常的,不能容忍的,恶名昭著的,公然的"
flake,"n.薄片v.使成薄片,剥落,雪片般落下"
flamboyant,"adj.辉耀的,华丽的,火焰似的,艳丽的"
flatter,"vt.过分夸赞,奉承,阿谀,使高兴,使满意,(画,肖像上的形象)胜过(真人或实物)"
flaunt,"n.招展,招摇,炫耀,飘扬v.挥动,夸耀,炫耀,飘扬"
flaunty,adj.虚华的
flaw,"n.缺点,裂纹,瑕疵,一阵狂风vt.使破裂,使有缺陷,使无效vi.生裂缝,变的有缺陷"
flawed,
fleeting,
flexible,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
flickering,"adj.闪烁的,摇曳的,忽隐忽现的,一闪一闪的"
flimsy,"adj.易坏的,脆弱的,浅薄的,没有价值的,不足信的,(人)浮夸的n.薄纸,描图用薄纸,薄纸稿纸"
flip,"vt.掷,弹,轻击,(用鞭等)抽打,空翻vi.用指轻弹,抽打,翻动书页(或纸张),蹦跳n.抛,弹,筋斗adj.无礼的,冒失的,轻率的"
flippant,"adj.<古>能说会道的,轻率的,没礼貌的,嘴碎的"
flock,"n.羊群,(禽、畜等的)群,大量,众多v.聚结"
floral,"adj.植物群的,花似的,花的,植物的"
florid,"adj.华丽的,红润的,炫耀的,绚丽的"
flounder,"vi.(在水中)挣扎,困难地往前走,踌躇,发慌n.挣扎,辗转,比目鱼"
flourish,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期vt.挥动,夸耀n.茂盛,兴旺,华饰,繁荣"
flout,"vt.轻视,嘲笑,愚弄vi.表示轻蔑n.侮辱,嘲笑,愚弄,轻视"
fluctuate,"vi.变动,波动,涨落,上下,动摇vt.使动摇,使波动,使起伏"
fluctuation,"n.波动,起伏"
fluffy,"adj.绒毛似的,披着绒毛的,蓬松的,愚蠢的"
fluid,"n.流动性,流度adj.流动的,不固定的,可改变的,可另派用场的,流畅的"
fluorescent,"adj.荧光的,莹光的"
flustered,
foible,"n.弱点,(性格上的)缺点,自负的地方,怪癖,癖好,(刀剑)自中部至尖端的部分"
foliage,"n.树叶,植物"
folklore,n.民间传说
folly,"n.愚蠢,荒唐事,轻松歌舞剧,讽刺剧,傻念头,傻话,耗费巨大而又无益的事,<古>放荡"
foodstuff,"n.食品,粮食"
forbear,"v.忍耐,克制,避免n.祖先"
forebode,"v.预示,预言,预兆,预感"
foreknowledge,"n.预知,先见之明"
foreshadow,v.预示
foresight,"n.远见,深谋远虑"
forestall,"vt.之前,先...(用先发制人的方法)预防,阻止,囤积居奇,行动,用先发制人的方法预防,,垄断,阻碍"
forested,"adj.草木丛生的,被森林所覆盖的"
forfeit,"n.(因犯罪.过失.违约等而)丧失的东西,没收物,罚款vt.没收,丧失adj.丧失了的"
forlorn,adj.被遗弃的
formalized,
formation,"n.形成,构成,编队"
formidable,"adj.强大的,令人敬畏的,可怕的,艰难的"
formidably,"adv.可怕地,难对付地,,强大地"
formulaic,"adj.(根据)公式的,用俗套话堆砌成的,刻板的"
forsake,"vt.放弃,抛弃"
forte,n.长处
forthright,"adv.马上,立即adj.直接的,直率的,坦白的,豪爽的n.直路"
fortify,"vt.设防于,增强(体力,结构等)使坚强,增加,(酒)的酒精含量vi.筑防御工事"
fortitude,n.坚韧
fortuitous,"adj.偶然的,幸运的"
fossilized,
foster,"vt.养育,抚育,培养,鼓励,抱(希望) n.养育者,鼓励者"
foul,"adj.污秽的,邪恶的,肮脏的,淤塞的,恶劣的vt.弄脏,妨害,污蔑,犯规,淤塞vi.腐烂,犯规,缠结n.犯规,缠绕adv.违反规则地,不正当地"
founder,"n.铸工,翻沙工,创始人,奠基人vt.使沉没,使摔倒,弄跛,浸水,破坏vi.沉没,摔到,变跛,倒塌,失败 方正集团,中国最著名的电子照排系统的生产商"
fractious,"adj.易怒的,倔强的,脾气不好的"
fragile,"adj.易碎的,脆的"
fragment,"n.碎片,断片,片段"
fragmentary,"adj.由碎片组成的,断断续续的"
frail,"adj.虚弱的,脆弱的,(意志)薄弱的n.<美俚>少女,少妇,灯心草篓"
frantic,"adj.狂乱的,疯狂的"
fraternity,"n.兄弟关系,友爱,互助会,兄弟会"
fraud,"n.欺骗,欺诈行为,诡计,骗子,假货"
fraudulent,"adj.欺诈的,欺骗性的,骗得的"
fraught,adj.充满...的
fray,"n.冲突,打架,争论,(织物等)磨损处vt.使磨损vi.被磨损"
frenetic,"adj.发狂的,狂热的n.发狂者"
frequency,"n.频率,周率,发生次数"
fret,"v.(使)烦恼,(使)焦急,(使)腐蚀,(使)磨损"
friend,"n.朋友,赞助者,助手"
frigid,"adj.寒冷的,冷淡的,(妇女)缺乏性感的"
frisky,"adj.活泼的,欢闹的,"
frivolity,"n.轻薄,轻率,无聊的举动"
frivolous,"adj.轻佻的,琐碎的,妄动的"
frugal,"adj.节俭的,朴素的"
frugality,"n.节俭,俭省"
fruitlessly,"adv.徒劳地,无益地"
frustrate,"v.挫败,阻挠,使感到灰心,阻止"
fulsome,"adj.过度的,令人生厌的,过分的"
fumigate,"vt.熏制,使发香"
function,"n.官能,功能,作用,职责,典礼,仪式,[数]函数vi.(器官等)活动,运行,行使职责"
fundamental,"adj.基础的,基本的n.[pl.] 基本原则,基本原理"
furtive,"adj.偷偷摸摸的,鬼鬼祟祟的,秘密的,私下的,隐密的"
fuse,"n.保险丝,熔丝v.熔合"
fused,
fusion,"n.熔化,熔解,熔合,熔接"
fussy,"adj.为琐事而担忧的,过分装饰的,繁琐的,急躁,爱挑剔的,难取悦的,"
futile,"adj.琐细的,无用的,无效果的,(人)没有出息的"
gain,"n.财物的增加,财富的获取,利润,腰槽,收获vt.得到,增进,赚到,开腰槽于vi.获利,增加"
gainsay,v.否认
galaxy,"n.星系,银河,一群显赫的人,一系列光彩夺目的东西"
gall,"n.胆汁,恶毒,怨恨,五倍子,苦味,磨伤(尤指马的),肿痛,恼怒vt.磨伤,烦恼,屈辱vi.被磨伤"
gallant,"adj.英勇的,豪侠的,堂皇的,壮丽的,华丽的,对妇女献殷勤的"
galvanize,"v.通电流于,电镀"
garble,"vt.断章取义,混淆"
garish,"adj.炫耀的,过分装饰的,(色彩、装饰、打扮等)俗气的"
garrulous,"adj.饶舌的,啁啾的,多嘴的"
gaudy,adj.华而不实的
gene,"n.[遗传]因子,[遗传]基因 Gene 吉恩(男子名)"
generalize,"vt.归纳,概括,推广,普及"
generate,"vt.产生,发生"
generation,"n.产生,发生,一代,一代人"
generic,"adj.[生物]属的,类的,一般的,普通的,非特殊的"
generosity,"n.慷慨,宽大"
generous,"adj.慷慨的,大方的,有雅量的"
genetic,"adj.遗传的,起源的"
genial,adj.亲切的
genre,"n.类型,流派"
genus,"n.种,类"
geomagnetic,adj.地磁的
germinate,"v.发芽,发育,使生长"
gibe,v.嘲笑n.嘲笑
giddy,"adj.眼花缭乱的,头晕的,轻率的v.(使)眼花,(使)眩晕"
glacial,"adj.冰的,冰状的,冰河的,冰河时代的,冰冷的"
glamorous,"adj.富有魅力的,迷人的"
glance,"vi.扫视,匆匆一看n.一瞥,眼光,匆匆一看"
glandular,"adj.腺(状)的,起腺体功能的,有腺的"
glaze,"v.装玻璃,上釉,使表面光滑n.釉料,釉面,光滑面,上釉,上光"
gloat,v.心满意足
gloom,"n.阴暗,阴沉v.(使)变阴暗,优伤地说,繁荣"
glossary,n.术语表
glossy,"adj.平滑的,有光泽的"
glucose,n.葡萄糖
glutinous,adj.粘性的
gluttonous,"adj.暴食的,饕餮的,贪吃的"
gorgeous,"adj.华丽的,灿烂的"
gospel,"n.福音,<俗>信仰,真理,<圣经·新约>福音书"
gouge,"n.圆凿,沟,以圆凿刨vt.用圆凿子削除,欺骗,挖出"
graft,"n.嫁接,(接技用的)嫩枝,(皮肤等的)移植,赎职v.嫁接,接技,移植(皮肤等),赎职"
grain,"n.谷物,谷类,谷粒,细粒,颗粒,粮食"
grandeur,"n.庄严,伟大"
grandiloquence,"n.夸张之言,豪言壮语,豪语"
grandiose,"adj.宏伟的,堂皇的,宏大的"
graphic,"adj.绘画似的,图解的"
grateful,"adj.感激的,感谢的"
gratify,vt.使满足
grating,"n.门窗的栅栏,[物理]光栅,摩擦,摩擦声adj.刺耳的"
gratuitous,"adj.免费的,无理由的"
grave,"n.墓穴,坟墓adj.严重的,(颜色)黯淡的,(声音)低沉的v.雕刻,铭记"
gravitational,adj.重力的
gravity,"n.地心引力,重力"
graze,"v.放牧,吃草,擦伤,擦过n.放牧,牧草,轻擦,擦破处"
gregarious,"adj.社交的,群居的"
grief,"n.悲痛,伤心事,不幸,忧伤"
grieve,"v.(使)悲痛,(使)伤心,忧伤"
grim,adj.严酷的
grind,"v.磨(碎),碾(碎),折磨"
gripping,
grope,v.n.摸索
groundless,"adj.无根据的,没有理由的"
grudge,v.不给予
grumble,"adj.抱怨地表示,嘟囔地说n.怨言,满腹牢骚vi.抱怨,发牢骚,咕哝,嘟囔,隆隆响vt.喃喃地说出"
guile,"n.狡诈,诡计"
guilt,"n.罪行,内疚"
gullible,adj.易受骗的
gush,v.涌出
gymnastic,"adj.体操的,体育的n.训练课程"
habituate,"vt.使习惯于,使熟习于"
hackneyed,"adj.不新奇的,陈腐的,常见的"
haggle,v.争价n.争价
hale,"adj.强壮的,健壮的(尤指老人),矍铄的vt.<古>强拉,硬拖"
halfhearted,"adj.不认真的,不热心的"
hallow,"vt.使...神圣,视为神圣"
halting,"adj.跛的,犹豫的,蹒跚的"
hamper,"v.妨碍,牵制"
haphazardly,
harass,v.烦恼
hardheaded,"adj.冷静的,脚踏实地的,无懈可击的,顽固的"
hardship,"n.困苦,艰难,辛苦"
harmonic,"adj.谐和的,和声的,融洽的n.谐波,和声,谐函数"
harsh,"adj.粗糙的,荒芜的,苛刻的,刺耳的,刺目的"
hatch,"n.孵化,舱口,舱口盖,(门、墙壁、地板上的)开口vt.孵,孵出,策划,图谋vi.孵化"
haughty,adj.傲慢的
haunt,v.神鬼出没
hazard,"n.冒险,危险,冒险的事vt.冒...的危险,赌运气,使遭危险"
hazardous,"adj.危险的,冒险的,碰运气的"
headstrong,"adj.不听命令的,顽固的,刚愎的,任性的"
hearten,"vt.鼓励,激励vi.振奋"
heartfelt,"adj.衷心的,真心真意的"
heavenly,"adj.如天堂的,神圣的,天空的,极优美的,天上的"
hedonist,"n.快乐主义者,享乐主义者"
heed,"n.注意,留意v.注意,留意"
heinous,"adj.可憎的,极恶的"
herald,"n.使者,传令官,通报者,先驱,预兆vt.预报,宣布,传达,欢呼"
herbaceous,"adj.草本的,似绿叶的"
hereditary,"adj.世袭的,遗传的"
heretical,"adj.异教的,异端的"
hesitant,"adj.犹豫的,吞吞吐吐的,犹豫不决"
heterodox,"adj.非正统的,异端的"
heterogeneous,adj.不同种类的 异类的
hiatus,"n.裂缝,脱落"
hibernate,v.冬眠
hierarchy,n.层次 层级
hieroglyph,"n.象形文字,图画文字"
hilarity,n.欢闹
histrionic,adj.戏剧的
hitherto,"adv.迄今,至今"
hive,"n.蜂房,蜂箱,闹市v.(使)入蜂箱,群居"
hoard,v.储藏
homemade,"adj.自制的,本国制的"
homespun,"n.手织物,朴素的"
homogeneity,"n.同种,同质,同次性"
homogeneous,"adj.同类的,相似的,均一的,均匀的"
homogenize,vi.均质化vt.使均匀
hormone,"n.荷尔蒙,激素"
horrific,"adj.令人毛骨悚然的,可怕的,恐怖的"
hospitable,"adj.好客的,招待周到的"
host,"n.主机,主人,旅馆招待vt.当主人招待"
hostile,"adj.敌对的,敌方的n.敌对"
hostility,"n.敌意,恶意,不友善,敌对,对抗,反对"
hot-tempered,
hover,v.盘旋
huckster,n.小贩v.叫卖
huddle,"v.拥挤,卷缩,草率从事,挤作一团n.杂乱的一堆,拥挤"
humane,adj.仁慈的
humanistic,adj.人文主义的
humanitarian,n.人道主义者
humble,"adj.卑下的,微贱的,谦逊的,粗陋的vt.使...卑下,挫,贬抑"
humdrum,adj.单调的
humidity,"n.湿气,潮湿,湿度<美>沼泽中的肥沃高地"
humiliate,"v.羞辱,使丢脸,耻辱"
humility,n.谦卑
hunch,"n.圆形之隆起物,肉峰,预感,大块vt.弯腰驼背,弓起背部,耸肩vi.向前移动,隆起"
hurl,"n.<俚>[棒球]用力或猛烈的投掷vt.用力投掷,愤慨地说出,丢下,推翻vi.猛投,猛掷"
hydrate,n.氢氧化物v.与水化合
hyperbole,n.[修辞]夸张法
hypersensitive,"adj.非常敏感的,敏感的"
hypnotic,"adj.催眠的,易被催眠的n.催眠药"
hypochondriac,"n.忧郁症患者adj.忧郁症的,患疑病的"
hypocrisy,n.伪善
hypocritical,"adj.伪善的,伪善者的"
hypothesis,n.假设
hypothetical,"adj.假设的,假定的,爱猜想的"
hysteria,
iconoclasm,"n.破坏偶像得理论,对偶像攻击,打破旧习"
iconoclastic,"adj.偶像破坏的,打破旧习的"
iconographic,"adj.肖像的,肖像学的,图像材料的,图示法的象征"
idealism,"n.理想主义,唯心论"
identifiable,adj.可以确认的
ideological,adj.意识形态的
ideology,n.意识形态
idiomatic,"adj.惯用的,合乎语言习惯的"
idiosyncracy,n.特质
idiosyncratic,"adj.特殊物质的,特殊的,异质的"
idyllic,"adj.田园短诗的,牧歌的,生动逼真的"
igneous,"adj.火的,似火的,[地]火成的"
ignoble,adj.不光彩的
ignominious,"adj.可耻的,不光彩的,下流的"
ignominy,n.耻辱
ignorance,"n.无知,不知"
ignore,"vt.不理睬,忽视,[律](因证据不足而)驳回诉讼"
illegitimate,"adj.违法的,非嫡出的,庶生的,私生的,不合理的,不合逻辑的n.非嫡出子,庶子vt.认为违法,认做私生子"
illicit,adj.违法的
illiterate,"n.文盲adj.不识字的,没受教育的"
ill-paying,
ill-prepared,
ill-repute,
illusory,"adj.产生幻觉的,幻影的,错觉的,虚假的,不牢靠的"
illustrative,"adj.说明性的,例证性的"
ill-will,
imbue,v.浸透
imitate,"vt.模仿,仿效,仿制,仿造v.模仿"
immaculate,adj.完美的
immature,"adj.不成熟的,未完全发展的"
immense,"adj.极广大的,无边的,<口>非常好的"
imminent,"adj.即将来临的,逼近的"
immobile,n.稳定
immodest,"adj.不谦虚的,不庄重的,下流的"
immutability,"n.不变,不变性,永恒性"
impair,v.削弱
impart,"vt.给予(尤指抽象事物),传授,告知,透露"
impartial,"adj.公平的,不偏不倚的"
impartiality,"n.不偏不倚,公正,公平"
impassable,"adj.不能通行的,无路可通的"
impassioned,adj.热情洋溢的
impassive,adj.冷漠的
impatience,n.急躁
impeccable,"adj.没有缺点的,不会做坏事的"
impecunious,"adj.(经常)没有钱的,身无分文的,贫穷的"
impede,v.阻止
impediment,"n.妨碍,阻碍,障碍物,(言语)障碍,口吃,障碍物"
impending,n.迫近
impenetrable,adj.难以渗透的
imperative,"n.命令,诫命,需要,规则,祈使语气adj.命令的,强制的,紧急的,必要的,势在必行的,[语法]祈使的"
imperial,adj.皇帝的
imperious,adj.专横的
impermanent,"adj.暂时的,非永久的"
impermeable,"adj.不能渗透的,不渗透性的"
impermissible,"adj.不许可的,不允许的"
impersonal,adj.非个人的
impersonate,"vt.模仿,扮演,人格化,拟人"
impertinent,"adj.无关的,鲁莽的,不相干的"
imperturbable,"adj.沉着的,冷静的"
impervious,"adj.不让进入,不会受到损伤的,密封的,不受影响的"
impetuous,"adj.冲动的,猛烈的,激烈的"
impiety,"n.不尊敬,无信仰,不虔诚"
implausible,"adj.难信的,不象真实的"
implement,"n.[常pl.] 工具,器具vt.贯彻,实现v.执行"
implication,"n.牵连,含意,暗示"
imply,"vt.暗示,意味"
impolitic,"adj.失策的,不得当的,不审慎的,没见识的"
imponderable,adj.不可估计的
imposing,"adj.使人难忘的,壮丽的"
impostor,n.冒名顶替者
imposture,"n.欺诈,冒牌"
impound,"vt.关在栏中,拘留,扣押,没收"
impracticability,"n.无法实施,不能实施的事项,"
impractical,"adj.不切实际的,昧于实际的"
imprecise,"adj.不严密的,不精确的"
impressed,
impressionable,"adj.容易受感动的,敏感的"
impressive,"adj.给人深刻印象的,感人的"
impromptu,"n.即席演出,即兴曲adj.即席的adv.即席地,未经准备地"
improper,"adj.不适当的,不合适的,不正确的,不合礼仪的,不适宜"
impropriety,"n.不适当,不适当的事物"
improvident,"adj.无远见的,浪费的"
improvise,v.临时准备
improvised,
imprudent,"adj.轻率的,鲁莽的"
impudent,"adj.放肆无礼的,,厚颜无耻的"
impugn,v.打击
impulse,"n.推动,刺激,冲动,推动力vt.推动"
impulsive,adj.冲动的
impunity,"n.不受惩罚,免罚,无患"
impute,"vt.归罪于,归咎于,归因于"
inadvertent,"adj.不注意的,疏忽的,无意中做的"
inadvisable,adj.失策的
inalienable,"adj.(指权利等)不能让与的,不能剥夺的"
inane,adj.空洞的
inappropriate,"adj.不适当的,不相称的"
inaugurate,"vt.举行就职典礼,创新,开辟,举行开幕(落成、成立)典礼."
inborn,"adj.天生的,生来的,先天的"
incandescent,"adj.遇热发光的,白炽的"
incapacitate,"vt.使无能力,使不能胜任"
incarnate,"vt.体现,使具体化,使成化身adj.化身的,人体化的,肉色的"
incendiary,"adj.纵火的,煽动的n.纵火犯,煽动者,燃烧弹"
incense,"n.熏香,熏香的烟vt.激怒"
incentive,n.动机adj.激励的
incessant,"adj.不断的,不停的"
incidence,"n.落下的方式,影响范围,[物理]入射"
incidental,"adj.附带的,伴随的,非主要的,偶然的,容易发生的n.伴随事件,(用复数)杂项、杂费"
incipient,adj.初始的
incise,"vt.切割,雕刻"
incisive,"adj.深刻的,尖锐的,激烈的"
incoherent,"adj.不连贯的,语无伦次的"
incommensurate,"adj.不相称的,不适应的"
incompatibility,"n.不两立,不相容"
incompatible,"adj.性质相反的,矛盾的,不调和的"
incompetent,"adj.不合格的,不胜任的n.无能力者"
incomplete,"adj.不完全的,不完善的"
incomprehensible,
inconclusive,adj.非决定的
incongruity,"n.不调和的,不适宜的"
incongruous,"adj.不调和的,不适宜的"
inconsequential,
inconsolable,"adj.无法安慰的,极为伤心的"
incontrovertible, /adv.无疑地
inconvenient,"adj.不便的,有困难的"
incorporate,"adj.合并的,结社的,一体化的vt.合并,使组成公司,具体表现vi.合并,混合,组成公司vt.[律]结社,使成为法人组织"
incorrigible,"adj.无药可救的,不能被纠正的"
incorruptible,"adj.不易败的,不被买的,清廉的"
incredulity,n.怀疑
incumbent,"adj.职责所在的,负有...义务的"
indebted,"adj.负债的,感恩的"
indecipherable,"adj.破译不出的,难辨认的"
indefatigable,adj.不知疲倦的
indent,"n.缩进,契约,订货单,凹痕vi.切割成锯齿状vt.(印刷,书写)缩排,定货,印凹痕"
indented,"adj.锯齿状的,犬牙交错的"
indenture,n.契约
indestructible,"adj.不能破坏的,不可毁灭的"
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
indict,"vt.起诉,控告,指控,告发"
indigence,"n.贫乏,穷困"
indigenous,adj.本土的
indigent,"adj.贫乏的,穷困的"
indignation,"n.愤慨,义愤"
indiscriminate,"adj.不分皂白的,不加选择的"
indiscriminately,
indistinguishable," /n.无差眀ly//adv.无差别礔Eb(E)l/adj.不能,不能识别"
individual,"n.个人,个体adj.个别的,单独的,个人的"
individualism,"n.个人主义,利己主义"
indolent,"adj.懒惰的,不痛的"
indubitable,"adj.不容置疑的,确实的,明白的"
indubitably,"adv.无疑地,确实地"
inducement,"n.诱导,诱因,动机,刺激物"
inducible,"adj.可诱导的,可导致的"
indulge,v.纵容
indulgent,adj.纵容的
inedible,"adj.不适于食用的,不能吃的"
inefficient,"adj.效率低的,效率差的,(指人)不能胜任的,无能的"
inelastic,adj.无弹性的
ineligible,adj.不合格的
inept,"adj.不适当的,无能的,不称职的"
ineptitude,n.不称职
inert,"adj.无活动的,惰性的,迟钝的"
inestimable,"adj.无价的,无法估计的"
inevitable,"adj.不可避免的,必然的"
inexcusable,"adj.没法辩解的,不可宽赦的"
inexhaustible,adj.无穷无尽的
inexorable,adj.无情的
inexpensive,"adj.便宜的,不贵重的"
inexplicable,adj.无法说明的
infamous,adj.声名狼籍的
infant,"n.婴儿,幼儿adj.婴儿的,幼稚的"
infantile,"adj.婴儿的,幼稚的,适于婴儿的初期的"
infect,"vt.[医] 传染,感染"
infection,"n.[医] 传染,传染病,影响,感染"
infectious,"adj.有传染性的,易传染的,有感染力的"
infer,v.推断
inferable,"adj.能推理的,能推论的"
inferior,"adj.下等的,下级的,差的,次的,自卑的,劣等的"
infertile,"adj.不肥沃的,贫瘠的,不毛的,不结果实的"
infest,v.大批滋生
infiltrate,v.渗透
infinitesimal,"adj.无穷小的,极小的,无限小的n.极小量,极微量,无限小"
infirm,"adj.弱的,不坚固的,柔弱的"
inflamed,
inflate,"vt.使膨胀,使得意,使(通货)膨胀,使充气vi.充气,膨胀"
inflexible,"adj.不屈的,不屈挠的,顽固的"
inflict,v.造成
influence,"n.影响,感化,势力,有影响的人(或事),(电磁)感应vt.影响,改变"
influential,"adj.有影响的,有势力的"
inform,"v.(～ of/about) 通知,告诉,获悉,告知"
informal,"adj.不正式的,不拘礼节的"
informality,n.非正式
informative,"adj.情报的,提供情报的,见闻广博的"
infrared,adj.红外线的n.红外线
infrequently,"adv.很少发生地,罕见地"
infuriate,adj.狂怒的vt.激怒
infuse,"vt.灌输,注入,沏或泡(茶、药等),浸渍,鼓舞vi.泡,注"
ingenious,"adj.机灵的,有独创性的,精制的,具有创造才能"
ingeniousness,
ingenuity,"n.机灵,独创性,精巧,灵活性"
ingenuous,"adj.坦白的,自然的,直率的"
ingenuously,"adv.率直地,正直地"
ingest,"vt.摄取,咽下,吸收"
ingrain,"vt.生染,就原料染色,使根深蒂固adj.生染的,根深蒂固的n.生染的纤维,原料染色,本质"
ingrained,"adj.彻底的,根深蒂固的,生染的"
ingrate,"n.忘恩负义者adj.不知恩的,忘恩的"
ingratiating,"adj.逢迎的,迷人的"
inhabit,"vt.居住于,存在于,占据,栖息"
inherent,"adj.固有的,内在的,与生俱来的"
inherently,"adv.天性地,固有地"
inhibit," 抑制,约束,[化][医]抑制"
inhibition,"n.禁止,阻止,禁制,压抑"
inimical,adj.敌意的
inimitable,"adj.无法模仿的,独特的,无比的"
iniquitous,adj.不公正的
initial,"adj.最初的,词首的,初始的n.词首大写字母"
initiate,"vt.开始,发动,传授v.开始,发起"
injurious,adj.有害的
innate,"adj.先天的,天生的"
innermost,"adj.最里面的,内心的,秘密的"
innocence,n.清白
innocuous,"adj.无害的,无毒的,无伤大雅的,不得罪人的"
innovative,"adj.创新的,革新(主义)的"
inoffensive,"adj.无害的,不伤人的,不触犯人的,让人不讨厌的"
inordinate,adj.紊乱的
inquiry,"n.质询,调查"
inquisitive,adj.好奇的
insatiable,"adj.不知足的,贪求无厌的"
insatiably,"adv.不知足地,贪得无厌地"
insecure,"adj.不可靠的,不安全的"
insider,"n.内部的人,会员,知道内情的人,权威人士"
insidious,adj.阴险的
insight,"n.洞察力,见识"
insightful,"adj.富有洞察力的,有深刻见解的"
insignificant,"adj.无关紧要的,可忽略的,无意义的"
insincere,adj.虚假的
insinuate,"vt.使逐步而巧妙地取得,使迂回地潜入(或挤入),使慢慢滋长,含沙射影地说"
insipid,"adj.没有味道的,平淡的"
insolent,"n.侮慢无礼的人adj.傲慢的,无礼的,侮慢的"
insoluble,"adj.不能溶解的,不能解决的"
inspire,"vt.吸(气),鼓舞,感动,激发,启示,使生灵感,产生vi.吸入,赋予灵感"
instantaneous,"adj.瞬间的,即刻的,即时的"
instantly,"adv.立即地,即刻地"
instigate,v.鼓动
instinctive,adj.本能的
institute,"n.学会,学院,协会vt.创立,开始,制定,开始(调查),提起(诉讼)"
institution,"n.公共机构,协会,制度"
institutionalize,
institutionalized,
instructive,"adj.有益的,教育性的"
instrumental,"adj.仪器的,器械的,乐器的"
insubordinate,"adj.不顺从的,不听话的"
insubstantial,"adj.无实质色,无实体的,非实在的,幻想的,不坚固的,脆弱的"
insular,"adj.海岛的,岛民的,岛特有的,孤立的,超然物外的"
insulting,"adj.侮辱的,污蔑的,无礼的,损害人体的"
insurgent,adj.起义的
insurmountable,"adj.不能克服的,不能超越的"
intact,"adj.完整无缺的,尚未被人碰过的,(女子)保持童贞的,(家畜)未经阉割的"
intangible,"adj.难以明了的,无形的"
integrate,"vt.使成整体,使一体化,求...的积分v.结合"
intellectual,"adj.智力的,有智力的,显示智力的n.知识分子"
intelligible,adj.可理解的
intemperance,n.放纵
intensification,"n.激烈化,增强明暗度"
intent,"n.意图,目的,意向,[律](犯罪或侵权行为的)故意adj.专心的,决心的,热心的"
intentional,"adj.有意图的,故意的"
interactive,adj.交互式的
interchangeable, /n.可交换性
interchangeably,
interconnected,
interdependent," ly//adv.相互依赖adj.相互依赖的,坏,相互依存地"
interlocking,adj.联锁的
interminable,"adj.无限的,冗长的"
interplay,v.相互影响n.相互影响
interpolate,"v.窜改,添写进去,插入新语句"
interpret,"v.解释,说明,口译,通译,认为是...的意思"
interpretation,"n.解释,阐明,口译,通译"
interrelate,v.(使)相互关连
interrogation,"n.审问,问号"
interruption,"n.中断,打断"
intersect,"vt.横断vi.(直线)相交,交叉"
intimate,"adj.亲密的,隐私的vt.宣布,明白表示n.熟友"
intimation,"n.暗示,正式宣告"
intimidate,v.胁迫
intractable,adj.难处理的
intransigent,adj.非妥协性的n.不妥协的人
intrepid,"adj.无畏的,勇猛的"
intricacy,"n.复杂,错综"
intricate,"adj.复杂的,错综的,难以理解的"
intrigue,"n.阴谋,诡计vi.密谋,私通vt.激起...的兴趣,用诡计取得"
intrinsic,
introspective,"adj.(好)内省的,(好)自省的,(好)反省的"
introvert,n.格性内向的人
intruding,
intrusively,"adv.干扰地,侵入地"
intuition,"n.直觉,直觉的知识"
intuitive,adj.直觉的
inure,vt.使习惯vi.生效
invade,"vt.侵略,侵袭,拥挤"
invalidate,vt.使无效
invariable,"n.不变的,永恒的adj.[数]不变的,不变量"
invention,"n.发明,创造"
inventive,"adj.善于创造的,发明的"
inverse,"adj.倒转的,反转的n.反面v.倒转"
investigate,"v.调查,研究"
investigative,"adj.研究的,好研究的"
investor,n.投资者
invigorate,v.鼓舞
inviolate,"adj.未亵渎的,无污点的,未受侵犯的"
involuntary,"adj.自然而然的,无意的,不知不觉的,偶然的,不随意的"
involve,"vt.包括,笼罩,潜心于,使陷于"
involvement,"n.连累,包含"
invulnerable,"adj.不会受伤害的,无懈可击的"
irascible,"adj.易怒的,暴躁的"
irate,"adj.生气,发怒的"
iridescent,"adj.彩虹色的,闪光的"
ironic,"adj.说反话的,讽刺的"
irony,"n.反话,讽刺,讽刺之事"
irradiate,v.照射
irradicable,adj.不能根除的 根深蒂固的
irrational,"adj.无理性的,失去理性的"
irreconcilable,"adj.不能协调的,矛盾的"
irredeemable,"adj.不能赎回的,不能兑现的,不可救药的"
irrefutable,"adj.不能反驳的,不能驳倒的"
irrelevant,"adj.不相关的adj.不相关的,不切题的"
irreparable,adj.不能挽回的
irrepressible,"adj.镇压不住的,抑制不住的"
irreproachable,"adj.无可指责的,不可非难的,无缺点的,无过失的"
irresistible,"adj.不可抵抗的,不能压制的"
irresolute,adj.犹豫不决的
irresponsible,"adj.不负责任的,不可靠的"
irreverent,adj.不尊敬的
irreversible,"adj.不能撤回的,不能取消的"
irrevocable,adj.不能取消的
irrigate,"vt.灌溉,修水利,冲洗伤口,使潮湿vi.进行灌溉"
irritable,"adj.易怒的,急躁的"
irritate,"vt.激怒,使急躁v.刺激"
