benefit,"n.利益,好处vt.有益于,有助于vi.受益"
intrigue,"n.阴谋,诡计vi.密谋,私通vt.激起...的兴趣,用诡计取得"
amplify,"vt.放大,增强v.扩大"
intervene,"vi.干涉,干预,插入,介入,(指时间)介于其间v.干涉"
mold,"n.模子,铸型vt.浇铸,塑造"
mould,"n.[亦作mold] 肥土,壤土,[亦作mold] 霉,模具v.用土覆盖,发霉,铸造"
mount,"n.乘用马,衬纸,山,装配vi.乘马,爬上,增长vt.爬上,使上马,装上,设置,安放,制作...的标本,上演"
magistrate,"n.文职官员,地方官员"
assurance,"n.确信,断言,保证,担保"
vicious,"adj.恶的,不道德的,恶意的,刻毒的,堕落的,品性不端的,有错误的"
fragment,"n.碎片,断片,片段"
frown,"vi.皱眉,蹙额,不赞成,反对v.皱眉"
scout,"n.侦察,搜索,侦察员,侦察机vi.守候,侦察,巡视,嘲笑vt.侦察,跟踪,觅得,监视,轻蔑地拒绝(建议,意见等)"
smash,"v.打碎,粉碎n.打碎,粉碎adj.出色的"
constituent,"n.选举者,委托人,要素adj.有选举权的,组成的"
repel,"vt.击退,抵制,使厌恶,使不愉快"
eclipse,"n.食,日蚀,月蚀,蒙蔽,衰落vt.引起日蚀,引起月蚀,超越,使黯然失色"
subdivide,"v.再分,细分"
conjunction,"n.联合,关联,连接词"
whirl,"v.(使)旋转,急动,急走n.旋转,—连串快速的活动"
notwithstanding," prep.虽然,尽管adv.尽管,还是 conj.虽然,尽管"
penetrate,"vt.穿透,渗透,看穿,洞察vi.刺入,看穿,渗透,弥漫"
convertible,"adj.可改变的,自由兑换的"
shove,"n.<口>推,挤vt.<口>推挤,猛推,强使vi.推"
respective,"adj.分别的,各自的"
contrive,"v.发明,设计,图谋"
countdown,n.倒数计秒
thrust,"n.插,戳,刺,推力,猛推,口头攻击vt.力推,冲,插入,挤进,刺,戳,强加,延伸vi.插入,刺,戳,延伸,强行推进"
saturate,"v.使饱和,浸透,使充满"
councilor,"n.议员,评议员"
councillor,"n.议员,评议员"
sprinkle,"v.撒(某物)于(某物之表面),洒,喷撒"
rash,"adj.轻率的,匆忙的,卤莽的n.[医]皮疹"
evacuate,"v.疏散,撤出,排泄"
impulse,"n.推动,刺激,冲动,推动力vt.推动"
jerk,"n.性情古怪的人,急推,猛拉,肌肉抽搐,(生理)反射,牛肉干vi.痉挛,急拉,颠簸地行进vt.猛拉"
raid,"n.袭击,搜捕;v.奇袭,搜捕;Redundant Array of Indepnedent Disks,独立磁盘阵列"
fulfil,"vt.实践,履行,实行,结束,满足,完成,达到"
fulfill,"vt.履行,实现,完成(计划等)"
defiance,"n.挑战,蔑视,挑衅"
diplomat,"n.外交官,有外交手腕的人,有权谋的人"
avail,"vi.有益于,有帮助,有用,有利vt.有利于n.效用,利益"
orthodox,"adj.正统的,传统的,习惯的,保守的,东正教的"
lump,"n.块(尤指小块),肿块,笨人vt.使成块状,混在一起,忍耐,笨重地移动vi.结块"
erosion,"n.腐蚀,侵蚀"
suffice,"vi.足够,有能力vt.使满足"
radiant,"adj.发光的,辐射的,容光焕发的"
bullet,n.子弹
imperialism,"n.帝国主义,帝制"
nominate,"vt.提名,推荐,任命,命名"
inaugurate,"vt.举行就职典礼,创新,开辟,举行开幕(落成、成立)典礼."
rotate,v.(使)旋转 /v.旋转/翻转
farewell,"n.辞别,再见,再会int.再会,别了!(常含有永别或不容易再见面的意思)"
gauge,"n.标准尺,规格,量规,量表v.测量"
specification,"n.详述,[常 pl.] 规格,说明书,规范"
rage,"n.愤怒,情绪激动,狂暴,精神错乱vi.大怒,狂吹,风行"
appraise,v.评价
appraisal,"n.评价,估价(尤指估价财产,以便征税),鉴定"
realm,n.领域
detain,"v.拘留,留住,阻止"
handicap,"n.障碍,阻碍,障碍赛跑v.妨碍,使不利,阻碍"
retrieval,"n.取回,恢复,修补,重获,挽救,拯救"
grab,"v.抢夺,攫取,夺取"
concede,"vt.勉强,承认,退让vi.让步"
venerable,"adj.庄严的,值得尊敬的,古老的"
flutter,"n.摆动,鼓翼,烦扰vi.鼓翼,飘动,悸动,乱跳,烦扰vt.拍(翅),使焦急"
gamble,"n.冒险v.赌博,投机,孤注一掷"
distress,"n.悲痛,穷困,不幸,危难,忧伤v.使悲痛,使穷困,使忧伤"
stipulate,"v.规定,保证"
liable,"adj.有责任的,有义务的,易...的,有...倾向的,负有责任的,很有可能的"
alliance,"n.联盟,联合"
withhold,"vt.使停止,拒给,保留,抑制vi.忍住"
gratitude,n.感谢的心情
surge,"n.巨涌,汹涌,澎湃vi.汹涌,澎湃,振荡,滑脱,放松vt.使汹涌奔腾,急放"
sting,"n.刺,刺痛,针刺v.刺,刺痛,刺激"
alienate,v.疏远
provided, conj.倘若
rebellion,"n.谋反,叛乱,反抗,不服从"
grind,"v.磨(碎),碾(碎),折磨"
shield,"n.防护物,护罩,盾,盾状物vt.(from) 保护,防护v.遮蔽"
brink,n.(峭岸、崖的)边缘
reside,vi.居住
revenge,"n.报仇,复仇vt.替...报仇,复仇"
discard,"vt.丢弃,抛弃v.放弃"
glide,"v.滑行,悄悄地走,(时间)消逝,滑翔n.滑行,滑翔,滑移,滑音"
offence,"n.犯罪,冒犯,违反,罪过,过错n.[军] 攻击"
offense,n.进攻
offensive,"adj.讨厌的,无礼的,攻击性的n.进攻,攻势"
gorge,"n.咽喉,胃,暴食,山峡,峡谷,障碍物v.狼吞虎咽,塞饱"
speciality,"n.特性,特质,专业,特殊性"
dispatch,"vt.分派,派遣n.派遣,急件"
elapse,"vi.(时间)过去,消逝v.流逝"
sniff,"v.用力吸,嗅,闻到,发觉,轻视,用力吸气n.吸,闻,吸气声,嗤之以鼻"
partial,"adj.部分的,局部的,偏袒的,偏爱的n.泛音"
invert,"adj.转化的vt.使颠倒,使转化n.颠倒的事物"
innumerable,"adj.无数的,数不清的"
plausible,adj.似是而非的
glamor,"n.魔法,迷人的美vt.迷惑"
glamour,"n.[亦作glamor] 魔力,魅力v.迷惑"
cradle,"n.摇篮,发源地,支船架vt.将...放在摇篮内"
standoff,"adj.冷淡的,有支架的n.离岸,避开,冷淡,抵销,和局,平衡"
conformity,"n.一致,符合"
tangle,n.混乱状态v.处于混乱状态
intermittent,"adj.间歇的,断断续续的"
conceal,"vt.隐藏,隐蔽,隐瞒v.隐蔽"
subtract,"v.(～ from)减去,减"
boycott,"n.vt.联合抵制,联合排斥某国货物或与某国绝交"
dominant,"adj.有统治权的,占优势的,支配的adj.[生物] 显性的"
concise,"adj.简明的,简练的"
tumble,"n.跌倒,摔跤,翻斤斗vi.翻倒,摔倒,倒塌,滚动,翻筋斗,仓惶地行动vt.使摔倒,使滚翻,弄乱"
numerical,"adj.数字的,用数表示的adj.数字的,用数字表示的"
entrust,v.委托
consolidate,v.巩固
foil,"n.箔,金属薄片,[建]叶形片,烘托,衬托vt.衬托,阻止,挡开,挫败,贴箔于"
grope,v.n.摸索
crumble,"v.弄碎,粉碎,崩溃n.面包屑"
exempt,v.免除adj.被免除的
slam,"v.砰地关上,砰地放下,猛力抨击,冲击n.砰,猛击,撞击,冲击"
contemplate,"v.凝视,沉思,预期,企图"
dodge,"v.避开,躲避n.<俗> 诡计,躲藏"
heave,v.举起n.举起
cherish,"vt.珍爱,怀抱(希望等)"
skeleton,"n.(动物之)骨架,骨骼,基干,纲要,万能钥匙"
interim,"adj.中间的,临时的,间歇的n.中间时期,过渡时期,暂定"
incline,"n.倾斜,斜坡,斜面vt.使倾向于,使倾斜vi.倾向,倾斜"
incredible,adj.<口>难以置信的
toss,"v.投,掷"
rub,"v.擦,摩擦 rt. (～ along) 和谐相处,(～ off) 擦掉,擦破,(～ out) 把(记号,笔记,笔迹等)擦掉"
discriminate,"v.歧视,区别,区别待遇"
unanimous,"adj.意见一致的,无异议的"
emit,"vt.发出,放射,吐露,散发,发表,发行"
kidnap,"vt.诱拐(小孩),绑架,勒赎"
charity,"n.慈善,施舍,慈善团体,"
bewilder,"vt.使迷惑,使不知所措,使昏乱"
plight,"n.情况,状态,困境,盟誓(婚姻)vt.保证,约定"
wrench,"n.扳钳,扳手,猛扭,痛苦,扭伤,歪曲vt.猛扭,使扭伤,曲解,抢,折磨vi.猛扭,绞痛"
ally,"v.结盟,与...(在血统,性质等上)有关联,同盟n.同盟国,支持者"
menace,"n.威胁,危险物v.恐吓,危及,威胁"
definite,"adj.明确的,一定的"
archive,vt.存档n.档案文件
shrug,n.耸肩v.耸肩
blast,"n.一阵(风),一股(气流),爆炸,冲击波vt.爆炸,,毁灭,使枯萎,损害"
naked,"adj.裸体的,无遮盖的,无装饰的,无保护的,[律]无证据的,未证实的"
formidable,"adj.强大的,令人敬畏的,可怕的,艰难的"
exquisite,"adj.优美的,高雅的,精致的,剧烈的,异常的,细腻的,敏锐的"
fling,"n.投,掷,猛冲,暴躁的行动,急冲,嘲弄,讥笑vt.猛投,抛,掷,使陷入,挥动,嘲笑,扫视vi.猛冲,直冲,急行"
drawback,"n.缺点,障碍,退还的关税,退税(指进口货物再出口时退还其进口时的关税)"
compile,"vt.编译,编辑,汇编"
patriot,n.爱国者
reproach,v.责备
layoff,"n.临时解雇,操作停止,活动停止期间,失业期"
mock,"v.嘲笑,骗,挫败,嘲弄adj.假的n.嘲弄,模仿,仿制品"
emancipate,"vt.释放,解放,[律]使(孩子.妻子)摆脱家长的管教而获得合法权利"
notify,v.通报
vibrate,"v.(使)振动,(使)摇摆"
tease,"n.揶揄,戏弄,逗惹vt.取笑,逗恼,奚落,欺负,嘲弄,取笑,强求,梳理"
addict,"vt.使沉溺,使上瘾;n.入迷的人,有瘾的人"
trifle,"n.琐事,少量,蛋糕,小事v.开玩笑,玩弄,闭混,浪费,嘲弄"
trivial,"adj.琐细的,价值不高的,微不足道的"
afflict,"vt.使痛苦,折磨"
validate,"vt.[律]使有效,使生效,确认,证实,验证"
paralyze,"vt.使瘫痪,使麻痹"
paralyse,"v.使麻痹,使瘫痪,使无助"
preclude,n.排除
ornament,"n.装饰物,教堂用品vt.装饰,修饰"
transient,"adj.短暂的,瞬时的n.瞬时现象"
mediate,"v.仲裁,调停,作为引起...的媒介,居中调停"
appease,"vt.平息,安抚,缓和,使满足"
stoop,"n.弯腰,屈背,屈服vi.弯下,弯下上身,屈服,弯腰,堕落vt.俯曲,辱没"
hibernate,v.冬眠
culminate,v.达到顶点
reinforce,"vt.加强,增援,补充,增加...的数量,修补,加固vi.求援,得到增援n.加固物"
rebound,n.回弹v.回弹
quest,n.寻求
overt,"adj.明显的,公然的"
textile,n.纺织品adj.纺织的
tender,"adj.嫩的,温柔的,软弱的"
affirm,"v.断言,确认,肯定"
knit,"v.编织,密接,结合"
bundle,"n.捆,束,包v.捆扎"
outbreak,"n.(战争的)爆发,(疾病的)发作"
disperse,"v.(使)分散,(使)散开,疏散"
clasp,"n.扣子,钩,紧握,抱住v.扣紧,紧握,搂抱,密切合作"
instal,
install,"vt.安装,安置,使就职"
terminate,"v.停止,结束,终止"
approximate,"adj.近似的,大约的v.近似,接近,接近,约计"
circular,"adj.圆形的,循环的n.函件 通知"
gaze,"v.盯,凝视n.凝视"
offset,"n.偏移量,抵销,弥补,分支,平版印刷,胶印vt.弥补,抵销,用平版印刷vi.偏移,形成分支"
locomotive,"n.机车,火车头adj.运动的"
huddle,"v.拥挤,卷缩,草率从事,挤作一团n.杂乱的一堆,拥挤"
utilize,vt.利用
utilise,vt.<主英>=utilize
exile,"n.放逐,充军,流放,流犯,被放逐者vt.放逐,流放,使背井离乡"
pledge,"n.保证,誓言,抵押,抵押品vt.保证,使发誓,抵押,典当,举杯祝...健康"
blaze,"n.火焰,光辉,情感爆发vi.燃烧,照耀,激发vt.在树皮上刻路标,公开宣布"
obscene,"adj.淫秽的,猥亵的"
hound,"n.猎犬vt.带猎犬狩猎,卑鄙的人,追捕,激励,使追逐"
scrub,"v.洗擦,擦净,使(气体)净化,擦洗n.洗擦,擦净,擦洗者,矮树,灌木,丛林地,矮小的人(或动物)adj.次等的,矮小的,临时凑合的"
hoist,"n.提升间,升起"
convene,"v.召集,集合"
exterior,"adj.外部的,外在的,表面的,外交的,[建](适合)外用的n.外部,表面,外型"
stir,"n.轰动,搅动,监牢vt.动,移动,摇动,激起,搅和,惹起vi.走动,传播,流行"
conceive,"vt.构思,以为,持有vi.怀孕,考虑,设想"
detach,"vt.分开,分离,分遣,派遣(军队)"
external,"adj.外部的,客观的,[医]外用的,外国的,表面的n.外部,外面"
lubricate,vt.润滑v.加润滑油
depart,"vi.离开,起程,不按照,逝世adj.过去的,逝世的"
ingenious,"adj.机灵的,有独创性的,精制的,具有创造才能"
mutter,"n.咕哝,嘀咕v.咕哝,嘀咕"
simultaneous,"adj.同时的,同时发生的"
clash,"n.冲突,撞击声,抵触v.(使)发出撞击声,猛撞,冲突"
underneath,adv.在下面 prep.在...的下面
envious,"adj.嫉妒的,羡慕的"
humble,"adj.卑下的,微贱的,谦逊的,粗陋的vt.使...卑下,挫,贬抑"
constrict,v.压缩
blink,"v.眨眼,闪亮,无视"
preface,"n.序文,绪言,前言vi.作序,写前言vt.为...写序言,开始"
clockwise,adj.顺时针方向的adv.顺时针方向地
token,"n.表示,向征,记号,代币adj.象征的,表意的"
slope,"n.斜坡,斜面,倾斜v.(使)顺斜"
saddle,"n.鞍,鞍状物v.承受"
stagger,"v.摇晃,蹒跚,交错,摇摇摆摆adj.交错的"
intact,"adj.完整无缺的,尚未被人碰过的,(女子)保持童贞的,(家畜)未经阉割的"
preliminary,"adj.预备的,初步的"
emigrate,vi.永久(使)移居vt.(使)移民
emigrant,"n.移居外国者,移民"
disgraceful,"adj.可耻的,不名誉的"
alternate,"adj.交替的,轮流的,预备的v.交替,轮流,改变"
fabricate,"vt.制作,构成,捏造,伪造,虚构"
restrain,"vt.抑制,制止"
compliment,"n.称赞,恭维,致意,问候,道贺vt.称赞,褒扬,恭维"
adore,"v.崇拜,爱慕,(口语)喜爱"
feeble,"adj.虚弱的,衰弱的,无力的,微弱的,薄弱的"
transcribe,v.转录
zigzag,"n.Z字形,锯齿形,蜿蜒曲折adj.曲折的,锯齿形的,Z字形的adv.作Z字形地,弯弯曲曲地v.成Z字形,作Z字形行进,曲折前进"
tentative,"n.试验,假设adj.试验性的,试探的,尝试的,暂定的"
lease,"n.租借,租约,租赁物,租期,延续的一段时间vt.出租,租出,租得"
precede,"v.领先(于),在...之前,先于"
mysterious,adj.神秘的
crackdown,"n.压迫,镇压,打击"
slap,"vt.拍,掌击,拍击n.拍,掌击,拍击"
auxiliary,"adj.辅助的,补助的"
cute,"adj.可爱的,聪明的,伶俐的,装腔作势的"
despair,"n.绝望,失望,令人失望的人(事物)vi.绝望"
console,"vt.安慰,藉慰n.[计] 控制台"
revert,v.回复
eradicate,v.根除
incidence,"n.落下的方式,影响范围,[物理]入射"
prone,adj.倾向于
arrogant,"adj.傲慢的,自大的"
arrogance,"n.傲慢态度,自大"
shiver,"v.颤抖,打碎,碎裂n.(无法控制的)颤抖,碎片"
applied,"adj.应用的,实用的"
execute,"vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效"
compound,"n.混合物,[化]化合物adj.复合的v.混合,配合"
illicit,adj.违法的
deputy,"n.代理人,代表"
occurrence,"n.发生,出现,事件,发生的事情"
exposition,"n.博览会,展览会,说明,曝露,[戏]展示部分,[音]呈示部"
implicit,"adj.暗示的,盲从的,含蓄的,固有的,不怀疑的,绝对的"
reliance,"n.信任,信心,依靠,依靠的人或物"
consequent,"adj.作为结果的,随之发生的"
denial,"n.否认,否定,谢绝,拒绝"
locality,"n.位置,地点"
cripple,n.跛子v.削弱
climax,"n.高潮,顶点"
giggle,v.哈哈地笑n.傻笑
conscientious,adj.尽责的
actuality,"n.实在,现状"
subsequent,"adj.后来的,并发的"
prosperous,adj.繁荣的
flare,"n.闪光,闪耀vi.闪光,突然烧起来,闪耀vt.使闪耀,使张开"
discreet,"adj.小心的,慎重的,有思虑的,贤明的"
ensue,"vi.跟着发生,继起vt.(基督教<<圣经>>用语)追求"
glow,"vi.发光,发热"
diagnosis,n.诊断
recede,v.后退
magnificent,"adj.华丽的,高尚的,宏伟的"
procession,"n.行列,队伍"
deduce,"vt.推论,演绎出"
annoyance,"n.烦恼,可厌之事"
ambiguous,"adj.暧昧的,不明确的"
inflict,v.造成
gasp,"vi.喘息,气喘vt.气吁吁地说"
brewery,n.酿酒厂
punctuate,"v.加标点于,不时打断vi.使用标点,加标点"
disgust,"n.厌恶,嫌恶vi.令人厌恶,令人反感vt.使作呕"
lame,"adj.跛足的,僵痛的,不完全的,金属薄片,不知内情的人,(辩解、论据等)无说服力的vi.变跛,瘸行vt.使成残废"
defection,"n.缺点,背信,背叛,变节"
converge,"v.聚合,集中于一点vt.会聚"
disguise,"v.假装,伪装,掩饰n.伪装"
imitation,"n.模仿,效法,冒充,赝品,仿造物"
lest," conj.唯恐,以免,免得,(用于fear,be afraid之后,等于that)"
inductive,"adj.诱导的,感应的"
discrepancy,"n.相差,差异,矛盾"
gorgeous,"adj.华丽的,灿烂的"
scarcely,"adv.几乎不,简直没有"
splash,"n.溅,飞溅,斑点v.溅,泼,溅湿"
stray,"v.迷路,偏离,漂泊,漂泊游荡adj.迷路的,离群的,偶遇的"
grin,"n.露齿笑,裂口笑v.露齿而笑"
instalment,"n.分期付款,就职,装设"
installment,n.部分
reservoir,"n.水库,蓄水池"
massacre,"n.残杀,大屠杀v.残杀,集体屠杀"
commend,"vt.称赞,表扬,推荐,委托,吸引"
restraint,"n.抑制,制止,克制"
abbreviation,"n.缩写,缩写词"
abide,"vi.坚持,遵守;vt.忍受,容忍"
abreast,"adv.并肩地,并排地"
accessory,"n.附件,零件,附加物,从犯,同谋者adj.附属的,补充的,同谋的,副的"
acclaim,"n.喝彩,欢呼v.欢呼,称赞"
accountancy,"n.会计师之职,会计学"
ace,"n.(纸牌或骰子)幺点,王牌飞行员(击落敌机五架以上者);adj.一流的;[军]Allied Command Europe,欧洲盟军司令部"
acupuncture,n.针刺疗法v.施行针刺疗法
adamant,adj.坚硬的
adjacent,"adj.邻近的,接近的"
admittedly,"adv.公认地,诚然,无可否认的"
advent,"n.(尤指不寻常的人或事)出现,到来 (Advent)n. 基督降临 2降临节"
adversary,"n.敌手,对手"
aesthetic,"adj.美学的,审美的,有审美感的"
affix,"vt.使附于,粘贴n.[语]词缀"
affluent,"adj.丰富的,富裕的"
afloat,"adj.adv.飘浮的,在海上的,传播的"
aftermath,"n.结果,后果"
agent,n.代理(商)
agitate,"v.搅动,摇动,煽动,激动"
aide,"n.<美>助手,副官,侍从武官"
ail,"vt.折磨,使疼痛,使烦恼"
airborne,"adj.空运的,空气传播的,空降的"
akin,"adj.同族的,类似的"
alien,"n.外侨adj.外国的,相异的,不同,背道而驰"
align,"vi.排列vt.使结盟,使成一行"
allot,"vt.(按份额)分配,分派"
allotment,n.分配
alloy,"n.合金vt.使成合金,减低成色"
allude,"vi.暗指,影射,间接提到"
allure,v.吸引
almighty,adj.全能的
aloft,"adv.在高处,在上"
amass,"vt.收集,积聚(尤指财富)"
amiable,"adj.亲切的,和蔼可亲的"
ammunition,"n.军火,弹药"
analog,"n.类似物,相似体"
analogue,"n.相似物,类似情况,对等的人"
analogy,"n.类似,类推"
anchor,"n.锚v.抛锚,锚定"
anguish,"n.痛苦,苦恼vt.使极苦闷,使极痛苦vi.感到痛苦"
annex,"n.附件vt.并吞,附加"
anonymous,adj.匿名的
antagonism,"n.对抗(状态),对抗性"
antenna,n antenae <动>触角 (antenna)n.天线
antibiotic,n.抗生素adj.抗生的
antonym,n.反义词
ape,
app,
appal,v.惊骇
appall,"vt.使胆寒,使惊骇"
appalling,"adj.令人震惊的,骇人听闻的"
apprentice,n.学徒v.当学徒
aptitude,"n.恰当,智能,聪明,自然倾向"
arbitrate,v.作出公断
arc,"n.弧,弓形,拱;Advanced RISC Computer,高级精简指令集计算机"
arch,"n.拱门,弓形结构,拱形v.(使)弯成弓形adj.主要"
ardent,"adj.热心的,热情洋溢的,激烈的,燃烧般的"
arena,"n.竞技场,舞台"
aristocrat,n.贵族
armor,n.装甲
armour,"n.盔甲,装甲钢板,装甲部队"
artery,"n.动脉,要道"
artifact,n.人造物品
artillery,"n.炮的总称,炮兵的总称"
ascertain,"vt.确定,探知"
aspire,"vi.热望,立志"
ass,"n.驴,笨人,臀部"
assorted,adj.多样混合的v.分类配全
assortment,n.分类
astray,"adv.迷途地,入歧途地"
asylum,"n.庇护,收容所,救济院,精神病院"
atlas,"n.地图,地图集"
atrocity,"n.残暴,暴行,凶恶"
attic,"n.阁楼,顶楼,[解剖](耳的)鼓室上的隐窝adj.(古希腊)雅典(Athens)的"
audit,"n.审计,稽核,查帐vt.稽核,旁听vi.查账"
auditorium,"n.听众席,观众席,<美>会堂,礼堂"
augment,"v.增加,增大n.增加"
autobiography,n.自传
autonomous,adj.自治的
autonomy,n.自治
avenge,"vt.为...报复,报仇"
avenue,"n.林荫道,大街,方法,途径,路"
awe,n.敬畏vt.敬畏
baby-boom,
backyard,"n.后院,后庭,<美>(住宅的)场院"
bail,"n.保释,保证金,保证人v.保释,舀水"
bait,"n.饵,诱惑物vt.以饵引诱(动物),把饵装上,欺负,折磨vi.中途休息"
barometer,n.气压计
barracks,"n.兵营,许多人居住的简陋房舍"
barren,"adj.不生育的,不孕的,贫瘠的,没有结果的,无益的,单调的,无聊的,空洞的n.荒地"
bass,"n.低音部,男低音,低音乐器adj.低音的"
bass,"n.低音部,男低音,低音乐器adj.低音的"
beak,"n.鸟嘴,喙"
beckon,"v.招手,召唤"
benevolent,adj.慈善的
benign,"adj.(病)良性的,(气候)良好的,仁慈的,和蔼的"
berry,n.浆果
beset,v.困扰
besiege,"vt.围困,围攻,包围,"
beverage,n.饮料
beware,"v.小心,谨防"
bibliography,"n.(有关一个题目或一个人的)书目,参考书目"
bilateral,"adj.有两面的,双边的"
bin,n.箱柜 [计] 二进制文件的扩展名
binoculars,n.双眼望远镜
biomedical,
biotechnology,n.生物工艺学
bishop,n.主教
bizarre,"adj.奇异的(指态度,容貌,款式等)"
blackmail,"n.勒索,勒索所得之款vt.勒索"
bleach,"v.漂白,变白"
blizzard,n.大风雪
blob,"n.一滴,水滴,斑点vt.溅污"
bloc,"n.为某种共同目的而采取一致行动的政治组织,集团"
blond,adj.金发的n.白肤碧眼金发的人
bluff,"n.断崖,绝壁,诈骗adj.绝壁的,直率的vt.vi诈骗,"
bluff,"n.断崖,绝壁,诈骗adj.绝壁的,直率的vt.vi诈骗,"
blunt,"adj.钝的,生硬的"
bolster,n.垫子v.支持
botanical,adj.植物学的n.植物性药材
botany,n.植物学
bouquet,n.花束
bout,"n.一回,一场,回合,较量vt.来回耕"
brace,"n.支柱,带子,振作精神vt.支住,撑牢,振作起来,奋起adj.曲柄的v.支持"
brag,n.v.吹牛
brand-new,
breach,"n.违背,破坏,破裂,裂口vt.打破,突破"
brigade,"n.旅,队"
brochure,n.小册子
broke,adj.一文不名的 vbl.break的过去式
bronze,"n.青铜(铜与锡合金),铜像adj.青铜色的"
brood,"n.(动物中鸟或家禽的)一窝,(同种或同类的)一伙vt.孵,沉思"
brutal,"adj.残忍的,兽性的"
buckle,"n.带扣v.扣住,变弯曲"
buffalo,"n.[动](印度,非洲等的)水牛 <美>[动]美洲野牛"
buffer,"n.缓冲,缓冲器"
bumper,"n.缓冲器,保险杆;adj.丰收的"
bureaucracy,"n.官僚,官僚作风,官僚机构"
bureaucrat,n.官僚主义者
bureaucratic,adj.官僚政治的
butt,"n.粗大的一端,靶垛,笑柄v.以头抵撞,碰撞"
calcium,n.[化]钙(元素符号Ca)
cannon,"n.大炮,加农炮v.炮轰"
canoe,"n.独木舟,轻舟"
canvas,v.彻底讨论探究n.帆布
cape,"n.海角,岬"
capsule,"n.(植物)蒴果,胶囊,瓶帽,太空舱"
captive,"n.俘虏,被美色或爱情迷住的人adj.被俘的,被迷住的"
caravan,"n.(商队,游客经过沙漠时为安全起见而结队同行的)沙漠,旅行队,大篷车"
carbohydrate,"n.[化]碳水化合物,醣类"
cardinal,"n.枢机主教,红衣主教adj.主要的,最重要的"
cargo,"n.船货,(车、船、飞机等运输的)货物"
carton,"n.硬纸盒,纸板箱"
casino,"n.娱乐场(供表演跳舞、赌博的地方),(=cassino)一种由二至四人玩的纸牌游戏"
cathedral,n.大教堂
Catholic,
cavity,"n.洞,空穴,[解剖]腔"
Celsius,
cemetery,"n.墓地,公墓"
censor,"n.检查员vt.检查,审查"
censorship,"n.审查机构,审查制度"
census,n.人口普查
centralization,"n.集中,中央集权化"
centralisation,n.<主英>=centralization
ceramic,adj.陶器的n.陶瓷制品
chamber,"n.室,房间,议院,会所,(枪)膛"
chancellor,"n.长官,大臣"
chant,n.圣歌
chaotic,"adj.混乱的,无秩序的"
chapel,"n.小礼拜堂,礼拜"
chore,n.家务杂事
chronicle,n.编年史v.编入编年史
circus,"n.马戏团,杂技团,马戏场,杂技场"
cite,"vt.引用,引证,提名表扬"
civic,"adj.市的,市民的,公民的"
clamp,"n.夹子,夹具,夹钳vt.夹住,夹紧"
clan,"n.部落,氏族,宗族,党派"
clandestine,adj.秘密的
clang,n.叮当声v.(使)叮当地响
cleanse,v.纯净
clearance,n.清除
clearing,n.空旷地
clench,"n.牢牢抓住,钉紧,敲弯的钉头v.紧握,(拳头)牢牢地抓住,确定,敲弯vi.握紧,钉牢"
clergy,"n.(集合称)圣职者,牧师,僧侣,神职人员"
cliché,
cloak,"n.斗蓬,宽大外衣,掩护vt.用外衣遮蔽,披斗篷"
clog,"n.木底鞋,障碍v.障碍,阻塞"
clown,"n.小丑,粗鲁愚蠢的人"
cockpit,"n.驾驶员座舱,战场"
cocktail,"n.鸡尾酒,(第一道用杯盛的)开味食品adj.鸡尾酒的"
coconut,n.椰子
coexist,vi.共存
coexistence,n.共存
colon,n.冒号
colonel,"n.陆军上校,团长"
comet,n.彗星
comma,"n.逗点,逗号"
commonwealth,"n.国民整体,共和国,联邦"
commune,"n.公社vi.密切联系,谈心"
compass,"n.罗盘,指南针,[pl.] 圆规v.包围"
compassion,"n.同情,怜悯"
complacent,"adj.自满的,得意的"
complexion,"n.面色,肤色,情况,局面"
comprehend,"vt.领会,理解,包括(包含),由...组成"
conceit,"n.原义:想法,意见,自负,幻想,狂妄"
conceited,"adj.自以为是的,逞能的,狂想的"
concept,"n.观念,概念"
concurrent,"n.同时发生的事件adj.并发的,协作的,一致的"
condolence,"n.哀悼,吊唁"
conducive,n.有益于
confederation,n.联邦
confide,"v.倾诉,委托,信赖"
configuration,"n.构造,结构,配置,外形"
congenital,"n.adj.天生的,先天的,天赋的"
congregate,v.聚集
connotation,"n.含蓄,储蓄的东西(词、语等),内涵"
consecutive,"adj.连续的,联贯的"
conspire,"v.共谋,阴谋,(指事件)凑合起来"
consulate,"n.领事,领事馆,领事任期,领事的职位、权力和职责"
contagious,"adj.传染性的,会感染的"
contingent,"adj.可能发生的,附随的,暂时的n.偶然的事情,分遣队"
converse,"n.相反的事物,倒,逆行adj.相反的,颠倒的vi.谈话,交谈,认识"
converse,"n.相反的事物,倒,逆行adj.相反的,颠倒的vi.谈话,交谈,认识"
convoy,"n.护送,护卫vt.护航,护送"
coral,"n.珊瑚,珊瑚虫"
cordial,"n.兴奋剂,兴奋性饮料adj.热忱的,诚恳的,兴奋的"
cork,"n.软木塞,软木,(用塞子)塞住"
corporal,"n.<美>下士adj.肉体的,身体的"
corpse,n.尸体
cosmopolitan,"n.四海为家的人,世界主义者adj.世界性的,全球(各地)的"
cosmos, 宇宙
counteract,"vt.抵消,中和,阻碍"
counterfeit,"n.adj.赝品,伪造品,伪造的,假冒的vt.伪造,假冒"
coup,"n.砰然而有效的一击,妙计,出乎意料的行动,政变"
