London Eye, 伦敦眼
train,"n. 列车；火车；列队行进的人（或动物）；队列
v. 训练；培训；教育；接受训练
[网络] 培养；火车乐队；列车站台"
stomach,"n. 胃, 食欲, 欲望, 肚子
vt. 吃下, 忍受"
have got, 拥有
How much?,多少?；什么价钱?多少钱?；到什么程度?
pot,"n. 盆, 罐, 壶, 坩埚, 奖杯
vt. 装入盆中, 在锅中煮, 随手射击
vi. 随手射击"
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
[计] 起始"
morning,"n. 早晨；上午；午夜至正午的时间
adv. 在上午；在早晨；每天上午
[网络] 早上；清晨；初期"
yoghurt,"n. 酸乳, 酸奶"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
terrible,"a. 可怕的, 令人恐惧的, 极坏的"
much,"n. 大量, 许多, 重要的事
a. 很多的, 重要的
adv. 多, 甚, 几乎"
fruit,"n. 水果, 果类, 结果
[医] 果实, 种实"
chocolate,"n. 巧克力
a. 巧克力制的"
beer,[网络] 铍-铒；阳痿早泄成为的人
paper,"n. 纸, 文件, 文章, 报纸, 证券, 证件
vt. 用纸糊, 贴壁纸于, 用纸包装
vi. 贴壁纸
a. 纸做的, 纸上的"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
[计] 字符串, 串"
money,"n. 金钱, 一笔款, 财富, 货币, 金额
[经] 货币, 金钱, 财产"
spare,"n. 剩余, 备用品, 备件, 备用零件, 备用轮胎
a. 多余的, 备用的, 空闲的, 节约的, 瘦的
vi. 节约, 省掉, 宽恕
vt. 节约, 省用, 剩下, 饶恕, 赦免"
Good morning!,"n. 早安
[网络] 早上好；上午见面时说的应酬话；躬身"
a lot of,许多的
shy,"n. 惊跳, 惊避
a. 胆怯的, 畏缩的, 迟疑的, 羞怯的
vi. 惊退, 乱投, 乱掷, 厌恶, 避开
vt. 乱投, 乱掷"
many,"adj. 多
adv. 大量
n. 多数人[东西]；大多数人；【女名】女子名
pron. 许多人[物]"
introduce ... to ...,[网络] 介绍；介绍给；向……介绍
to,abbr. table of organization；technical operation 技术操作；traditional orthography 【语言学】传统正字法
studies,n. 研究；学习；学业（study的复数）
true,"adj. 符合事实的；确实的；如实的；真正的（而非表面上的）
adv. 笔直地；不偏不斜地；直言相告；实话实说
v. 配准；校准；整形
[网络] 没错；的确；真的"
always,"adv. 总是, 始终"
CD,abbr. certificate of deposit；Civil Defense；civil disobedience
DVD,abbr. 数字化视频光盘（Digital Video Disk）
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
[计] 卡片箱, 介质装卸程序"
video,"n. 视频；录影；录像带；盒式录像带
v. 录电视节目；给…录像
adj. 电视(用)的
[网络] 录音带"
blouse,n. 宽松的上衣
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
vegetable,"n. 蔬菜, 植物, 无精打采之人
a. 蔬菜的, 植物的"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的
n. (Kind)人名；(德、俄、法、捷)金德；(瑞典)欣德"
Let me think,让我想一想
Japanese,"adj. 日本（人）的；日语的
n. 日本人；日语"
remember,"vt. 记得, 回忆起, 记住, 铭记, 纪念
vi. 记得"
I know!,我有一个想法；我有主意了。
lucky,"a. 幸运的, 吉祥的, 好运的, 侥幸的"
another,"adj. 又一，另一；另外的；不同的
pron. 另一个；又一个
prep. 另一个；另一个人"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
birthday,n. 生日，诞辰；诞生的日子
at any time,任何时候
British,"a. 英国的
n. 英国人, 英国英语"
German,"n. 德国人；德语（德国、奥地利和瑞士部分地区的语言）
adj. 德国的
[网络] 德文；日耳曼人"
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
CD player,"abbr. (=compact disc player)激光唱机
[网络] 播放机；音响；播放器"
Italian,"n. 意大利语；意大利人
adj. 意大利的；意大利人的；意大利语的；意大利文化的
[网络] 义大利文；义大利语"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
Korean,"n. 朝鲜人, 朝鲜语
a. 朝鲜人的, 朝鲜语的"
handbag,"手提袋, 手提包"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
[计] 时钟"
Swiss,"n. 瑞士人, 瑞士腔调
a. 瑞士的, 瑞士风格的"
very much, 非常; 良; 无可不可
love,"n. 爱, 恋爱, 爱情, 爱好, 性爱
vt. 爱, 爱好, 爱慕
vi. 爱"
salmon,"n. 鲑鱼, 大麻哈鱼
[医] 鲑"
piece,"n. 块, 片, 篇, 碎片, 部分, 部件, 标准量
vt. 修补, 修理, 拼合, 接线头
vi. 吃零食"
tonight,"adv. 在今夜, 在今晚
n. 今夜, 今晚"
potato,n. [作物] 土豆，[作物] 马铃薯
lettuce,"n. 莴苣, 生菜, 纸币
[医] 莴苣"
cucumber,"n. 黄瓜
[医] 黄瓜, 胡瓜"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄
v. 摘, 掘, 凿, 挖, 挑选
[计] 拾取"
strawberry,n. 草莓
dessert,n. 餐后甜点
healthy,"a. 健康的, 有益健康的, 卫生的
[医] 健康的"
meal,"n. 一餐, 一顿饭；膳食
vi. 进餐"
worry,"n. 担心, 烦恼, 忧虑, 苦恼, 撕咬
vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬
vi. 烦恼, 担心, 撕咬"
cream,"n. 乳酪, 奶油, 面霜
[医] 乳油, 乳皮; 乳膏, 霜"
first,"adv. 第一；首先；优先；宁愿
n. 第一；开始；冠军
adj. 第一的；基本的；最早的
num. 第一
n. (First)人名；(英)弗斯特；(捷)菲尔斯特"
hate,"n. 憎恨, 恨, 厌恶
vt. 憎恨, 憎恶
vi. 仇恨"
sweet,"adj. 含糖的；甜的；香的；芳香的
n. 糖果；甜点；（称呼亲爱的人）亲爱的
[网络] 好温馨；甜茶细茶；珠形甜茶"
wine,"n. 葡萄酒, 果酒, 暗红色
v. (请)喝酒"
weekend,"n. 周末, 周末休假"
shopping,"n. 买东西, 购物
[经] 购物, 买东西"
supermarket,"n. 超级市场
[经] 超级市场, 自助售货商店"
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
shopping list,n. 购物清单
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
loaf,"n. 一条面包, 块, 游荡
v. 游手好闲, 虚度光阴"
Sunday lunch,[网络] 星期天的午餐；周日午餐；星期日午餐
Sunday,太阳日(太阳能动力鼓吹者选定的每年5月的一天，宣传大力研究和利用太阳能)
boring,"adj. 无聊的；令人厌烦的
n. 钻孔
v. 钻孔；使厌烦；挖空（bore的ing形式）
n. (Boring)人名；(英、瑞典)博林"
ice cream,"n. 冰淇淋
a. 乳白色的"
nasty,表示u201c感性u201d：hyponasty
anything,pron. 任何事
else,"a. 别的, 其他的
adv. 另外, 否则, 不然"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
[计] 棒形图"
soap,"n. 肥皂, 阿谀
vt. 以肥皂洗, 阿谀
[计] 评语"
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大
n. (Large)人名；(英)拉奇；(法)拉尔热"
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
[计] 比较"
girlfriend,n. 女朋友
self-service,"n. 自我服务, 自助式销售
[法] 自助, 顾客自理, 无人售货"
menu,"n. 菜单, (功能)选择单
[计] 菜单"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
tomato,"n. 番茄, 西红柿"
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味
n. (Sauce)人名；(西)绍塞；(法)索斯"
my dear,"na. 老兄
[网络] 亲爱的；我亲爱的；我的亲爱的"
lady,"n. 淑女, 夫人, 女士, 贵妇"
glove,"n. 手套
vt. 给...戴手套"
already,adv. 已经，早已；先前
jeans,"n. 工装裤, 牛仔裤"
newspaper,[网络] 新闻纸
toothache,"n. 牙痛
[医] 牙痛"
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
awful,"a. 可怕的, 庄严的, 虔敬的"
dentist,"n. 牙科医生
[医] 牙医师"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
make an appointment,与…约定
emergency,"n. 紧急状况, 紧急事件, 紧急需要
[化] 紧急情况"
today,"adv. 在今天, 在今日, 现在, 当代, 现今
n. 今天, 今日"
this afternoon,今天下午
miserable,a. 悲惨的；痛苦的；卑鄙的
feel,"vt. 感觉, 觉得, 触摸, 以为
vi. 有知觉, 摸索, 同情
n. 感觉, 觉得, 触摸"
hope for the best,"抱乐观的希望, 作最好的打算"
earache,"n. 耳朵痛
[医] 耳痛"
day,"n. 一天；时期；白昼
adv. 每天；经常在白天地
adj. 日间的；逐日的
n. (Day)人名；(英、法、西)戴；(越)岱；(阿拉伯、土)达伊"
Monday,n. 星期一
Tuesday,n. 星期二
Wednesday,n. 星期三
Thursday,n. 星期四
Friday,n. 星期五
Saturday,n. 星期六
headache,"n. 头痛, 令人头痛之事
[医] 头痛"
sick,"n. 病人；呕吐物
adj. 恶心；晕船；有病的；想呕吐
v. 攻击；追击；(纵狗)追击；〈美〉嗾使(狗等)去咬[去攻击]
[网络] 不舒服的；病了；德国施克"
stomach-ache,"n. 胃痛
[医] 胃痛"
flue,"n. 烟洞, 烟道, 暖气管, 渔网, 蓬松物
[机] 烟道, 烟管"
cold,"adj. 寒冷的；未热过的；已凉的；冷却的
n. 冷；寒冷；（尤指）低气温；感冒
adv. 突然；完全；毫无准备地
[网络] 伤风；好冷；你太令我扫兴了"
every,"a. 每一, 所有的"
different,"a. 不同的
[机] 差动, 微分的, 差速器"
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
vi. 风化；受侵蚀；经受风雨
adj. 露天的；迎风的
n. (Weather)人名；(英)韦瑟"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
quite,一点不错!正是这样![亦作 Quite so.]
ever,"adv. 永远；曾经；究竟
n. (Ever)人名；(英)埃弗；(俄)叶韦尔；(西、法)埃韦尔"
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
England,"n. 英格兰
[法] 英格兰, 英国"
summer,"n. 夏季；全盛时期
vi. 避暑；过夏天
adj. 夏季的
n. (Summer)人名；(德)祖默；(英)萨默"
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
Atlantic,"n. 大西洋
a. 大西洋的"
climate,"n. 气候, 社会趋势, 气候区
[医] 气候"
often,"adv. 时常, 常常"
rain,"n. 雨；雨水；（热带地区的）雨季；雨点般降落的东西
v. 下雨；（使）大量降落
[网络] 恋纶雨的阿布世界；恋纶雨的飞飞世界"
sometimes,"adv. 有时, 时常, 往往"
especially,"adv. 尤其, 特别, 格外"
July,n. 七月
cool,"v. 冷却；冷静下来；镇静下来；冷淡下来
adj. 凉的；凉爽的；凉快的；使人感到凉爽的
n. 凉气；凉快的地方
[网络] 酷；太酷了；太棒了"
difficulty,"n. 困难, 难点"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
month,"n. 月
[经] 月"
temperature,"n. 温度, 发烧, 热度
[化] 温度"
China,"n. 中国, 瓷器
a. 中国的"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
sun,"n. 太阳；日；太阳的光和热；阳光
v. 晒太阳
[网络] 阳光(sunshine)；孙；昇阳"
shine,"n. 光泽, 阳光
vt. 使发光
vi. 照耀, 发光, 发亮"
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
[建] (混)浊的"
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
usually,"adv. 通常, 大抵"
never,"adv. 从不, 决不, 不曾
[法] 永不, 决不, 从来没有"
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的
n. (Autumn)人名；(英)奥特姆"
winter,"n. 冬季；年岁；萧条期
vi. 过冬
adj. 冬天的；越冬的
n. (Winter)人名；(英、德、匈、罗、捷、西、芬、瑞典、法)温特"
snow,"n. 雪, 积雪, 下雪, 雪花形干扰
vi. 下雪, 似雪般落下
vt. 使雪白, 用雪覆盖, 使像雪般落下"
France,n. 法国
Russia,"n. 俄国, 俄罗斯
[法] 俄罗斯, 苏联"
Africa,n. 非洲
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
same,"a. 相同的, 同样的
pron. 相同的人(或事物)
adv. 同样地"
Many happy returns!,"福寿无疆,长命百岁"
August,"adj. 威严的；令人敬畏的
n. 八月（简写为Aug）
n. (August)人名；(法、葡、西、俄、罗、英、德、瑞典、挪)奥古斯特"
year,"n. 年, 年度, 年龄
[经] 年度"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
bike,"bike1
[baik]
[口语]
n.
自行车，脚踏车，单车
两轮机动车(泛指摩托车、轻便车等)，摩托车，机器脚踏车
机动脚踏两用车
(挽车赛马中的)单座两轮(轻便)马车(= sulky)
[美国俚语]摩托警
[澳大利亚俚语]淫妇，妓女
vt., vi.
骑自行车
骑摩托车(或轻骑等)：
I bike to work.
我骑摩托车去上班。
短语:
get off one's bike
[澳大利亚、新西兰口语]发火，生气，恼火；感情失去控制，激动；慌乱，手忙脚乱[常用于否定句]
get on one's bike
[英国俚语]
离开
着手干
On your bike!
[英国俚语]给我滚!滚开!
变形：
vt., vi.
biked
. biking
bike2
[baik]
[苏格兰和英格兰北部英语]
n.
黄蜂巢；野蜂巢
一窝黄蜂；一窝野蜂
人群；群[亦作 byke]
vi.
蜂拥，群集，汇拢[亦作 byke]"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量
vi. 交易, 做买卖
vt. 用...作交换
[计] 通信量, 传输量"
dangerous,"a. 危险的
[法] 危险的, 危害的"
about,"prep. 关于；大约
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处
n. 大致；粗枝大叶；不拘小节的人
n. (About)人名；(法)阿布"
safe,"adj. 安全的；可靠的；平安的
n. 保险箱；冷藏室；纱橱
n. (Safe)人名；(几)萨菲"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
[计] 询问"
ask,"vi. 问, 要求
vt. 问, 要求, 邀请, 需要"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
January,n. 一月
February,n. 二月
March,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点
n. (Last)人名；(英、德、葡、罗、瑞典)拉斯特"
December,n. 十二月
after,"adv. 以后；后来
prep. 仅次于；追赶；跟随；虽然
adj. 后来的；以后的
conj. 在…以后
n. 〈英俚〉正餐的最后一道食品(如点心,水果等)"
before,"prep. 在…之前，先于
adv. 以前；在前
conj. 在…以前；在…之前"
April,n. 四月
May,"n. 五月
aux. 愿能, 可以, 愿意"
June,n. 六月
September,n. 九月
October,n. 十月
November,n. 十一月
parent,"n. 父母, 父母亲, 根源
[法] 父亲, 母亲, 根源"
international,"a. 国际的
n. 国别设定
[计] 国别设定"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
[计] 事件"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
[计] 竞争; 追赶; 欧州高级通信研究开发计划"
mile,"n. 英里, 很大距离
[机] 英里, 哩"
runner,"n. 跑步者, 赛跑者, 送信人, 走私船, 操作者, 滑槽
[化] 碾碎机; 压碎机"
world,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量
[法] 世界, 地球, 世人"
Australia,"n. 澳洲, 澳大利亚"
compete,"vi. 竞争, 对抗"
European,"adj. 欧洲的；欧洲人的
n. 欧洲人"
impressive,"a. 给人深刻印象的, 威严的"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
[计] 秩"
marathon,"n. 马拉松, 耐力的考验"
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
Moroccan,"a. 摩洛哥的
n. 摩洛哥人"
Brazilian,"n. 巴西人
a. 巴西的, 巴西人的"
Canadian,a. 加拿大的
German,"n. 德国人；德语（德国、奥地利和瑞士部分地区的语言）
adj. 德国的
[网络] 德文；日耳曼人"
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
[计] 名称, 文件名, 姓名"
New York,"n. 【城】纽约州
[网络] 美国纽约；在纽约的最后一周；新约克"
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
[计] DOS外部命令:用于设定国家代码, 包括日期时间及货币格式"
Australian,"n. 澳大利亚人
a. 澳大利亚的, 澳洲的, 澳洲人的"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
Sydney,n. 悉尼（澳大利亚港市）
language,"n. 语言, 文字, 措辞
[计] 语言"
Brazil,n. 巴西
Sao Paulo,[网络] 圣保罗；巴西；巴西圣保罗
Portuguese,"n. 葡萄牙人, 葡萄牙语
a. 葡萄牙的, 葡萄牙人的, 葡萄牙语的"
Germany,n. 德国
Berlin,"n. 柏林, (软质)柏林毛线"
Canada,n. 加拿大
America,"n. 美洲, 美国"
