declare,"vt.断言,宣称,宣布,宣告,声明,(向海关)中报进口应纳税之货物"
halt,"n.停止,暂停,中断vt.使停止,使立定vi.立定,停止,踌躇,有缺点"
enthusiasm,"n.狂热,热心,积极性,激发热情的事物"
propose,"vt.计划,建议,向...提议,求(婚)vi.打算,求婚"
clutch,"v.抓住,攫住n.离合器"
submerge,"v.浸没,淹没,掩没vi.潜水"
expand,"vt.使膨胀,详述,扩张vi.张开,发展"
shrink,"v.收缩,(使)皱缩,缩短"
nevertheless," conj.然而,不过adv.仍然,不过"
vague,"adj.含糊的,不清楚的,茫然的,暧昧的"
relief,"n.(痛苦等的)减轻,(债务等的)免除,救济,调剂,安慰,浮雕,地貌"
enchant,"vt.施魔法,使迷惑"
vulgar,"adj.粗俗的,庸俗的,普通的,通俗的,本土的n.<古>平民,百姓"
investigation,"n.调查,研究"
delicacy,n.微妙
precede,"v.领先(于),在...之前,先于"
paralyze,"vt.使瘫痪,使麻痹"
security,n.安全
notorious,adj.声名狼籍的
await,vt.等候
ultimate,"adj.最后的,最终的,根本的n.最终"
frown,"vi.皱眉,蹙额,不赞成,反对v.皱眉"
erect,"adj.直立的,竖立的,笔直的vt.盖,使竖立,使直立,树立,建立vi.[生理]勃起"
vulnerable,"adj.易受攻击的,易受...的攻击"
simultaneously,adv.同时地
convert,"n.皈依者vt.使转变,转换...,使...改变信仰"
weave,"n.编法,织法,编织vt.编织,组合,编排,使迂回前进vi.纺织,迂回行进,摇晃n.织法,织物"
stale,"n.(牲畜等的)尿adj.不新鲜的,陈腐的,疲倦的,陈旧的vt.使变旧,走味vi.变陈旧,变无味,失时效,撒尿"
capital,"n.首都,首府,大写字母,资本,资金,资产adj.首都的,重要的,死罪的,大写的,<口>极好的"
imply,"vt.暗示,意味"
astound,"vt.使惊骇,使大吃一惊"
sleigh,"n.雪橇v.乘雪橇,用雪橇运输"
commute,"v.交换,抵偿,减刑,<电工>整流"
venture,"n.冒险,投机,风险v.冒险,冒昧,斗胆,胆敢(谦语)"
applaud,"v.拍手喝彩,称赞,赞同"
courtesy,"n.谦恭,允许,礼貌"
responsible,"adj.有责任的,可靠的,可依赖的,负责的"
intelligent,"adj.聪明的,伶俐的,有才智的,[计]智能的"
justify,v.证明...是正当的
prohibit,"vt.禁止,阻止"
circumstance,"n.环境,详情,境况"
definite,"adj.明确的,一定的"
enrich,"vt.使富足,使肥沃,装饰,加料于,浓缩"
bubble,"n.泡沫,幻想的计划vi.起泡,潺潺的流"
gleam,"n.微弱的闪光,一丝光线,瞬息的一现vi.闪烁,隐约地闪现vt.使发微光,使闪烁"
crash,"n.碰撞,坠落,坠毁,撞击声,爆裂声v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台"
slack,"n.松弛,静止,淡季,闲散,家常裤adj.松弛的,不流畅的,疏忽的,软弱的,漏水的,呆滞的,懒散的adv.马虎地,缓慢地vt.使松弛,使缓慢,马虎从事vi.松懈,减弱,松驰"
drift,"n.冲洗,漂流物,观望,漂流v.(使)漂流"
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
scrape,"n.刮,擦,擦痕,刮擦声,困境vi.刮掉,擦掉,刮出刺耳声vt.刮,擦,擦伤,挖成"
repel,"vt.击退,抵制,使厌恶,使不愉快"
convince,"vt.使确信,使信服"
outstanding,"adj.突出的,显著的"
disapprove,v.不赞成
deliver,"vt.递送,陈述,释放,发表(一篇演说等),交付,引渡,瞄准,给予(打击)"
convict,"vt.证明...有罪,宣告...有罪n.罪犯"
satisfactory,"adj.满意的,赎罪的"
generosity,"n.慷慨,宽大"
interrupt,"vt.打断(正在说话或动作的人),中断,妨碍,插嘴vi.打断(别人的讲话或行动)n.(发给电脑的)中断信号"
substitute,"n.代用品,代替者,替代品v.代替,替换,替代"
finance,"n.财政,金融,财政学vt.供给...经费,负担经费vi.筹措资金"
combine,"v.(使)联合,(使)结合n.联合企业,联合收割机n.联合收割机"
denounce,"vt.公开指责,公然抨击,谴责"
trash,"n.无价值之物,无聊的作品,垃圾,废物"
crisp,"adj.脆的,易碎的"
suspend,"vt.吊,悬挂v.延缓"
attempt,"n.努力,尝试,企图vt.尝试,企图"
discharge,"vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),放(枪),射(箭)vi.卸货,流注n.卸货,流出,放电"
rebellious,"adj.造反的,反叛的,反抗的,难于对付的"
dismiss,"vt.解散,下课,开除,解职,使(或让)离开vi.解散"
delicate,"adj.精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,灵敏的,精密的"
detach,"vt.分开,分离,分遣,派遣(军队)"
subscribe,"v.捐款,订阅,签署(文件),赞成,预订"
target,"n.目标,对象,靶子"
quit,"vi.离开,辞职,停止vt.离开,放弃,解除,停止"
refrain,"n.重复,叠句,[乐]副歌vi.节制,避免,制止"
torture,"n.折磨,痛苦,拷问,拷打vt.拷问,曲解,折磨,使弯曲"
divert,"v.转移,转向,使高兴"
confess,"v.承认,坦白,忏悔"
encircle,"vt.环绕,围绕,包围,绕...行一周"
dreary,adj.沉闷的
inquiry,"n.质询,调查"
urge,"vt.催促,力劝n.强烈欲望,迫切要求v.促进"
avenge,"vt.为...报复,报仇"
blink,"v.眨眼,闪亮,无视"
enact,"vt.制定法律,颁布,扮演"
flourish,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期vt.挥动,夸耀n.茂盛,兴旺,华饰,繁荣"
depress,"vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条v.压下"
tremendous,"adj.极大的,巨大的"
stalk,"n.茎,柄,梗,秆"
indulge,v.纵容
memorable,"adj.值得纪念的,难忘的"
overlook,"vt.俯瞰,耸出,远眺,没注意到n.眺望,俯瞰中的景色"
improve,"v.改善,改进"
speculate,"vi.推测,思索,做投机买卖"
intricate,"adj.复杂的,错综的,难以理解的"
tempt,"vt.诱惑,引诱,吸引,使感兴趣,考验,试探"
dedicate,"vt.献(身),致力,题献(一部著作给某人)"
gamble,"n.冒险v.赌博,投机,孤注一掷"
upset,"vt.颠覆,推翻,扰乱,使不适,使心烦vi.翻倒,倾覆n.翻倒,混乱"
splash,"n.溅,飞溅,斑点v.溅,泼,溅湿"
survey,"n.测量,调查,俯瞰,概观,纵览,视察vt.调查(收入,民意等) 测量,勘定,审视,视察,俯瞰,通盘考虑vi.测量土地"
parade,"n.游行,炫耀,阅兵,检阅,阅兵场v.游行,炫耀,夸耀,(使)列队行进"
grease,"n.油脂,贿赂vt.涂脂于,<俗>贿赂"
wit,"n.智力,才智,智慧"
mingle,v.(使)混合
saint,"n.圣人,道德崇高的人,圣徒adj.神圣v.成为圣徒"
criticize,"v.批评,责备"
accompany,"vt.陪伴,伴奏"
trot,"v.(使)小跑,(使)快步走,骑马小跑,疾走n.小跑,骑马,疾走,忙碌"
inherit,"vt.继承,遗传而得"
contest,"n.论争,竞赛v.,争论,争辩,竞赛,争夺"
assertion,"n.主张,断言,声明"
alter,v.改变
poise,"n.平衡,均衡,姿势,镇静,砝码vt.使平衡,使悬着,保持...姿势vi.平衡,悬着,准备好,犹豫"
exchange,"vt.交换,调换,兑换,交流,交易n.交换,调换,兑换,交流,交易"
numerical,"adj.数字的,用数表示的adj.数字的,用数字表示的"
glow,"vi.发光,发热"
invalid,"n.病人,残废者adj.有病的,残废的"
warrant,"n.授权,正当理由,根据,证明,凭证,委任状,批准,许可证vt.保证,辩解,担保,批准,使有正当理由"
prostitute,n.妓女
starve,vt.使饿死vi.饿得要死
melancholy,n.忧郁adj.忧郁
tangible,adj.切实的
issue,"n.出版,发行,(报刊等)期、号,论点,问题,结果,(水,血等的)流出vi.发行,流出,造成...结果,进行辩护,传下vt.使流出,放出,发行(钞票等),发布(命令),出版(书等)发给 [律]子女,后嗣"
smear,"v.涂上,抹掉,涂污,诽谤,抹去n.油迹,污点,涂片,釉,中伤"
persistently,
tighten,"v.变紧,绷紧,拉紧"
glitter,"vi.闪闪发光,闪烁,闪光n.闪光"
hostile,"adj.敌对的,敌方的n.敌对"
sturdy,"adj.强健的,坚定的,毫不含糊的n.[兽医]家畜晕倒病"
immediate,"adj.直接的,紧接的,紧靠的,立即的,知觉的"
aftermath,"n.结果,后果"
dignity,"n.尊严,高贵"
glorious,"adj.光荣的,显赫的"
trick,"n.诡计,骗局,恶作剧,窍门,诀窍vt.欺骗,哄骗"
obedient,"adj.服从的,孝顺的"
underestimate,"vt.低估,看轻n.低估"
proverb,n.谚语
stagger,"v.摇晃,蹒跚,交错,摇摇摆摆adj.交错的"
refugee,"n.难民,流亡者"
bound,"n.跃进,跳,范围,限度adj.正要启程的,开往...去的,被束缚的,装订的v.跳跃,限制"
potential,"adj.潜在的,可能的,势的,位的n.潜能,潜力,电压"
postpone,"vt.推迟,使延期,延迟"
penalty,"n.处罚,罚款"
defensive,"adj.防御用的,自卫的n.防御"
status,"n.身份,地位,情形,状况"
zeal,"n.热心,热情,热诚"
epidemic,"adj.流行的,传染的,流行性n.时疫,疫疾流行,(风尚等的)流行,流行病"
complex,"adj.复杂的,合成的,综合的n.联合体"
conform,"vt.使一致,使遵守,使顺从vi.符合,相似,适应环境adj.一致的,顺从的"
avenue,"n.林荫道,大街,方法,途径,路"
snicker,v.窃笑n.窃笑
inscription,"n.题字,碑铭"
specialize,"vi.专攻,专门研究,使适应特殊目的,使专用于"
glamorous,"adj.富有魅力的,迷人的"
poll,"n.选举之投票,民意测验v.投票,获得选票,选举中获得"
disrupt,"v.使中断,使分裂,使瓦解,使陷于混乱,破坏"
impractical,"adj.不切实际的,昧于实际的"
preoccupation,n.当务之急
budget,"n.预算vi.做预算,编入预算"
envisage,v.正视
standstill,"n.停止,停顿"
diagnose,v.诊断
deplete,"vt.耗尽,使衰竭"
filter,"n.滤波器,过滤器,滤光器,筛选vt.过滤,渗透,用过滤法除去vi.滤过,渗入,(消息等)走漏,慢慢传开"
trigger,"vt.引发,引起,触发n.板机"
donate,"v.捐赠,赠予"
analyze,"vt.分析,分解"
spectacular,"adj.引人入胜的,壮观的"
stability,n.稳定性
receptive,"adj.善于接受的,能接纳的"
forthcoming,adj.即将来临的n.来临
stall,"n.货摊,畜栏,厩,出售摊v.(使)停转,(使)停止,迟延"
imperative,"n.命令,诫命,需要,规则,祈使语气adj.命令的,强制的,紧急的,必要的,势在必行的,[语法]祈使的"
triple,"n.三倍数,三个一组adj.三倍的vt.三倍与vi.增至三倍"
neutral,"n.中立者,中立国,非彩色,齿轮的空档adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的"
beware,"v.小心,谨防"
condense,"v.(使)浓缩,精简"
sceptical,"adj.怀疑论的,怀疑的"
notify,v.通报
transform,"vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换"
superficial,"adj.表面的,肤浅的,浅薄的"
approximate,"adj.近似的,大约的v.近似,接近,接近,约计"
dramatic,"adj.戏剧性的,生动的"
version,"n.译文,译本,翻译"
insert,"vt.插入,嵌入n.插入物"
blandly,"adv.温和地,殷勤地"
tolerant,"adj.容忍的,宽恕的,有耐药力的"
timid,"adj.胆小的,羞怯的"
outbreak,"n.(战争的)爆发,(疾病的)发作"
detain,"v.拘留,留住,阻止"
emerge,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
exclude,"vt.拒绝接纳,把...排除在外,排斥"
futile,"adj.琐细的,无用的,无效果的,(人)没有出息的"
scandal,"n.丑行,丑闻,诽谤,耻辱,流言蜚语"
strategy,"n.策略,军略"
paradox,"n.似非而是的论点,自相矛盾的话"
index,"n.索引,[数学]指数,指标,(刻度盘上)指针vt.编入索引中,指出vi.做索引"
preface,"n.序文,绪言,前言vi.作序,写前言vt.为...写序言,开始"
disintegrate,"vt.(使)分解,(使)碎裂"
trumpet,n.喇叭
characterize,"vt.表现...的特色,刻画的...性格"
tolerate,"vt.忍受,容忍"
prosecute,"vt.实行,从事,告发,起诉vi.告发,起诉,作检察官"
consecutive,"adj.连续的,联贯的"
convention,"n.大会,协定,习俗,惯例"
invert,"adj.转化的vt.使颠倒,使转化n.颠倒的事物"
profile,"n.剖面,侧面,外形,轮廓"
supplement,"n.补遗,补充,附录,增刊v.补充"
transmit,"vt.传输,转送,传达,传导,发射,遗传,传播vi.发射信号,发报"
trail,"n.踪迹,痕迹,形迹vt.跟踪,追踪,拉,拖,拖拉,(指植物)蔓生,蔓延,(指人)没精打采地走"
substantial,"adj.坚固的,实质的,真实的,充实的"
surrender,"vt.交出,放弃,使投降,听任vi.投降,自首n.交出,放弃,投降 投降算了"
limitation,"n.限制,局限性"
lack,"n.缺乏,短缺的东西vt.缺乏,没有,需要vi.缺乏,没有"
query,"n.质问,询问,怀疑,疑问v.询问,表示怀疑"
unearth,v.掘出
thrifty,adj.节约的
magnify,"vt.放大,扩大,赞美,夸大,夸张vi.有放大能力"
hitch,"n.猛拉,急推,蹒跚,故障vt.猛拉,系住,拴,钩住,套住vi.蹒跚,被钩住"
delinquent,"n.失职者,违法者adj.失职的,有过失的,违法的,拖欠债务的"
logic,"n.逻辑,逻辑学,逻辑性"
sterile,"adj.贫脊的,不育的,不结果的,消过毒的,毫无结果的"
rural,"adj.乡下的,田园的,乡村风味的,生活在农村的"
smudge,"n.污迹,熏烟v.弄脏,用浓烟熏,染污"
symbolize,"vt.象征,用符号表现vi.作为...的象征,采用象征,使用符号"
recognize,"vt.认可,承认,公认,赏识vi.具结"
renowned,"adj.有名的,有声誉的"
stack,"n.堆,一堆,堆栈v.堆叠"
emotional,"adj.情绪的,情感的"
gorgeous,"adj.华丽的,灿烂的"
flick,"n.(用鞭)快速的轻打,轻打声,弹开v.轻弹,轻轻拂去,忽然摇动,(翅)拍动,(旗)飘扬"
quote,"vt.引用,引证,提供,提出,报(价)"
primitive,"adj.原始的,远古的,粗糙的,简单的"
spiritual,adj.精神上的
initiate,"vt.开始,发动,传授v.开始,发起"
hustle,"n.急速活动,挤,推,拥挤喧嚷vt.驱赶,驱逐,乱挤,硬逼(某人)买或做事,强夺vi.硬挤过去"
absorb,"vt.吸收,吸引"
thereof,"adv.在其中,关于...,将它,它的"
heave,v.举起n.举起
integral,"adj.完整的,整体的,[数学] 积分的,构成整体所需要的n.[数学] 积分,完整,部分"
radiate,"vt.放射,辐射,传播,广播vi.发光,辐射,流露adj.有射线的,辐射状的"
intact,"adj.完整无缺的,尚未被人碰过的,(女子)保持童贞的,(家畜)未经阉割的"
collapse,"n.倒塌,崩溃,失败,虚脱vi.倒塌,崩溃,瓦解,失败,病倒"
slap,"vt.拍,掌击,拍击n.拍,掌击,拍击"
respond,"v.回答,响应,作出反应vi.有反应"
blend,vt.混和n.混和
toss,"v.投,掷"
scribble,"n.潦草的写法,潦草写成的东西,杂文v.潦草地写,乱写,滥写"
episode,"n.一段情节,[音]插曲,插话,有趣的事件"
region,"n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层"
ferment,"n.酵素,发酵,动乱v.(使)发酵,(使)激动,(使)动乱"
thrust,"n.插,戳,刺,推力,猛推,口头攻击vt.力推,冲,插入,挤进,刺,戳,强加,延伸vi.插入,刺,戳,延伸,强行推进"
crawl,"vi.爬行,蠕动,徐徐行进n.爬行,蠕动,缓慢的行进"
sprinkle,"v.撒(某物)于(某物之表面),洒,喷撒"
standpoint,"n.立场,观点"
arbitrary,"adj.任意的,武断的,独裁的,专断的"
cling,"vi.粘紧,附着,紧贴,坚持(意见),墨守(习惯)"
teem,v.大量出现
herald,"n.使者,传令官,通报者,先驱,预兆vt.预报,宣布,传达,欢呼"
veil,"n.面纱,面罩,帐,幕,掩饰物,遮蔽物,口实,假托vt.戴面纱,隐藏,遮蔽,掩饰vi.蒙上面纱"
prime,"n.最初,青春,精华adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的v.预先准备好,<口>让人吃(喝)足,灌注,填装"
steer,"v.驾驶,掌舵"
bust,"n.半身像,胸像,(妇女的)胸部"
rear,"n.后面,背后,后方,屁股adj.后面的,背面的,后方的vt.培养,饲养,举起,树立,栽种vi.高耸,暴跳,用后腿站起"
loom,"n.织布机,织机v.隐现,迫近"
uphold,"vt.支持,赞成"
stoop,"n.弯腰,屈背,屈服vi.弯下,弯下上身,屈服,弯腰,堕落vt.俯曲,辱没"
staple,"n.钉书钉,钉,主要产品(或商品),原材料,主要成分,来源adj.主要的,常用的,大宗生产的v.把...分类,把...分级"
devour,"vt.(尤指动物)吞吃,狼吞虎咽,挥霍,(火灾等)毁灭,破坏,吞没,贪看,贪听"
incomplete,"adj.不完全的,不完善的"
curve,"n.曲线,弯曲,[棒球]曲线球,[统]曲线图表vt.弯,使弯曲vi.成曲形"
thumb,"n.拇指vt.以拇指拨弄,笨拙处理,弄坏,翻阅,作搭车手势vi.用拇指翻书页"
snap,"v.猛地吸住,突然折断,使劈啪地晌,猛咬n.猛咬,突然折断,劈啪声adj.突然的"
dwindle,v.缩小
transparent,"adj.透明的,显然的,明晰的"
toil,"n.辛苦,苦工,网,罗网,圈套vi.苦干,跋涉,费力地做"
emit,"vt.发出,放射,吐露,散发,发表,发行"
inconsistent,"adj.不一致的,不协调的,矛盾的"
suicide,"n.自杀,自毁,给自己带来伤害或损失的行为"
patent,"n.专利权,执照,专利品adj.特许的,专利的,显著的,明白的,新奇的vt.取得...的专利权,请准专利"
deduct,"vt.扣除,演绎"
element,"n.要素,元素,成分,元件,自然环境"
vertical,"adj.垂直的,直立的,顶点的,[解]头顶的n.垂直线,垂直面,竖向"
contact,"n.接触,联系vt.接触,联系"
persuasive,"n.说服者,劝诱adj.善说服的"
phase,"n.阶段,状态,相,相位v.定相"
moan,"n.呻吟,哀悼,呼啸vi.发出呻吟声,抱怨,哀悼vt.呻吟"
enclose,"vt.放入封套,装入,围绕"
clumsy,adj.笨拙的
conspicuous,adj.显著的
despite," prep.不管,尽管,不论"
enlist,"v.征募,谋取(支持、赞助等),应募,赞助,支持,征召,参军"
fascinate,"vt.使着迷,使神魂颠倒vi.入迷,极度迷人的"
flap,"n.拍打,拍打声,副翼v.拍打,鼓翼而飞,飘动,拉下(帽)的边,扔,掷"
abridge,"v.删节,削减,精简"
lash,"n.鞭子,鞭打,睫毛,责骂,讽刺vt.鞭打,摆动,扎捆,冲击,煽动,讽刺vi.猛击,急速甩动"
irony,"n.反话,讽刺,讽刺之事"
hover,v.盘旋
stern,"adj.严厉的,苛刻的n.船尾"
designate,"vt.指明,指出,任命,指派v.指定,指派"
stare,"v.(～ at) 凝视,盯着看"
instinct,n.本能
trickle,v.滴流
disclose,"vt.揭露,透露"
unsophisticated,
absolute,"adj.完全的,绝对的"
tramp,"v.重步行走,踏,践,践踏"
inferior,"adj.下等的,下级的,差的,次的,自卑的,劣等的"
punctual,"adj.严守时刻的,准时的"
immense,"adj.极广大的,无边的,<口>非常好的"
perceive,"vt.察觉v.感知,感到,认识到"
recede,v.后退
define,"vt.定义,详细说明"
gloom,"n.阴暗,阴沉v.(使)变阴暗,优伤地说,繁荣"
fragment,"n.碎片,断片,片段"
strangle,v.扼死
temperate,"adj.有节制的,适度的,戒酒的,(气候)温和的"
permit,"n.通行证,许可证,执照v.许可,允许,准许"
forbid,"vt.禁止,不许v.禁止"
vigorous,"adj.精力旺盛的,有力的,健壮的"
capture,"n.捕获,战利品vt.俘获,捕获,夺取"
recommend,"vt.推荐,介绍,劝告,使受欢迎,托付,使...受欢迎,使...可取"
irrelevant,"adj.不相关的adj.不相关的,不切题的"
upright,"adj.垂直的,竖式的,正直的,诚实的,合乎正道的adv.笔直,竖立着n.垂直,竖立"
domestic,"adj.家庭的,国内的,与人共处的,驯服的"
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
encounter,"v.遭遇,遇到,相遇n.遭遇,遭遇战"
aware,"adj.知道的,明白的,意识到的"
prolong,"vt.延长,拖延"
command,"n.命令,掌握,司令部v.命令,指挥,克制,支配,博得,俯临"
exhaust,"vt.用尽,耗尽,抽完,使精疲力尽vi.排气n.排气,排气装置adj.用不完的,不会枯竭的"
obtain,"vt.获得,得到"
vent,"n.通风孔,出烟孔,出口,(感情等的)发泄v.放出,排出,发泄"
thoughtful,"adj.深思的,有思想性的,体贴的,关切的"
feat,"n.技艺,功绩,武艺,壮举,技艺表演adj.漂亮的,合适的"
preach,v.鼓吹
disagree,"vi.不一致,不适宜"
adequate,
manufacture,"vt.制造,加工n.制造,制造业,产品"
endow,"v.捐赠,赋予"
devise,"vt.设计,发明,图谋,作出(计划),想出(办法),遗赠给n.遗赠"
bail,"n.保释,保证金,保证人v.保释,舀水"
mount,"n.乘用马,衬纸,山,装配vi.乘马,爬上,增长vt.爬上,使上马,装上,设置,安放,制作...的标本,上演"
manual,"n.手册,指南adj.手的,手动的,手工的,体力的,手册(性质)的,[律]实际占有的"
portrait,"n.肖像,人像"
attain,"vt.达到,获得v.达到"
credit,"n.信任,信用,声望,荣誉,[财务]贷方,银行存款vt.相信,信任,把...归给"
internal,"adj.内在的,国内的"
comprehend,"vt.领会,理解,包括(包含),由...组成"
subdued,"adj.屈服的,被抑制的,柔和的,减弱的"
persecuted,
glide,"v.滑行,悄悄地走,(时间)消逝,滑翔n.滑行,滑翔,滑移,滑音"
revive,"v.(使)苏醒,(使)复兴,(使)复活,(使)再生效,回想"
trivial,"adj.琐细的,价值不高的,微不足道的"
submit,"v.(使)服从,(使)顺从vt.提交,递交"
threat,"n.恐吓,凶兆,威胁"
administer,"v.管理,给予,执行"
compassion,"n.同情,怜悯"
bruise,"n.瘀伤,擦伤v.打伤,撞伤"
extreme,"adj.尽头的,极端的,极度的,偏激的,最后的n.极端,极端的事物"
relate,"vt.叙述,讲,使联系,发生关系"
enlighten,"vt.启发,启蒙,教导,授予...知识,开导,<古>照耀"
professional,"n.自由职业者,专业人员,职业运动员,职业艺人adj.专业的,职业的"
yearn,"vi.渴望,想念,怀念,向往"
ingenious,"adj.机灵的,有独创性的,精制的,具有创造才能"
lick,"n.舔,少许,打vt.舔,卷过,鞭打,克服,征服vi.轻轻拍打"
blaze,"n.火焰,光辉,情感爆发vi.燃烧,照耀,激发vt.在树皮上刻路标,公开宣布"
undertake,"vt.承担,担任,许诺,保证v.采取"
succession,"n.连续,继承,继任,演替,[农业] 轮栽,连续性"
blush,"v.脸红,羞愧,呈现红色,使成红色n.脸红,红色,红光"
incredible,adj.<口>难以置信的
infect,"vt.[医] 传染,感染"
intrude,"vi.闯入,侵入vt.强挤入,把(自己的思想)强加于人"
route,"n.路线,路程,通道v.发送"
outset,"n.开端,开始"
tread,"n.踏,步态,梯级,踏板,轮胎面,交尾,鞋底vi.踏,行走,踩碎,践踏,交尾vt.踩,踏,践踏,跳"
desperate,"adj.不顾一切的,拚死的,令人绝望的"
repetition,"n.重复,循环,复制品,副本"
voluntary,"adj.自动的,自愿的,主动的,故意的,非官办的,志愿的,自发的"
squander,v.浪费
accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
modest,"adj.谦虚的,谦让的,适度的"
observe,"vt.观察,观测,遵守,评述,说"
illuminate,"vt.照明,照亮,阐明,说明,使灿烂,以灯火装饰(街道等)vi.照亮"
devote,"vt.投入于,献身"
secure,"adj.安全的,可靠的,放心的,无虑的v.保护"
conduct,"n.行为,操行v.引导,管理,为人,传导"
stun,"vt.使晕倒,使惊吓,打晕n.晕眩,打昏,惊倒"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
disgrace,"n.耻辱,失宠,丢脸的人(或事)v.玷污"
deserve,"vt.应受,值得v.应受"
glimmer,v.闪烁n.闪光
knot,"n.(绳等的)结,(树的)节,节(船速,＝哩／小时)v.打结"
shudder,"n.vi.战栗,发抖"
snatch,v.攫取n.攫取
distinct,"adj.清楚的,明显的,截然不同的,独特的"
overcome,"vt.战胜,克服,胜过,征服vi.得胜"
reveal,"vt.展现,显示,揭示,暴露"
bankrupt,"n.破产者adj.破产了的,完全丧失vt.使破产"
brisk,"adj.敏锐的,凛冽的,轻快的,活泼的vt.使活泼vi.活跃起来"
idle,"adj.空闲的,懒惰的,停顿的,无用的,无价值的vi.不做事,游手好闲,(机器)空转,虚度,闲散,不作事,游手好闲,浪费vt.虚度,使空闲,使空转"
magnificent,"adj.华丽的,高尚的,宏伟的"
facilitate,"vt.(不以人作主语的)使容易,使便利,推动,帮助,使容易,促进"
jury,"n.[律] 陪审团,评判委员会,陪审员adj.[海]临时应急的"
undermine,v.破坏
saturate,"v.使饱和,浸透,使充满"
conclusive,"adj.确实的,最后的,决定性的"
swear,"vi.诅咒v.宣誓,发誓"
suburb,"n.市郊,郊区"
fabulous,"adj.寓言中的,寓言般的,神话般的,传统上的,惊人的,难以置信的"
facility,"n.容易,简易,灵巧,熟练,便利,敏捷,设备,工具"
anonymous,adj.匿名的
evolve,"v.(使)发展,(使)进展,(使)进化"
discriminate,"v.歧视,区别,区别待遇"
radical,"adj.根本的,基本的,激进的n.激进分子"
concrete,"adj.具体的,有形的n.混凝土v.用混凝土修筑,浇混凝土,凝结"
finite,"adj.有限的,[数]有穷的,限定的"
overlap,v.(与...)交迭
squat,"v.蹲坐,蹲伏n.蹲坐adj.蹲着的"
lizard,n.[动]蜥蜴
scrub,"v.洗擦,擦净,使(气体)净化,擦洗n.洗擦,擦净,擦洗者,矮树,灌木,丛林地,矮小的人(或动物)adj.次等的,矮小的,临时凑合的"
alert,"adj.提防的,警惕的n.警惕,警报"
hinge,"n.(门、盖等的)铰链,枢纽,关键vt.装铰链v.装以绞链,依...而转移"
inert,"adj.无活动的,惰性的,迟钝的"
durable,"adj.持久的,耐用的"
award,"n.奖,奖品vt.授予,判给"
assignment,"n.分配,委派,任务,(课外)作业"
efficient,"adj.(直接)生效的,有效率的,能干的"
reliable,"adj.可靠的,可信赖的"
evaporate,"v.(使)蒸发,消失"
circulate,"v.(使)流通,(使)运行,(使)循环,(使)传播"
compute,"v.计算,估计,用计算机计算(或确定)"
segment,"n.段,节,片断v.分割"
subtract,"v.(～ from)减去,减"
democracy,"n.民主政治,民主主义"
affluent,"adj.丰富的,富裕的"
duplicate,"adj.复制的,副的,两重的,两倍的,完全相同n.复制品,副本vt.复写,复制,使加倍,使成双"
manifold,"n.复印本,多种adj.多种形式的,有许多部分的,多方面的vt.复写,繁殖,增多"
bully,"n.欺凌弱小者vt.威吓,威逼"
exploit,"vt.开拓,开发,开采,剥削,用以自肥v.使用"
slay,"v.<书>杀,杀死,宰杀,杀害,宰杀,杀死"
senate,"n.参议院,上院"
idealize,v.理想化
deploy,"v.展开,配置"
modify,"vt.更改,修改v.修改"
spiral,adj.螺旋形的n.螺旋v.盘旋
thaw,n.解冻
analogy,"n.类似,类推"
impeach,"vt.[律]控告,检举,<主美>弹劾,怀疑"
tally,"n.符木(古时用,上有刻痕记载交货、欠款等的数量),记账,得分,标记牌,标签,符合,对应物,计数器vt.点数,计算,记录,加标签于,使符合vi.符合,吻合,记分"
reinforce,"vt.加强,增援,补充,增加...的数量,修补,加固vi.求援,得到增援n.加固物"
visual,"adj.看的,视觉的,形象的,栩栩如生的"
controversy,"n.论争,辩论,论战"
rehearse,"vt.预演,排演,使排练,复述,练习,背诵,作假vi.排练,练习,演习"
besiege,"vt.围困,围攻,包围,"
prestige,"n.声望,威望,威信"
comparable,"adj.可比较的,比得上的"
revenue,"n.收入,国家的收入,税收"
puncture,n.小孔v.刺破
authorize,v.批准
ventilate,"vt.使通风,给...装通风设备"
antecedent,n.先辈adj.先行的
spill,"n.溢出,溅出,摔下,木片,小塞子,暴跌,溢出量vt.使溢出,使散落,洒,使流出,使摔下,倒出vi.溢出,涌流,充满"
stumble,"v.绊倒,使困惑,蹒跚,结结巴巴地说话,踌躇n.绊倒,错误"
