emperor,"n.皇帝,君主"
alchemist,n.炼金术士
less than,
contrary,"adj.相反的,逆的,<口语>执拗n.反面adv.相反地"
alert,"adj.提防的,警惕的n.警惕,警报"
shift,"n.移动,轮班,移位,变化,办法,手段vt.替换,转移,改变,移转,推卸,变速vi.转换,移动,转变,推托,变速"
mere,"adj.仅仅的,起码的,纯粹的"
monitor,"n.班长,监听器,监视器,监控器vt.监控v.监控"
derive,vt.得自vi.起源
desire,"vt.想望,期望,希望,请求(官方丈礼)n.愿望,心愿,要求v.要求"
minimal,"adj.最小的,最小限度的"
sketch,"n.略图,草图,概略,梗概,草图,拟定vi.绘略图,素描v.勾画"
lag,"n.落后,囚犯,迟延,桶板,防护套adj.最后的vi.缓缓而行,滞后vt.落后于,押往监狱,加上外套"
trigger,"vt.引发,引起,触发n.板机"
supplement,"n.补遗,补充,附录,增刊v.补充"
offend,"v.犯罪,冒犯,违反,得罪,使...不愉快"
vivid,"adj.生动的,鲜明的,鲜艳的,大胆的,清晰的,活泼的,逼真的"
as for,
as to,
enclose,"vt.放入封套,装入,围绕"
dose,"n.剂量,(一)剂,(一)服v.(给...)服药"
supply,"n.补给,供给,供应品vt.补给,供给,提供,补充,代理vi.替代他人职务"
on the horizon,
compress,"vt.压缩,摘要叙述n.(外科)敷布"
interest,"n.兴趣,关心,重要性,影响,利息,[常 pl.] 利益,利害vt.使发生兴趣,引起...的注意"
overcome,"vt.战胜,克服,胜过,征服vi.得胜"
achievement,"n.成就,功绩"
dusk,"n.薄暮,黄昏"
cease,"v.停止,终了"
arable,"adj.可耕的,适于耕种的"
congested,adj.拥挤的
split,"v.劈开,(使)裂开,分裂,分离n.裂开,裂口,裂痕"
distinct,"adj.清楚的,明显的,截然不同的,独特的"
negotiate,"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过"
cruel,"adj.残酷的,悲惨的,使痛苦的"
Nordic,
linger,"v.逗留,闲荡,拖延,游移"
womb,"n.子宫,发源地vt.(如子宫般的)包含,容纳"
advantageous,adj.有利的
manoeuvre,"n.[亦作maneuvre] 策略,调动v.用策略,调动,演习,(敏捷地)操纵"
predatory,"adj.掠夺的,食肉的"
converse,"n.相反的事物,倒,逆行adj.相反的,颠倒的vi.谈话,交谈,认识"
context,"n.上下文,文章的前后关系"
entrepreneurial,
dearth,n.缺乏
adventurous,"adj.喜欢冒险的,敢做敢为的,充满危险的"
exploitative,"adj.开发资源的,剥削的"
impoverish,"vt.使贫穷,使枯竭"
convection,"n.传送,对流"
plateau,"n.高地,高原(上升后的)稳定水平(或时期、状态)"
crust,"n.外壳,硬壳,面包皮vt.盖以硬皮vi.结硬皮"
overlie,"v.躺在...上面,睡在...上面"
brittle,"adj.易碎的,脆弱的"
collision,"n.碰撞,冲突"
extrusion,"n.挤出,推出,[地]喷出的,突出的,赶出"
pumice,"n.轻石,浮石vt.用浮石去污,磨光"
predictable,adj.可预言的
geological,"adj.地质学的,地质的"
halve,"vt.二等分,平分,分享,减半"
assimilate,v.吸收
harbour,n.(=harbor) 海港
hybrid,"n.杂种,混血儿,混合物adj.混合的,杂种的"
inhale,vt.吸入vi.吸气
decibel,n.分贝
voyage,"n.航程,航空,航海记,旅行记vi.航海,航行vt.渡过,飞过"
cherry,"n.樱桃,樱桃树,如樱桃的鲜红色,<俚,鄙>处女膜,处女"
contingency,"n.偶然,可能性,意外事故,可能发生的附带事件"
for the sake of,
relieve,"vt.减轻,解除,援救,救济,换班"
stance,n.姿态
conduct,"n.行为,操行v.引导,管理,为人,传导"
mate,"n.配偶,对手,助手vt.使配对,使一致,结伴vi.成配偶,紧密配合"
attack,"n.进攻,攻击,(用语言)抨击,批评,疾病发作,侵袭vt.攻击,抨击,动手处理(某事)vi.攻击"
discredit,"n.无信用,疑惑,不名誉,耻辱vt.不信,怀疑,使丢脸"
flora,n.[罗神]花神 Flora 弗洛拉(女子名)
mass,"n.块,大多数,质量,群众,大量adj.群众的,大规模的,集中的vt.使集合vi.聚集"
anticipate,"vt.预期,期望,过早使用,先人一着,占先v.预订,预见,可以预料"
operate,"v.操作,运转,开动,起作用,动手术,开刀n.[军]作军事行动"
bypass,"n.旁路vt.设旁路,迂回"
undetected,"adj.未被发现的,未被识破的"
shaft,"n.轴,杆状物"
channel,"n.海峡,水道,沟,路线vt.引导,开导,形成河道 信道,频道"
determine,"v.决定,确定,测定,使下定决心,[律]使终止"
dominate,"v.支配,占优势"
instrumental,"adj.仪器的,器械的,乐器的"
load,"n.负荷,重担,装载量,工作量,负载,加载vt.装载,装填,使担负vi.装货,装弹药,装料"
improve,"v.改善,改进"
sensitive,"adj.敏感的,灵敏的,感光的"
abolish,"vt.废止,废除(法律、制度、习俗等)"
conception,"n.观念,概念"
encounter,"v.遭遇,遇到,相遇n.遭遇,遭遇战"
bubble,"n.泡沫,幻想的计划vi.起泡,潺潺的流"
sample,"n.标本,样品,例子vt.取样,采样,抽取...的样品,试验的一部分,尝试"
qualitative,"adj.性质上的,定性的"
accountant,"n.会计(员),会计师"
plaster,"n.石膏,灰泥,膏药,橡皮膏vt.涂以灰泥,敷以膏药,减轻,粘贴,重创"
storey,n.[建] 层
gang,"n.(一)伙,(一)群"
enterprise,"n.企业,事业,计划,事业心,进取心,干事业"
verify,"vt.检验,校验,查证,核实 [计] 打开或关闭文件的读写校验"
string,"n.线,细绳,一串,一行v.排成一列"
litter,"n.垃圾,(供动物睡眠或防冻用的)干草、树叶,(一)窝,轿,担架vt.乱丢,铺草,弄乱vi.产仔,乱丢垃圾"
manor,"n.(封建领主的)领地,庄园"
location,"n.位置,场所,特定区域,<美>[电影]外景拍摄场地"
breakdown,"n.崩溃,衰弱,细目分类"
irresistible,"adj.不可抵抗的,不能压制的"
fluency,"n.流利,流畅,雄辩"
transcription,"n.抄写,抄本"
introspection,"n.内省,反省,自省"
elicitation,"n.引出,诱出,抽出,启发"
informant,"n.通知的人,密告者,被调查的人"
ambiguity,"n.含糊,不明确"
generative,adj.生成的
recourse,"n.求援,求助,[商][律]追索权"
scrupulous,"adj.小心谨慎的,细心的"
utterance,"n.意见,说话,发表,说话的方式,死"
emeritus,"adj.名誉退休的,退休的"
bilingual,adj.能说两种语言的
substitution,"n.代替,取代作用,代入法,置换"
mundane,"adj.世界的,世俗的,平凡的"
foreseeable,"adj.可预知的,能预测的,能看透的"
invoke,v.调用
hurl,"n.<俚>[棒球]用力或猛烈的投掷vt.用力投掷,愤慨地说出,丢下,推翻vi.猛投,猛掷"
duplicate,"adj.复制的,副的,两重的,两倍的,完全相同n.复制品,副本vt.复写,复制,使加倍,使成双"
mushroom,"n.蘑菇,<古>暴发户vi.迅速生长,迅速增加,采蘑菇adj.蘑菇形的,迅速生长的"
adaptation,"n.适应,改编,改写本"
elite,"n.<法>[集合名词]精华,精锐,中坚分子"
up-to-date,
bury,"vt.埋葬,掩埋,隐藏"
moderate,"adj.中等的,适度的,适中的v.缓和"
bold,adj.大胆的n.粗体
award,"n.奖,奖品vt.授予,判给"
hassle,n.激战vi.争论vt.与...争辩
addict,"vt.使沉溺,使上瘾;n.入迷的人,有瘾的人"
restrain,"vt.抑制,制止"
reproduce,"v.繁殖,再生,复制,使...在脑海中重现"
signpost,n.路标
intent,"n.意图,目的,意向,[律](犯罪或侵权行为的)故意adj.专心的,决心的,热心的"
artefact,"n.人工品,赝象"
highland,"n.高地,丘陵地带"
application,"n.请求,申请,申请表,应用,运用,施用,敷用 应用,应用程序,应用软件"
acquaintance,"n.相识,熟人"
challenge,n.挑战vt.向...挑战
guideline,n.方针
hemisphere,n.半球
civil,"adj.全民的,市民的,公民的,国民的,民间的.民事的,根据民法的,文职的,有礼貌的"
viable,"adj.能养活的,能生育的,可行的"
cameral,adj.有关立法或司法机构之一院的
gigantic,"adj.巨人般的,巨大的"
venue,"n.犯罪地点,审判地,集合地点,会议地点,比赛地点,管辖地"
grieve,"v.(使)悲痛,(使)伤心,忧伤"
studio,"n.画室,照相室,工作室,(无线电或电视节目的)演播室,(制作电影的)摄影棚,(电影公司的)摄影场"
inhabitant,"n.居民,居住者"
suicidal,"adj.自杀的,自毁的,自取灭亡的"
bilateral,"adj.有两面的,双边的"
clinic,"n.门诊部,临床"
memorable,"adj.值得纪念的,难忘的"
dazzle,"v.(使)眼花,眩耀n.耀眼"
vast,"adj.巨大的,辽阔的,大量的,巨额的"
underground,"adj.地下的,地面下的,秘密的n.[英] 地铁adv.在地下,秘密地"
scholar,n.学者
compete,"vi.比赛,竞争"
prescription,"n.指示,规定,命令,处方,药方"
crude,"adj.天然的,未加工的,粗糙的,拙劣的,粗鲁的n.天然的物质"
vary,"vt.改变,变更,使多样化vi.变化,不同,违反"
compose,"v.组成,写作,排字,(使)安定,调解"
in vain,
alley,"n.小路,巷,(花园里两边有树篱的)小径"
dolphin,n.海豚
bounce,"v.(使)反跳,弹起,(指支票)被银行退票,弹跳n.(球)跳起,弹回"
platform,"n.(车站)月台,讲台,讲坛 平台"
atmosphere,"n.大气,空气,气氛"
appoint,"vt.约定,指定(时间,地点),任命,委任"
characteristic," ally//adv.表示特adj.特有的,表示绦缘"
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
altitude,"n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等"
possess,"vt.占有,拥有,持有,摆布,支配"
excitement,"n.刺激,兴奋,激动,搔动"
contradiction,"n.反驳,矛盾"
painstaking,"n.苦干,辛苦adj.辛苦的,辛勤的,艰苦的"
pursuit,n.追击
humanistic,adj.人文主义的
coherent,"adj.粘在一起的,一致的,连贯的"
outlook,"n.景色,风光,观点,见解,展望,前景"
apportion,v.分配
finitude,"n.界限,限制"
exhaustible,"adj.被竭尽的,被取尽的,被汲尽的"
revelation,"n.显示,揭露,被揭露的事,新发现,启示,揭示"
resistance,"n.反抗,抵抗,抵抗力,阻力,电阻,阻抗"
attainable,"adj.可到达的,可得到的"
indispensable,"n.不可缺少之物adj.不可缺少的,绝对必要的"
cuisine,"n.厨房烹调法,烹饪,烹调风格"
reputable,adj.著名的
overshadow,"v.遮蔽,使...失色"
unparalleled,"adj.无比的,无双的,空前的"
opulence,n.富裕
supersede,"vt.代替,取代,接替,紧接着...而到来,[律]延期vi.推迟行动"
exploitation,"n.开发,开采,剥削,自私的利用,宣传,广告"
passionate,adj.充满热情的
poisonous,adj.有毒的
strip,"vt.剥,剥去n.条,带"
exhaust,"vt.用尽,耗尽,抽完,使精疲力尽vi.排气n.排气,排气装置adj.用不完的,不会枯竭的"
mysterious,adj.神秘的
spite,"n.(in ～ of)不顾,不管,敌意v.困扰"
passport,n.护照
divert,"v.转移,转向,使高兴"
dissemination,n.分发
perpetual,adj.永久的
contradict,"vt.同...矛盾,同...抵触"
organize,"vt.组织,使有机化,给予生机vi.组织起来"
column,"n.圆柱,柱壮物,专栏,纵队"
source,"n.来源,水源,消息来源,原始资料,发起者 源,源极"
cater,"vi.备办食物,满足(需要),投合"
lobby,"n.大厅,休息室,<美>游说议员者vi.游说议员,经常出入休息室vt.对(议员)进行疏通"
flexible,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
penalty,"n.处罚,罚款"
comply,"vi.顺从,答应,遵守"
racket,"n.球拍,喧闹纷乱v.过着花天酒地的生活"
wire,"n.金属丝,电线,电报,电信,铁丝网vt.用金属丝卷起,拍电报vi.打电报adj.金属丝制的"
capsule,"n.(植物)蒴果,胶囊,瓶帽,太空舱"
canteen,"n.小卖部,食具箱,饭盒,(军用)水壶"
aeronautics,"n.航空学,航空术"
adopt,"vt.采用,收养"
lease,"n.租借,租约,租赁物,租期,延续的一段时间vt.出租,租出,租得"
bit,"n.小块,少量,片刻,马嚼子,辅币vt.上马嚼子,控制 vbl.咬n.[计]位,比特"
conceal,"vt.隐藏,隐蔽,隐瞒v.隐蔽"
compromise,"n.妥协,折衷v.妥协,折衷,危及...的安全"
haphazard,"n.偶然,偶然事件adj.偶然的,随便的adv.偶然地"
essential,"adj.本质的,实质的,基本的,提炼的,精华的n.本质,实质,要素,要点"
urge,"vt.催促,力劝n.强烈欲望,迫切要求v.促进"
feasible,"adj.可行的,切实可行的"
cereal,"n.谷类食品,谷类"
existence,"n.存在,实在,生活,存在物,实在物"
apply,"vt.申请,应用vi.申请,适用"
slurry,"n.泥浆,浆"
admission,"n.允许进入,承认某事之陈述,供认"
attempt,"n.努力,尝试,企图vt.尝试,企图"
jaw,"n.[解]颚,颌,下巴(用复数),(山谷、海峡等的)狭窄的入口,[机]叉钳,钳夹v.闲谈,教训,唠叨"
inference,n.推论
loop,"n.环,线(绳)圈,弯曲部分,回路,回线,(铁路)让车道,(飞机)翻圈飞行vt.使成环,以圈结,以环连结vi.打环,翻筋斗n.循环"
subtract,"v.(～ from)减去,减"
linguistic,"adj.语言上的,语言学上的"
aptitude,"n.恰当,智能,聪明,自然倾向"
lava,"n.熔岩,火山岩"
premier,"adj.第一的,首要的n.总理"
enquiry,n.询问
lawsuit,n.诉讼(尤指非刑事案件)
pack,"n.包裹,<贬>一群,一副,背包,包装vt.包装,捆扎,塞满,压紧,挑选vi.包装货物,挤,群集,被包装 背包"
prescribe,"v.指示,规定,处(方),开(药)"
universe,"n.宇宙,世界,万物,领域"
skull,"n.头脑,头骨"
domination,"n.控制,统治,支配"
animate,v.鼓舞adj.生气勃勃的
accountancy,"n.会计师之职,会计学"
availability,"n.可用性,有效性,实用性"
payable,"adj.可付的,应付的"
solicitor,"n.律师,法律顾问"
departure,"n.启程,出发,离开"
audit,"n.审计,稽核,查帐vt.稽核,旁听vi.查账"
receipt,"n.收条,收据,收到v.收到"
scamper,v.奔跳n.奔跑
spiral,adj.螺旋形的n.螺旋v.盘旋
encode,vt.把(电文.情报等)译成电码(或密码) 编码
scout,"n.侦察,搜索,侦察员,侦察机vi.守候,侦察,巡视,嘲笑vt.侦察,跟踪,觅得,监视,轻蔑地拒绝(建议,意见等)"
regurgitate,"v.(使)涌回,(使)流回,(使)反刍"
propellant,adj.推进的n.推进物
ejection,"n.喷出,排出物"
barrage,"n.拦河坝,堰,阻塞,(敌军前进的)弹幕射击"
intrigue,"n.阴谋,诡计vi.密谋,私通vt.激起...的兴趣,用诡计取得"
transition,"n.转变,转换,跃迁,过渡,变调"
realm,n.领域
ingredient,"n.成分,因素"
friction,"n.摩擦,摩擦力"
astronaut,"n.太空人,宇航员"
banner,"n.旗帜,横幅,标语"
ounce,"n.盎司,少量,[动]雪豹"
technique,"n.技术,技巧,方法,表演法,手法"
stack,"n.堆,一堆,堆栈v.堆叠"
petrol,n.<英>汽油(=<美>gasoline)
squeeze,"n.压榨,挤v.压榨,挤,挤榨"
sorrow,"n.悲哀,悲痛"
arboreal,"adj.树的,乔木的,树栖的"
facade,n.正面
post-mortem,
disillusionment,"n.幻灭,觉醒"
subject,"n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属"
blunt,"adj.钝的,生硬的"
stockpile,"n.积蓄,库存vt.储蓄,贮存"
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
statistically,"adv.统计上地,统计地"
switch,"n.开关,电闸,转换vt.转换,转变"
uncertainty,"n.无常,不确定,不可靠,半信半疑"
hypothesis,n.假设
ultraclean,"adj.超净的,特净的"
mountainous,"adj.多山的,山一般的,巨大的"
trim,"adj.整齐的,整洁的vt.整理,修整,装饰"
steady,"adj.稳固的,稳定的,坚定的,扎实的,坚定不移的v.(使)稳定,(使)稳固"
orientation meeting,
dramatic,"adj.戏剧性的,生动的"
amorphous,"adj.无定形的,无组织的"
solve,"vt.解决,解答"
blade,"n.刀刃,刀片"
glimpse,"n.一瞥,一看v.瞥见"
bulletin,"n.公告,报告"
annoy,"vt.使苦恼,骚扰"
chapel,"n.小礼拜堂,礼拜"
subscribe,"v.捐款,订阅,签署(文件),赞成,预订"
foil,"n.箔,金属薄片,[建]叶形片,烘托,衬托vt.衬托,阻止,挡开,挫败,贴箔于"
invoice,"n.发票,发货单,货物v.开发票,记清单"
extra,"adj.额外的,不包括在价目内的,特大的,特佳的adv.特别地,非常,另外n.额外的人(或物),(报纸)号外,上等产品,(电影)临时演员"
transmute,v.改变
analyse,"vt.分析,分解n.分析"
acoustic,"adj.有关声音的,声学的,音响学的"
stall,"n.货摊,畜栏,厩,出售摊v.(使)停转,(使)停止,迟延"
cover,"n.盖子,封面,藉口vt.覆盖,铺,掩饰,保护,掩护,包括,包含,适用vi.覆盖,涂,代替"
breakthrough,n.突破
microprocessor,n.[计]微处理器
spiritual,adj.精神上的
concrete,"adj.具体的,有形的n.混凝土v.用混凝土修筑,浇混凝土,凝结"
generalise,v.<主英>=generalize
remarkable,"adj.不平常的,非凡的,值得注意的,显著的"
clot,n.(血液等的)凝块v.(使)凝结
prior,"adj.优先的,在前的n.预先adv.在"
integrate,"vt.使成整体,使一体化,求...的积分v.结合"
exemplify,"vt.例证,例示,作为...例子"
herdsman,"n.牧者,牧人"
formulation,"n.用公式表示,明确地表达,作简洁陈述"
exploratory,"adj.探险的,探测的"
pasture,"n.牧地,草原,牧场v.放牧,牧(牛、羊)等,吃草"
nutrient,adj.有营养的
plough,"n.犁v.耕,犁,犁耕,费力穿过,艰苦前进,在考试中淘汰"
patriotic,"adj.爱国的,有爱国心的"
scrub,"v.洗擦,擦净,使(气体)净化,擦洗n.洗擦,擦净,擦洗者,矮树,灌木,丛林地,矮小的人(或动物)adj.次等的,矮小的,临时凑合的"
formality,"n.拘谨,礼节,仪式,正式手续,拘泥形式"
perquisite,"n.额外补贴,临时津贴"
heighten,"v.提高,升高"
assimilation,"n.同化,同化作用,消化"
necessity,"n.必要性,需要,(常 pl.) 必需品"
disposable,adj.可任意使用的
ingenuity,"n.机灵,独创性,精巧,灵活性"
simplicity,"n.简单,简易,朴素,直率"
luxuriant,"adj.丰产的,丰富的,肥沃的,奢华的"
consequential,"adj.结果的,相因而生的"
scour,"vt.冲洗,擦亮,(搜索或追捕时)急速走遍vi.擦,洗,冲刷,腹泻,急速穿行n.擦,洗,洗涤剂,腹泻"
seasonal,"adj.季节的,季节性的,周期性的"
murky,adj.黑暗的
melatonin,
cue,"n.暗示,提示,球杆"
thermal,"adj.热的,热量的"
revolution,"n.革命,旋转"
ID card,
romance,"n.冒险故事,浪漫史,传奇文学,风流韵事,虚构vi.写传奇,渲染,虚构"
currently,"adv.普遍地,通常地,现在,当前"
inferential,adj.推论性的
persist,"vi.坚持,持续"
minimum,"adj.最小的,最低的n.最小值,最小化"
output,"n.产量,输出,输出量"
stash,v.中断n.隐藏处
species,"n.种类,(原)核素n.[律]式样n.[宗]圣餐物"
subtle,"adj.狡猾的,敏感的,微妙的,精细的,稀薄的"
competent,"adj.有能力的,胜任的"
select,"vt.选择,挑选adj.精选的"
loose,"n.解放,放任,放纵adj.宽松的,不精确的,不牢固的,散漫的,自由的vt.释放,放枪,开船vi.变松,开火adv.松散地"
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
illustration,"n.说明,例证,例子,图表,插图 插图,图解"
slice,"n.薄片,切片,一份,部分,片段v.切(片)"
waterfront,"n.水边地码头区,滨水地区"
generic,"adj.[生物]属的,类的,一般的,普通的,非特殊的"
cricket,"n.[昆]蟋蟀,[运动]板球"
exhale,"v.呼气,发出,发散,<古>使蒸发"
creation,"n.创造,创作物"
corporate,"adj.社团的,法人的,共同的,全体的"
swell,"v.(使)膨胀,增大"
synthesis,"n.综合,合成"
excreta,n.排泄物(如汗.尿.粪等)
decapitate,v.斩首
pepper,n.胡椒粉
groan,"n.呻吟,叹息vi.呻吟,受折磨,受压迫发出嘎吱声vt.呻吟着说"
diminish,"v.(使)减少,(使)变小"
naive,adj.天真的
upset,"vt.颠覆,推翻,扰乱,使不适,使心烦vi.翻倒,倾覆n.翻倒,混乱"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
consumption,"n.消费,消费量,肺病"
caution,"n.小心,谨慎,警告vt.警告"
average,"n.平均,平均水平,平均数,海损adj.一般的,通常的,平均的vt.平均为,均分,使平衡,达到平均水平vi.买进,卖出"
blonde,"adj.色白的,碧眼的n.金发碧眼的女人"
burst,"v.爆裂,炸破,急于,爆发n.突然破裂,爆发,脉冲"
ecology,"n.生态学,[社会]环境适应学,均衡系统"
profession,"n.职业,专业,表白,宣布"
for instance,
transit,"n.经过,通行,搬运,运输,运输线,转变vt.横越,通过,经过vi.通过n.[天] 中天,经纬仪"
medieval,"adj.中世纪的,仿中世纪的,老式的,<贬>原始的"
behave,"vi.举动,举止,运转v.行为表现"
devastating,"adj.破坏性的,全然的"
dredge,"n.挖泥机,挖泥船,捞网v.挖掘,疏浚,捞取,撒在食物上"
launch,"n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始"
disintegrate,"vt.(使)分解,(使)碎裂"
fade,"vi.(声音等)减弱下去,褪色,消失,枯萎,凋谢vt.使褪色n.淡入,淡出adj.乏味的,平淡的"
highway,"n.公路,大路"
concede,"vt.勉强,承认,退让vi.让步"
chef,n.厨师
complaint,"n.诉苦,抱怨,牢骚,委屈,疾病"
irritable,"adj.易怒的,急躁的"
legislation,"n.立法,法律的制定(或通过)"
bouncing,"adj.跳跃的,活泼的,巨大的"
sizeable,"adj.相当大的,大的"
innovative,"adj.创新的,革新(主义)的"
congestion,"n.拥塞,充血"
particulate,n.微粒adj.微粒的
pollutant,n.污染物质
megacity,n.(人口超过100万的)大城市
allergic,"adj.[医]过敏的,患过敏症的"
populace,n.平民
proclaim,"vt.宣布,声明,显示,显露"
supervision,"n.监督,管理"
comparable,"adj.可比较的,比得上的"
habitual,"adj.习惯的,惯常的"
rehabilitate,"v.使(身体)康复,使复职,使恢复名誉,使复原"
picturesque,adj.独特的
afield,"adv.离开(家乡),在战场上,在田野"
form,"n.形状,形态,外形,表格,形式v.形成,构成,排列,(使)组成"
temporary,"adj.暂时的,临时的,临时性"
spill,"n.溢出,溅出,摔下,木片,小塞子,暴跌,溢出量vt.使溢出,使散落,洒,使流出,使摔下,倒出vi.溢出,涌流,充满"
mediocre,adj.普普通通的
lead,"vt.领导,引导,致使vi.领导,(道路等)通向,导致,用水砣测深n.领导,领先,导线,铅,(自船上测海水深度的)铅陲,石墨,铅笔芯"
define,"vt.定义,详细说明"
figure,
productive,"adj.生产性的,生产的,能产的,多产的"
respond,"v.回答,响应,作出反应vi.有反应"
approval,"n.赞成,承认,正式批准"
smell,"n.气味,臭味,嗅觉v.嗅,闻到,散发(...的)气味,有(...的)气味"
flaw,"n.缺点,裂纹,瑕疵,一阵狂风vt.使破裂,使有缺陷,使无效vi.生裂缝,变的有缺陷"
multiple,"adj.多样的,多重的n.倍数,若干v.成倍增加"
adventure,"n.冒险,冒险的经历v.冒险"
zone,"n.地域,地带,地区,环带,圈vt.环绕,使分成地带vi.分成区"
diagram,n.图表
raw material,
slouch,v.懒散
bloom,"n.花,旺盛,青春v.(使)开花,(使)繁盛"
horizon,"n.地平线n.地平(线),(知识,思想等的)范围,视野"
trick,"n.诡计,骗局,恶作剧,窍门,诀窍vt.欺骗,哄骗"
centigrade,"adj.分为百度的,百分度的,摄氏温度的"
courageous,"adj.勇敢的,有胆量的"
as if,
academic,"adj.学院的,理论的"
preferable,"adj.更可取的,更好的,更优越的"
biometrics,n.生物测定学
reunite,v.(使)再结合
minority,"n.少数,少数民族"
clench,"n.牢牢抓住,钉紧,敲弯的钉头v.紧握,(拳头)牢牢地抓住,确定,敲弯vi.握紧,钉牢"
corpus,"n.尸体,文集,(某项基金的)本金"
alarm,"n.警报,惊慌,警告器vt.恐吓,警告"
beam,"n.梁,桁条,(光线的)束,柱,电波,横梁v.播送"
conjunction,"n.联合,关联,连接词"
height,"n.高度,海拔,高地(常用复数),顶点"
escalator,"n.<美>电动扶梯,自动扶梯"
nasty,"adj.污秽的,肮脏的,令人厌恶的,淫秽的,下流的,凶相的,威胁的"
monster,"n.怪物,妖怪"
continually,"adv.不断地,频繁地"
adequate,
hike,"v.远足,飞起,步行n.远足,增加"
grateful,"adj.感激的,感谢的"
organ,"n.[机]元件,机构,机关,机关报 [乐]风琴,管风琴,嗓音 [生物]器官"
rely,"v.依赖,依靠,信赖,信任,依赖于"
incentive,n.动机adj.激励的
at least,
technical,"adj.技术的,技术上的,技巧方面的"
chorus,"n.合唱,合唱队,齐声"
scent,"n.气味,香味,香水,线索,嗅觉,臭迹vt.闻出,嗅,发觉,循着遗臭追踪,使充满气味vi.嗅猎,发出气味"
hitherto,"adv.迄今,至今"
accomplish,"vt.完成,达到,实现"
bullet,n.子弹
rural,"adj.乡下的,田园的,乡村风味的,生活在农村的"
enclosure,"n.围住,围栏,四周有篱笆或围墙的场地"
discontinue,"v.停止,废止,放弃"
revegetate,"v.[植] 再生长,再植"
sustainable,"adj.可以忍受的,足可支撑的,养得起的,"
dispersal,"n.散布,分散,消散,驱散,疏散"
fabulous,"adj.寓言中的,寓言般的,神话般的,传统上的,惊人的,难以置信的"
retailing,n.零售业
rental,"n.租金额,租金收入,租贷adj.租用的"
obsession,"n.迷住,困扰"
fraught,adj.充满...的
ethereal,"adj.轻的,天上的,象空气的"
unobtrusive,"adj.不唐突的,不多嘴的,客气的,谦虚的"
underpin,"v.加强...的基础,巩固,支撑"
nutritional,"adj.营养的,滋养的"
velocity,"n.速度,速率,迅速,周转率"
unveil,"vt.使公诸于众,揭开,揭幕,除去...的面纱vi.显露,除去面纱"
prototype,n.原型
swivel,v.旋转
replicate,v.复制
capsize,v.(特指船)倾覆
project,"n.计划,方案,事业,企业,工程v.设计,计划,投射,放映,射出,发射(导弹等),凸出"
drum,"n.鼓,鼓声,鼓形圆桶,[解]鼓膜,鼓室vi.击鼓,作鼓声vt.打鼓奏"
thorny,"adj.多刺的,痛苦的"
eligible,"adj.符合条件的,合格的"
admit,"v.容许,承认,接纳"
bacterial,adj.细菌的
management,"n.经营,管理,处理,操纵,驾驶,手段"
enrolment,"n.登记,入学"
strategy,"n.策略,军略"
emerge,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
submerge,"v.浸没,淹没,掩没vi.潜水"
mantle,"n.斗蓬,覆盖物,壁炉架v.披风,覆盖"
overall,"adj.全部的,全面的"
granite,n.花岗岩
approximate,"adj.近似的,大约的v.近似,接近,接近,约计"
gallery,"n.走廊、戏院、教堂等中最高的楼座,美术陈列室,画廊,图库"
community,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
swing,"v.摇摆,摆动,回转,旋转n.秋千,摇摆,摆动"
cite,"vt.引用,引证,提名表扬"
spectrum,"n.光,光谱,型谱 频谱"
drawback,"n.缺点,障碍,退还的关税,退税(指进口货物再出口时退还其进口时的关税)"
identity,"n.同一性,身份,一致,特性,恒等式"
trend,"n.倾向,趋势vi.伸向,倾向,通向"
extreme,"adj.尽头的,极端的,极度的,偏激的,最后的n.极端,极端的事物"
skip,"v.跳,蹦,急速改变,跳读,遗漏,跳跃n.跳跃"
military,"adj.军事的,军用的"
poison,"n.毒药,败坏道德之事,毒害vt.毒害,败坏,使中毒vi.放毒,下毒"
vested,adj.既定的
symphony,"n.交响乐,交响曲"
locate,"vt.查找...的地点,使...坐落于,位于v.定位,位于"
classify,"vt.分类,分等"
enthusiastic,"adj.热心的,热情的"
alter,v.改变
disqualify,vt.使丧失资格
database,"n.[计] 数据库,资料库"
maximum,"n.最大量,最大限度,极大adj.最高的,最多的,最大极限的"
delivery,"n.递送,交付,分娩,交货,引渡n.[律] 财产等的正式移交 发送,传输"
undergraduate,"n.大学肄业生,(尚未取得学位的)大学生adj.大学生的"
