a bit of,一点
of course,"na. 当然
[网络] 当然了；自然；当然可以"
of one's own,属于某人自己的
on a visit to,访问某人;参观某地;在…家里作客
on average, 平均起来
on board,"在船/车/飞机上, 在公共交通车辆上
[经] 已装船"
on business,因公
on display,"陈列着,在展览"
on duty,"na. 在工作时间内；上班；值班
[网络] 工作用语；综合"
on earth,"在世上, 究竟"
on fire,"起火, 非常激动"
on foot,"na. 步行；在进行中；徒步
[网络] 走路；步行时；走路去"
on holiday,"na. 在休假中
[网络] 在度假；在假期；在假日"
on one's side,无
on sale,"na. 出售的；上市的；待售(的)；廉价出售(的)
[网络] 大减价；拍卖"
on Saturday,[网络] 在星期六；在周六；在星期天
on show,"陈列着, 展览着"
on the map,"重要的, 出名的"
on the one hand ...,na. 一方面
on the other hand ...,另一方面
on the playground,[网络] 在操场上；运动场上；独自坐在操场上
on the top of,在…的顶部
on the way to,在去...的路上
on one's way to,无
on watch,在值班
on weekdays, 在工作日; 在平时
on vacation,"在度假,在假期"
once a year,"na. 每年一次
[网络] 一年一度的"
once in a while,na. 偶尔；有时；时不时
once more,再一次
once upon a time,"na. 很久很久以前；从前；古时候
[网络] 明信片"
one after another,"接连地
[计] 批次发送"
one another,"na. 互相；相互
[网络] 彼此；互相地；强调三或三者以上的相互"
one ... another ...,"na. 互相；相互
[网络] 彼此；互相地；强调三或三者以上的相互"
one by one,"na. 一个一个；一个一个地
[网络] 依次链的选取；一个接一个；逐个捕获"
one ... the other ...,[网络] 一个…另一个；其他中的一个；一套的
open up,"展开, 给...开刀, 打开, 开发, 开办, 展示, 开始
[法] 吐露真情"
or so,"un. 与其说…不如说…；大约
[网络] 职业退休计划(Occupational Retirement Scheme Ordinance)；职业退休计划保障；公积金"
out of breath,"na. 大喘气
[网络] 喘-不-过-气"
out of order,adj. 无次序的(混乱的；有毛病的；出故障的)
out of style,na. 没有样子；“in/out of style”的变体
out of work,"失业, 机器有毛病
[化] 不能工作的; 工作有妨碍的; 失效的"
over and over again,反复地; 再三地
over there,在那边
part of,"adj. 部分
[网络] 半数；部分的；部分整体关系"
pass away,"去世, 停止, 离去, 消逝"
pass on ... to ...,[网络] 传递给；传给；传与后代
pass the time,"na. 消磨时间；打发时间
[网络] 消磨时光；过活；通过时间"
pass through,"通过..., 透过..., 穿过..., 流过..."
pay attention to,注意
pay no attention to, 置之不理…; 毫不在乎…; 不问; 不在意
pay for ...,付...款
pay off,"n. 发工资, 分赃, 贿赂, 盈利, 报酬, 报应, 结果, 高潮, 决定因素
a. 决定性的, 产生结果的, 支付的"
pick out,"na. 挑选；掘出；闻出；领会
[网络] 挑出；选出；选出，挑出，拣出"
pick up,"n. 拾起, 加速, 刺激, 猎物的收集, 好转, 恢复健康, 搭车者, 兴奋剂, 电视摄像
[电] 拾音器"
places of interest, 名胜古迹
play a joke on,戏弄某人；对…恶作剧；开…的玩笑
play a role in,在...起作用
play a trick on," 捉弄某人, 对某人恶作剧; 撮弄"
play for,"un. 反复无常地玩弄手腕；拖时间；争取
[网络] 效力于；为……效力；替…打球"
play the piano, 弹钢琴
play with,"和…一起玩耍,漫不经心地摆弄,玩弄"
plenty of,许多的
point out,"na. 指出
[网络] 指明；说明；指示"
point to,指向
pour ... into ...,[化] 注入
practice doing sth.,[网络] 练习做某事；练习作某事；练习干某事
practice with,无
praise sb. for sth.,[网络] 称赞；因…表扬某人；因某事称赞某人
prefer ... to ...,"un. 较喜欢；宁愿:
[网络] 更喜欢；宁可；倾向于"
prefer to do sth. rather than do sth.,无
prevent ... from ...,"vt. 阻止, 制止"
pros and cons,n. 利弊; 正反两方面; 优缺点; 赞成和反对的理由
protect ... from ...,保护
provide sth. for sb.,"v. 为…作准备
[网络] 为…提供；供养；赡养"
pull down,"摧毁, 推翻, 使降低, 使下跌, 使身体变差, 使萎靡, 获取
[机] 胀陷, 上模剥砂"
pull out,"n. 拔，拉；(尤指)撤离，离去，撤退；书刊中折着的供参阅用的大张插页，折页；书刊中可取出的附录(或附样)
adj. 可拉出的"
put away,"v. 把…收起来；储存
[网络] 放好；把……收起来；收好"
put down,"n. 陋行；降落；令人难堪的话；噎人的话
na. 平定；贬低(的话)；(飞机的)降落
[网络] 放下；下拉；记下"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
[网络] 提前；推荐；表提出"
put off,"推迟, 拖延, 搪塞, 阻止, 脱掉, 扔掉, 使分心, 使厌恶, 出航
[经] 推迟"
put on,"把...放上去, 穿上, 假装, 增加, 上演, 使...上场, 使起作用, 施加于"
be on,"un. 坏；进展顺利
[网络] 明基；番烦繁翻；开启"
put out,"放出, 伸出, 生产, 出版, 发布, 熄灭, 消除, 使困扰, 使脱臼, 把...杀出局, 出航
[化] 关; 停止"
put ... into ...,"na. 插入；注入；(船)入港
[网络] 使进入；放进；投入"
put ... to use,"使用, 利用"
put up,"举起, 抬起, 进行, 推举, 参加竞选, 提供, 建造, 接待, 包装, 公布, 上演
[化] 搭架"
put up with,"忍受, 容忍
[法] 容忍"
quarrel about,为…而争吵
quarrel with,跟...吵架
quite a few,相当多的
rather than,"na. 而不
[网络] 而不是；而非；宁愿"
reach down,伸手取下…
reach for,伸手去拿…
reach out to,[网络] 接触；把手伸向；联系
read a map,[网络] 看地图；看报；查阅地图
read a newspaper,无
receive ... from ...,v. 收到
refer to,"v. 查阅；提到
[网络] 参考；涉及；谈到"
refuse to do sth.,[网络] 拒绝做某事；拒绝去做某事；拒绝干某事
regard ... as ...,把...认作
rely on,"v. 依靠；信赖
[网络] 依赖；同本义；凭借"
remember doing sth., 记着已经做过的事
remind ... of ...,"v. 提醒
[网络] 使记起；想起；使想起"
remind sb. to do sth.,无
reply to,回答
result from,"由...产生
[法] 由于, 由...引起"
right away,"na. 立刻
[网络] 马上；立即；立即，马上"
right now,"na. 目前；刚刚
[网络] 现在；刚才；就是现在"
ring up,"v. 在收款机上结算；一段时间内收入或损失的钱；打电话给
[网络] 用收银机记录；给……打电话；把记入现金收入记录机"
rob sb. of sth.,"v. 抢走
[网络] 抢劫；盗取；抢夺"
run a company,[网络] 经营一家公司；经营公司；开公司
run after,"追捕, 追求, 照顾"
run off,"na. 逃走；流出；(火车等)出轨；越轨
[网络] 跑掉；跑掉，逃掉；复印"
run out of,用完
rush hour,"n. (上,下班的)高峰期
[网络] 高峰时间；尖峰时刻；交通量增加"
rush out,"na. 赶制出来
[网络] 冲出去；突然出现；涌出"
save one's life,[网络] 挽救某人生命；挽救某人的生命；救某人的命
save up,"储蓄, 贮存"
say hello to,"向某人问候,和某人打招唿"
say to oneself,心里想到
search for,搜查
see a film, 看电影
see sb. off,"na. 送行；送别；告别；赶走
[网络] 给…送行；为…送行；给某人送行"
sell out,"n. 客满的演出, 售完, 客满, 售缺, (非正式)出卖, 背叛"
send for,"na. 派人去叫[请]；遣人去拿；乞求
[网络] 派人去请；派人去请，召唤；派人去拿"
send ... to ..., 发送到; 发送给; 发往
send up,"n. 讽刺, (开玩笑性质的)模仿"
set an example,以身作则
set off,"出发, 开始, 引起, 衬托, 点缀, 抵销, 分开, 划分
[法] 抵销"
set ... on fire, 使燃烧; 使情绪激动; 放火; 燔
set the alarm clock,无
set up,"n. 装备, 组织, 计划, 机构, 调整, 设置
[计] 准备; 安排; 建立"
shake hands with ...,和…握手
share ... with ...,"un. 合伙；合住；承担；跟…看法一致
[网络] 分享；与…分享；共用"
shortly after, …之后立即
shoulder to shoulder,adv. 肩并肩地；齐心协力地
shout at,对…大声喊
show interest in,对…感兴趣；对…感兴趣；对…产生(或表示)兴趣
show off,"n. 卖弄, 炫耀, 爱炫耀的人"
show sb. around,"v. 带…参观
[网络] 带……参观；四处参观；领…参观"
show sb. the way,[网络] 指路；带路；指引道路
show sb. sth.,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
[计] 显示"
show the ticket,无
show up,"na. 显眼；揭发；嘲笑；露面
[网络] 出现；出席；揭露"
shut up,"na. 关上；监禁；密封；停止
[网络] 闭嘴；禁止谁在多少时间内说话；来电感应"
side by side,[网络] 追述电影未来；并排；免费赠送
sing sb.'s praises,无
sing sth.'s praises,无
sit down,"na. 坐下；住定；占有；(坐下来)开始工作(谈判等)
[网络] 幸福；人物下蹲；丹丹"
slow down,"n. 降低速度, 减速"
so as to,"使得, 以致"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
[网络] 向阳之诗；家人远离"
so that,"如此…以致…；以致…, 结果是…；以便"
so ... that ...,"如此…以致…；以致…, 结果是…；以便"
solve the problems,无
some day,"na. 某一天；他日；(今后)有一天
[网络] 总有一天；某天；有朝一日"
some time,"a. 以前的, 某一时间的
adv. 改天, 来日"
some ... others ...,另外的什么人
sooner or later,迟早
sound like,[网络] 听起来像；听起来象；听看来像
sound sleep,"熟睡,酣睡"
speak highly of,赞扬
speak of,"谈到..., 论及..."
speak to,"对...说话, 说到, 责备, 证明"
speed up,"加速
[经] 加速"
spend ... doing sth.,无
spend ... on sth.,[网络] 花费；把…花在；在……方面花费
stand by,"n. 可依靠的人, 被喜爱的食品, 备用品, 准备发报, 准备收报
[电] 备用的"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
[法] 代替, 代表, 拥护"
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
[网络] 起立；我挺你；站得住脚"
start a club,无
start out,"出发, 动身"
start to do sth.,[网络] 开始做某事；都可以表示开始做某事；开始做某事，两者无区别
start doing sth.,[网络] 开始做某事；开始做某事，两者无区别；都可以表示开始做某事
stay away from,不在，外出；走开；不接近，不打扰；避开
stay healthy,保持健康
stay up,"na. 不去睡觉；不沉
[网络] 长筒袜；紧口长筒袜"
step by step,adj. 步进的(逐步的；逐渐的按位的)
stick to,"na. 粘住
[网络] 坚持；忠于；遵守"
stop doing sth.,[网络] 停止做某事；停止正在做的事；停止正在做的事情
stop ... from ...,阻止某事发生
study for,为准备(考试等)而努力学习
succeed in,在...方面成功
such a fine day,无
suffer from,"忍受, 遭受
[法] 患...病, 苦于, 因...损害"
sum up,"计算...的总数, 概括, 总结
[法] 总结, 概述"
surf the Internet, 网上冲浪
take a deep breath,"na. 行深呼吸
[网络] 深吸一口气；做深呼吸；作深呼吸"
take a message for sb., 给。。。捎个信儿
take a ride,"乘车,骑马"
take after,"像, 学样
[法] 象, 相似, 追赶"
take one's seat,就座
take part in,"参与, 参加
[经] 参加, 参与"
take an active part in,积极参加...
take a risk,"冒险
[经] 承担风险"
take a vacation,度假
take action,"采取行动, 提出诉讼"
take advantage of,"v. 利用
 欺骗, 占…的便宜"
take an exam,[网络] 参加考试；应试；进行考试
take an interest in,对...感兴趣
take away,"a. <主英>（饭食）外带的, （餐厅）供应外带食物的（相当于美语take-out）"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
[网络] 回收；起手有回真小人；摆杆"
take care,"v. 留心；当心
[网络] 小心；保重；注意"
take care of,"照顾
[法] 抚养, 赡养, 扶养"
take charge of,"掌管..., 负责..., 看管..., 不受...控制
[法] 负起管理之责, 失去控制"
take different routes,无
take exercise,"做体操,做健身活动"
take hold of,握住
take in,"接受, 接待, 吸收, 改小, 理解, 注意到, 包括, 轻信, 欺骗, 观看, 拘留
[法] 收容, 了解, 接受"
take it easy,"na. “take things easy”的变体
[网络] 放松点；进入；条评论"
take notes,记笔记；作笔记
take off,"拿掉, 取消, 脱下, 领走, 减去, 复制, 起飞, 离开, 岔开
[经] 取消"
take one's advice,无
take one's temperature,量体温
take one's time,从容不迫
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
[网络] 拿出；去掉；拿出来"
take out of,"na. 除去；要赔偿；报仇
[网络] 取出；把……从……拿出来；领出"
take place,"na. 发生；举行
[网络] 产生；多指通过人为安排的发生；进行"
take pride in,以...为傲
take sb.'s place,[网络] 解构发生；就位
take medicine,"na. 吃药
[网络] 服药；拿药；取药"
take sth. with sb.,[网络] 携带；随身携带；带上
take the place of,"代替
[法] 代替"
take sb. seriously,"na. 重视；认真(想)；当真
[网络] 认真对待；认真看待；高度重视"
take sth. seriously,"na. 重视；认真(想)；当真
[网络] 认真对待；认真看待；高度重视"
take ... to ...,"na. 嗜好；开始；参加；逃入
[网络] 喜欢；从事；喜爱"
take up,"拿起, 开始从事, 继续, 接纳, 吸收, 占据, 拘捕, 承兑, 认购, 绷紧
[经] 付清, 承兑(汇票), 认购(债券等)"
talk about,"na. 讲(某事)
[网络] 谈论；心语；同本义"
talk to sb., 同（某人）谈话; 责骂
talk with sb.,"与...交谈, 想说服"
teach oneself, 自学
teach sb. a lesson,[网络] 给…一个教训；给以教训；教训一顿
tell a lie,说谎话
tell a story,讲故事
tell ... from ...,"区别, 辨别"
tell the truth,说实话
thanks for sth., 多亏
thank sb. for sth.,"就…表示感谢; 把…归咎于; 为…责怪; 请, 劳驾"
thanks to,由于
the key to, 关键是（在于）
the same as,"与...相同, 与...一致"
think about,"考虑, 回想"
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
think out,"na. 想透；想出
[网络] 彻底地想一想；彻底思考；仔细考虑"
think over,"v. 仔细考虑
[网络] 仔细思考；仔细考虑一下；再三考虑"
think up,"na. 想出；〔口语〕发明
[网络] 想起；设计出；是想出，编造"
thousands of,"成千上万,数千,许许多多"
three times a day,每日三次
throw about,"到处扔, 舞动"
throw around,[网络] 乱扔
throw away,"n. 免费散发的传单, 脱口而出的话, 一次性使用的物品
[经] 废品, 废件"
tidy up,"v. 整理干净
[网络] 相当小范围的整理；使客房洁净"
tie up,"绑好, 缚牢, 包扎, 停泊, 阻碍, 合伙, 密切联系, 占用
[法] 罢工, 停滞"
to be honest,"老实说,说实在的"
to one's disappointment,令(某人)失望的是...
to one's joy,无
to one's surprise,使某人惊奇的是
to some extent,在某种程度上
to start with,"作为开始, 首先"
to tell the truth,说实话
too much,"太多, 太高"
too ... to ...,[网络] 太……而不能；太……以致不能；用法
treat ... as ...,[网络] 对待；当作；当做
treat with,"un. 谈判；磋商:
[网络] 对待；处理；对付，处置"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
[网络] 试试看；试穿衣物；试衣服"
try one's best,尽力
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
[网络] 试用；尝试；考验"
try to do sth., 试着做某事; 尽力做某事
turn around,"na. 转身；〈美〉使向好的方向转变
[网络] 回转；转过身；转过来"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
[网络] 做晚床；量程比；量程比可调"
turn ... into ...,"进入, (使)变成"
turn left,"向左转,向左拐弯"
turn off,"关掉, 卖掉, 使转变方向, 解雇, 生产, 制造, 车削成, 使厌烦, 拐弯, 变成"
turn on,"na. 转向；对…进行突击
[网络] 打开；接通；开启"
turn out,"打扫, 驱逐, 使外歪, 生产, 制造, 培养出, 翻出, 关掉, 装饰, 出动, 起床, 结果是
[法] 逐出, 驱逐, 结果"
turn over,"打翻, 营业额达到, 周转, 移交给, 翻阅, 反复考虑, 翻身
[法] 移交, 交付, 让渡"
turn up,"n. 翻起物, 衣服的卷起部分, (英)裤腿的卷边, 裤脚的翻边, (英)吵闹, 打架, 吵架
a. 翻起的, 可翻起的, 卷起的, 可卷起的, 翘起的, 可翘起的"
up and down,上上下下；到处；前前后后；来来往往
upside down,"adv. 上端朝下
[网络] 颠倒；上下颠倒；底朝天儿"
use up,"na. 用完；耗尽
[网络] 用光；消耗，耗费；毁灭"
used to be,"n. 过时的人, 从前出过风头的人"
used to do sth., 过去常常做某事
wait for,"na. 等；等待
[网络] 等候；动作上的等待；等待某人"
wait in line,排队等候
wake up,"na. 同“wake”；叫醒；醒来；振作起来
[网络] 唤醒；起床；醒醒"
walk down,n. <美口>(西部电影等中英雄和恶棍一决雌雄前)( 面对面的)慢慢走近
want to do sth.,[网络] 想做某事；想要做某事；想要作某事
want sb. to do sth.,[网络] 想做某事；想要做某事；想要作某事
warn sb. of sth.,"na. 警告(某人)有危险
[网络] 发出关于…的警告；警告某人某事；警告可能会出现某事"
wash up,"洗手洗脸, 洗餐具"
watch a match,无
watch out for,"戒备, 提防, 密切注意"
watch TV, 看电视
welcome to ..., 欢迎…
what if,"如果...将会怎样?, 倘使...将会怎样?, 即使...又有什么要紧!"
what's more,[网络] 而且；另外；更重要的是
what's up,[网络] 什么事；怎么了；出什么事啦
wish sb. to do sth., 希望做…
with difficulty,"困难地, 艰难地"
with great care, 小心翼翼地
with one voice,异口同声地
with one's own eyes, 亲眼
with pleasure,"愉快地, 愿意"
with the help of ...,"借助于…,在…的帮助下"
with the purpose of ...,为了...
without permission,"未经许可
[法] 未经许可"
work as ...,"担任,从事"
work on,"继续工作, 设法说服, 影响"
wonder if ...,[网络] 想知道是否；不知道；怀疑是否
work for ...,"为…工作,致力于…"
work out,"v. 作出；拟定；制定；计划一下
[网络] 算出；解决；制定出"
worry about,"焦虑..., 为...而操心/担心"
would like to do sth.,[网络] 愿意做某事；想要做；想做
would love to do sth.,无
would rather ... than ...,"宁愿,与其…不如…"
write down,"写下, 写文章贬低, 降低地位, 减低帐面价值
[法] 记录, 记下, 以文字诋毁"
write to sb.,给…写信
year after year,"年复一年地, 年年, 每年"
year by year,"a. 年年的, 每年的
adv. 年年,一年一年地"
