abolish,"vt.废止,废除(法律、制度、习俗等)"
single,"adj.单一的,单身的,单纯的,孤独的,专一的,个别的n.一个,单打,单精度型vt.选出vi.[棒]作一垒打"
separate,"adj.分开的,分离的,个别的,单独的v.分开,隔离,分散,分别"
particular,"n.细节,详细adj.特殊的,特别的,独特的,详细的,精确的,挑剔"
amplify,"vt.放大,增强v.扩大"
expand,"vt.使膨胀,详述,扩张vi.张开,发展"
extend,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价"
recreation,"n.消遣,娱乐"
amusement,"n.娱乐,消遣,娱乐活动"
entertainment,"n.款待,娱乐,娱乐表演"
elevate,"vt.举起,提拔,振奋,提升...的职位"
hoist,"n.提升间,升起"
lift,"n.举起,电梯,起重机,搭车vt.升高,提高,举起,空运vi.升起,(指雾等)消散,耸立"
mend,"n.改进,改良,补丁,修理部分,好转vt.修改,改进,加快,修理,修补vi.好转,改善,改正"
repair,"n.修理,修补vt.修理,修补,补救,纠正"
patch,"n.片,补缀,碎片,斑纹,斑点,小块地,眼罩,傻瓜;vt.修补,补缀,掩饰,平息"
obstacle,"n.障碍,妨害物"
hindrance,"n.妨碍,障碍"
obstruction,"n.阻塞,妨碍,障碍物"
tale,"n.故事,坏话,流言蜚语,谣言,叙述,传说"
narrative,adj.叙述性的n.叙述
anecdote,"n.轶事,奇闻"
scatter,"v.分散,散开,撒开,驱散"
disperse,"v.(使)分散,(使)散开,疏散"
spread,"n.伸展,展开,传播,蔓延,酒席,宴会,桌布v.伸展,展开,铺,涂,敷,摆,传播,散布"
conflict,"n.斗争,冲突vi.抵触,冲突"
contest,"n.论争,竞赛v.,争论,争辩,竞赛,争夺"
combat,"n.战斗,格斗v.战斗,搏斗,抗击"
fight,"n.打架,战斗,斗志vi.打仗,搏斗,对抗,打架vt.与...打仗,指挥战斗,反对...提案"
state,"n.情形,状态,国家,政府,州adj.国家的,国有的,国营的,州的,正式的,典礼用的vt.声明,陈述,规定"
declare,"vt.断言,宣称,宣布,宣告,声明,(向海关)中报进口应纳税之货物"
announce,"vt.宣布,通告"
proclaim,"vt.宣布,声明,显示,显露"
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
publish,"v.出版,刊印vt.公布,发表"
alike,"adj.相同的,相似的adv.以同样的方式,类似于"
similar,"adj.相似的,类似的"
additional,"adj.另外的,附加的,额外的"
extra,"adj.额外的,不包括在价目内的,特大的,特佳的adv.特别地,非常,另外n.额外的人(或物),(报纸)号外,上等产品,(电影)临时演员"
assign,"vt.分配,指派v.赋值 [计] 将驱动器符重定向至第二个驱动器符"
allocate,"vt.分派,分配"
convict,"vt.证明...有罪,宣告...有罪n.罪犯"
sentence,"n.句子,判决,宣判,文句vt.宜判,判决"
contend,"v.斗争,竞争,主张"
rival,"n.竞争者,对手v.竞争,对抗,相匹敌"
slack,"n.松弛,静止,淡季,闲散,家常裤adj.松弛的,不流畅的,疏忽的,软弱的,漏水的,呆滞的,懒散的adv.马虎地,缓慢地vt.使松弛,使缓慢,马虎从事vi.松懈,减弱,松驰"
loose,"n.解放,放任,放纵adj.宽松的,不精确的,不牢固的,散漫的,自由的vt.释放,放枪,开船vi.变松,开火adv.松散地"
undermine,v.破坏
weaken,"v.削弱,(使)变弱"
ornament,"n.装饰物,教堂用品vt.装饰,修饰"
decorate,"v.装饰,为...做室内装修"
scar,"n.伤痕,疤痕v.结疤,使留下伤痕,创伤"
seam,"n.接缝,线缝,缝合线,衔接口,伤疤,层vt.缝合,接合,焊合,使留下伤痕vi.裂开,发生裂痕"
isolate,"vt.使隔离,使孤立,使绝缘,离析n.隔离种群"
separate,"adj.分开的,分离的,个别的,单独的v.分开,隔离,分散,分别"
clear,"adj.清楚的,清晰的,清澈的,光亮的,空旷的,有条理的adv.清楚地,完全地v.扫除,清除,晴,跳过,净得"
distinct,"adj.清楚的,明显的,截然不同的,独特的"
slaughter,"n.屠宰,残杀,屠杀v.屠宰,残杀,屠杀"
massacre,"n.残杀,大屠杀v.残杀,集体屠杀"
yell,"vi.大叫,忍不住笑,呼喊vt.叫着说n.叫声,喊声"
shout,"v.呼喊,呼叫n.呼喊,呼叫"
fake,"n.假货,欺骗adj.假的vt.伪造,赝造,捏造,假造,仿造vi.伪装"
imitation,"n.模仿,效法,冒充,赝品,仿造物"
administer,"v.管理,给予,执行"
manage,"vi.处理,应付过去vt.管理,控制,操纵,维持,运用,搞成,设法,达成"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
lure,v.引诱
route,"n.路线,路程,通道v.发送"
passage,"n.通过,经过,通道,通路,(一)段,(一)节"
authentic,adj.可信的
real,"adj.真的,真实的,不动产的"
originate,"vt.引起,发明,发起,创办vi.起源,发生"
initiate,"vt.开始,发动,传授v.开始,发起"
grief,"n.悲痛,伤心事,不幸,忧伤"
misery,
shrewd,adj.精明
smart,"n.刺痛,痛苦adj.巧妙的,聪明的,漂亮的,潇洒的,刺痛的,剧烈的,厉害的,敏捷的vi.刺痛,懊恼 轻快地,严厉地,灵巧地,精确的,时髦地,大大的"
skip,"v.跳,蹦,急速改变,跳读,遗漏,跳跃n.跳跃"
leap,"v.跳,跳越,跳跃n.跳跃,飞跃"
staple,"n.钉书钉,钉,主要产品(或商品),原材料,主要成分,来源adj.主要的,常用的,大宗生产的v.把...分类,把...分级"
principal,"n.负责人,首长,校长,主犯,本金adj.主要的,首要的"
vain,"adj.徒然的,无益的,虚荣的,空虚的,自负的,愚蠢的"
arrogant,"adj.傲慢的,自大的"
fascinate,"vt.使着迷,使神魂颠倒vi.入迷,极度迷人的"
charm,"n.吸引力,(女人的)魔力,魅力,符咒vt.迷人,使陶醉,行魔法vi.用符咒,有魔力"
swamp,"n.沼泽,湿地,煤层聚水v.陷入沼泽,淹没,覆没"
marsh,"n.湿地,沼泽,沼泽地"
token,"n.表示,向征,记号,代币adj.象征的,表意的"
souvenir,n.纪念品
deduction,"n.减除,扣除,减除额,推论,演绎"
induction,"n.感应,感应现象,归纳"
reverse,"n.相反,背面,反面,倒退adj.相反的,倒转的,颠倒的vt.颠倒,倒转"
invert,"adj.转化的vt.使颠倒,使转化n.颠倒的事物"
pistol,n.手枪
gun,"n.炮,枪,<美>手枪,油门vi.用枪射击,用枪打猎,加大油门快速前进vt.向...开枪,开大(引擎、汽车)的油门"
pact,"n.合同,公约,协定"
bargain,"n.契约,合同,成交商品,便宜货v.议价"
comic,"n.滑稽演员adj.滑稽的,喜剧的"
ridiculous,"adj.荒谬的,可笑的"
vacant,"adj.空的,空白的,空灵的,头脑空虚的,神情茫然的,空闲的,空缺的"
blank,"adj.空白的,空着的,失色的,没有表情的n.空白,<美> 表格"
empty,"adj.空的,空洞的,空虚的vt.使成为空的,倒空v.倒空adj.空的,空闲的v.腾空,腾出来"
naked,"adj.裸体的,无遮盖的,无装饰的,无保护的,[律]无证据的,未证实的"
bare,"adj.赤裸的,无遮蔽的,空的vt.使赤裸,露出"
bald,"adj.光秃的,单调的,枯燥的"
pause,"n.中止,暂停,休止符vi.暂停,中止,停顿,踌躇n.暂停"
cease,"v.停止,终了"
halt,"n.停止,暂停,中断vt.使停止,使立定vi.立定,停止,踌躇,有缺点"
excessive,"adj.过多的,过分的,额外"
extravagant,"adj.奢侈的,浪费的,过分的,放纵的"
extreme,"adj.尽头的,极端的,极度的,偏激的,最后的n.极端,极端的事物"
display,"vt.陈列,展览,显示n.陈列,展览,显示 显示,显示器"
expose,"vt.使暴露,受到,使曝光v.揭露"
reveal,"vt.展现,显示,揭示,暴露"
crucial,adj.至关紧要的
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
vital,"adj.生死攸关的,重大的,生命的,生机的,至关重要的,所必需的"
subsidiary,"adj.辅助的,补充的"
auxiliary,"adj.辅助的,补助的"
secondary,"adj.次要的,二级的,中级的,第二的"
resource,"n.[pl.] 资源,财力,办法,智谋"
source,"n.来源,水源,消息来源,原始资料,发起者 源,源极"
origin,"n.起源,由来,起因,出身,血统,[数]原点"
hinder,"adj.后面的v.阻碍,打扰"
restrict,"vt.限制,约束,限定"
prohibit,"vt.禁止,阻止"
profit,"n.利润,益处,得益vi.得益,利用vt.有益于,有利于"
advantage,"n.优势,有利条件,利益"
benefit,"n.利益,好处vt.有益于,有助于vi.受益"
position,"n.位置,职位,立场,形势,阵地vt.安置,决定...的位置"
vocation,"n.召唤,号召,天命,天职,特殊的适应性,才能,行业,职业"
career,"n.(原意:道路,轨道)事业,生涯,速度"
expectation,"n.期待,预料,指望,展望,[数]期望(值)"
hope,"n.希望,信心v.希望,盼望,期待,信赖"
outlook,"n.景色,风光,观点,见解,展望,前景"
controversy,"n.论争,辩论,论战"
argument,"n.争论,辩论,论据,论点,～ (for,against),意见"
debate,"v.争论,辩论n.争论,辩论"
former,"adj.从前的,以前的n.形成者,创造者,模型,样板"
preceding,"adj.在前的,前述的"
previous,"adj.在前的,早先的adv.在...以前 返回上一级菜单"
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
accessible,"adj.易接近的,可到达的,易受影响的,可理解的"
attainable,"adj.可到达的,可得到的"
attractive,"adj.吸引人的,有魅力的"
beautiful,"adj.美丽的,很好的"
handsome,"adj.英俊的,大方的,慷慨的,美观的,堂皇的"
pretty,"adj.漂亮的,可爱的,优美的,机灵的,恰当的"
conference,"n.会议,讨论会,协商会"
rally,"v.重整旗鼓,给予新力量,(使)恢复健康,力量,决心,集结n.集会"
session,"n.会议,开庭"
symposium,"n.讨论会,座谈会"
leak,"n.漏洞,漏出,漏出物,泄漏,<俚>撒尿vi.漏,泄漏vt.使渗漏"
seep,"v.渗出,渗漏"
dazzle,"v.(使)眼花,眩耀n.耀眼"
shine,"v.照耀,发光vt.擦亮n.光泽,光亮"
levy,"n.征收,征税,征兵v.征收,征集,征用"
impose,"vt.征税,强加,以...欺骗vi.利用,欺骗,施影响"
contaminate,v.污染
pollute,"vt.弄脏,污染"
detach,"vt.分开,分离,分遣,派遣(军队)"
separate,"adj.分开的,分离的,个别的,单独的v.分开,隔离,分散,分别"
rigorous,"adj.严格的,严厉的,严酷的,严峻的"
rigid,"adj.刚硬的,刚性的,严格的"
solidarity,n.团结
unity,"n.团结,联合,统一,一致"
revive,"v.(使)苏醒,(使)复兴,(使)复活,(使)再生效,回想"
restore,"vt.恢复,使回复,归还,交还,修复,重建"
percentage,"n.百分数,百分率,百分比"
proportion,"n.比例,均衡,面积,部分vt.使成比例,使均衡,分摊"
deny,"v.否认,拒绝"
contradict,"vt.同...矛盾,同...抵触"
revenge,"n.报仇,复仇vt.替...报仇,复仇"
retaliate,v.报复
clutch,"v.抓住,攫住n.离合器"
clench,"n.牢牢抓住,钉紧,敲弯的钉头v.紧握,(拳头)牢牢地抓住,确定,敲弯vi.握紧,钉牢"
character,"n.(事物的)特性,性质,特征(的总和),(人的)品质,字符,性格,特征,人物vt.写,刻,印,使具有特征"
temperament,"n.气质,性情,易激动,急躁"
ambitious,"adj.有雄心的,野心勃勃的"
aspiring,"adj.热心的,积极的,有抱负的"
spacious,"adj.广大的,大规模的"
capacious,"adj.容积大的,宽敞的,广阔的"
esteem,"vt.把...看作,尊敬,尊重,认为n.尊敬,尊重"
regard,"n.关心,注意,尊敬,尊重,致意,问候,关系vt.看待,当作,重视,尊敬,关系"
stimulate,"vt.刺激,激励v.刺激,激励"
propel,"vt.推进,驱使"
vocal,"adj.发嗓音的,声音的,有声的,歌唱的n.元音,声乐作品"
outspoken,adj.坦率直言的
attribute,"n.属性,品质,特征,加于,归结于"
ascribe,"vt.归因于,归咎于"
attach,"vt.缚上,系上,贴上v.配属,隶属于"
adhere,"vi.粘附,胶着,坚持v.坚持"
remove,"vt.移动,开除,移交vi.迁移,搬家n.移动,距离,班级,升级"
deprive,"vt.剥夺,使丧失"
upright,"adj.垂直的,竖式的,正直的,诚实的,合乎正道的adv.笔直,竖立着n.垂直,竖立"
straightforward, dly//adv.正直地
amend,"v.修正,改进,改正"
correct,"adj.正确的,恰当的,端正的vt.改正,纠正,告诫,惩戒"
junction,"n.连接,接合,交叉点,汇合处"
juncture,n.接合点
abnormal,"adj.反常的,变态的"
unusual,"adj.不平常的,与众不同的,不寻常的"
supervise,"v.监督,管理,指导"
administer,"v.管理,给予,执行"
scorn,"n.轻蔑,嘲笑,被叱责的人vt.轻蔑,不屑做"
despise,vt.轻视
gesture,"n.姿态,手势,表示v.作手势,以手势表示"
posture,"n.(身体的)姿势,体态,状态,情况,心境,态度v.令取某种姿势,摆姿势,作出姿态"
decline,"vi.下倾,下降,下垂v.拒绝,衰落n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访v.下去"
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
militant,"adj.好战的,积极从事或支持使用武力的"
compensate,"v.偿还,补偿,付报酬"
pay,"n.薪水,工资v.支付,交纳,给予,有利,值得,合算"
contrary,"adj.相反的,逆的,<口语>执拗n.反面adv.相反地"
opposite,"adj.相对的,对面的,对立的,相反的,对等的,对应的n.相反的事物"
shatter,"n.粉碎,碎片,落花(叶,粒等)vt.打碎,使散开,粉碎,破坏vi.粉碎,损坏,落叶"
smash,"v.打碎,粉碎n.打碎,粉碎adj.出色的"
environment,"n.环境,外界"
setting,"n.安置,安装,(太阳)落山,(固定东西的)框架,底座"
surroundings,n.环境
magazine,"n.杂志,期刊,军火库,弹药库,(枪、炮的)弹仓,胶卷盒"
periodical,"adj.周期的,定期的n.期刊,杂志"
journal,"n.定期刊物,杂志,航海日记,分类账"
distant,"adj.远的,关系远的(亲戚),疏远的,间隔的,冷漠的"
remote,"adj.遥远的,偏僻的,细微的"
far,"adj.(常用于书面语)远的,久远的,遥远的adv.(表示空间或时间上的距离)远,很远,遥远地,久远地,甚远地,很,很晚地n.远处,远方"
legal,"adj.法律的,法定的,合法"
lawful,"adj.法律许可的,守法的,受自然规律支配的"
legitimate,"adj.合法的,合理的,正统的v.合法"
criterion,"n.(批评判断的)标准,准据,规范"
standard,"n.旗,军旗,标准,规格,本位adj.标准的,权威,第一流的"
gauge,"n.标准尺,规格,量规,量表v.测量"
assignment,"n.分配,委派,任务,(课外)作业"
task,"n.任务,作业v.分派任务"
job,"n.工作,零活,<口>职位,事情,<圣经>约伯,极有耐心的人vi.做零工,打杂,做股票经纪,假公济私vt.代客买卖(股票,货物等),批发,承包,欺骗"
factor,"n.因素,要素,因数,代理人"
element,"n.要素,元素,成分,元件,自然环境"
ingredient,"n.成分,因素"
maintain,"vt.维持,维修,继续,供养,主张"
preserve,"vt.保护,保持,保存,保藏vi.做蜜饯,禁猎n.蜜饯,果酱,禁猎地,禁区,防护物"
stay,"n.逗留,延缓,中止,支柱v.在,暂住,坚持,止住,抑制,延缓,停(下)"
age,"n.年龄,成年,使用年限,同时期的人,时代v.变老,上年纪,成熟"
era,"n.时代,纪元,时期,[地]代"
epoch,"n.新纪元,时代,时期,时间上的一点,[地质]世"
response,"n.回答,响应,反应"
reply,"n.答复,报复,答辩vi.答复,回击,报复,答辩vt.回答"
answer,"n.答案,回答,答辩,抗辩v.回答说,答复说,符合,反响,响应"
adequate,
sufficient,"adj.充分的,足够的"
enough,"adj.足够的,充足的,只够做...的n.充足,足够,很多adv.足够地,充分地int.够了!"
ultimate,"adj.最后的,最终的,根本的n.最终"
final,"n.结局,决赛,期末考试,<口>报纸(在一天中)最晚版adj.最后的,最终的,决定性的"
last,"adj.最后的,临终的,末尾的,最近的,结论性的vi.持续,支持,维持vt.使维持,楦adv.最后,后来n.最后,末尾,临终,鞋楦头"
adolescent,"adj.青春期的,青春的;n.青少年"
teenager,n.十几岁的青少年
youth,"n.青春,青年时期,初期,少年,青年们"
remove,"vt.移动,开除,移交vi.迁移,搬家n.移动,距离,班级,升级"
eliminate,"vt.排除,消除v.除去"
dismiss,"vt.解散,下课,开除,解职,使(或让)离开vi.解散"
queer,"n.同性恋者adj.奇怪的,可疑的,不舒服的vt.搞糟n.同性恋者"
odd,"adj.奇数的,单数的,单只的,不成对的,临时的,不固定的,带零头的,余的"
peculiar,"adj.奇特的,罕见的,特殊的n.特有财产,特权"
wholesome,"adj.卫生的,有益的,健康的,有益健康的"
well,"n.井vi.涌出adj.健康的,良好的,适当的adv.好,满意地,充分地,彻底地,有理地,适当地,夸奖地int.唔,咳"
healthy,"adj.健康的,健壮的,有益于健康的"
sound,"n.声音,语音,噪音,吵闹,海峡,听力范围,探条adj.健全的,可靠的,合理的,有效彻底的,健康的adv.彻底地,充分地vi.发出声音,回响,测深,听起来vt.使发声,宣告,听诊,测...深,试探"
seize,"v.抓住,逮住,夺取vt.没收,查封"
snatch,v.攫取n.攫取
grab,"v.抢夺,攫取,夺取"
capture,"n.捕获,战利品vt.俘获,捕获,夺取"
be contrary to,
in and out,
prefer to,
lack of,
by accident,
contribute to,
provide ... with,
if only,
rather than,
be obliged to,
aim for,
give up,
in theory,
take measures,
depend on,
at large,
give in,
be inclined to,
concern for,
no longer,
go against,
show up,
only if,
renege on,
take advantage of,
keep ... from doing,
on behalf of,
be confronted with,
be unlikely to,
stay away from,
take the lead,
be considered as,
be puzzled by,
by nature,
as a result,
pay attention to,
be dominant over,
get over,
at the end of,
as usual,
a bit of,
be peculiar to,
as for,
as to,
derive from,
be generous to,
sum up,
in contrast,
die out,
take one's stand,
wipe out,
search for,
be resistant to,
up in arms,
approve of,
benefit from,
be similar to,
subscribe to,
seek to,
make no difference,
add to,
turn out,
as if,
as a result of,
intend to,
trade with,
cast doubt on,
lose faith in,
would rather,
anything but,
do harm to,
owe to,
be cautious about,
refer to,
in terms of,
be applicable to,
in turn,
feel disappointed at,
be disappointed at,
set out,
make up,
sign on,
prior to,
exert influence on,
take pride in,
suffer from,
conform to,
stumble on,
be obsessed with,
instead of,
stick to,
in brief,
be conscious of,
no less than,
by all means,
on average,
on the average,
on an average,
accuse of,
have nothing to do with,
fail to,
in fact,
at odds with,
compete with,
in favor of,
draw a conclusion,
insist on,
show sympathy for,
once for all,
be equipped with,
put down to,
for fear of,
for fear that,
bring about,
cling to,
persuade sb. into,
ward off,
shut down,
in addition,
be accessible to,
be interested in,
in trouble,
be vulnerable to,
take efforts,
play a role in,
impinge on,
out of date,
result in,
for instance,
comply with,
as a means of,
be second to,
for example,
such as,
prevent ... from doing,
evolve from,
on the basis of,
on the contrary,
slow down,
result from,
be deprived of,
cope with,
in consequence,
provide for,
at stake,
be satisfied with,
split up,
draw on,
stress the importance of,
so that,
regard as,
be accountable to,
be entitled to,
discontent with,
put forward,
by way of,
be agreeable to,
at risk,
go through,
indifference to,
regardless of,
be susceptible to,
come across,
in a sense,
be worth doing,
in vain,
be likely to,
apart from,
trifle with,
for long,
according to,
in a word,
doze off,
be parallel to,
be parallel with,
so long as,
as long as,
be unprepared for,
root in,
on the whole,
owing to,
be subject to,
at all,
be exposed to,
so far,
in effect,
with regard to,
adhere to,
as far as,
because of,
point out,
filter out,
be willing to,
lead up to,
fall asleep,
be eager to,
other than,
cannot but,
be dependent on,
in order to,
look up to,
thirst for,
shut out,
take in,
at all costs,
in particular,
be biased against,
fold into,
take ... to extremes,
be immune to,
be reluctant to,
in general,
now that,
keep down,
by contrast,
in contrast,
make fun of,
at length,
apply to,
in time,
blame on,
by means of,
run against,
get rid of,
rest on,
be regarded as,
reliance on,
arise from,
check on,
take place,
along with,
nothing more than,
call for,
in the wake of,
tend to,
stick to,
lay off,
carry on,
scrape through,
act on,
act upon,
above all,
seem to,
in line with,
ignorance about,
deal with,
access to,
resort to,
wake up,
on the other hand,
step out of,
in face of,
oppose to,
by chance,
look for,
be concerned with,
be busy with,
adapt to,
live up to,
thank sb. for sth.,
by occasion of,
engage with,
in sequence,
fall in with,
face up to,
take pleasure in,
take a pleasure in,
exchange ... for ...,
be opposite to,
give credit to sb. for ...,
give sb. credit for,
make an impression on sb.,
leave an impression on sb.,
be opposed to,
in short supply,
come into use,
commit oneself to ...,
accuse ... of ...,
be critical of,
complain of,
be short of,
lean against,
be worthy of,
play with fire,
in no case,
pick up,
be identified with,
be honest with,
be acquainted with,
by no means,
remedy for,
within reach of,
within one's reach,
flesh out,
to date,
apologize to sb. for sth.,
share with,
no end of,
stick with,
in memory of,
give effect to,
break sb. of sth.,
deride ... as,
seize on sth.,
seize upon sth.,
be intent on,
call ... in question,
be supposed to do sth.,
in behalf of,
agree on,
agree upon,
allow for,
on equal terms,
in of sight,
be in sight,
out of sight,
be out of sight,
be sensitive to,
distinguish between,
speak ill of,
set aside,
in decline,
be on holiday,
go on holiday,
feed on sth.,
feed sb. on sth.,
with all one's heart,
be aware of,
be convenient to,
be convenient for,
blame sb. for sth.,
strike into,
come into action,
in ignorance of,
correspond to,
be at home,
feel at home,
arrive on,
in person,
keep one's word,
take the side of,
consist of,
of one's own,
come into effect,
go into force,
in the way,
at intervals,
at ... intervals,
perform on,
perform ... on,
come into fashion,
at ease,
at one's ease,
enter into,
be eligible for,
proceed with,
beyond the reach of,
on one's honor,
stem from,
be content to do sth.,
confess to,
in the absence of,
run risk of,
take risk of,
in respect to,
with respect to,
owe ... to,
be in the habit of,
in pursuit of,
come into power,
in essence,
in keeping with,
knock out,
strike sb. as sth.,
exclude from,
in one's favor,
intervene in,
compensate for sth.,
compensate sb. for sth.,
go to great pains,
in the view of,
in the eyes of,
in one's eyes,
on occasion,
be equal to,
drop out,
sort out,
bound for,
in the face of,
be preferable to,
come into sight,
prevail over,
emerge from,
have an ear for,
place trust in,
put trust in,
have trust in,
be faithful to,
in no way,
speak well of,
be subject to,
trust to,
trust ... to,
have words with sb.,
be out of use,
distinguish ... from ...,
on schedule,
give rise to,
be relevant to,
be valid for,
close off,
cry out against,
remark on,
remark upon,
cater to sb.,
cater to sth.,
in accord with,
take the initiative,
at the mercy of,
in view of,
interfere in,
coupled with,
combined with,
in of touch with sb.,
out of touch with sb.,
it occurs to sb. that ...,
be concerned with,
dispose of,
throw away,
react against,
to one's heart's content,
be popular with,
be popular among,
cope with,
take ... into account,
specialize in,
in charge of ...,
be liable to,
amount to,
go for sth.,
go into effect,
go on duty,
come off duty,
work one's way through,
escape from,
be on the watch for sb.,
be on the watch for sth.,
press on,
in the light of,
attempt to,
persuade sb. to do sth.,
on one's guard,
on one's guard against,
come into blossom,
be fortunate in,
prohibit ... from,
have an effect on,
be ignorant of,
convince sb. of,
take ... into consideration,
jump on,
at a standstill,
be on one's back,
originate in,
originate from,
be scheduled for,
in excuse of,
beyond dispute,
in support of,
impress on,
take charge of,
lend itself to,
lend themselves to,
have impact,
have an impact,
have an impact on,
have impact on,
a matter of course,
as a matter of course,
catch a glimpse of,
get a glimpse of,
rest on,
rest upon,
in the position of,
on no account,
impose ... on,
on one's own,
no more than,
of one's own accord,
be engaged in,
boast of,
boast about,
at the risk of,
in despair,
make the most of,
range between,
live from hand to mouth,
in accordance with,
in the short term,
in doubt,
with reference to,
in reference to,
adjust to,
come at sb.,
be fed up with,
get fed up with,
gain access to,
be in debt to ...,
beyond belief,
be grateful to sb. for sth.,
be fit for sth.,
be fit to do sth.,
at the expense of,
be distinct from,
be different from,
in good repair,
for the sake of,
under consideration,
restrain ... from,
revolve around,
reflect on,
take delight in,
be in a mess,
appeal to,
keep a watch on,
keep a close watch on,
tell ... from,
keep pace with,
put sb. at one's ease,
at a loss,
with ease,
in force,
on demand,
probe into,
relieve ... of ...,
come into existence,
exert ... on ...,
behind schedule,
get laid off,
in the mood to,
in the mood for,
know sb. by sight,
be typical of ...,
have little to do with ...,
on the face of it,
derive ... from,
obtain ... from,
when it comes to sth.,
at one's convenience,
be response for,
concentrate on,
concentrate upon,
adapt ... for ...,
confirm sb. in,
by virtue of,
in virtue of,
be caught in,
react to,
in existence,
be in existence,
close one's eyes to,
close shut one's eyes to,
under way,
spare a moment to do,
range from ... to ...,
senior to,
dismiss sb. as sth.,
dismiss sth. as sth.,
knock off,
out of breath,
concern oneself about,
concern oneself with,
on earth,
have the last word,
substitute for,
for certain,
be considerate of,
on the ground of,
on the grounds of,
on the ground that,
on the grounds that,
have confidence in sb.,
have confidence in sth.,
share in,
take a glance at,
take a look at,
in place,
bring ... into practice,
put ... into practice,
abide by,
be on about sth.,
by turns,
on memory of,
be ashamed of,
congratulate sb. on,
in place of,
instead of,
have an advantage over,
be indicative of,
at one's leisure,
keep ... to oneself,
be used to doing,
at random,
lean on,
encourage sb. in,
look sb. in the eye,
on the increase,
demand sth. of sb.,
demand sth. from sb.,
on the back of,
with the result that,
turn one's back on sb.,
on record,
be out of practice,
get out of practice,
on a large scale,
in search of,
by comparison,
in comparison with,
fit into,
inferior to,
in one's face,
fade away,
absence of mind,
plead for,
hinder ... from,
force ... on ...,
be involved in,
in consequence of,
as a whole,
protect ... from,
be guilty of,
spread out,
on condition that,
out of reach,
center one's attention on,
restrict ... to,
sensible of,
mention sth. to sb.,
be fond of,
yield to,
as a matter of fact,
in order,
be in order,
make reflection on ...,
in good faith,
in one's own right,
lay the roots for,
come to the point,
in the first place,
in agreement,
in agreement with,
get stuck in,
free of charge,
be sorry for,
to taste,
to one's taste,
be under repair,
fall to the ground,
rest with,
in one's honor,
keep faith with,
be shocked at,
be shocked by,
be based on,
be based upon,
side with sb.,
be in effect,
be certain of,
work out ideas,
on no consideration,
superior to,
to one's delight,
to one's regret,
to one's sorrow,
to one's relief,
be jealous of,
to begin with,
leave sb. in the dust,
leave sth. in the dust,
be absorbed in,
bring to mind,
call to mind,
be consistent with,
operate on sb.,
attach ... to ...,
jump at,
under the impression that,
by reason of,
account for,
out of the question,
take ... for granted,
be capable of,
be accustomed to,
set sth. on fire,
arise from of,
arise out of,
except for,
apart from,
in contrast to,
in contrast with,
keep track of,
in fear of,
persist in,
be bound up with,
discharge from ...,
be confident of,
in the form of,
of no account,
in advance,
be occupied with,
be true to,
proceed from,
bear in mind,
bear ... in mind,
keep in mind,
keep ... in mind,
be free from,
to the point,
play ... off against ...,
be stuck in,
get into the habit of,
be exclusive of ...,
comment on ...,
respond to,
in honor of,
at the cost of,
on one's own account,
in hopes of,
charge sb. with sth.,
fall into the habit,
fall into the habit of,
find fault with,
in condition,
in out of condition,
a string of,
shed light on,
break up,
be in the right,
in the air,
with the exception of,
expose ... to ...,
at the sight of,
at the thought of,
for short,
at peace with ...,
be at peace with ...,
occupy oneself with,
occupy oneself in,
up in the air,
be tempted to do sth.,
equivalent to,
be equivalent to,
conceive of,
word for word,
be eager for,
do away with,
throw ... into ...,
behind one's back,
compare ... to ...,
go short of,
at will,
be content with,
beyond expression,
on a diet,
in good condition,
in bad condition,
answer for,
make sense,
in connection with,
be in use,
be used,
catch sight of,
catch the sight of,
in dispute,
consult sb. on sth.,
consult sb. about sth.,
turn a blind eye to,
hunt for,
long for,
be equipped with,
in response to,
in demand,
get the better of,
give sb. an account of,
on faith,
beat ... at,
to the purpose,
objection to,
objection to doing sth.,
abundant in,
be abundant in,
there is no point in doing sth.,
for a change,
in public,
in difficulty,
detach from,
beyond hope,
have sb. by the throat,
throw light on,
beyond reason,
beyond all reason,
forge ahead,
fall short of,
in relation to,
with relation to,
react on,
react upon,
on the spot,
make out,
confine to,
be obliged to,
be obliged to sb.,
participate in,
be liable for,
cast off,
invest ... in,
keep company with,
at the back of,
place an emphasis on,
at all events,
extract from,
arrange for sb. to do sth.,
in excess of,
be identical with,
for the benefit of,
be cautious of,
be anxious about,
charge ... for ...,
stand down,
expect of,
fall back,
favorable to,
be favorable to,
at first glance,
at first sight,
compare ... with ...,
have a word with sb.,
rely on,
be particular about,
be particular over,
accord with,
in accord with,
in consideration of,
in proportion to,
contrast ... with ...,
on the decline,
feel equal to ...,
