abscissa,n.横坐标
dismal,"adj.阴沉的,凄凉的,暗的vt.使人消沉n.低落的情绪,沼泽"
frustrate,"v.挫败,阻挠,使感到灰心,阻止"
formidable,"adj.强大的,令人敬畏的,可怕的,艰难的"
grim,adj.严酷的
horrendous,adj.可怕的
nightmare,"n.梦魇,恶梦,可怕的事物"
stun,"vt.使晕倒,使惊吓,打晕n.晕眩,打昏,惊倒"
superstition,n.迷信
vindictive,adj.报复性的
stinging,"adj.刺一样的,刺人的,激烈的"
terrify,"vt.使恐怖,恐吓"
indignation,"n.愤慨,义愤"
inflammatory,adj.煽动性的
infuriate,adj.狂怒的vt.激怒
irate,"adj.生气,发怒的"
provocative,adj.煽动的n.刺激物
rage,"n.愤怒,情绪激动,狂暴,精神错乱vi.大怒,狂吹,风行"
resent,"v.愤恨,怨恨"
exhaust,"vt.用尽,耗尽,抽完,使精疲力尽vi.排气n.排气,排气装置adj.用不完的,不会枯竭的"
fatigue,"n.疲乏,疲劳,累活,[军]杂役vt.使疲劳,使心智衰弱vi.疲劳"
deplore,v.表示悲痛
embarrass,"vt.使困窘,使局促不安,阻碍,麻烦"
thwart,"adj.横放的vt.反对,阻碍,横过adv.prep.横过n.[船]横坐板"
torture,"n.折磨,痛苦,拷问,拷打vt.拷问,曲解,折磨,使弯曲"
tyrannical,adj.残暴的
wasteful,"adj.浪费的,不经济的"
abundant,"adj.丰富的,充裕的,丰富,盛产,富于"
adequate,
affluent,"adj.丰富的,富裕的"
aggregate,"n.合计,总计,集合体adj.合计的,集合的,聚合的v.聚集,集合,合计"
altitude,"n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等"
ample,"adj.充足的,丰富的"
cumulative,adj.累积的
deficient,"adj.缺乏的,不足的,不完善的"
entirety,"n.全部,完全"
enumerate,v.列举
exodus,
fecundity,"n.多产,丰饶,肥沃,[动]产卵力,生育力,[植]结实性"
fertile,"adj.肥沃的,富饶的,能繁殖的"
frequency,"n.频率,周率,发生次数"
fruitful,"adj.果实结得多的,多产的,富有成效的"
gauge,"n.标准尺,规格,量规,量表v.测量"
multitude,"n.多数,群众"
opulent,"adj.富裕的,丰富的,丰饶的,繁茂的"
prolific,"adj.多产的,丰富的,大量繁殖的"
quantitative,"adj.数量的,定量的"
segment,"n.段,节,片断v.分割"
solely,"adv.独自地,单独地"
solo,n.独奏曲adj.单独的
sprinkle,"v.撒(某物)于(某物之表面),洒,喷撒"
substantial,"adj.坚固的,实质的,真实的,充实的"
sufficient,"adj.充分的,足够的"
proportion,"n.比例,均衡,面积,部分vt.使成比例,使均衡,分摊"
accessory,"n.附件,零件,附加物,从犯,同谋者adj.附属的,补充的,同谋的,副的"
ancillary,"adj.补助的,副的"
auxiliary,"adj.辅助的,补助的"
derivative,"adj.引出的,系出的n.派生的事物,派生词"
inherent,"adj.固有的,内在的,与生俱来的"
innate,"adj.先天的,天生的"
intrinsic,
possessive,"n.所有格adj.所有的,物主的,占有的"
subordinate,"adj.次要的,从属的,下级的n.下属v.服从"
adjacent,"adj.邻近的,接近的"
adjoining,"adj.邻接的,隔壁的"
contiguous,"adj.邻近的,接近的,毗边的"
analogous,"adj.类似的,相似的,可比拟的"
antecedent,n.先辈adj.先行的
antedate,"n.比正确日期早的日期v.提早日期,居先"
applicable,"adj.可适用的,可应用的"
approximate,"adj.近似的,大约的v.近似,接近,接近,约计"
bilateral,"adj.有两面的,双边的"
binary,"adj.二进位的,二元的"
comparable,"adj.可比较的,比得上的"
comparative,"adj.比较的,相当的"
compatible,"adj.谐调的,一致的,兼容的"
complement,"n.补足物,[文法]补语,[数]余角vt.补助,补足"
complementary,"adj.补充的,补足的"
concurrent,"n.同时发生的事件adj.并发的,协作的,一致的"
coordinate,"n.同等者,同等物,坐标(用复数)adj.同等的,并列的vt.调整,整理"
correlate,vt.使相互关联vi.和...相关
dichotomy,"n.两分,二分法,分裂"
disparate,adj.全异的
distinct,"adj.清楚的,明显的,截然不同的,独特的"
distinguish,"v.区别,辨别"
diverse,"adj.不同的,变化多的"
diversify,"v.使多样化,作多样性的投资"
egalitarian,adj.平等主义的n.平等主义
equalize,"vt.使相等,补偿"
equidistant,"adj.距离相等的,等距的"
equilateral,adj.等边的n.等边形
equivalent,"adj.相等的,相当的,同意义的n.等价物,相等物"
heterogeneity,"n.异种,异质,不同成分"
homogeneity,"n.同种,同质,同次性"
homogeneous,"adj.同类的,相似的,均一的,均匀的"
horizontal,"adj.地平线的,水平的"
identical,"adj.同一的,同样的"
integral,"adj.完整的,整体的,[数学] 积分的,构成整体所需要的n.[数学] 积分,完整,部分"
irrelevant,"adj.不相关的adj.不相关的,不切题的"
linkage,n.联接
mutual,"adj.相互的,共有的"
parallel,"adj.平行的,相同的,类似的,并联的n.平行线,平行面,类似,相似物v.相应,平行"
pertain,"v.适合,属于"
relevant,"adj.有关的,相应的"
resemble,"vt.象,类似"
similarity,"n.类似,类似处"
affinity,"n.密切关系,吸引力,姻亲关系,亲合力"
antiquated,adj.陈旧的
antique,"n.古物,古董adj.古时的,过时的"
bygone,n.过去的事adj.过去的
cliché,
conventional,"adj.惯例的,常规的,习俗的,传统的"
hoary,"adj.灰白的,(因年迈而)头发灰白的,古代的,久远的"
stale,"n.(牲畜等的)尿adj.不新鲜的,陈腐的,疲倦的,陈旧的vt.使变旧,走味vi.变陈旧,变无味,失时效,撒尿"
stereotype,"n.[印]铅版,陈腔滥调,老套vt.使用铅版,套用老套,使一成不变"
incipient,adj.初始的
novice,"n.新手,初学者"
pristine,adj.质朴的
arcane,"adj.神秘的,不可思议的"
mysterious,adj.神秘的
mystic,"adj.神秘的,神秘主义的n.神秘家,神秘主义的鼓吹者"
cue,"n.暗示,提示,球杆"
furtive,"adj.偷偷摸摸的,鬼鬼祟祟的,秘密的,私下的,隐密的"
informant,"n.通知的人,密告者,被调查的人"
prowl,v.巡游
secretary,"n.秘书,书记,部长,大臣"
suggestive,"adj.提示的,启发的,暗示的"
authentic,adj.可信的
factual,"adj.事实的,实际的"
genuine,"adj.真实的,真正的,诚恳的"
batch,"n.(面包等)一炉,一批,批处理"
bout,"n.一回,一场,回合,较量vt.来回耕"
bunch,"n.串,束v.捆成一束"
cluster,"n.串,丛;vi.丛生,成群"
calorie,n.卡路里
centimeter,n.厘米
pint,n.品脱
ration,"n.定量,配给量,定量配给v.配给,分发,实行定量配给"
slice,"n.薄片,切片,一份,部分,片段v.切(片)"
beneficial,"adj.有益的,受益的,[法律]有使用权的adj.有益的,得利的,[律]有使用权的"
edge,"n.刀口,利刃,锋,优势,边缘,优势,尖锐vt.使锋利,挤进,镶边,开刃vi.缓缓移动,侧着移动"
vantage,"n.优势,有利情况"
necessitate,v.成为必要
chronic,"adj.慢性的,延续很长的"
coherent,"adj.粘在一起的,一致的,连贯的"
constant,"n.[数、物]常数,恒量adj.不变的,持续的,坚决的"
continuation,"n.继续,续集,延长,延长物,扩建物,附加部分,(报刊等的)续刊、增刊,续篇"
continuous,"adj.连续的,持续的"
durability,"n.经久,耐久力"
duration,"n.持续时间,为期"
eternal,"adj.永恒的,永远的,不灭的,没完没了的"
longevity,"n.长命,寿命,供职期限,资历"
perennial,"adj.四季不断的,终年的,长期的,永久的,(植物)多年生的"
periodic,"adj.周期的,定期的"
permanent,"adj.永久的,持久的"
perpetuate,"vt.使永存,使不朽"
persistent,adj.持久稳固的
progressive,"n.改革论者,进步论者adj.前进的,(税收)累进的,进步的"
successive,"adj.继承的,连续的"
sustain,"vt.支撑,撑住,维持,持续"
lease,"n.租借,租约,租赁物,租期,延续的一段时间vt.出租,租出,租得"
incoherent,"adj.不连贯的,语无伦次的"
inconsistent,"adj.不一致的,不协调的,矛盾的"
intermittent,"adj.间歇的,断断续续的"
temporary,"adj.暂时的,临时的,临时性"
brevity,"n.(时间)短暂,(讲话,文章等)简短"
compact,"adj.紧凑的,紧密的,简洁的n.契约,合同,小粉盒"
sketchy,adj.粗略的
superficial,"adj.表面的,肤浅的,浅薄的"
succinct,"adj.简洁的,紧身的,压缩在小范围内的"
complex,"adj.复杂的,合成的,综合的n.联合体"
complexity,"n.复杂(性),复杂的事物,复杂性"
convoluted,"adj.旋绕的,费解的"
inexplicable,adj.无法说明的
inextricable,"adj.无法解脱的,逃脱不掉的,解不开的"
intricate,"adj.复杂的,错综的,难以理解的"
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
crucial,adj.至关紧要的
dominant,"adj.有统治权的,占优势的,支配的adj.[生物] 显性的"
elite,"n.<法>[集合名词]精华,精锐,中坚分子"
essential,"adj.本质的,实质的,基本的,提炼的,精华的n.本质,实质,要素,要点"
far-reaching,
fatal,"adj.致命的,重大的,命运注定的,不幸的,致命的,毁灭性的"
fatality,"n.命运决定的事物,不幸,灾祸,天命"
momentous,"adj.重大的,重要的"
paramount,adj.极为重要的
pivotal,"adj.枢轴的,关键的"
primary,"adj.第一位的,主要的,初步的,初级的,原来的,根源的"
signify,"vt.表示,意味vi.要紧,有重要性v.颇为重要,表示"
substantive,"adj.独立存在的,真实的,有实质的,大量的,巨额的n.[语]实词,名词,独立存在的实体"
elementary,"adj.初步的,基本的,[化]元素的,自然力的"
inconsequential,
marginal,"adj.记在页边的,边缘的,边际的"
minuscule,"n.草写小字adj.用草写小字写的,极小的"
minute,"n.分,分钟,片刻,一瞬间,备忘录,笔记vt.记录,摘录,测定时间adj.微小的,详细的,仔细而准确的"
negligible,"adj.可以忽略的,不予重视的"
nuance,n.细微差别
peripheral,adj.外围的n.外围设备
periphery,n.外围
trivial,"adj.琐细的,价值不高的,微不足道的"
unobtrusive,"adj.不唐突的,不多嘴的,客气的,谦虚的"
configuration,"n.构造,结构,配置,外形"
contour,"n.轮廓,周线,等高线"
exterior,"adj.外部的,外在的,表面的,外交的,[建](适合)外用的n.外部,表面,外型"
ostensible,"adj.可公开得,(指理由等)表面的,虚假的"
profile,"n.剖面,侧面,外形,轮廓"
crinkle,n.皱纹v.起皱
cumbersome,"adj.讨厌的,麻烦的,笨重的"
unwieldy,"adj.笨拙的,不实用的,难处理的,难使用的,笨重的"
underweight,"n.重量不足,不符合要求的重量adj.重量不足的"
hitherto,"adv.迄今,至今"
delay,"v.耽搁,延迟,延期,迟滞n.耽搁,延迟,迟滞"
ensue,"vi.跟着发生,继起vt.(基督教<<圣经>>用语)追求"
eventual,"adj.<古>可能的,最后的,结局的,万一的,终于的,"
posthumous,"adj.死后的,身后的,作者死后出版的,遗腹的"
postpone,"vt.推迟,使延期,延迟"
subsequent,"adj.后来的,并发的"
ultimate,"adj.最后的,最终的,根本的n.最终"
simultaneously,adv.同时地
synchronize,v.同步
sequence,"n.次序,顺序,序列"
imminent,"adj.即将来临的,逼近的"
instantaneous,"adj.瞬间的,即刻的,即时的"
precaution,"n.预防,警惕,防范"
precede,"v.领先(于),在...之前,先于"
predate,"v.提早日期,居先"
predecessor,"n.前辈,前任,(被取代的)原有事物"
preliminary,"adj.预备的,初步的"
previous,"adj.在前的,早先的adv.在...以前 返回上一级菜单"
primitive,"adj.原始的,远古的,粗糙的,简单的"
primordial,adj.原始的
proactive,
prompt,"n.提示,付款期限vt.提示,鼓动,促使,(给演员)提白adj.敏捷的,迅速的,即时的adv.准时地"
unprecedented,adj.空前的
dense,"adj.密集的,浓厚的"
intimate,"adj.亲密的,隐私的vt.宣布,明白表示n.熟友"
replete,adj.充满的
drastic,"adj.激烈的,(药性等)猛烈的"
emergent,"adj.紧急的,浮现的,突然出现的,自然发生的"
enormous,"adj.巨大的,庞大的,<古>极恶的,凶暴的"
exaggerate,"v.夸大,夸张"
excessive,"adj.过多的,过分的,额外"
exhaustive,"adj.无遗漏的,彻底的,详尽的,无遗的"
exorbitant,"adj.过度的,过高的,昂贵的"
immoderate,adj.不适中的
extremely,"adv.极端地,非常地"
radical,"adj.根本的,基本的,激进的n.激进分子"
rudimentary,"adj.根本的,未发展的"
thorough,"adj.十分的,彻底的"
ingrained,"adj.彻底的,根深蒂固的,生染的"
underlying,"adj.在下面的,根本的,潜在的,[商]优先的"
intact,"adj.完整无缺的,尚未被人碰过的,(女子)保持童贞的,(家畜)未经阉割的"
moderate,"adj.中等的,适度的,适中的v.缓和"
permissive,adj.许可的
pertinent,"adj.有关的,相干的,中肯的"
immature,"adj.不成熟的,未完全发展的"
mature,"adj.成熟的,到期的,充分考虑的,(票据等)到期的vt.使成熟vi.成熟,到期"
premature,"adj.未成熟的,太早的,早熟的"
coverage,n.复盖
extent,"n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令"
incidence,"n.落下的方式,影响范围,[物理]入射"
span,"n.跨度,跨距,范围v.横越"
extensive,"adj.广大的,广阔的,广泛的"
pervasive,adj.普遍深入的
universal,"adj.普遍的,全体的,通用的,宇宙的,世界的"
widespread,"adj.分布广泛的,普遍的"
endemic,"n.地方病adj.风土的,地方的"
in-house,
residential,"adj.住宅的,与居住有关的"
phase,"n.阶段,状态,相,相位v.定相"
exception,"n.除外,例外,反对,异议"
external,"adj.外部的,客观的,[医]外用的,外国的,表面的n.外部,外面"
extrinsic,"adj.外在的,外表的,外来的"
outermost,"adj.最外面的,最远的"
outmost,"adj.最外面的,最远的"
without," prep.没有,不,(表条件)如果没有,要没有adv.在外,在屋外"
frontal,n.前沿
interior,"adj.内部的,内的n.内部"
lateral,"n.侧部,支线,边音adj.横(向)的,侧面的"
unilateral,"adj.单方面,单边的,片面的,单系,[植]单侧的,[语]单边音"
verge,v.濒临n.边缘
wayside,n.路旁adj.路旁的
proximity,"n.接近,亲近"
vicinity,"n.邻近,附近,接近"
outskirts,"n.边界,(尤指)市郊"
suburban,"adj.郊外的,偏远的"
interstate,adj.州际的
underlie,"vt.位于...之下,成为...的基础"
colorize,vt.使...变成彩色
hue,"n.色调,样子,颜色,色彩,叫声,大声叫喊,大声反对"
monochrome,n.单色 单色的
immense,"adj.极广大的,无边的,<口>非常好的"
jumbo,n.<美> 庞然大物adj.<美> 巨大的
metropolitan,"adj.首都的,主要都市的,大城市"
prodigious,adj.巨大的
sensational,"adj.使人感动的,非常好的"
titanic,"adj.[化](含)钛的,四价钛的"
tremendous,"adj.极大的,巨大的"
peerless,"adj.出类拔萃的,无可匹敌的"
unparalleled,"adj.无比的,无双的,空前的"
predominate,"vt.掌握,控制,支配vi.统治,成为主流,支配,占优势"
miniature,"n.缩小的模型,缩图,缩影adj.微型的,缩小的"
dispassionate,"adj.冷静的,不带感情的,平心静气的"
equitable,"adj.公平的,公正的,平衡法的"
impartial,"adj.公平的,不偏不倚的"
impartiality,"n.不偏不倚,公正,公平"
impersonal,adj.非个人的
soundness,"n.完全坚固,公正,稳固"
neutral,"n.中立者,中立国,非彩色,齿轮的空档adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的"
procedure,"n.程序,手续"
constitute,"vt.制定(法律),建立(政府),组成,任命"
formation,"n.形成,构成,编队"
frame,"n.结构,体格vt.构成,设计,制定,使适合,陷害vi.<英方>有成功希望n.帧,画面,框架"
framework,"n.构架,框架,结构"
platform,"n.(车站)月台,讲台,讲坛 平台"
scenario,"n.想定 游戏的关,或是某一特定情节"
skeleton,"n.(动物之)骨架,骨骼,基干,纲要,万能钥匙"
inflection,n.变形
live,"adj.活的,生动的,精力充沛的,实况转播的,点燃的vi.活着,生活,居住,流在人们记忆中vt.过着,度过,经历adv.以实况地"
retention, 保持力
static,"adj.静态的,静力的 静电噪声"
stationary, 固定的
status quo,
status quo ante,
servitude,"n.奴隶状态,惩役,地役权,使用权"
stiff,"adj.硬的,僵直的,拘谨的,呆板的,艰难的,费劲的,僵硬的"
lamellar,"adj.薄片状的,薄层状的"
oval,"adj.卵形的,椭圆的n.卵形,椭圆形"
plumb,"n.铅锤,铅弹adj.垂直的vt.使垂直,用铅增加重量,探测vi.垂直"
spiny,"adj.多剌的,剌状的"
stubby,"adj.断株样的,短而粗硬的"
wedge-shaped,
rapidity,"n.速度,迅速,急速"
tempo,"n.(音乐)速度、拍子,发展速度"
hasty,"adj.匆忙的,草率的"
abridge,"v.删节,削减,精简"
alleviate,"vt.使(痛苦等)易于忍受,减轻"
curtail,"vt.缩减,减少(经费等),剥夺(某人的)特权(或官衔等),简略"
cutback,"n.重映,剪修新芽,减少"
decelerate,v.(使)减速
deduct,"vt.扣除,演绎"
deduction,"n.减除,扣除,减除额,推论,演绎"
diminish,"v.(使)减少,(使)变小"
diminution,"n.减少,减低,缩小"
reduction,"n.减少,缩影,变形,缩减量,约简,缩小,降低,缩图,缩版"
dwindle,v.缩小
minimize,vt.将...减到最少v.最小化
debilitate,"vt.使衰弱,使虚弱"
disarm,"vt.解除武装,回复平常的编制,缓和,消除(敌意,疑虑)vi.放下武器"
ease,"n.安逸,安心,不费力,悠闲vt.使悠闲,使安心,减轻,放松vi.减弱,减轻,放松,灵活地移动"
mitigate,v.减轻
subdue,v.征服
sap,"n.树液,体液,活力,坑道,笨人,傻子vt.使排出体液,使衰竭,挖坑道袭击,逐渐侵蚀vi.挖坑道"
discount,n.折扣
downsizing,减少规模 缩小化
relegate,"v.转移,归入,提交"
impair,v.削弱
retard,"vt.延迟,使减速,阻止,妨碍,阻碍"
regressive,adj.回归的
steep,"adj.陡峭的,险峻的,急剧升降的,不合理的n.悬崖,峭壁,浸渍,浸渍液v.浸,泡,沉浸"
accelerate,"v.加速,促进"
accretion,n.增长
accrue,"vi.自然增加,产生"
additional,"adj.另外的,附加的,额外的"
enhance,"vt.提高,增强v.提高"
upgrade,"n.升级,上升,上坡adv.往上vt.使升级,提升,改良品种"
upsurge,n.高潮
upturn,n.好转
zoom,"n.急速上升,陡直上升,图象电子放大,缩放,嗡嗡声vi.突然扩大,急速上升,摄象机移动vt.使摄象机移动"
boom,"n.繁荣,隆隆声v.发隆隆声,兴隆,大事宣传"
maximize,"vt.取...最大值,最佳化"
burgeon,n.嫩芽v.萌芽
aggravate,"vt.使恶化,加重"
exacerbate,"vt.恶化,增剧,激怒,使加剧,使烦恼"
consolidate,v.巩固
fortify,"vt.设防于,增强(体力,结构等)使坚强,增加,(酒)的酒精含量vi.筑防御工事"
intensify,vt.加强vi.强化
reinforce,"vt.加强,增援,补充,增加...的数量,修补,加固vi.求援,得到增援n.加固物"
strengthen,"v.加强,巩固"
substantiate,"vt.使实体化,证实"
additive,"adj.附加的,加成的,添加的;n.添加剂adj.添加的,附加的,加法的"
agglomeration,"n.结块,凝聚,块"
amass,"vt.收集,积聚(尤指财富)"
amplify,"vt.放大,增强v.扩大"
broaden,"v.放宽,变宽,扩大,加宽"
bulge,"n.凸出部分v.凸出,膨胀"
enrich,"vt.使富足,使肥沃,装饰,加料于,浓缩"
escalate,"vi.逐步升高,逐步增强vt.使逐步上升"
expand,"vt.使膨胀,详述,扩张vi.张开,发展"
swell,"v.(使)膨胀,增大"
prolong,"vt.延长,拖延"
expedite,"v.加速,派出adj.畅通的,迅速的"
adaptation,"n.适应,改编,改写本"
amend,"v.修正,改进,改正"
revise,"vt.修订,校订,修正,修改"
adjust,"vt.调整,调节,校准,使适合"
convert,"n.皈依者vt.使转变,转换...,使...改变信仰"
diversion,"n.转移,转换,牵制,解闷,娱乐"
distract,v.转移
distort,"vt.弄歪(嘴脸等),扭曲,歪曲(真理、事实等),误报"
fluctuate,"vi.变动,波动,涨落,上下,动摇vt.使动摇,使波动,使起伏"
innovation,"n.改革,创新"
metamorphose,"v.变形,变质,使变成"
mutation,"n.变化,转变,元音变化,(生物物种的)突变"
perversion,"n.颠倒,曲解"
renovate,"vt.革新,刷新,修复"
switch,"n.开关,电闸,转换vt.转换,转变"
transform,"vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换"
upheaval,n.剧变
variation,"n.变更,变化,变异,变种,[音]变奏,变调"
variety,"n.变化,多样性,种种,品种,种类"
volatile,"adj.飞行的,挥发性的,可变的,不稳定的,轻快的,爆炸性的n.[现罕]有翅的动物,挥发物"
impressionable,"adj.容易受感动的,敏感的"
invariable,"n.不变的,永恒的adj.[数]不变的,不变量"
decent,"adj.正派的,端庄的,有分寸的,(服装)得体的,大方的adj.<口>相当好的、象样的"
malleable,"adj.有延展性的,可锻的"
absenteeism,"n.旷课,旷工"
avoidance,
circumvent,"vt.围绕,包围,智取"
elude,v.躲避
elusive,"adj.难懂的,难捉摸的,易忘的"
eschew,"vt.避开,远避"
indispensable,"n.不可缺少之物adj.不可缺少的,绝对必要的"
inevitable,"adj.不可避免的,必然的"
sidestep,"n.横跨的一步,(侧面的)台阶vt.横跨一步躲闪,回避(困难)vi.回避问题,躲避打击"
activate,
actuate,"vt.开动,促使"
boost,v.推进
impetus,"n.推动力,促进"
incentive,n.动机adj.激励的
promote,"vt.促进,发扬,提升,提拔,晋升为 /n.升级/降级"
trigger,"vt.引发,引起,触发n.板机"
spur,"n.踢马剌,剌激物,(鸟,虫等的)距,刺激v.鞭策,刺激,疾驰,驱策"
stimulate,"vt.刺激,激励v.刺激,激励"
breakthrough,n.突破
impulse,"n.推动,刺激,冲动,推动力vt.推动"
groundbreaking,
anticipate,"vt.预期,期望,过早使用,先人一着,占先v.预订,预见,可以预料"
expectation,"n.期待,预料,指望,展望,[数]期望(值)"
forecast,"n.先见,预见,预测,预报vt.预想,预测,预报,预兆"
foresee,"vt.预见,预知"
inspiration,n.灵感
omen,"n.预兆,征兆vt.预示,有...的前兆"
portend,v.预示
precursor,n.先驱
prediction,"n.预言,预报"
symptom,"n.[医][植]症状,征兆"
estimate,"v.估计,估价,评估n.估计,估价,评估"
prescient,"adj.预知的,预见的"
prospective,adj.预期的
assumption,"n.假定,设想,担任,承当,假装,作态,圣母升天"
extrapolate,"v.推断,[数]外推"
hypothesis,n.假设
hypothesize,"v.假设,假定,猜测"
postulate,"n.假定,基本条件,基本原理vt.要求,假定vi.要求"
presume,"vt.假定,假设,认为"
compile,"vt.编译,编辑,汇编"
compress,"vt.压缩,摘要叙述n.(外科)敷布"
condense,"v.(使)浓缩,精简"
encapsulate,"vt.装入胶囊,压缩vi.形成胶囊"
epitome,n.摘要
caustic,"adj.腐蚀性的,刻薄的"
corrode,"v.使腐蚀,侵蚀"
erode,"vt.侵蚀,腐蚀,使变化vi.受腐蚀,逐渐消蚀掉"
crack,"n.裂缝,噼啪声v.(使)破裂,裂纹,(使)爆裂adj.最好的,高明的"
debacle,"n.崩溃,溃裂"
dismember,v.肢解
fracture,"n.破裂,骨折v.(使)破碎,(使)破裂"
rupture,"v.破裂,裂开,断绝(关系等),割裂n.破裂,决裂,敌对,割裂"
scatter,"v.分散,散开,撒开,驱散"
segregate,v.隔离
fissure,"n.裂缝,裂沟,(思想,观点等的)分歧v.(使)裂开,(使)分裂"
fragment,"n.碎片,断片,片段"
fragmentary,"adj.由碎片组成的,断断续续的"
partially,adv.部分地
respective,"adj.分别的,各自的"
crumple,"v.弄皱,压皱,变皱,崩溃,垮台"
crumble,"v.弄碎,粉碎,崩溃n.面包屑"
debris,"n.碎片,残骸"
demolish,"vt.毁坏,破坏,推翻,粉碎"
disintegration,n.瓦解
fragile,"adj.易碎的,脆的"
decay,"vi.腐朽,腐烂,衰减,衰退n.腐朽,腐烂,衰减,衰退v.衰落"
degenerate,adj.退化的v.退化
degrade,"v.(使)降级,(使)堕落,(使)退化"
deteriorate,v.(使)恶化
delineate,v.描绘
depict,"vt.描述,描写"
elaborate,"adj.精心制作的,详细阐述的,精细vt.精心制作,详细阐述v.详细描述"
embody,"vt.具体表达,使具体化,包含,收录"
narrator,
portray,v.描绘
sketch,"n.略图,草图,概略,梗概,草图,拟定vi.绘略图,素描v.勾画"
specify,"vt.指定,详细说明,列入清单"
reiterate,"vt.反复地说,重申,重做"
underscore,"vt.划线于...下,强调n.底线"
excerpt,"n.vt.摘录,引用"
quotation,"n.引用语,价格,报价单,行情表"
delinquent,"n.失职者,违法者adj.失职的,有过失的,违法的,拖欠债务的"
erroneous,"adj.错误的,不正确的"
flawed,
fallacy,"n.谬误,谬论"
fault,"n.过错,缺点,故障,毛病vt.挑剔vi.弄错"
malfunction,n.故障
mishap,n.灾祸
mismatch,"vt.使配错,使配合不当n.错配,失谐"
disregard,"v.不理漠视n.漠视,忽视"
negligence,n.疏忽
oversight,"n.勘漏,失察,疏忽,失败,小心照顾"
drain,"n.排水沟,消耗,排水vt.排出沟外,喝干,耗尽vi.排水,流干"
drift,"n.冲洗,漂流物,观望,漂流v.(使)漂流"
drizzle,n.细雨v.下毛毛雨
eject,"vt.逐出,撵出,驱逐,喷射n.推断的事物"
spill,"n.溢出,溅出,摔下,木片,小塞子,暴跌,溢出量vt.使溢出,使散落,洒,使流出,使摔下,倒出vi.溢出,涌流,充满"
instill,vt.慢慢地灌输
irrigate,"vt.灌溉,修水利,冲洗伤口,使潮湿vi.进行灌溉"
implant,v.灌输
influx,n.流入
spray,"n.喷雾,飞沫vt.喷射,喷溅"
inundate,v.淹没
submerge,"v.浸没,淹没,掩没vi.潜水"
saturate,"v.使饱和,浸透,使充满"
rinse,"v.嗽口,(用清水)刷,冲洗掉,漂净n.嗽洗,漂洗,漂清,冲洗"
scour,"vt.冲洗,擦亮,(搜索或追捕时)急速走遍vi.擦,洗,冲刷,腹泻,急速穿行n.擦,洗,洗涤剂,腹泻"
scrub,"v.洗擦,擦净,使(气体)净化,擦洗n.洗擦,擦净,擦洗者,矮树,灌木,丛林地,矮小的人(或动物)adj.次等的,矮小的,临时凑合的"
defrost,"vt.除霜,使(冰的食物)融化vi.解冻"
dip,
evaporate,"v.(使)蒸发,消失"
moisture,"n.潮湿,湿气"
purify,vt.使纯净v.净化
launder,"n.流水槽v.洗涤,清洗,洗黑钱(把来路可疑的钱弄得貌似合法)"
secrete,"vt.隐秘,隐藏,隐匿,[生理]分泌"
solvent,"adj.溶解的,有偿付能力的,有溶解力n.溶媒,溶剂,解决方法"
leakage,"n.漏,泄漏,渗漏"
mobility,"n.活动性,灵活性,迁移率,机动性"
osmosis,"n.渗透(作用),渗透性"
emanate,"vi.散发,发出,发源vt.[罕]发散,放射"
emit,"vt.发出,放射,吐露,散发,发表,发行"
exhale,"v.呼气,发出,发散,<古>使蒸发"
inhale,vt.吸入vi.吸气
fume,"n.(浓烈或难闻的)烟,气体,一阵愤怒(或不安)v.用烟熏,冒烟,发怒"
fumigate,"vt.熏制,使发香"
vent,"n.通风孔,出烟孔,出口,(感情等的)发泄v.放出,排出,发泄"
fluorescent,"adj.荧光的,莹光的"
luminous,"adj.发光的,明亮的"
nocturnal,"adj.夜的,夜曲的"
optical,"adj.眼的,视力的,光学的"
illuminate,"vt.照明,照亮,阐明,说明,使灿烂,以灯火装饰(街道等)vi.照亮"
irradiate,v.照射
radiate,"vt.放射,辐射,传播,广播vi.发光,辐射,流露adj.有射线的,辐射状的"
rekindle,v.重新点燃
spectrum,"n.光,光谱,型谱 频谱"
campfire,"n.营火,营火会"
combustible,adj.易燃的
ignite,"v.点火,点燃"
ignition,"n.点火,点燃"
incinerate,"vi.把...烧成灰,烧弃"
sear,"adj.烤焦的,枯萎的vt.烤焦,使枯萎vi.凋谢,干枯"
weld,"vt.焊接n.焊接,焊缝"
abolish,"vt.废止,废除(法律、制度、习俗等)"
abrogation,"n.废除,取消"
obsolescence,"n.荒废,退化"
obsolete,"adj.荒废的,陈旧的n.废词,陈腐的人"
repeal,"v.废止,撤销,否定,放弃,废除n.废除,撤销"
rescind,v.废除
abrasion,n.磨损
attrition,"n.磨擦,磨损"
breakage,"n.破坏,破损,破损量"
breakdown,"n.崩溃,衰弱,细目分类"
friction,"n.摩擦,摩擦力"
accomplished,"adj.完成的,熟练的,多才多艺的"
adept,"adj.熟练的,拿手的;n.老手,擅长者"
adroit,"adj.熟练的,机捷的"
