use,"vt.使用,利用,耗费n.使用,利用,用途,效用,使用价值"
engagement,"n.约会,婚约,诺言,交战,接站,雇拥,[机]接合"
grasp,"vt.抓住,抓紧,掌握,领会n.抓住,抓紧,掌握,领会"
rarely,"adv.很少地,罕有地"
rare,"adj.稀罕的,杰出的,珍贵的,(肉类)半熟的adv.非常"
scarcely,"adv.几乎不,简直没有"
fully,"adv.充分地,完全地,足足,至少"
fulfil,"vt.实践,履行,实行,结束,满足,完成,达到"
fulfilment,
presence,"n.出席,到场,存在"
vote,"n.投票,选举,选票,选举权,表决,得票数vi.投票,选举vt.投票选举,投票决定,公认,<口>建议,使投票"
devote,"vt.投入于,献身"
voter,"n.投票者,选举人,有投票权者"
air,"n.空气,样子,天空,空中,曲调vt.晾干,使通风,宣扬,夸耀,显示"
airline,n.定期航线
aerial,"adj.航空的,生活在空气中的,空气的,高耸的n.天线"
besides,adv.此外 prep.除...之外
aside,"adv.在旁边,到旁边"
inside,"n.里面,内部,内脏,内情adj.内部的,秘密的,于室内工作的adv.在里面 prep.在...之内"
outsider,n.无取胜希望者
beside," prep.在旁边,和...比较"
alongside,adv.在旁 prep.横靠
downside,"n.底侧,下降趋势adj.底侧的"
strike,"n.罢工,打击,殴打vt.打,撞击,冲击,罢工,打动,划燃,到达,侵袭vi.打,打击,罢工,抓,敲,搏动,打动,穿透"
moral,"adj.道德(上)的,精神的n.道德"
virtual,"adj.虚的,实质的,[物]有效的,事实上的"
virtually,"adv.事实上,实质上"
virtuous,"adj.善良的,有道德的,贞洁的,有效力的"
mass,"n.块,大多数,质量,群众,大量adj.群众的,大规模的,集中的vt.使集合vi.聚集"
massive,"adj.厚重的,大块的,魁伟的,结实的"
norm,"n.标准,规范"
normal,"n.正规,常态,[数学]法线adj.正常的,正规的,标准的"
ease,"n.安逸,安心,不费力,悠闲vt.使悠闲,使安心,减轻,放松vi.减弱,减轻,放松,灵活地移动"
tendency,"n.趋向,倾向"
context,"n.上下文,文章的前后关系"
reliable,"adj.可靠的,可信赖的"
reasonable,"adj.合理的,有道理的,通情达理的,讲道理的"
estimate,"v.估计,估价,评估n.估计,估价,评估"
overestimate,"vt.评价过高n.估计的过高,评价的过高,"
underestimate,"vt.低估,看轻n.低估"
esteem,"vt.把...看作,尊敬,尊重,认为n.尊敬,尊重"
adjust,"vt.调整,调节,校准,使适合"
fit,"n.突然发作,适合,痉挛,一阵adj.合适的,恰当的,健康的,,准备好的vt.适合,安装,使合身,使适应,使合格vi.适合,符合"
outcome,"n.结果,成果"
manage,"vi.处理,应付过去vt.管理,控制,操纵,维持,运用,搞成,设法,达成"
management,"n.经营,管理,处理,操纵,驾驶,手段"
manager,"n.经理,管理人员,管理器"
board,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部vt.用板盖上,包饭,提供膳食,上(船、飞机等)"
keyboard,n.[计] 键盘
border,"n.边界,国界,边,边沿,边境vt.与...接壤,接近v.接壤"
billboard,"n.(户外)布告板,揭示栏,广告牌vt.宣传"
spend,"v.花费,消耗,用尽vt.度过,消磨"
expense,"n.费用,代价,损失,开支,费钱之物"
expensive,"adj.花费的,昂贵的"
pension,"n.养老金,退休金"
interpretation,"n.解释,阐明,口译,通译"
interpret,"v.解释,说明,口译,通译,认为是...的意思"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
voice,"n.声音,嗓音,发音能力,意见,发言权,[语法]语态vt.表达,吐露"
provoke,"vt.激怒,挑拨,煽动,惹起,驱使"
version,"n.译文,译本,翻译"
universe,"n.宇宙,世界,万物,领域"
universal,"adj.普遍的,全体的,通用的,宇宙的,世界的"
reverse,"n.相反,背面,反面,倒退adj.相反的,倒转的,颠倒的vt.颠倒,倒转"
diverse,"adj.不同的,变化多的"
diversity,"n.差异,多样性"
strain,"n.过度的疲劳,紧张,张力,应变vt.扭伤,损伤v.拉紧,扯紧,(使)紧张,尽力"
constrain,"vt.强迫,抑制,拘束"
straight,"adj.直的,诚实的,正直的,率直的,整齐的adv.直,直接,一直"
reject,"n.被拒之人,被弃之物,不合格品,落选者,不及格者vt.拒绝,抵制,否决,呕出,驳回,丢弃"
originate,"vt.引起,发明,发起,创办vi.起源,发生"
asset,"n.资产,有用的东西"
set,"v.放,置,移动到,使(人或事物处于某种状态),提出,树立,规定,调整;n.一套,一副,一批,接受机,装置,趋势,布景;adj.固定的,规定的,坚决的,固执的,事先做好的;Secure Electronics Transations Protocol,安全电子商务协议"
setting,"n.安置,安装,(太阳)落山,(固定东西的)框架,底座"
upset,"vt.颠覆,推翻,扰乱,使不适,使心烦vi.翻倒,倾覆n.翻倒,混乱"
editor,"n.编辑,编辑器,编者"
edition,"n.版本,版"
editorial,"n.社论adj.编辑上的,主笔的,社论的"
senior,"adj.年长的,资格较老的,地位较高的,高级的"
master,"n.主人,雇主,(男)教师,熟练技工,师傅,大师,硕士,<称呼>少爷adj.主人的,熟练的,高明的,主要的vt.征服,控制,精通"
masterpiece,"n.杰作,名著"
senate,"n.参议院,上院"
art,"n.艺术,艺术品,技术,巧妙,美术"
artist,"n.艺术家,画家"
artistic,"adj.艺术的,有美感的,风雅的"
artificial,"adj.人造的,假的,非原产地的"
craft,"n.工艺,手艺"
ground,"n.地面,土地,战场,场所,范围adj.土地的,地面上的vt.把...放在地上,使搁浅,打基础vi.具有基础,着陆,搁浅 vbl.grind的过去式"
underground,"adj.地下的,地面下的,秘密的n.[英] 地铁adv.在地下,秘密地"
groundbreaking,
groundless,"adj.无根据的,没有理由的"
urge,"vt.催促,力劝n.强烈欲望,迫切要求v.促进"
urgent,"adj.急迫的,紧急的"
scholar,n.学者
scholarly,"adj.学者气质的,学者风度的"
scholarship,"n.奖学金,学问,学识"
commerce,n.商业
alter,v.改变
alternative,"n.二中择一,可供选择的办法,事物adj.选择性的,二中择一的"
alien,"n.外侨adj.外国的,相异的,不同,背道而驰"
inform,"v.(～ of/about) 通知,告诉,获悉,告知"
collapse,"n.倒塌,崩溃,失败,虚脱vi.倒塌,崩溃,瓦解,失败,病倒"
confuse,"vt.搞乱,使糊涂"
diffuse,"v.散播,传播,漫射,扩散,(使)慢慢混合adj.散开的,弥漫的"
diffusionist,"n.传流论者,(文化)传播论者"
diffusionism,
refusal,"n.拒绝,推却,优先取舍权,优先取舍的机会"
confusion,"n.混乱,混淆"
crucial,adj.至关紧要的
cross,"n.十字,交叉,十字架,十字形物adj.交叉的,相反的,乖戾的v.使交叉,横过,勾划,错过,反对,杂交"
extreme,"adj.尽头的,极端的,极度的,偏激的,最后的n.极端,极端的事物"
external,"adj.外部的,客观的,[医]外用的,外国的,表面的n.外部,外面"
internal,"adj.内在的,国内的"
inner,"adj.内部的,里面的,内心的n.内部"
intrinsic,
intimately,adv.密切地
extremely,"adv.极端地,非常地"
evolve,"v.(使)发展,(使)进展,(使)进化"
engineer,"n.工程师,技师,火车司机,轮机员,工兵"
engine,"n.发动机,机车,火车头"
capable,"adj.有能力的,能干的,有可能的,可以...的"
unfortunately,adv.不幸地
fortune,"n.财富,运气,大量财产,好运,命运vt.<古>偶然发生vt.给...以大宗财富"
letter,"n.文字,字母,信函,字面意义,铅字,(pl.)证书,(pl.)文学,学问vt.用字母标明,在...上刻(或题)字vi.写印刷体字母"
literally,"adv.照字面意义,逐字地"
literacy,"n.有文化,有教养,有读写能力"
literate,"n.学者adj.有文化的,有阅读和写作能力的"
illiterate,"n.文盲adj.不识字的,没受教育的"
literary,"adj.文学(上)的,从事写作的,文艺的,精通文学的,书本的"
literature,"n.文学(作品),文艺,著作,文献"
hostility,"n.敌意,恶意,不友善,敌对,对抗,反对"
hostile,"adj.敌对的,敌方的n.敌对"
host,"n.主机,主人,旅馆招待vt.当主人招待"
hospital,n.医院
hostage,"n.人质,抵押品"
rich,"adj.富的,有钱的,富有的,富饶的,肥沃的,充足的,丰富的"
richly,"adv.富裕地,丰富地,贵重地,富饶地"
enrich,"vt.使富足,使肥沃,装饰,加料于,浓缩"
throughout," prep.遍及,贯穿adv.到处,始终,全部"
citizen,"n.市民,公民"
citizenship,"n.公民的身份,公民的职责和权力"
journal,"n.定期刊物,杂志,航海日记,分类账"
journalist,"n.新闻记者,从事新闻杂志业的人"
journalism,"n.新闻业,报章杂志"
journalistic,"adj.新闻事业的,新闻从业员的,新闻工作者的"
head,"n.头,头脑,领袖,(队伍,名单等)最前的部分,人,顶点vt.作为...的首领,朝向,前进,用头顶vi.成头状物,出发adj.头的,主要的"
ahead,"adj.adv.在前,向前,提前,在前面"
headhunter,n.猎取人头的蛮人
headlong,"adv.头向前地,轻率地"
headshot,
headway,"n.进展,净空高度"
overhead,"adj.在头上的,高架的n.企业一般管理费用,天花板adv.在头顶上,在空中,在高处"
majority,"n.多数,大半n.[律] 成年"
advise,"vt.劝告,忠告,警告,建议"
advisory,"adj.顾问的,咨询的,劝告的"
psychological,adj.心理(上)的
analogy,"n.类似,类推"
methodology,"n.方法学,方法论"
logic,"n.逻辑,逻辑学,逻辑性"
psychology,"n.心理学,心理状态"
solely,"adv.独自地,单独地"
isolate,"vt.使隔离,使孤立,使绝缘,离析n.隔离种群"
isolation,"n.隔绝,孤立,隔离,绝缘,离析"
ambiguous,"adj.暧昧的,不明确的"
ambition,"n.野心,雄心"
complaint,"n.诉苦,抱怨,牢骚,委屈,疾病"
necessity,"n.必要性,需要,(常 pl.) 必需品"
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
operate,"v.操作,运转,开动,起作用,动手术,开刀n.[军]作军事行动"
operation,"n.运转,操作,实施,作用,业务,工作,手术,军事行动"
operational,"adj.操作的,运作的"
operator,"n.操作员,工作者,(电话)接线员,报务员,手术员,行家,经营者,算子"
fade,"vi.(声音等)减弱下去,褪色,消失,枯萎,凋谢vt.使褪色n.淡入,淡出adj.乏味的,平淡的"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
various,"adj.不同的,各种各样的,多方面的,多样的"
variable,"n.[数]变数,可变物,变量adj.可变的,不定的,易变的,[数]变量的"
variation,"n.变更,变化,变异,变种,[音]变奏,变调"
path,"n.小路,小径,路线,轨道,通道"
paragraph,"n.(文章)段,节,段落"
geographic,"adj.地理学的,地理的"
autobiography,n.自传
biographical,adj.传记的
photograph,n.照片
photographer, 摄影师;n.摄影师
photographic,adj.照相的
graph,"n.图表,曲线图"
incentive,n.动机adj.激励的
credit,"n.信任,信用,声望,荣誉,[财务]贷方,银行存款vt.相信,信任,把...归给"
credible,"adj.可信的,可靠的"
prize,"n.奖赏,奖金,奖品,捕获,捕获物,战利品adj.得奖的vt.珍视,估价,捕获,撬,撬开"
price,"n.价格,价钱,代价vt.给...定价,问...的价格,标明价格"
appreciate,"vt.赏识,鉴赏,感激vi.增值,涨价"
appreciation,"n.感谢,感激,正确评价,欣赏,增值"
praise,"vt.赞扬,歌颂,称赞n.赞扬,赞美的话,赞美,荣耀,称赞"
precious,"adj.宝贵的,贵重的,珍爱的,过于精致的,珍爱的"
waste,"n.废物,浪费,损耗,消耗,地面风化物,垃圾,荒地adj.废弃的,荒芜的,多余的vt.浪费,消耗,使荒芜vi.被浪费,挥霍钱财,变消瘦,被损耗"
convey,"vt.搬运,传达,转让"
vehicle,"n.交通工具,车辆,媒介物,传达手段"
voyage,"n.航程,航空,航海记,旅行记vi.航海,航行vt.渡过,飞过"
previous,"adj.在前的,早先的adv.在...以前 返回上一级菜单"
previously,"adv.先前,以前"
via," prep.经,通过,经由"
revise,"vt.修订,校订,修正,修改"
visit,"n.拜访,访问,游览,参观,(作客)逗留,视察,调查vt.拜访,访问,参观,视察,降临vi.访问,参观,闲谈"
visible,"adj.看得见的,明显的,显著的n.可见物"
invisible,"adj.看不见的,无形的"
vision,"n.视力,视觉,先见之明,眼力,想象力,幻想,幻影,景象vt.梦见,想象,显示"
visionary,"adj.幻影的,幻想的,梦想的n.空想家,梦想者,好幻想的人"
envision,"vt.想象,预想"
envisage,v.正视
visualize,"vt.形象,形象化,想象vi.显现"
device,"n.装置,设计,图案,策略,发明物,设备 [计]安装设备驱动程序"
integrate,"vt.使成整体,使一体化,求...的积分v.结合"
integrity,"n.正直,诚实,完整,完全,完整性"
intangible,"adj.难以明了的,无形的"
contact,"n.接触,联系vt.接触,联系"
tactic,"n.策略,战略adj.按顺序的,排列的"
circulation,"n.循环,流通,发行额"
bicycle,"n.脚踏车,自行车"
cycle,"n.周期,循环,自行车,一段时间,整套,(电学)周波vi.循环,轮转,骑自行车vt.使循环,使轮转"
circle,"n.圆周,圆形物,派系,循环v.围,环绕 盘旋"
circumstance,"n.环境,详情,境况"
connection,"n.连接,关系,接线,线路,亲戚"
connect,"v.连接,联合,关连"
ancient,"adj.远古的,旧的"
ancestor,"n.祖先,祖宗"
ancestry,"n.祖先(集合称),家系,血统"
anticipate,"vt.预期,期望,过早使用,先人一着,占先v.预订,预见,可以预料"
antique,"n.古物,古董adj.古时的,过时的"
advanced,"adj.高级的,年老的,先进的"
advance,"n.前进,提升,预付款v.前进,提前,预付adj.前面的,预先的 预付(款项)"
advantage,"n.优势,有利条件,利益"
convincing,"adj.令人信服的,有力的,令人心悦诚服的"
routine,"n.例行公事,常规,日常事务,程序"
routinely,adv.例行公事地
route,"n.路线,路程,通道v.发送"
scope,"n.(活动)范围,机会,余地"
debate,"v.争论,辩论n.争论,辩论"
beat,"n.敲打,拍子,巡逻区域v.打,打败"
battle,"n.战役(指大规模会战),战争vi.作战,战斗,搏斗,斗争"
combat,"n.战斗,格斗v.战斗,搏斗,抗击"
philosopher,"n.哲学家,哲人"
perceive,"vt.察觉v.感知,感到,认识到"
primarily,"adv.首先,起初,主要地,根本上"
peak,"n.山顶,顶点,帽舌,(记录的)最高峰adj.最高的vi.到达最高点,消瘦,缩小vt.使竖起,使达到最高点"
improvement,"n.改进,进步"
implement,"n.[常pl.] 工具,器具vt.贯彻,实现v.执行"
prison,n.监狱
enterprise,"n.企业,事业,计划,事业心,进取心,干事业"
entrepreneur,"n.<法>企业家,主办人"
submit,"v.(使)服从,(使)顺从vt.提交,递交"
plant,"n.植物,庄稼,工厂,车间,设备vt.种植,栽培,培养,安置vi.种植"
transplant,"v.移植,移种,移民,迁移n.移植,被移植物,移居者"
celebrity,"n.名声,名人"
celebrate,"v.庆祝,祝贺,表扬,赞美,举行"
republican,"adj.共和国的,共和政体的,共和主义的,有关共和的n.共和党人"
date,"n.日期,日子,(历史上某一)年代,时期,约会,枣椰子vt.约会,定日期vi.注明...的日期,过时 [计] 显示或设置系统日期"
update,"v.使现代化,修正,校正,更新n.现代化,更新"
acceptance,"n.接受,承诺,容忍,赞同,相信"
corporate,"adj.社团的,法人的,共同的,全体的"
corporation,"n.[律]社团,法人,公司,企业,<美>有限公司,(市,镇的)自治机关,<口>大肚皮"
sight,"n.视力,视觉,见,瞥见,视域,眼界"
foresight,"n.远见,深谋远虑"
foresee,"vt.预见,预知"
foreseeable,"adj.可预知的,能预测的,能看透的"
insightful,"adj.富有洞察力的,有深刻见解的"
aware,"adj.知道的,明白的,意识到的"
warn,"vt.警告,注意,通知vi.发出警告,发出预告"
awareness,"n.知道,晓得"
instinct,n.本能
distinguish,"v.区别,辨别"
distinction,"n.区别,差别,级别,特性,声望,显赫"
distinctive,"adj.与众不同的,有特色的"
comprehensive,"adj.全面的,广泛的,能充分理解的,包容的"
behave,"vi.举动,举止,运转v.行为表现"
behavior,"n.举止,行为"
careful,"adj.小心的,仔细的"
wise,"adj.英明的,明智的,慎虑的,聪明的,博学的,明白的,贤明的,狡猾的vi.知道vt.告诉,劝导n.方法,方式"
wisdom,"n.智慧,明智的行为,学识,名言,贤人,至理名言"
wit,"n.智力,才智,智慧"
substantial,"adj.坚固的,实质的,真实的,充实的"
original,"adj.最初的,原始的,独创的,新颖的n.原物,原作"
leadership,"n.领导能力,领导阶层"
obsess,"vt.迷住,使困扰"
regulation,"n.规则,规章,调节,校准"
consideration,"n.体谅,考虑,需要考虑的事项,报酬"
enormous,"adj.巨大的,庞大的,<古>极恶的,凶暴的"
construction,"n.建筑,建筑物,解释,造句"
duty,"n.义务,责任,职责,职务,税"
overdue,adj.迟到的
undue,adj.不适当的
confidence,n.信心
availability,"n.可用性,有效性,实用性"
flawed,
hit,"n.打击,打,碰撞,讽刺,(演出等)成功vt.打,打击,碰撞,击中,袭击,偶然发现,伤...的感情,找到vi.打,打中,打击,碰撞,偶然碰上"
horizon,"n.地平线n.地平(线),(知识,思想等的)范围,视野"
cast,"n.投掷,铸件,脱落物,一瞥,演员表v.投,抛,投射,浇铸,计算,派(角色)"
broadcast,"n.广播,播音v.播撒(种子),广播 (无线电或电视)广播 播送,播放"
practical,"adj.实际的,实践的,实用的,应用的,有实际经验的"
ethic,"n.道德规范,伦理"
possess,"vt.占有,拥有,持有,摆布,支配"
possession,"n.拥有,占有,所有,着迷,领土,领地,财产(常用复数),自制"
dramatic,"adj.戏剧性的,生动的"
nasty,"adj.污秽的,肮脏的,令人厌恶的,淫秽的,下流的,凶相的,威胁的"
undermine,v.破坏
retailer,"n.零售商人,传播的人"
retail,"n.零售adj.零售的vt.零售,转述vi.零售adv.以零售方式"
detail,"n.细节,详情vt.详述,细说"
tailor,
entail,"vt.使必需,使蒙受,使承担,遗传给n.[建]限定继承权"
machine,"n.机器,机械,机动车辆,机构,设计,机械般工作的人,(政党的)领导集团,核心组织vt.机器制造,用车床加工"
mechanism,"n.机械装置,机构,机制"
compete,"vi.比赛,竞争"
addition,"n.加,加起来,增加物,增加,加法"
rigid,"adj.刚硬的,刚性的,严格的"
divide,"v.分,划分,分开,隔开,"
acknowledge,"vt.承认,答谢,报偿"
outdated,"adj.过时的,不流行的"
render,"vt.呈递,归还,着色,汇报,致使,放弃,表演,实施vi.给予补偿n.交纳,粉刷,打底"
marvel,"n.奇迹v.大为惊异,觉得惊奇"
rival,"n.竞争者,对手v.竞争,对抗,相匹敌"
dismiss,"vt.解散,下课,开除,解职,使(或让)离开vi.解散"
vanish,"vi.消失,突然不见,[数]成为零n.[语]弱化音"
vanity,n.空虚
vain,"adj.徒然的,无益的,虚荣的,空虚的,自负的,愚蠢的"
underline,"vt.在...下面划线,作...的衬里,加下划线,强调n.下划线"
poetry,"n.诗,作诗法,诗意,诗情"
poem,"n.诗,象诗一样,美丽的东西"
chain,"n.链(条),[常 pl.] 镣铐,一连串,一系列vt.用链条拴住"
evade,"v.规避,逃避,躲避"
approve,"vi.赞成,满意vt.批准,通过v.批准"
abandon,"vt.放弃,遗弃;n.放任,狂热"
abound,"vi.多,大量存在,富于,充满"
illusion,n.幻想
illuminate,"vt.照明,照亮,阐明,说明,使灿烂,以灯火装饰(街道等)vi.照亮"
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
skeptical,"adj.怀疑性的,好怀疑的,<口>无神论的"
susceptible,"adj.易受影响的,易感动的,容许...的n.(因缺乏免疫力而)易得病的人"
vulnerable,"adj.易受攻击的,易受...的攻击"
architecture,"n.建筑,建筑学 体系机构"
acquisition,"n.获得,获得物"
disease,"n.疾病,弊病"
vast,"adj.巨大的,辽阔的,大量的,巨额的"
discovery,"n.发现,发明的东西"
discover,"vt.发现,发觉v.发现"
cover,"n.盖子,封面,藉口vt.覆盖,铺,掩饰,保护,掩护,包括,包含,适用vi.覆盖,涂,代替"
coverage,n.复盖
recovery,"n.恢复,痊愈,防御"
sector,"n.部分,部门,[计]扇区,地区,象限,扇形v.使分成部分,把...分成扇形"
segment,"n.段,节,片断v.分割"
sex,"n.性别,男性或女性,性欲,<口>性交,<俚>生殖器,阴茎vt.区别...的性别,引起...的性欲"
sexual,"adj.性的,性别的,[生]有性的"
insect,"n.昆虫,卑鄙的人adj..虫的,虫子一样的,对付虫子的"
reviewer,"n.批评家,评论家"
biological,adj.生物学的
biology,"n.生物学,生物(总称)"
unemployment,"n.失业,失业人数"
conservation,"n.保存,保持,守恒"
exploration,"n.探险,踏勘,探测,[医](伤处等的)探查,探察术"
colony,"n.殖民地,侨民,(聚居的)一群同业,一批同行,(生物)群体"
colonial,"adj.殖民的,殖民地的n.殖民地居民"
colonist,"n.殖民地居民,殖民者"
precede,"v.领先(于),在...之前,先于"
candidate,"n.候选人,投考者"
candle,n.蜡烛vt.对着光检查
suffering,"n.苦楚,受难adj.受苦的,患病的"
inherit,"vt.继承,遗传而得"
inherent,"adj.固有的,内在的,与生俱来的"
adhere,"vi.粘附,胶着,坚持v.坚持"
coherent,"adj.粘在一起的,一致的,连贯的"
coherence,n.一致
adherence,"n.粘着,忠诚,坚持"
inherently,"adv.天性地,固有地"
cell,"n.单元,细胞,蜂房,(尤指监狱或寺院的)单人房间,电池"
abundant,"adj.丰富的,充裕的,丰富,盛产,富于"
abundance,"n.丰富,充裕,丰富充裕"
contain,"vt.包含,容纳,容忍vi.自制v.[军]牵制(敌军)v.[数]可被...除尽"
content,"n.内容,容量,目录,满足adj.满足的,满意的,愿意vt.使满足"
proper,"adj.适当的,正确的,固有的,特有的,有礼貌的,正当的,严格意义上的,彻底的"
properly,"adv.适当地,完全地"
appropriate,adj.适当的
launch,"n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始"
telephone,"n.电话,电话机v.打电话"
symphony,"n.交响乐,交响曲"
channel,"n.海峡,水道,沟,路线vt.引导,开导,形成河道 信道,频道"
canal,"n.运河,小道,导管,槽,沟渠vt.开运河"
radical,"adj.根本的,基本的,激进的n.激进分子"
radically,"adv.根本上,以激进的方式"
radar,"n.雷达,电波探测器"
radio,"n.<美>无线电通信,无线电接收装置,无线电广播设备v.用无线电发送"
eradicate,v.根除
exhibit,"vt.展出,陈列n.展览品,陈列品,展品v.展示"
prohibit,"vt.禁止,阻止"
prohibition,"n.禁止,阻止,<美>禁酒令"
philosophy,"n.哲学,哲学体系,达观,冷静"
casual,"adj.偶然的,不经意的,临时的"
evolutionary, 进化的
fragment,"n.碎片,断片,片段"
confront,"vt.使面临,对抗"
confrontation,"n.面对,面对面,对质"
upfront,
apart,"adv.分离,分成零件,分别地,分离着adj.分开的"
disapproval,n.不赞成
comparison,"n.比较,对照,比喻,比较关系"
envision,"vt.想象,预想"
civil,"adj.全民的,市民的,公民的,国民的,民间的.民事的,根据民法的,文职的,有礼貌的"
civility,"n.礼貌,端庄"
domestic,"adj.家庭的,国内的,与人共处的,驯服的"
central,"adj.中心的,中央的,重要的,主要的,中枢的,走中间道路的n.<美>电话总机"
centre,"n.中心,中央,中心区v.集中"
center,"n.中心,中央,中心点,中锋adj.中央的,位于正中的vt.集中,使聚集在一点,定中心,居中vi.居中,有中心,被置于中心"
concentrate,"v.集中,浓缩"
concentration,"n.集中,集合,专心,浓缩,浓度"
opposition,"n.反对,敌对,相反,反对派,[天]冲,[逻]对当法"
diminish,"v.(使)减少,(使)变小"
eagerness,n.热心
exclude,"vt.拒绝接纳,把...排除在外,排斥"
rush,"n.匆促,冲进,急流,灯芯草vi.冲,奔,闯,赶紧,涌现vt.使冲,匆忙地做,突袭,飞跃,用 灯芯草做adj.急需的"
enforcement,"n.执行,强制"
investigation,"n.调查,研究"
urban,"adj.城市的,市内的"
passionate,adj.充满热情的
passion,"n.激情,热情,耶稣的受难和死亡"
zeal,"n.热心,热情,热诚"
admission,"n.允许进入,承认某事之陈述,供认"
transform,"vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换"
ownership,"n.所有权,物主身份"
muscle,"n.肌肉,臂力,(可供食用的)瘦肉,[解]肌"
muscular,"adj.肌肉的,强健的"
upgrade,"n.升级,上升,上坡adv.往上vt.使升级,提升,改良品种"
patience,"n.耐性,忍耐 Patience 佩兴斯(女子名)"
violate,"vt.违犯,亵渎(圣物),冒犯,干扰,违反,妨碍,侵犯,强暴"
violence,"n.猛烈,强烈,暴力,暴虐,暴行,强暴"
agency,"n.代理处,行销处,代理,中介"
dilemma,"n.进退两难的局面,困难的选择"
nutrition,"n.营养,营养学"
accomplish,"vt.完成,达到,实现"
permit,"n.通行证,许可证,执照v.许可,允许,准许"
glory,"n.荣誉,光荣"
glance,"vi.扫视,匆匆一看n.一瞥,眼光,匆匆一看"
glimpse,"n.一瞥,一看v.瞥见"
principal,"n.负责人,首长,校长,主犯,本金adj.主要的,首要的"
span,"n.跨度,跨距,范围v.横越"
bound,"n.跃进,跳,范围,限度adj.正要启程的,开往...去的,被束缚的,装订的v.跳跃,限制"
band,"n.带子,镶边,波段,队,乐队v.联合,结合"
bind,"v.绑,镶边,装订,凝固,约束"
boundary,"n.边界,分界线"
fuel,"n.燃料vt.加燃料,供以燃料vi.得到燃料"
density,n.密度
distribute,"vt.分发,分配,散布,分布,分类,分区v.分发"
distribution,"n.分配,分发,配给物,销售,法院对无遗嘱死亡者财产的分配,分布状态,区分,分类 发送,发行"
redistribution,"n.重新分配,再莍st/9ri:dIstrI`b"
march,"n.行军,步伐,进行曲vi.进军,前进vt.使行军,使行进n.(March)三月(略作Mar)"
victory,"n.胜利,战胜,克服,[罗神]胜利女神"
victim,"n.受害人,牺牲者,牺牲品"
conviction,"n.深信,确信,定罪,宣告有罪"
verify,"vt.检验,校验,查证,核实 [计] 打开或关闭文件的读写校验"
mechanical,"adj.机械的,机械制的,机械似的,呆板的"
mechanism,"n.机械装置,机构,机制"
supplement,"n.补遗,补充,附录,增刊v.补充"
impulse,"n.推动,刺激,冲动,推动力vt.推动"
bachelor,"n.单身汉,文理学士,幼雄兽"
reap,"v.收割,收获"
rip,"v.撕,剥,劈,锯,裂开,撕裂n.裂口,裂缝  愿灵安眠 RIP(rest in peace)"
loom,"n.织布机,织机v.隐现,迫近"
scene,"n.现场,场面,情景,景色,发生地点,[戏剧]一场,布景,道具布置"
scenery,"n.风景,景色"
council,"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子"
abrupt,"adj.突然的,陡峭的,生硬的"
corrupt,"adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的vt.使腐烂,腐蚀,使恶化vi.腐烂,堕落"
corruption,"n.腐败,贪污,堕落"
disruption,"n.中断,分裂,瓦解,破坏"
disruptive,"adj.使破裂的,分裂性的"
bankruptcy,n.破产
sharpen,"v.削尖,磨快,尖锐"
sharp,"n.高调,内行,利刃,骗子adj.锐利的,锋利的,明显的,强烈的,刺耳的,急剧的,精明的,敏捷的adv.整,锐利地,急速地 日本夏普公司"
remark,"n.备注,评论,注意,注释vt.评论,注意,谈及vi.谈论"
impartial,"adj.公平的,不偏不倚的"
click,v.发出滴答声n.滴答声
constituent,"n.选举者,委托人,要素adj.有选举权的,组成的"
initial,"adj.最初的,词首的,初始的n.词首大写字母"
initially,"adv.最初,开头"
initiate,"vt.开始,发动,传授v.开始,发起"
initiative,n.主动
regret,"n.遗憾,悔恨,抱歉,歉意vt.为...感到遗憾,后悔,惋惜,哀悼,懊悔vi.感到抱歉"
regrettably,"adv.抱歉地,遗憾地,可悲地"
lenient,"adj.宽大的,仁慈的,慈悲为怀的"
enviable,"adj.令人羡慕的,可羡慕的"
impinge,v.撞击
convince,"vt.使确信,使信服"
lay,"vt.放置,铺设,产(卵)提出,平息,布置vi.下蛋,打赌n.位置,层面,形势,短叙事诗adj.世俗的,外行的 vbl.lie的过去式"
layout,"n.规划,设计,(书刊等)编排,版面,配线,企划,设计图案,(工厂等的)布局图 版面设计"
deliver,"vt.递送,陈述,释放,发表(一篇演说等),交付,引渡,瞄准,给予(打击)"
delivery,"n.递送,交付,分娩,交货,引渡n.[律] 财产等的正式移交 发送,传输"
trick,"n.诡计,骗局,恶作剧,窍门,诀窍vt.欺骗,哄骗"
revolution,"n.革命,旋转"
subsequent,"adj.后来的,并发的"
