radical,"adj.根本的,基本的,激进的n.激进分子"
spray,"n.喷雾,飞沫vt.喷射,喷溅"
tend,"vi.趋向,往往是vt.照管,护理"
harmony,"n.协调,融洽"
stroke,"n.击,敲,报时的钟声,(网球等)一击,(划船等)一划,(绘画等)一笔,一次努力,打击vt.抚摸"
besides,adv.此外 prep.除...之外
cube,"n.立方体,立方"
digit,"n.阿拉伯数字,手指或足趾,一指宽(约四分之三英寸)"
giant,"n.巨人,大力士,巨大的动物或植物,伟人,天才adj.庞大的,巨大的"
lodge,"n.门房,(猎人住的)山林小屋,(游览区的)旅馆,(地方社团的)集会处vi.临时住宿,寄宿(某人家)vt.容纳,寄存,把...射入,存放,(向有关当局)提出(声明)"
merry,"adj.欢乐的,愉快的"
cord,"n.绳索,束缚"
nowhere,"adv.无处,到处都无"
sting,"n.刺,刺痛,针刺v.刺,刺痛,刺激"
tune,"n.曲调,调子,和谐,合调vt.调音,调整,拨收,收听,知道或察觉他人所说的话或表现的情绪"
slide,"v.(使)滑动,(使)滑行n.滑,滑动,幻灯片"
render,"vt.呈递,归还,着色,汇报,致使,放弃,表演,实施vi.给予补偿n.交纳,粉刷,打底"
hunt,"v.打猎,猎取,搜索,搜寻,猎获n.打猎,猎取,搜索,搜寻,狩猎"
grip,"vt.紧握,紧夹n.掌握,控制,把手v.抓住"
hire,"n.租金,工钱,租用,雇用vt.雇请,出租vi.受雇"
scheme,"n.安排,配置,计划,阴谋,方案,图解,摘要v.计划,设计,图谋,策划"
risk,"vt.冒...的危险n.冒险,风险"
thread,"n.线,细丝,线索,思路,螺纹"
drill,"n.钻孔机,钻子,播种机,军事训练,操练,(反复)练习,条播机v.训练,钻孔,条播"
vain,"adj.徒然的,无益的,虚荣的,空虚的,自负的,愚蠢的"
gap,"n.缺口,裂口,间隙,缝隙,差距,隔阂"
ease,"n.安逸,安心,不费力,悠闲vt.使悠闲,使安心,减轻,放松vi.减弱,减轻,放松,灵活地移动"
brave,adj.勇敢的
stake,n.树桩
peak,"n.山顶,顶点,帽舌,(记录的)最高峰adj.最高的vi.到达最高点,消瘦,缩小vt.使竖起,使达到最高点"
fame,"n.名声,名望,传说,<古>传闻vt.(常用被动语态)使闻名,使有名望,盛传"
Canadian,
faint,"n.昏晕,昏倒adj.虚落地,衰弱的,软弱的,无力的,微弱的,暗淡的,模糊的vi.昏晕,昏倒,变得微弱,变得没气力"
stain,"n.污点,瑕疵v.染污,沾污"
kneel,vi.跪下
govern,"v.统治,支配,管理"
spontaneous,"adj.自发的,自然产生的"
strive,"v.努力,奋斗,力争,斗争"
crude,"adj.天然的,未加工的,粗糙的,拙劣的,粗鲁的n.天然的物质"
bargain,"n.契约,合同,成交商品,便宜货v.议价"
frame,"n.结构,体格vt.构成,设计,制定,使适合,陷害vi.<英方>有成功希望n.帧,画面,框架"
inner,"adj.内部的,里面的,内心的n.内部"
rear,"n.后面,背后,后方,屁股adj.后面的,背面的,后方的vt.培养,饲养,举起,树立,栽种vi.高耸,暴跳,用后腿站起"
worship,"n.崇拜,礼拜,尊敬vi.敬神,拜神vt.崇拜,尊敬"
horizon,"n.地平线n.地平(线),(知识,思想等的)范围,视野"
twist,"n.一扭,扭曲,盘旋,曲折,歪曲,手法,螺旋状vt.拧,扭曲,绞,搓,捻,使苦恼,使转动,编织vi.扭弯,扭曲,缠绕,扭动,呈螺旋形"
brilliant,"adj.灿烂的,闪耀的,有才气的"
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
case,"n.事,病例,案例,情形,场合,讼案,容器,(语法)格"
glue,"n.胶,胶水vt.胶合,粘贴,粘合"
crush,"vt.压碎,碾碎,压服,压垮,粉碎,(使)变形"
lest," conj.唯恐,以免,免得,(用于fear,be afraid之后,等于that)"
ribbon,"n.缎带,丝带,带,带状物,带子"
poison,"n.毒药,败坏道德之事,毒害vt.毒害,败坏,使中毒vi.放毒,下毒"
channel,"n.海峡,水道,沟,路线vt.引导,开导,形成河道 信道,频道"
mass,"n.块,大多数,质量,群众,大量adj.群众的,大规模的,集中的vt.使集合vi.聚集"
triumph,"n.胜利,成功v.获得胜利"
spite,"n.(in ～ of)不顾,不管,敌意v.困扰"
carpet,n.地毯
harbour,n.(=harbor) 海港
odd,"adj.奇数的,单数的,单只的,不成对的,临时的,不固定的,带零头的,余的"
laughter,"n.笑,笑声"
merit,"n.优点,价值v.有益于"
bind,"v.绑,镶边,装订,凝固,约束"
roll,"adj.滚动,滚转,(使)摇摆,(使)摇晃,卷起,卷拢vt.辗,轧n.(一)卷,卷形物,摇晃,摆动,名单"
globe,"n.球体,地球仪,地球,世界"
crew,"n.全体人员,(工作)队 vbl.crow的过去式"
boast,"n.自夸,值得夸耀的事物v.自夸,以有...而自豪"
flash,"n.闪光,闪现,一瞬间;vi.闪光,闪现,反射,使迅速传便;vt.使闪光,反射;adj.闪光的,火速的"
rouse,"v.唤醒,激起,使振奋,惊起n.觉醒,奋起"
chill,"n.寒意,寒战,寒心adj.寒冷的,扫兴的v.使冷,变冷,冷藏"
fur,"n.毛皮,毛,软毛"
pole,"n.棒,柱,杆,竿,极,磁极,电极vt.用竿支撑,用棒推vi.撑篙 Pole 波兰人"
latter,"adj.后面的,(两者中)后者的,较后的,近来的"
shield,"n.防护物,护罩,盾,盾状物vt.(from) 保护,防护v.遮蔽"
gross,"adj.总的,毛重的n.总额"
fountain,"n.泉水,喷泉,源泉"
sour,"adj.酸的,发酵的,酸腐的,酸味的"
idle,"adj.空闲的,懒惰的,停顿的,无用的,无价值的vi.不做事,游手好闲,(机器)空转,虚度,闲散,不作事,游手好闲,浪费vt.虚度,使空闲,使空转"
dropout,"n.退学学生,中途退学,辍学学生"
eggplant,n.茄子
forthcoming,adj.即将来临的n.来临
jetlag,
greenhouse,"n.温室,花房"
fireplace,n.壁炉
high-tech,
guideline,n.方针
knowhow,
landscape,"n.风景,山水画,地形,前景v.美化"
mainstream,n.主流
loophole,"n.枪眼,望孔,射弹孔"
Medicare,
nationwide,adj.全国性的
underdeveloped,adj.不发达的
desktop,n.桌面;a.台式的
wildlife,n.野生动植物
upload,上载
staircase,n.楼梯
warehouse,"n.仓库,货栈,大商店vt.贮入仓库,<俚>[经]以他人名义购进(股票)"
underestimate,"vt.低估,看轻n.低估"
well-off,
brand-new,
workout,n.测验
deadline,n.最终期限
backup,"n.后援,支持,阻塞;vt.做备份;adj.候补的,支持性的"
update,"v.使现代化,修正,校正,更新n.现代化,更新"
cornerstone,"n.墙角石,基础"
banknote,n.钞票
countdown,n.倒数计秒
bypass,"n.旁路vt.设旁路,迂回"
workforce,
clear-cut,
well-being,
copyright,"n.版权,著作权"
widespread,"adj.分布广泛的,普遍的"
counterpart,"n.副本,极相似的人或物,配对物"
skyscraper,"n.摩天楼,高丛的烟囱"
cyberspace,n.电脑空间
standpoint,"n.立场,观点"
straightforward, dly//adv.正直地
rainbow,"n.彩虹,五彩缤纷的排列,幻想,幻觉,虚无缥缈的东西adj.五彩缤纷的"
sideways,"adv.向一旁,向侧面地,斜地里adj.一旁的,向侧面的"
somewhat,"adv.稍微,有点,有些"
thereby,"adv.因此,从而,在那方面,在那附近"
smartphone,
therefore,"adv.因此,所以"
upright,"adj.垂直的,竖式的,正直的,诚实的,合乎正道的adv.笔直,竖立着n.垂直,竖立"
somehow,adv.不知何故
upset,"vt.颠覆,推翻,扰乱,使不适,使心烦vi.翻倒,倾覆n.翻倒,混乱"
elsewhere,adv.在别处
feedback,"n.[无]回授,反馈,反应"
up-to-date,
framework,"n.构架,框架,结构"
highway,"n.公路,大路"
fulfill,"vt.履行,实现,完成(计划等)"
headline,n.大字标题
farewell,"n.辞别,再见,再会int.再会,别了!(常含有永别或不容易再见面的意思)"
headquarters,"n.司令部,指挥部,总部"
hillside,"n.山坡,山腹"
dustbin,"n.<英> 垃圾箱(=<美>ash can ,garbage can或garbage box)"
household,"n.一家人,家庭,家族,王室adj.家庭的,家族的,家属的,普通的,平常的"
cupboard,"n.食橱,碗碟橱"
drugstore,"n.<美> 药房,杂货店"
furthermore,"adv.此外,而且"
daylight,"n.日光,白昼,白天"
background,"n.背景,后台,不重要或不引人注目的地方或位置"
daytime,"n.白天,日间"
old-fashioned,
willpower,"n.毅力,意志力"
mankind,"n.人类,男性,男子"
downtown,"adv.在市区,往市区adj.市区的"
meantime,"n.其间,其时adv.其间"
airline,n.定期航线
undermine,v.破坏
meanwhile," (=meantime)n.其间,其时;adv.其间"
highlight,"n.加亮区,精彩场面,最显著(重要)部分vt.加亮,使显著,以强光照射,突出"
airplane,n.飞机
homeland,"n.祖国,本国"
blueprint,"n.蓝图,设计图,计划vt.制成蓝图,计划"
airport,"n.<主美>小型民用机场,私人飞机降落场"
homework,"n.家庭作业,副业"
breakdown,"n.崩溃,衰弱,细目分类"
honeymoon,n.蜜月vi.度蜜月v.度蜜月
businessman,n.商人
watertight,"adj.不漏水的,水密的"
cardboard,n.纸板
upgrade,"n.升级,上升,上坡adv.往上vt.使升级,提升,改良品种"
foresee,"vt.预见,预知"
underground,"adj.地下的,地面下的,秘密的n.[英] 地铁adv.在地下,秘密地"
cell-phone,
easy-going,
foresight,"n.远见,深谋远虑"
eyebrow,n.眉毛
firework,
grandchild,"n.孙子,孙女"
make-up,
grandparent,"n.祖父或祖母,祖父母"
underwear,n.内衣裤
halfway,"adj.中途的,部分的,不彻底的adv.半路地,在中途,在半途"
freshman,"n.新生,大学一年级学生"
heartfelt,"adj.衷心的,真心真意的"
motorway,n.汽车高速公路
necklace,n.项链
payroll,n.薪水册
second-hand,
takeoff,"n.起飞,开始,移去adj.起飞的,卸除的"
webcast,
skyline,"n.地平线,以天空为背景映出轮廓"
well-known,
setback,"n.顿挫,挫折,退步,逆流,(疾病的)复发"
runway,"n.飞机跑道,斜坡跑道,河道"
worldwide,adj.全世界的
oversee,"v.俯瞰,监视,检查,视察"
password,"n.密码,口令"
backyard,"n.后院,后庭,<美>(住宅的)场院"
bridegroom,n.新郎
fingerprint,"n.指纹,手印vt.采指纹"
overthrow,"n.推翻,打倒,扔得过远得球vt.打倒,推翻,颠覆"
masterpiece,"n.杰作,名著"
overhear,"vt.无意中听到,偷听"
pastime,"n.消遣,娱乐"
able,"adj.能...的,有才能的,能干的,能够的"
above,"adj.上面的,上述的,上文的;adv.在上面;prep.在...上方,过于,超出"
accept,"vt.接受,认可,承担,承兑vi.同意,承认"
across,"adv.横过,交叉地,在对面 prep.越过,交叉,在...的那边,在...对面那边"
actor,"n.男演员,行动者,参与者"
actress,n.女演员
actual,"adj.实际的,真实的,现行的,目前的"
add,"vt.增加,添加,计算...总和,补充说,又说;vi.加,加起来,增添,做加法"
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
adjective,n.形容词
advance,"n.前进,提升,预付款v.前进,提前,预付adj.前面的,预先的 预付(款项)"
adverb,n.副词
advice,"n.忠告,建议,[商]通知"
advise,"vt.劝告,忠告,警告,建议"
affair,"n.事务,事件,私事,恋爱事件,(尤指关系不长久的)风流韵事"
afraid,"adj.害怕,担心"
afternoon,"n.午后,下午adv.下午的,晚期"
agree,"vi.同意,赞成...的意见,与...一致,承认,适合vt.同意"
ahead,"adj.adv.在前,向前,提前,在前面"
alive,"adj.活着的,活泼的"
allow,"vt.允许,承认"
almost,"adv.几乎,差不多"
alone,"adj.单独的,独一无二的,孤独的,独自的adv.独自地"
aloud,adv.大声地
already,adv.已经
although," conj.虽然,尽管"
altogether,"adv.完全地,总而言之"
always,"adv.总是,永远,始终"
among," prep.在...之中,...之一"
angry,"adj.生气的,愤怒的,狂暴的(风雨等)"
animal,n.动物
announce,"vt.宣布,通告"
another,"adj.另外的,又一,不同的 prep.另一个,另一个人,同类的东西"
answer,"n.答案,回答,答辩,抗辩v.回答说,答复说,符合,反响,响应"
anybody," pron.任何人,重要人物"
anyhow,"adv.无论如何,总之"
anyone, pron.任何一个
anything, pron.任何事
anyway,"adv.无论如何,总之"
anywhere,adv.无论何处
April,
area,"n.范围,区域,面积,地区,空地"
arm,"n.臂,臂状物,衣袖,海湾,武器vt.供给,提供,武装,装备vi.武装起来"
army,"n.陆军,军队,大群,大军"
around,"adv.周围,四周,到处,大约,左右 prep.在...周围,四处"
arrive,"vi.到达,抵达"
asleep,"adj.睡着的,睡熟的"
attention,"n.注意,关心,关注,注意力,(口令)立正!"
August,
autumn,"n.秋天,成熟期,渐衰期"
average,"n.平均,平均水平,平均数,海损adj.一般的,通常的,平均的vt.平均为,均分,使平衡,达到平均水平vi.买进,卖出"
awake,"vi.醒,觉醒,领会,觉悟vt.唤醒adj.警觉的,醒的"
bank,"n.银行,堤,岸,沙洲,浅滩,一堆(土),(云)层,储藏所(库)vt.存(款)于银行,储蓄,(车或飞机)倾斜转弯"
base,"n.底部,基础,根据地,基地,本部,基数,(运动)出发点vt.以...作基础,基于... adj.卑鄙的,低级的"
basic,
basin,"n.盆,盆地,水池"
basket,"n.篮,一篮"
basketball,"n.篮球,篮球运动"
bath,"n.沐浴,浴室"
bathroom,"n.浴室,盥洗室"
beach,n.海滩
bear,"n.熊v.负担,忍受,带给,具有,挤,向"
beat,"n.敲打,拍子,巡逻区域v.打,打败"
beauty,"n.美,美景,美好的东西"
because, conj.adv.因为
become,"vi.变成,成为,变得vt.适合,相称"
bee,
beef,n.牛肉
beer,n.啤酒
before,"adv.在前,以前 prep.在...之前 conj.在...之前,与其...宁可"
beg,"v.请求,乞求"
begin,"v.开始,首先"
behind,adv.在后地 prep.在...之后
believe,"v.有坚定的宗教信仰的,相信,信任,认为,想"
bell,"n.铃,钟"
below," prep.在...下面,adv.在下,在页底"
bench,n.长椅子
bend,"v.弯曲,专心于,屈服n.弯曲"
beside," prep.在旁边,和...比较"
best,"adj.最好的adv.最好地,最,极n.最佳状态或作品,最好的东西"
better,"adj.较好的adv.更好的,更多的,更佳的"
between," prep.在...之间,连接...,由...协力合作"
bias,"n.偏见,偏爱,斜线vt.使存偏见"
bicycle,"n.脚踏车,自行车"
bike,"n.脚踏车,自行车"
bill,"n.帐单,钞票,票据,清单,议案,法案,广告vt.用海报宣传,把...列成表,给...开帐单"
birth,"n.出生,产生,出身"
birthday,n.生日
biscuit,"n.饼干,小点心"
bit,"n.小块,少量,片刻,马嚼子,辅币vt.上马嚼子,控制 vbl.咬n.[计]位,比特"
bite,
bitter,"adj.苦的,痛苦的,怀恨的"
black,"n.黑色,黑颜料,黑人adj.黑色的,弄脏了的,忧郁的vt.(使)变黑,涂黑"
blackboard,n.黑板
blame,"n.过失,责备vt.责备,谴责"
blind,"adj.瞎的,盲目的vt.使失明,缺乏眼光或判断力"
block,"n.木块,石块,块,街区,印版,滑轮,阻滞,(一)批vt.防碍,阻塞"
blood,"n.血,血液,血统v.使(某人)先取得经验"
blouse,"n.宽松的上衣,似衬衫的上衣"
blow,"n.殴打,突然的打击v.风吹,吹气于,叫,喘气"
boat,"n.小船,艇v.划船"
boil,"n.沸点,沸腾,疖子v.煮沸,激动"
bone,n.骨v.剔除
born,"adj.天生的,原本,天生就...的 vbl.出生"
borrow,"v.借,借入,借用"
both,"adj.两者,双方的 pron.双方,两者"
bother,"vt.烦扰,打扰vi.烦恼,操心n.麻烦,烦扰v.打扰"
bottle,n.瓶子vt.用瓶装
bottom,"n.底,底部,尽头,末端adj.底部的vt.装底,查明真相,测量深浅vi.到达底部,建立基础"
bowl,"n.碗,碗状物,木球v.滚,(板球)投球"
brain,"n.脑,头脑"
branch,"n.枝,分枝,分部,分店,(学科)分科,部门,支流,支脉v.出现分歧"
bread,"n.面包,生计"
break,"n.休息,暂停,破裂,突变v.打破,违犯,折断,削弱,超过,突变"
breakfast,n.早餐vi.进早餐
breath,"n.呼吸,气息,气味,空气,微风,暂停,瞬间"
breathe,"v.呼吸,发出"
bright,"adj.明亮的,辉煌的,欢快的,聪明的,伶俐的"
bring,"vt.拿来,带来,产生,引起,提出(诉讼)vi.停下"
broad,"adj.宽的,阔的,广泛的,明朗的,露骨的,显著的,主要的adv.宽阔地n.宽阔部分"
broadcast,"n.广播,播音v.播撒(种子),广播 (无线电或电视)广播 播送,播放"
brother,n.兄弟
brown,"n.褐色adj.褐色的,棕色的v.(使)成褐色,晒黑"
brush,"n.刷子,毛刷,画笔vt.刷,掸,拂"
build,"v.建造,建筑n.构造,体格,体形"
burn,"v.烧,烧焦,点(灯),使感觉烧热n.烧伤,灼伤"
burst,"v.爆裂,炸破,急于,爆发n.突然破裂,爆发,脉冲"
bury,"vt.埋葬,掩埋,隐藏"
bush,"n.矮树丛,(机械)衬套"
business,"n.商业,买卖,交易,生意,事情,事物,营业,商行"
busy,"adj.忙碌的,热闹的,临时占用的"
butter,"n.黄油,牛油vt.涂黄油于...上"
button,"n.钮扣,[计]按钮v.扣住,扣紧"
cab," 一种压缩文件格式;n.出租马车,出租汽车,计程车,(机车,卡车,起重机的)司机室,驾驶室vi.乘出租马车"
cafe,"n.咖啡馆,小餐馆"
cage,"n.笼,槛,(矿井)贯笼"
cake,"n.蛋糕,饼,块,"
call,"n.喊声,叫声,命令,号召,访问,叫牌,通话,必要v.呼叫,召集,称呼,认为,命名,打电话"
camera,n.照相机
camp,"n.露营地,阵营vi.露营,扎营"
candle,n.蜡烛vt.对着光检查
canteen,"n.小卖部,食具箱,饭盒,(军用)水壶"
cap,"n.帽子,军帽,(瓶)帽,(笔)帽;vt.戴帽子,盖在...顶上;carrierless amplitude and phase,相幅载波"
captain,"n.队长,首领,船长,机长,(空军,海军)上校,(陆军)上尉v.指挥,统帅"
card,"n.纸牌,卡片"
care,"n.注意,照料,烦恼,忧虑,由...转交vi.关心,顾虑,照顾,喜爱vt.在意"
careful,"adj.小心的,仔细的"
carry,"n.进位,射程,运载vt.携带,运送,支持,支撑,传送,意味vi.被携带,能达到"
castle,n.城堡
cause,"n.原因,导致某事发生的人或事,动机,理由,根据,目标,理想,事业vt.引起,惹起,使(发生),促成"
cave,"n.洞穴,窑洞vi.凹陷,投降vt.挖洞,使凹陷"
ceiling,"n.天花板,最高限度"
cell,"n.单元,细胞,蜂房,(尤指监狱或寺院的)单人房间,电池"
cent,"n.(货币单位)分,分币"
central,"adj.中心的,中央的,重要的,主要的,中枢的,走中间道路的n.<美>电话总机"
centre,"n.中心,中央,中心区v.集中"
century,"n.世纪,百年,百个,板球中的一百分,百元(钞票)"
certain,"adj.确定的,某一个,无疑的,必然的,可靠的 pron.某几个,某些"
certainly,"adv.的确,(口语)当然,行"
chain,"n.链(条),[常 pl.] 镣铐,一连串,一系列vt.用链条拴住"
chairman,"n.主席,会长"
chalk,"n.粉笔,白垩vt.用粉笔写,和以白垩"
chance,"n.机会,可能性,偶然性,运气v.碰巧,偶然发生,冒...的险adj.偶然的"
chaos,"n.混乱,混沌(宇宙未形成前的情形)"
chat,v.聊天n.聊天
check,"n.阻止,制止,控制,阻止物,支票,检讫的记号,饭馆的帐单vt.检查,制止,核对,寄存,托运vi.证明无误,核对无误,逐项相符,[象棋]将军"
cheek,"n.颊,厚颜,类似颊的事物,<俚>臀部"
cheer,"n.愉快,欢呼v.(使)快活,(对)欢呼"
cheese,"n.干酪,<俚>头等的人或事物"
chemistry,n.化学
cheque,n.支票
chess,n.国际象棋
chicken,"n.小鸡,小鸟,鸡肉"
child,"n.孩子,儿女,子孙,(头脑、空想等的)产物,弟子,追随者"
chimney,"n.烟囱,灯罩"
china,"n.中国,瓷器"
chip,"n.碎片,筹码v.削成碎片,碎裂 芯片"
chocolate,"n.巧克力,巧克力色"
choice,"n.选择,抉择,精选品,选择机会,选择权adj.精选的,上等的,挑三拣四的,可选的,宠爱的,爱惜的"
choose,"v.选择,选定"
Christmas,
church,"n.教堂,礼拜堂,教会,教派,[宗]礼拜"
cinema,"n.电影院,电影"
circle,"n.圆周,圆形物,派系,循环v.围,环绕 盘旋"
citizen,"n.市民,公民"
classmate,n.同班同学
classroom,n.教室
clear,"adj.清楚的,清晰的,清澈的,光亮的,空旷的,有条理的adv.清楚地,完全地v.扫除,清除,晴,跳过,净得"
clever,"adj.机灵的,聪明的"
click,v.发出滴答声n.滴答声
climb,"v.攀登,爬n.攀登,爬"
clock,n.时钟
close,"v.关,关闭,结束,停止,使靠近,靠拢,会合,包围n.结束adj.近的,紧密的,精密的,齐根的,封闭的,亲密的,闷气的adv.接近,紧密地"
cloth,"n.布,织物,衣料"
clothes,"n.衣服,[总称]被褥,各种衣服,<美俚>家丑"
cloud,"n.云,烟云,(pl.)天空,污点vt.以云遮敝,玷污,使黯然vi.乌云密布,阴沉"
club,"n.俱乐部,夜总会,社,棍棒,(高尔夫球等的)球棒,(扑克牌)梅花vt.棍打,协作,联合,把...当棍棒用"
coal,n.煤v.加煤
coast,"n.海岸,滑坡v.沿海岸而行"
cock,"n.公鸡,雄鸟,头目,(水)龙头,<俚>阴茎vt.使耸立,使竖起,堆成锥形vi.大摇大摆地走,翘起"
code,"n.代码,代号,密码,编码v.编码"
coffee,"n.咖啡,咖啡树,咖啡茶,咖啡豆,咖啡色"
cold,"n.寒冷,[物]零下温度,伤风,感冒adj.寒冷的,使人战栗的,冷淡的,不热情的,失去知觉的"
collar,
college,"n.(综合大学中的)学院,(独立的)学院,<美>大学,<英>公学,书院,高等专科学院,大学,学会"
color,"n.<美>(=colour)颜色,色彩,脸色,风格,外貌vt.给...涂颜色,改变...的颜色,粉饰,脸红,歪曲vi.获得颜色,变色"
comfort,"n.安慰,舒适,安慰者vt.安慰,使(痛苦等)缓和"
common,"adj.共同的,公共的,公有的,普通的,庸俗的,伪劣的n.[复][总]平民,公有,普通,共通"
communism,n.共产主义
communist,"n.共产主义者,共产党员adj.共产主义者的"
complete,"adj.全部的,完全的,完成的vt.完成,使完善"
consider,"vt.考虑,照顾,认为"
continue,"v.继续,连续,延伸"
control,"n.控制,支配,管理,调节,抑制,控制器,调节装置vt.控制,支配,管理(物价等),操纵,抑制"
cool,"n.凉爽,凉爽的空气adj.凉爽,冷静的,无所顾虑的,淡漠的v.使冷,使镇定"
copy,"n.副本,拷贝,摹仿,一册v.复印,复制,拷贝,抄袭"
corn,"n.<美>玉米,<英>谷物,五谷,[医]鸡眼vt.腌(肉等)"
corner,"n.角落,(街道)拐角处,(遥远的)地区,偏僻处,困境,绝路vt.迫至一隅,垄断,使陷入绝境,把...难住vi.相交成角,囤积(in)"
cost,"n.成本,价钱,代价vt.价值为,(使)花费(金钱,时间,劳力等),使失去(生命,健康等),令人付出vi.花费"
cottage,"n.村舍,小别墅"
cotton,"n.棉花,棉线"
cough,n.咳嗽v.咳嗽
count,"v.数,计算,计算在内,认为,有价值n.计数,计算,注意,伯爵"
country,"n.国家,国土,[总称]国民,乡村,故乡adj.乡下的,乡村的,[方]祖国的,故乡的"
countryside,"n.乡下地方,乡下居民"
courage,"n.勇气,精神"
cousin,"n.堂兄弟姊妹,表兄弟姊妹"
cover,"n.盖子,封面,藉口vt.覆盖,铺,掩饰,保护,掩护,包括,包含,适用vi.覆盖,涂,代替"
cow,"n.母牛,大型母兽vt.威吓"
crazy,"adj.疯狂的,狂热的,(指建筑等)不安全的"
cream,"n.乳酪,奶油,(护肤)面霜"
crop,"n.农作物,产量,平头,短发vt.收割,修剪,种植vi.收获"
cruel,"adj.残酷的,悲惨的,使痛苦的"
cup,"n.杯子,酒杯,奖杯vt.使成杯状,为...拔火罐"
cut,"v.切(割、削),(直线等)相交,剪,截,刺穿,刺痛,删节,开辟n.(刀、剑、鞭等的)切削,削减,删节,伤口,切口"
damage,"n.损害,伤害v.招致损害n.[律] (用复数)赔偿金"
dance,"n.跳舞,舞蹈,舞会,舞曲,舞蹈艺术v.跳舞,舞蹈,(旗等)飘扬"
danger,"n.危险,危险物,威胁"
dare,"n.挑战vi.敢,胆敢vt.敢冒,不惧"
dark,"n.黑暗,夜,黄昏,暗色,无知,模糊adj.黑暗的,暗的,(头发、皮肤等)黑色的,隐秘的,无知的,隐晦的,模糊的"
darling,"n.心爱的人,亲爱的"
date,"n.日期,日子,(历史上某一)年代,时期,约会,枣椰子vt.约会,定日期vi.注明...的日期,过时 [计] 显示或设置系统日期"
daughter,"n.女儿adj.女儿的,如女儿的,关系如女儿的"
dawn,"n.黎明,拂晓,破晓vi.破晓,开始现生,变得(为人所)明白v.破晓 Dawn 道恩(女子名)"
day,"n.天,白天,日子,白昼,黎明,工作日,节日,重要日子"
dead,"adj.死的,无感觉的,呆板的,不流动的,(语言、习惯)废弃了的,熄灭的n.死者adv.完全地,绝对的,突然的"
deal,"n.交易,(政治上的)密约,待遇,份量,<口>买卖vi.处理,应付,做生意vt.分配,分给(out),发牌,给予"
dear,"adj.昂贵的,亲爱的int.[表示惊讶,怜悯等],Oh,～!"
death,"n.死,死亡,致死的原因,毁灭,屠杀"
December,
decide,"v.决定,判决"
deed,"n.行为,事实,功绩,实行,契约vt.立契转让(旧产等)"
deep,"adj.深的,纵深的,远离中心的,深奥的,难懂的,(指人)诡计多端的,低沉的(声音)adv.深入地,迟n.深渊,深处"
deer,
defend,"vt.防护,辩护,防卫,[律]作...的辩护律师"
delay,"v.耽搁,延迟,延期,迟滞n.耽搁,延迟,迟滞"
delight,"n.快乐,高兴,喜悦v.(使)高兴,(使)欣喜"
depend,"vi.依靠,依赖"
depth,"n.深,深度,深奥,深刻"
desk,"n.书桌,办公桌"
destroy,"vt.破坏,毁坏,消灭v.消灭,摧毁"
develop,"vt.发展,发达,发扬,进步,逐步展开(情节,音乐主题,方程式等)洗印,显影vi.发展,生长,发育,逐步显示出来"
devil,"n.魔鬼,恶棍"
dial,"n.刻度盘,钟面,转盘,(自动电话)拨号盘v.拨"
dialogue,n.对话
diamond,"n.钻石,菱形"
diary,n.日记
dictionary,"n.字典,词典"
diet,"n.通常所吃的食物,会议"
different,adj.不同的
difficult,"adj.困难的,艰难的,(人)难相处的"
dig,"v.掘,挖,钻研,搜集"
dinner,"n.正餐,宴会"
direct,"adj.径直的,直接的,直系的,直率的,[天]由西向东运行的,顺行的adv.直接地vt.指引,指示,指挥,命令,导演vi.指导,指挥"
direction,"n.方向,指导,趋势,(常用复数)指示,用法,说明(书),收件人地址"
director,"n.主任,主管,导演,(机关)首长,(团体)理事,(公司)董事,指挥仪,控制器"
dirty,"adj.肮脏的,卑鄙的,下流的,暴风雨的,恶劣的(天气)vt.弄脏vi.变脏"
disappoint,vt.使失望
discover,"vt.发现,发觉v.发现"
discuss,"vt.讨论,论述"
discussion,n.讨论
dish,"n.盘,碟,盘装菜v.提出 碟形卫星天线"
disk,"n.(=disc) 磁盘,磁碟片,圆板,圆盘,圆盘状物"
dislike,"vt.讨厌,不喜欢n.嫌恶"
distance,"n.距离,远离,一长段时间,远方,远景,遥远,(时间的)间隔,(时日的)经过"
distant,"adj.远的,关系远的(亲戚),疏远的,间隔的,冷漠的"
district,"n.区域,地方,管区,行政区,(美国各州的)众议院选区"
doll,"n.洋娃娃,玩偶,美丽但无头脑的女子,<俚>美男子"
dollar,"n.元,美元"
double,"n.两倍,[计] 双精度型adj.两倍的,双重的vt.使加倍vi.加倍,快步走,加倍努力"
doubt,"n.怀疑,疑惑,疑问v.怀疑,不信,拿不准,<古>恐怕"
dove,n.鸽子 vbl.dive 的过去式
down,"adj.向下的adv.向下,在下面,下去,降下 prep.往下,沿着n.绒毛,软毛,开阔的高地"
downstairs,"adv.在楼下,往楼下,下楼"
dozen,"n.一打,十二个"
draw,"v.拉,曳,牵,画,绘制,拖曳vt.汲取,领取,提取,引起,吸引vi.向...移动,挨近n.平局,和局,拖曳"
drawing,"n.图画,制图,素描术"
dream,"v.做梦,梦见,梦想,想到n.梦,梦想"
dress,"n.女服,童装,服装,衣服v.(给...)穿衣"
